Date,Close,High,Low,Open,Volume
2010-01-01,80.31,81.53,80.3,81.45,0
2010-01-04,81.56,81.78,80.85,80.91,1232941
2010-01-05,80.04,81.4,79.63,81.27,2170889
2010-01-06,80.75,80.99,80.0,80.03,2359678
2010-01-07,80.96,81.23,80.59,80.76,2105096
2010-01-08,81.49,81.57,80.6,80.71,1424804
2010-01-11,82.26,82.37,81.41,82.34,1343177
2010-01-12,81.38,81.81,80.7,81.35,1171202
2010-01-13,82.82,82.94,81.25,81.78,1257768
2010-01-14,81.01,82.87,80.88,82.87,1401483
2010-01-15,80.96,81.45,80.36,80.76,1788810
2010-01-18,80.96,81.45,80.36,80.76,0
2010-01-19,81.08,81.53,80.6,80.74,1598461
2010-01-20,80.75,81.03,80.08,80.41,1456029
2010-01-21,79.5,81.62,79.48,80.74,1673002
2010-01-22,78.24,80.29,77.9,79.22,2019121
2010-01-25,79.43,80.09,78.94,79.26,1885799
2010-01-26,78.66,79.8,78.45,78.94,1939075
2010-01-27,76.77,78.53,74.7,77.45,6430102
2010-01-28,76.15,77.47,75.87,77.16,2828814
2010-01-29,75.32,76.93,75.17,76.8,3075557
2010-02-01,76.81,76.81,75.78,76.01,2451979
2010-02-02,77.24,77.6,76.18,76.8,1887968
2010-02-03,76.89,77.72,76.66,77.03,1658171
2010-02-04,74.59,76.51,74.55,76.18,2506750
2010-02-05,74.01,75.6,73.11,74.98,4520296
2010-02-08,74.14,76.17,73.99,74.13,2498657
2010-02-09,75.19,75.77,73.85,75.04,2950628
2010-02-10,75.22,76.08,74.52,75.07,2379154
2010-02-11,76.23,76.3181,75.02,75.04,1679929
2010-02-12,76.93,77.09,74.62,75.16,3319938
2010-02-15,76.93,77.09,74.62,75.16,0
2010-02-16,77.92,78.0,77.21,77.57,1770046
2010-02-17,78.04,78.78,77.4,77.96,1933185
2010-02-18,77.71,78.49,77.41,77.9,2129898
2010-02-19,77.22,77.76,76.87,77.35,2765398
2010-02-22,76.9,77.68,76.74,77.46,2018920
2010-02-23,76.16,76.85,75.8903,76.53,1756295
2010-02-24,76.0,76.91,75.62,76.6,2892386
2010-02-25,75.01,75.46,74.03,74.62,3189729
2010-02-26,75.14,75.5,74.51,75.13,1570947
2010-03-01,76.06,76.13,74.91,75.65,1911465
2010-03-02,76.97,77.15,76.3,76.85,1983441
2010-03-03,76.6,77.64,76.56,76.81,1710637
2010-03-04,77.26,77.46,76.64,77.17,2547626
2010-03-05,78.99,79.02,77.42,77.85,2214967
2010-03-08,79.23,80.0,78.98,79.27,2471449
2010-03-09,79.23,79.4981,78.75,79.01,1584840
2010-03-10,79.01,79.59,78.15,79.02,1712720
2010-03-11,79.51,79.51,78.08,78.59,1224301
2010-03-12,79.59,79.97,79.3,79.8,916420
2010-03-15,79.74,79.9,79.17,79.62,1279906
2010-03-16,80.59,80.6,79.57,79.89,1965289
2010-03-17,82.04,82.07,80.73,80.91,2223670
2010-03-18,82.13,82.35,81.5925,81.87,2047714
2010-03-19,81.62,83.22,81.23,82.2,2432323
2010-03-22,82.07,82.157,81.1,81.28,990176
2010-03-23,82.67,82.67,81.55,82.28,1429524
2010-03-24,82.28,82.64,81.57,82.43,1312913
2010-03-25,81.36,82.75,81.25,82.73,1251025
2010-03-26,81.58,82.22,81.07,81.42,1523489
2010-03-29,81.84,82.2901,81.01,81.71,1310232
2010-03-30,82.76,82.82,81.84,82.05,1691823
2010-03-31,83.0,83.29,82.56,82.56,1879367
2010-04-01,83.82,83.88,83.08,83.4,1639564
2010-04-02,83.82,83.88,83.08,83.4,0
2010-04-05,83.95,84.26,83.5,83.92,2207221
2010-04-06,84.27,84.42,83.29,83.29,1399842
2010-04-07,84.44,84.75,83.43,83.85,2023686
2010-04-08,84.49,84.76,84.13,84.33,1212105
2010-04-09,84.95,85.24,84.46,84.56,2555762
2010-04-12,84.99,85.39,84.74,85.14,2660831
2010-04-13,84.94,85.14,84.62,84.74,1405728
2010-04-14,85.88,85.98,84.79,85.0,1635689
2010-04-15,87.64,87.84,85.6501,85.93,2284403
2010-04-16,86.81,88.0,86.46,87.5,2213651
2010-04-19,87.13,87.14,85.67,86.67,1517129
2010-04-20,88.14,88.14,86.79,87.58,1763106
2010-04-21,87.56,88.14,87.03,87.89,1643465
2010-04-22,87.71,87.8,85.91,87.1,1796113
2010-04-23,88.22,88.28,86.99,87.42,1276907
2010-04-26,88.27,89.0,88.06,88.28,1304743
2010-04-27,86.41,88.17,86.41,87.5,1674527
2010-04-28,84.34,86.6,82.01,83.84,4587486
2010-04-29,84.31,85.94,83.95,84.35,3493493
2010-04-30,83.77,84.82,83.68,84.73,2221857
2010-05-03,84.01,84.4,83.65,84.14,1480479
2010-05-04,82.17,83.18,81.5,82.74,2177573
2010-05-05,81.9,82.38,81.01,81.46,2035043
2010-05-06,79.34,82.79,76.15,81.52,3363728
2010-05-07,78.88,80.47,78.01,78.8,3332664
2010-05-10,81.3,81.78,79.73,81.17,2977961
2010-05-11,80.39,81.19,80.19,80.24,1458417
2010-05-12,81.75,81.79,80.35,80.86,1243761
2010-05-13,80.51,81.6,80.31,81.6,1417005
2010-05-14,77.9,80.19,77.28,80.12,3078081
2010-05-17,78.08,78.92,76.28,78.36,3298113
2010-05-18,77.79,79.91,77.71,78.28,3089829
2010-05-19,76.54,77.32,75.33,77.06,3473794
2010-05-20,74.27,75.93,74.23,74.34,3900681
2010-05-21,77.1,77.13,72.7,73.13,5360816
2010-05-24,75.97,77.07,75.59,76.52,2917409
2010-05-25,76.29,76.37,73.81,73.89,2769380
2010-05-26,76.85,77.79,76.3422,76.76,3165455
2010-05-27,78.91,78.92,77.29,78.5,2221939
2010-05-28,77.6,78.91,77.25,78.53,2809016
2010-05-31,77.6,78.91,77.25,78.53,0
2010-06-01,76.25,77.9,76.25,77.2,1908992
2010-06-02,78.04,78.1,75.98,76.63,2122493
2010-06-03,76.45,77.71,75.78,77.56,3228834
2010-06-04,74.12,75.5,74.0,74.91,3918100
2010-06-07,74.24,75.42,74.1,74.42,3744120
2010-06-08,75.93,76.06,73.84,74.01,2848409
2010-06-09,76.1,77.36,75.77,76.7,2161571
2010-06-10,77.65,78.43,77.018,77.55,2338782
2010-06-11,77.78,77.84,76.77,77.14,1470187
2010-06-14,77.5,78.64,77.41,77.83,2204348
2010-06-15,79.3,79.33,77.58,78.01,2739041
2010-06-16,80.09,80.27,78.59,78.74,1927813
2010-06-17,80.74,80.79,79.17,80.5,2112494
2010-06-18,81.17,81.71,80.79,81.15,2069754
2010-06-21,81.83,83.27,81.31,82.16,2150143
2010-06-22,80.55,82.44,80.53,81.76,1775952
2010-06-23,80.2,81.04,79.1,80.73,2269112
2010-06-24,79.1,80.79,78.99,79.89,2435663
2010-06-25,79.45,80.0,78.46,79.5,2239110
2010-06-28,79.35,79.97,78.84,79.72,1151505
2010-06-29,77.37,78.7095,76.9401,78.49,1706103
2010-06-30,75.99,77.97,75.85,77.41,1916935
2010-07-01,76.77,77.24,75.7,75.72,2202378
2010-07-02,76.88,77.35,76.17,76.97,1478766
2010-07-05,76.88,77.35,76.17,76.97,0
2010-07-06,77.46,77.99,76.53,77.64,1572770
2010-07-07,79.91,79.95,77.55,77.67,1672542
2010-07-08,81.08,81.08,80.06,80.59,1690715
2010-07-09,81.33,81.8,80.73,81.05,1476671
2010-07-12,81.5,81.75,80.74,81.06,1239701
2010-07-13,83.49,83.87,81.85,82.12,1926413
2010-07-14,82.83,83.19,81.06,81.33,2610321
2010-07-15,82.81,83.15,81.69,82.99,1602857
2010-07-16,80.96,82.38,80.69,82.38,2026876
2010-07-19,81.03,81.48,80.34,81.32,1396623
2010-07-20,82.45,82.57,80.09,80.24,1731210
2010-07-21,82.36,83.25,81.56,82.96,1976835
2010-07-22,84.33,85.36,83.07,83.34,2166952
2010-07-23,85.39,85.43,83.87,84.28,1381868
2010-07-26,85.65,85.99,85.07,85.15,1324046
2010-07-27,85.83,86.39,85.45,86.26,1358573
2010-07-28,86.28,86.72,85.02,85.02,1802210
2010-07-29,85.81,87.25,85.42,86.95,2144207
2010-07-30,86.82,87.41,84.82,84.84,2013820
2010-08-02,87.87,88.25,87.59,87.74,2516514
2010-08-03,87.8,88.21,87.31,87.36,1293506
2010-08-04,88.45,88.6,87.68,88.12,1218849
2010-08-05,88.56,88.65,87.8,88.04,1253632
2010-08-06,87.76,88.61,86.74,87.75,1203363
2010-08-09,88.78,88.89,88.01,88.01,1100851
2010-08-10,88.69,89.0,87.52,88.01,1546068
2010-08-11,86.86,87.69,86.43,87.03,1843686
2010-08-12,87.31,87.58,85.8,86.4138,1875791
2010-08-13,87.29,87.58,86.68,86.96,1514824
2010-08-16,87.98,88.59,85.99,86.78,1617348
2010-08-17,89.14,89.74,88.41,88.94,1832970
2010-08-18,89.09,89.56,88.6,89.01,1555738
2010-08-19,88.11,88.78,87.51,88.72,2283499
2010-08-20,88.35,88.47,87.27,87.27,1584422
2010-08-23,87.49,88.97,87.43,88.68,1250958
2010-08-24,86.18,87.73,85.45,85.45,2430892
2010-08-25,85.93,86.38,84.52,85.71,1834992
2010-08-26,85.58,87.0,85.41,86.31,1191073
2010-08-27,87.28,87.28,85.26,86.1,1766859
2010-08-30,85.94,87.5,85.94,87.07,1152555
2010-08-31,86.03,86.44,85.12,85.5,1631050
2010-09-01,87.1,88.75,86.54,87.18,2879234
2010-09-02,86.15,86.79,85.24,86.55,3783829
2010-09-03,87.24,87.34,86.37,87.06,1534923
2010-09-06,87.24,87.34,86.37,87.06,0
2010-09-07,86.43,87.22,86.25,86.82,1180945
2010-09-08,86.58,87.15,86.44,86.64,1429420
2010-09-09,86.57,87.52,86.49,87.49,1500836
2010-09-10,86.45,86.9,86.39,86.62,1011594
2010-09-13,87.36,87.56,86.83,87.06,1256625
2010-09-14,87.88,88.47,87.22,87.36,1362380
2010-09-15,88.2,88.26,87.15,87.71,1327507
2010-09-16,89.04,89.13,87.81,88.08,1285563
2010-09-17,88.36,88.94,88.27,88.88,1716157
2010-09-20,88.62,88.85,88.19,88.66,1605478
2010-09-21,88.08,88.7255,87.65,88.57,1859560
2010-09-22,88.05,88.28,87.55,87.92,1438199
2010-09-23,88.03,88.505,86.8701,87.83,1486259
2010-09-24,90.09,90.09,88.43,88.7,1672334
2010-09-27,89.81,90.5,89.65,89.65,1250728
2010-09-28,90.43,90.72,88.57,90.0,1416653
2010-09-29,89.73,90.25,89.51,90.18,918706
2010-09-30,90.26,91.0,89.46,89.99,1523857
2010-10-01,89.65,90.99,89.45,90.86,1727493
2010-10-04,89.04,89.8,88.64,89.29,1049438
2010-10-05,91.19,91.22,89.9,89.91,1606749
2010-10-06,91.18,91.69,90.61,91.05,971950
2010-10-07,90.21,91.48,89.91,91.46,1027245
2010-10-08,90.62,90.98,90.27,90.51,999251
2010-10-11,90.45,91.0,90.25,90.63,799723
2010-10-12,90.86,91.0,89.33,89.74,893104
2010-10-13,91.9,91.93,90.82,90.93,1860516
2010-10-14,90.71,91.87,90.25,91.61,1556123
2010-10-15,90.71,91.68,90.12,91.31,1446076
2010-10-18,90.78,91.14,90.25,90.71,680504
2010-10-19,89.41,89.95,88.6,89.5,1362082
2010-10-20,91.01,91.43,88.6,89.66,1180909
2010-10-21,92.76,92.86,90.13,91.17,1941724
2010-10-22,92.18,92.95,91.79,92.53,830860
2010-10-25,93.77,94.3,92.7,92.7,1185627
2010-10-26,93.5,93.5,92.39,93.35,1612841
2010-10-27,90.51,92.16,89.6,92.16,2791925
2010-10-28,90.92,91.85,90.26,91.85,1277130
2010-10-29,91.34,91.72,90.28,90.72,1342217
2010-11-01,91.34,92.05,91.0,91.8,1091161
2010-11-02,92.31,92.57,91.53,92.03,1437375
2010-11-03,92.24,92.62,91.23,92.62,1184847
2010-11-04,92.29,93.2,91.48,93.2,1993974
2010-11-05,92.94,93.06,92.33,92.6,1452154
2010-11-08,93.62,93.95,92.5,92.52,1110634
2010-11-09,92.02,93.99,91.57,93.3,1272875
2010-11-10,93.09,93.15,91.29,92.01,1015636
2010-11-11,92.82,93.32,92.0,92.07,936327
2010-11-12,91.58,92.44,90.9,92.42,950472
2010-11-15,91.51,92.59,91.46,91.73,777005
2010-11-16,90.4,91.18,90.04,90.31,1710875
2010-11-17,90.31,91.17,90.15,90.66,1213433
2010-11-18,91.87,92.65,91.18,91.25,1115919
2010-11-19,92.49,92.69,91.8,91.98,1599823
2010-11-22,92.0,92.31,91.0,92.24,1091573
2010-11-23,91.16,91.56,90.39,91.07,1388315
2010-11-24,92.65,92.69,90.96,91.5,975514
