Date,Close,High,Low,Open,Volume
2010-01-01,48.17,49.66,48.17,49.04,0
2010-01-04,50.98,51.15,49.38,49.38,1524047
2010-01-05,51.0,51.78,50.79,51.06,1666045
2010-01-06,51.89,52.37,50.555,51.0,2130241
2010-01-07,52.35,52.69,50.29,51.39,1491342
2010-01-08,53.25,53.35,51.38,51.6,1374788
2010-01-11,52.28,54.03,51.75,53.7,1214389
2010-01-12,51.14,51.99,50.76,51.29,1345694
2010-01-13,51.9,52.0,49.93,51.46,1302653
2010-01-14,52.53,52.7,51.51,51.69,793996
2010-01-15,50.53,52.68,50.19,52.28,2090272
2010-01-18,50.53,52.68,50.19,52.28,0
2010-01-19,50.26,52.19,48.93,51.9,3115115
2010-01-20,49.53,49.77,48.56,49.26,1492967
2010-01-21,48.13,50.4,47.72,49.52,1556051
2010-01-22,46.53,48.22,46.44,47.82,1840711
2010-01-25,46.92,48.12,46.87,47.14,1276811
2010-01-26,45.94,47.52,45.8,46.44,1624419
2010-01-27,45.4,46.24,44.5,46.0,1968879
2010-01-28,45.23,46.09,43.88,45.71,1356966
2010-01-29,43.98,46.604,43.61,45.78,1933213
2010-02-01,45.84,45.93,44.55,44.57,1320255
2010-02-02,46.78,47.07,45.39,46.09,1666274
2010-02-03,45.87,47.54,45.58,46.65,1989813
2010-02-04,44.12,45.69,44.0,45.69,2793617
2010-02-05,43.62,44.16,41.88,44.11,2851795
2010-02-08,44.27,44.67,43.01,43.53,2495698
2010-02-09,46.31,46.85,44.86,45.28,2468709
2010-02-10,45.37,46.2,44.58,46.2,3295246
2010-02-11,47.33,47.45,45.114,45.3,1634542
2010-02-12,47.1,47.36,45.72,46.43,1603727
2010-02-15,47.1,47.36,45.72,46.43,0
2010-02-16,48.8,48.89,47.79,48.04,1010667
2010-02-17,48.73,49.235,48.05,48.81,918832
2010-02-18,49.26,49.31,48.32,48.61,1306877
2010-02-19,49.49,49.64,47.84,48.71,1660256
2010-02-22,48.02,49.73,47.89,49.5,1979728
2010-02-23,46.18,48.25,46.07,47.91,2342239
2010-02-24,46.3,47.02,45.82,46.34,1868354
2010-02-25,46.67,46.83,44.57,45.22,1877528
2010-02-26,46.65,46.79,45.44,45.5,1729193
2010-03-01,47.15,47.59,46.74,46.93,1437896
2010-03-02,47.84,48.37,47.24,47.33,1541164
2010-03-03,48.0,48.95,47.89,48.24,1287370
2010-03-04,47.69,48.51,47.38,48.01,1290036
2010-03-05,48.98,49.15,48.11,48.29,1329281
2010-03-08,48.54,49.48,48.45,48.94,1282009
2010-03-09,49.43,49.8,48.07,48.12,1809593
2010-03-10,50.97,51.16,49.04,49.22,2757697
2010-03-11,51.09,51.32,50.25,50.74,1793120
2010-03-12,52.78,52.85,51.5,51.63,2565024
2010-03-15,52.1,52.57,51.14,52.41,1663857
2010-03-16,53.75,53.88,52.16,52.49,1715103
2010-03-17,53.29,54.49,53.13,54.07,1675882
2010-03-18,53.07,53.23,52.09,53.11,2541439
2010-03-19,53.03,53.38,51.837,53.05,2382023
2010-03-22,52.6,52.9,51.64,52.02,1299078
2010-03-23,53.79,54.15,52.04,52.75,1810464
2010-03-24,53.9,54.32,53.01,53.37,1484531
2010-03-25,53.36,55.0,53.19,54.72,1695860
2010-03-26,52.84,53.39,52.14,53.07,1683605
2010-03-29,54.42,54.45,53.17,53.2,914317
2010-03-30,54.73,54.86,53.61,54.38,901211
2010-03-31,56.32,56.88,54.46,54.73,1675408
2010-04-01,59.15,59.17,56.94,57.31,2004150
2010-04-02,59.15,59.17,56.94,57.31,0
2010-04-05,61.4,61.44,59.36,59.63,2250952
2010-04-06,60.96,62.38,60.59,61.22,2272477
2010-04-07,59.58,61.23,59.16,61.2,2528410
2010-04-08,60.21,60.58,58.48,59.3,1531753
2010-04-09,60.99,61.62,60.24,60.91,1470106
2010-04-12,60.84,61.85,60.58,61.02,1938193
2010-04-13,62.02,62.46,60.31,61.73,3415134
2010-04-14,62.69,62.83,61.69,62.25,2050987
2010-04-15,62.39,63.37,62.24,62.71,1638185
2010-04-16,60.74,62.24,60.3,62.0,2456688
2010-04-19,61.4,61.55,59.74,60.27,1661852
2010-04-20,63.3,63.5,61.98,62.06,1538334
2010-04-21,63.28,63.63,62.41,63.01,1300624
2010-04-22,64.8,64.895,62.01,62.46,1594487
2010-04-23,66.09,66.24,64.07,64.37,1833199
2010-04-26,66.09,66.82,65.82,66.25,930508
2010-04-27,62.55,65.46,62.28,65.27,2166466
2010-04-28,63.14,63.45,61.54,63.07,1543684
2010-04-29,63.92,64.36,62.64,63.71,1414916
2010-04-30,64.13,66.15,63.74,64.13,1861569
2010-05-03,66.23,66.96,64.54,64.9,1631111
2010-05-04,64.13,64.75,62.91,64.29,2243351
2010-05-05,62.86,63.44,60.0,60.9,3300019
2010-05-06,61.43,63.55,56.91,62.73,3229907
2010-05-07,58.5,61.72,57.13,61.34,3241750
2010-05-10,63.89,64.09,61.42,62.04,3542572
2010-05-11,63.85,65.47,62.93,63.25,3759004
2010-05-12,65.5,66.04,64.35,64.81,2881882
2010-05-13,64.82,66.49,64.65,65.19,2087592
2010-05-14,62.91,64.26,61.7,64.23,2747651
2010-05-17,60.93,63.81,59.0,63.37,3079979
2010-05-18,60.52,62.9,60.11,62.16,2680348
2010-05-19,59.53,60.69,57.7,60.07,2753108
2010-05-20,56.4,58.09,55.93,57.3,4160762
2010-05-21,59.45,59.55,54.72,54.95,3800493
2010-05-24,58.08,60.15,57.97,58.96,2615374
2010-05-25,58.6,58.73,55.77,56.05,3146743
2010-05-26,60.0,61.54,59.55,59.87,3064997
2010-05-27,63.49,63.49,61.69,62.0,2082856
2010-05-28,63.7,65.23,62.92,63.15,2924745
2010-05-31,63.7,65.23,62.92,63.15,0
2010-06-01,61.74,64.15,61.62,62.78,2407378
2010-06-02,65.78,65.78,61.9,62.3,2638278
2010-06-03,67.51,67.89,64.43,66.11,3416114
2010-06-04,63.24,66.94,62.55,66.0,3727107
2010-06-07,62.3,64.62,62.06,64.17,1935281
2010-06-08,63.95,64.93,61.731,62.62,3051043
2010-06-09,64.56,67.31,64.0,64.99,3111607
2010-06-10,68.87,68.87,66.14,67.48,3203099
2010-06-11,70.1,70.24,67.1,67.87,2580630
2010-06-14,69.64,72.59,69.54,71.32,2605298
2010-06-15,71.03,71.29,69.83,70.95,2129780
2010-06-16,71.66,72.39,70.55,70.77,1957885
2010-06-17,71.52,72.12,70.24,71.72,1715703
2010-06-18,71.65,71.98,70.79,71.62,2391050
2010-06-21,71.03,74.0,70.36,73.0,1642885
2010-06-22,66.97,70.575,66.38,70.35,3813646
2010-06-23,67.19,68.12,65.5,66.61,1937371
2010-06-24,64.97,66.8,63.54,66.07,4467717
2010-06-25,65.24,66.28,63.76,64.48,3368146
2010-06-28,63.93,65.79,63.72,65.57,2258363
2010-06-29,60.52,63.11,60.05,62.79,2774060
2010-06-30,59.45,61.44,59.06,60.59,2249970
2010-07-01,58.92,59.67,56.47,58.98,2859204
2010-07-02,57.26,59.91,57.18,59.91,2780651
2010-07-05,57.26,59.91,57.18,59.91,0
2010-07-06,56.96,60.42,56.42,59.46,2925763
2010-07-07,59.21,59.27,56.88,56.96,2421580
2010-07-08,60.36,61.52,58.65,61.11,2416384
2010-07-09,60.87,61.04,59.85,60.16,1654922
2010-07-12,60.69,61.12,59.71,60.72,1814181
2010-07-13,62.27,62.88,61.16,61.78,1456100
2010-07-14,62.05,63.16,60.99,61.64,1682240
2010-07-15,61.45,62.16,60.09,61.93,1636740
2010-07-16,58.85,60.59,58.65,60.59,2341929
2010-07-19,59.27,59.76,58.26,59.23,1056766
2010-07-20,60.53,60.8,57.88,57.92,1866123
