Date,Close,High,Low,Open,Volume
2010-01-01,46.26,46.92,46.26,46.87,0
2010-01-04,46.94,47.315,46.57,46.65,14570159
2010-01-05,48.07,48.32,47.5,47.5,24246252
2010-01-06,47.6,48.43,47.38,48.21,22750094
2010-01-07,48.98,49.02,47.55,47.78,25266289
2010-01-08,49.47,49.8,48.89,49.07,25941172
2010-01-11,49.29,49.69,48.64,49.49,14673278
2010-01-12,48.49,49.21,48.07,48.86,18009023
2010-01-13,48.7,48.95,48.23,48.88,12427439
2010-01-14,48.37,48.72,48.22,48.23,13753174
2010-01-15,48.53,49.04,48.11,49.04,21540457
2010-01-18,48.53,49.04,48.11,49.04,0
2010-01-19,49.32,49.7,48.55,48.55,16566980
2010-01-20,48.35,48.94,47.79,48.84,18152473
2010-01-21,48.09,49.0,47.92,48.39,18703978
2010-01-22,46.78,48.57,46.67,48.08,22207640
2010-01-25,46.91,47.69,46.7,46.94,15305135
2010-01-26,46.89,47.47,46.56,46.69,18327498
2010-01-27,47.2,47.31,46.27,46.63,27302897
2010-01-28,40.48,42.11,40.01,42.07,130892117
2010-01-29,39.19,40.88,38.49,40.87,112830240
2010-02-01,39.77,39.97,38.68,39.25,54762583
2010-02-02,39.26,39.89,38.98,39.87,45670206
2010-02-03,39.63,39.72,38.6,38.95,36843786
2010-02-04,38.17,39.28,38.15,39.25,39883839
2010-02-05,38.04,38.597,37.43,38.43,39372917
2010-02-08,37.51,38.188,37.47,38.1,27378501
2010-02-09,37.91,38.29,37.64,37.93,28585599
2010-02-10,37.43,38.16,37.32,37.74,23742337
2010-02-11,38.01,38.12,37.0,37.26,34202738
2010-02-12,38.84,39.0,37.98,38.17,37314041
2010-02-15,38.84,39.0,37.98,38.17,0
2010-02-16,39.02,39.3,38.7,39.22,34302564
2010-02-17,39.43,39.7,39.02,39.12,24735193
2010-02-18,39.81,39.9393,39.39,39.5,19506806
2010-02-19,39.59,39.85,39.47,39.78,26643136
2010-02-22,39.01,39.89,38.69,39.76,27658472
2010-02-23,38.54,39.15,38.4,38.99,17927088
2010-02-24,37.87,38.67,37.67,38.64,27119218
2010-02-25,37.18,38.0,36.47,37.25,34843585
2010-02-26,36.6829,37.13,36.51,37.12,30563372
2010-03-01,35.56,36.82,35.46,36.82,59160909
2010-03-02,37.93,38.46,36.57,36.75,77896111
2010-03-03,38.69,39.16,38.37,38.6,42163796
2010-03-04,39.25,39.28,38.58,38.93,29413178
2010-03-05,38.76,39.52,38.62,39.46,26466892
2010-03-08,38.79,39.01,38.61,38.84,13858984
2010-03-09,38.68,38.91,38.5,38.79,20141221
2010-03-10,38.88,39.1,38.5,38.58,15250923
2010-03-11,39.1,39.25,38.71,38.86,16330202
2010-03-12,38.95,39.39,38.8,39.12,20714104
2010-03-15,38.87,39.06,38.66,39.02,17334709
