Date,Close,High,Low,Open,Volume
2015-01-02,70.4,71.9995,68.01,69.0,4218773
2015-01-05,67.63,71.3,67.06,71.1,4534786
2015-01-06,64.67,67.9899,63.02,67.6,3749900
2015-01-07,66.65,66.76,63.51,65.7,2122624
2015-01-08,67.69,69.69,67.13,67.13,2514567
2015-01-09,67.11,68.45,66.61,68.11,934190
2015-01-12,65.52,67.99,64.8,67.2,1259246
2015-01-13,65.02,67.59,63.61,66.0,1230742
2015-01-14,64.59,65.45,63.11,64.01,980702
2015-01-15,64.39,64.94,63.6,64.59,1246849
2015-01-16,65.81,66.42,63.81,64.0,1392888
2015-01-19,65.81,65.81,65.81,65.81,0
2015-01-20,67.96,68.2,65.23,65.63,1096239
2015-01-21,68.84,70.8,67.57,68.0,1451616
2015-01-22,70.61,70.68,67.03,69.275,1332703
2015-01-23,73.37,74.34,70.57,70.65,1677595
2015-01-26,73.15,74.0,72.3,72.5,1571826
2015-01-27,73.75,73.88,71.5,72.8,1246687
2015-01-28,75.5,78.05,74.22,75.11,3063005
2015-01-29,75.76,75.88,72.2,72.7,2636706
2015-01-30,73.87,75.26,73.31,74.95,1623369
2015-02-02,68.72,74.0,66.88,73.505,3348309
2015-02-03,68.52,70.0,67.05,68.885,2551794
2015-02-04,68.33,69.3999,66.76,68.29,1499558
2015-02-05,67.39,68.73,66.5,68.33,1322918
2015-02-06,65.89,68.5,65.53,67.39,1302192
2015-02-09,63.74,65.8245,63.35,65.26,1563602
2015-02-10,65.02,65.12,63.67,64.2205,1306622
2015-02-11,64.75,65.65,63.17,65.1,1096587
2015-02-12,66.2,66.33,65.0,65.0,1159026
2015-02-13,70.03,70.27,65.6301,66.2,1870878
2015-02-16,70.03,70.03,70.03,70.03,0
2015-02-17,69.44,70.0,68.06,68.61,973963
2015-02-18,67.54,70.0,67.31,69.22,1056656
2015-02-19,65.3,68.17,65.25,66.94,1225397
2015-02-20,65.17,65.77,64.04,65.77,1463428
2015-02-23,65.05,65.88,64.3,65.25,889737
2015-02-24,69.34,69.35,65.2,65.425,1700103
2015-02-25,67.21,69.28,66.6,69.25,965173
2015-02-26,71.53,71.72,67.89,68.1,2116352
2015-02-27,69.4,71.428,69.2,70.65,1400857
2015-03-02,69.35,70.8,68.8,69.73,1127924
2015-03-03,70.84,70.96,68.35,69.5,1509044
2015-03-04,72.02,73.25,70.11,70.5,1397547
2015-03-05,74.51,75.16,72.02,72.2,1621943
2015-03-06,72.98,74.5,72.75,73.41,988083
2015-03-09,74.83,75.45,73.13,73.25,1076610
2015-03-10,72.15,74.31,71.74,74.08,1365519
2015-03-11,72.95,73.6,72.05,72.73,1039697
2015-03-12,73.42,74.35,72.92,73.24,794838
2015-03-13,72.57,73.99,71.8,73.36,761933
2015-03-16,76.33,76.75,74.0,74.25,1822376
2015-03-17,77.71,78.12,75.9,76.07,1824736
2015-03-18,79.96,80.8,77.69,77.86,2272864
2015-03-19,80.38,82.27,79.21,81.13,1885961
2015-03-20,80.8,81.4999,79.695,81.49,4740960
2015-03-23,84.09,84.19,81.07,81.3,2001013
2015-03-24,83.21,85.6275,82.66,84.55,1792326
2015-03-25,77.13,83.79,75.52,83.6,3728849
2015-03-26,77.19,77.75,72.1,73.41,3005851
2015-03-27,79.28,80.69,77.51,77.66,2634855
2015-03-30,81.4,81.4,79.71,80.22,1820353
2015-03-31,79.7,81.0,78.5503,81.0,2006905
2015-04-01,78.8,79.3,77.81,79.3,1430165
2015-04-02,77.79,79.2,76.67,78.5,1603809
2015-04-03,77.79,77.79,77.79,77.79,0
2015-04-06,76.51,77.15,75.2,76.79,1613574
2015-04-07,73.23,77.69,72.73,77.0737,2251917
2015-04-08,72.84,75.2,72.51,74.38,2108002
2015-04-09,74.63,74.9,71.22,72.66,1385059
2015-04-10,73.58,75.93,72.7601,75.66,1315407
2015-04-13,72.63,75.12,72.11,73.59,1243676
2015-04-14,70.5,73.17,69.3,72.64,2457067
2015-04-15,70.91,72.0,69.37,71.0,1714594
2015-04-16,71.46,71.5,68.61,70.73,1495531
2015-04-17,70.07,71.11,69.61,70.6,1177836
2015-04-20,72.01,72.35,70.4,70.64,1216884
2015-04-21,74.07,74.26,72.01,72.33,1159958
2015-04-22,74.48,74.54,73.06,74.2,817874
2015-04-23,73.27,73.95,71.55,73.9,1121670
2015-04-24,70.12,73.1,69.7003,73.01,1633801
2015-04-27,69.37,71.69,68.9,69.99,1512928
2015-04-28,67.86,70.308,65.442,70.17,2044430
2015-04-29,68.65,69.0,66.51,67.59,994215
2015-04-30,65.91,68.8499,65.8,68.4,1632031
2015-05-01,69.6,69.61,66.68,66.75,1708891
2015-05-04,68.99,70.5,68.6601,69.94,1621588
2015-05-05,67.07,69.2217,66.02,68.76,1532575
2015-05-06,69.06,69.4,66.5,67.89,2131898
2015-05-07,75.56,78.0,73.21,77.63,4721326
2015-05-08,76.56,77.97,76.21,76.47,1991630
2015-05-11,74.56,76.0,73.84,76.0,1697885
2015-05-12,74.75,75.85,74.0,74.35,1381572
2015-05-13,74.96,76.1,74.33,75.04,804124
2015-05-14,76.98,77.215,75.04,75.235,1556393
2015-05-15,76.54,77.14,75.83,76.9,1711316
2015-05-18,80.3,80.39,75.5,75.75,2668764
2015-05-19,80.1,81.89,79.4,80.75,1644055
2015-05-20,81.15,81.99,79.4,80.0,1213533
2015-05-21,81.26,81.85,79.79,81.15,1937811
2015-05-22,84.03,84.6426,82.0,82.0,3055359
2015-05-25,84.03,84.03,84.03,84.03,0
2015-05-26,82.46,83.73,81.39,83.44,2157360
2015-05-27,86.4,86.75,82.7,82.92,2807004
2015-05-28,82.3,86.33,82.06,86.26,2310460
2015-05-29,82.15,84.33,82.03,82.95,2770204
2015-06-01,80.94,83.3632,80.09,82.5,2210923
2015-06-02,80.86,80.96,79.0,80.52,1703772
2015-06-03,81.55,81.907,80.9,81.55,2263414
2015-06-04,81.32,82.1,80.08,80.95,1203774
2015-06-05,83.7,83.85,80.12,81.13,1801268
2015-06-08,80.24,83.769,79.75,83.765,2193013
2015-06-09,80.05,81.0,77.6,80.68,2807660
2015-06-10,82.5,82.74,80.29,81.375,6108678
2015-06-11,82.0,83.0,81.651,82.41,28866259
2015-06-12,83.51,83.7,81.75,81.95,2641046
2015-06-15,82.18,82.99,82.05,82.92,2640829
2015-06-16,84.75,84.99,82.11,82.23,2476532
2015-06-17,84.56,85.07,83.09,84.7701,1894035
2015-06-18,84.65,85.46,83.623,84.6,2013364
2015-06-19,85.25,86.28,84.33,84.88,2833108
2015-06-22,87.81,88.35,85.86,86.25,2664696
2015-06-23,85.31,87.96,84.85,87.885,2469367
2015-06-24,84.59,85.88,84.56,85.27,1488568
2015-06-25,84.98,85.86,84.75,84.99,1391270
2015-06-26,80.41,84.9999,79.66,84.85,20596323
2015-06-29,79.06,81.69,77.83,78.81,2892520
2015-06-30,80.27,81.0,78.5768,79.98,1957799
2015-07-01,80.36,82.25,80.01,81.09,1639714
2015-07-02,81.36,81.55,80.2,80.72,1151395
2015-07-03,81.36,81.36,81.36,81.36,0
2015-07-06,79.99,81.935,78.59,80.33,2121645
2015-07-07,79.95,80.43,74.36,80.29,3086401
2015-07-08,74.68,77.45,74.4808,77.43,3271840
2015-07-09,74.63,77.27,74.33,76.3,2011298
2015-07-10,76.16,76.5,73.71,75.22,2365795
2015-07-13,76.61,78.21,75.24,77.17,1397443
2015-07-14,77.96,78.52,76.93,77.14,1047520
2015-07-15,77.88,79.1,77.427,78.6,1051254
2015-07-16,80.24,80.52,77.7,78.07,1501041
2015-07-17,78.86,80.79,78.1,80.14,1327631
2015-07-20,76.7,79.58,76.5,78.5,2117605
2015-07-21,77.45,77.95,75.41,76.22,1692304
2015-07-22,74.17,74.88,71.01,72.55,3345645
2015-07-23,75.24,77.22,74.44,74.71,1777362
2015-07-24,72.28,77.1699,72.2,76.51,1952249
2015-07-27,69.94,71.45,69.01,71.45,1926702
2015-07-28,70.75,71.084,68.5,70.5,1371697
2015-07-29,70.47,70.85,68.94,70.33,2562748
2015-07-30,60.485,62.348,57.1,60.65,10331417
2015-07-31,57.95,60.79,57.64,60.61,4389313
2015-08-03,57.52,58.61,56.55,57.52,3662936
2015-08-04,55.06,58.14,54.37,56.68,5794839
2015-08-05,54.83,56.83,54.25,55.16,4187031
2015-08-06,51.83,54.83,50.8,54.73,3199748
2015-08-07,52.2,53.07,51.0,51.54,1874090
2015-08-10,54.53,55.1,53.17,53.18,2160562
2015-08-11,53.86,54.91,53.13,53.5,2311339
2015-08-12,56.96,57.6,51.71,52.74,3352155
2015-08-13,58.32,59.68,55.84,57.23,3508380
2015-08-14,58.24,58.68,56.31,57.58,2517344
2015-08-17,58.28,58.43,57.35,57.71,1251786
2015-08-18,55.93,57.94,55.85,57.6,1585966
2015-08-19,55.59,56.85,55.01,55.9,1820140
2015-08-20,52.36,55.355,52.23,54.61,2399474
2015-08-21,49.99,51.99,49.86,51.83,3704004
2015-08-24,48.5,51.07,45.0,45.5,3978164
2015-08-25,49.81,52.972,49.78,51.79,2656140
2015-08-26,52.75,52.97,49.77,51.67,2350959
2015-08-27,54.74,55.89,54.02,54.13,2540710
2015-08-28,55.79,55.92,54.22,54.37,1757971
2015-08-31,55.51,56.28,54.17,54.79,2092778
2015-09-01,53.45,55.94,53.12,53.89,2299274
2015-09-02,54.82,55.4399,53.51,54.75,1925130
2015-09-03,56.57,58.36,54.86,55.0,2281855
2015-09-04,55.79,56.64,54.72,55.29,1332220
