Date,Close,High,Low,Open,Volume
2010-01-01,23.77,24.22,23.77,24.07,0
2010-01-04,24.27,24.29,23.74,23.94,598019
2010-01-05,24.66,24.67,24.11,24.26,554199
2010-01-06,25.01,25.07,24.36,24.52,757186
2010-01-07,24.86,24.95,24.59,24.9,697966
2010-01-08,24.59,24.88,24.33,24.77,463043
2010-01-11,24.53,24.8,24.25,24.8,501969
2010-01-12,24.05,24.4,23.71,24.23,462479
2010-01-13,24.95,25.0,24.4101,24.86,737743
2010-01-14,25.11,25.21,24.8,25.01,484597
2010-01-15,24.8,25.24,24.75,25.03,539013
2010-01-18,24.8,25.24,24.75,25.03,0
2010-01-19,25.05,25.2,24.72,24.78,336111
2010-01-20,25.13,25.3148,24.7,24.74,630239
2010-01-21,26.72,27.03,25.28,25.28,1943999
2010-01-22,26.45,26.89,26.201,26.54,1643986
2010-01-25,26.28,26.76,25.75,26.69,680791
2010-01-26,26.06,26.7,26.03,26.16,720124
2010-01-27,26.26,26.35,25.72,26.06,832473
2010-01-28,25.69,26.38,25.5,26.38,745176
2010-01-29,25.31,26.25,25.14,25.79,914949
2010-02-01,25.58,25.71,25.24,25.41,1404384
2010-02-02,26.36,26.58,25.62,25.65,826451
2010-02-03,26.73,27.31,26.45,26.45,1580306
2010-02-04,25.56,26.66,25.56,26.49,1125356
2010-02-05,25.17,25.82,24.7,25.61,1766788
2010-02-08,25.26,25.52,24.8,25.19,720158
2010-02-09,25.54,25.87,25.4,25.63,845838
2010-02-10,25.75,26.07,25.39,25.42,720895
2010-02-11,25.65,25.8,25.47,25.63,631167
2010-02-12,25.91,25.93,25.3,25.3,582722
2010-02-15,25.91,25.93,25.3,25.3,0
2010-02-16,26.29,26.37,25.71,26.07,470838
2010-02-17,26.43,26.48,26.18,26.33,897133
2010-02-18,26.35,26.49,26.13,26.41,535390
2010-02-19,26.69,26.89,26.22,26.22,569788
2010-02-22,26.81,26.93,26.57,26.81,375221
2010-02-23,26.15,26.87,26.08,26.77,626525
2010-02-24,25.87,26.24,25.72,26.18,1075391
2010-02-25,25.58,25.7,25.16,25.48,777828
2010-02-26,25.86,25.92,25.49,25.66,462329
2010-03-01,26.35,26.43,25.77,25.9,509627
2010-03-02,26.66,26.77,26.25,26.39,737995
2010-03-03,26.85,27.25,26.63,27.12,751377
2010-03-04,27.03,27.07,26.65,26.81,551854
2010-03-05,27.39,27.46,27.04,27.18,574325
2010-03-08,27.77,27.91,27.25,27.3,372362
2010-03-09,27.61,27.93,27.45,27.65,313660
2010-03-10,27.75,27.88,27.48,27.56,475918
2010-03-11,27.62,27.7,27.4,27.54,562161
2010-03-12,27.5,27.7,27.26,27.65,857606
2010-03-15,27.85,27.92,27.315,27.35,710649
2010-03-16,27.76,28.09,27.66,27.85,655011
2010-03-17,27.98,28.2299,27.87,27.88,604958
2010-03-18,27.98,28.15,27.77,28.03,643989
2010-03-19,27.86,28.24,27.79,28.0,886188
2010-03-22,28.12,28.17,27.52,27.59,383476
2010-03-23,28.06,28.29,27.9118,28.2,409690
2010-03-24,27.78,28.13,27.75,27.9,610916
2010-03-25,27.74,28.11,27.7,28.1,657732
2010-03-26,27.16,27.98,27.06,27.85,658694
2010-03-29,27.37,27.54,27.03,27.21,637303
2010-03-30,27.43,27.55,27.08,27.32,485339
2010-03-31,26.74,27.72,26.69,27.38,1082633
2010-04-01,27.1,27.2,26.86,26.91,1165747
2010-04-02,27.1,27.2,26.86,26.91,0
2010-04-05,27.61,27.68,27.04,27.14,1047828
2010-04-06,28.11,28.17,27.31,27.48,838967
2010-04-07,28.33,28.59,27.9,28.16,1064513
2010-04-08,28.69,28.85,28.16,28.23,685245
2010-04-09,28.91,28.98,28.56,28.67,516109
2010-04-12,29.03,29.19,28.86,28.86,527347
2010-04-13,29.46,29.54,28.785,29.02,678471
2010-04-14,30.19,30.19,29.56,29.56,880103
2010-04-15,30.26,30.41,29.93,29.98,683269
2010-04-16,29.41,30.11,28.82,30.01,1236368
2010-04-19,29.76,29.95,29.19,29.25,660816
2010-04-20,29.95,30.1,29.66,29.91,469943
2010-04-21,30.03,30.39,29.66,29.92,832451
2010-04-22,30.48,30.68,29.51,29.63,718109
2010-04-23,31.12,31.13,30.4,30.64,709533
2010-04-26,30.73,31.2,30.72,31.0,715901
2010-04-27,30.08,31.0,29.97,30.4,789349
2010-04-28,30.24,30.6,29.99,30.27,971758
2010-04-29,30.67,30.94,30.24,30.46,1138018
2010-04-30,30.64,31.25,30.35,30.59,1062952
2010-05-03,30.96,31.09,30.69,30.92,515980
2010-05-04,29.71,30.62,29.48,30.48,839609
2010-05-05,29.5,30.15,29.1,29.45,1281161
2010-05-06,28.32,29.63,26.52,29.3,1237149
2010-05-07,28.25,28.69,27.41,28.29,1799448
2010-05-10,29.66,29.79,29.15,29.39,1106770
2010-05-11,29.59,30.14,29.16,29.3,660685
2010-05-12,30.1,30.2,29.53,29.78,573548
2010-05-13,29.97,30.53,29.94,30.08,390722
2010-05-14,28.74,29.9299,28.62,29.76,1059170
2010-05-17,28.41,29.08,27.97,28.85,810234
2010-05-18,27.62,28.92,27.53,28.7,757322
2010-05-19,27.64,27.89,26.89,27.55,918362
2010-05-20,26.29,27.35,26.27,27.02,1176614
2010-05-21,27.48,27.49,25.51,25.88,1487911
2010-05-24,27.26,28.02,27.22,27.45,1089894
2010-05-25,27.25,27.32,26.28,26.48,1392263
2010-05-26,27.41,28.15,27.25,27.4,917411
2010-05-27,28.57,28.61,27.65,28.01,530104
2010-05-28,28.27,28.61,27.93,28.5,624977
2010-05-31,28.27,28.61,27.93,28.5,0
2010-06-01,27.43,28.31,27.42,28.04,776887
2010-06-02,28.55,28.55,27.44,27.7,903414
2010-06-03,28.43,28.67,28.08,28.67,701627
2010-06-04,27.61,28.37,27.5,28.04,963763
2010-06-07,27.25,28.31,27.16,27.7,1016875
2010-06-08,27.55,27.62,26.89,27.3,900254
2010-06-09,27.21,27.84,27.08,27.67,719074
2010-06-10,28.05,28.06,27.5,27.62,467145
2010-06-11,28.3,28.3,27.63,27.69,470456
2010-06-14,28.15,28.67,28.06,28.56,530064
2010-06-15,28.66,28.74,28.11,28.37,578741
2010-06-16,28.62,28.85,28.41,28.42,683655
2010-06-17,28.04,28.78,27.73,28.65,552549
2010-06-18,27.49,28.11,27.3,27.95,972310
2010-06-21,27.29,28.07,27.2,27.76,573464
2010-06-22,27.18,28.18,27.08,27.27,1635397
2010-06-23,26.91,27.4,26.46,27.07,1149850
2010-06-24,26.63,27.12,26.45,26.65,945786
2010-06-25,26.57,26.98,26.45,26.81,1319695
2010-06-28,26.71,26.85,26.34,26.59,766034
2010-06-29,25.06,26.16,24.92,26.15,1462403
2010-06-30,24.69,25.26,24.64,25.0,943011
2010-07-01,24.2,24.85,23.61,24.64,1154121
2010-07-02,24.36,24.56,23.91,24.35,824315
2010-07-05,24.36,24.56,23.91,24.35,0
2010-07-06,24.91,25.34,24.62,25.02,927301
2010-07-07,25.65,25.69,24.86,24.9,976178
2010-07-08,25.58,26.04,25.2,25.81,481725
2010-07-09,25.95,26.04,25.4101,25.47,640895
2010-07-12,26.18,26.2,25.6601,25.74,720217
2010-07-13,26.87,26.94,26.4005,26.44,497874
2010-07-14,26.5,26.84,26.3,26.84,510823
2010-07-15,26.25,26.542,25.795,26.54,502615
2010-07-16,24.78,25.99,24.75,25.99,983727
2010-07-19,25.09,25.26,24.57,24.89,604754
2010-07-20,25.14,25.17,24.21,24.75,1110496
2010-07-21,25.26,26.11,25.25,25.39,1239468
2010-07-22,25.75,25.77,25.25,25.39,1188228
2010-07-23,26.29,26.46,25.4,25.64,758483
2010-07-26,27.29,27.31,26.16,26.29,915370
2010-07-27,27.25,27.91,27.19,27.57,1034127
2010-07-28,26.92,27.46,26.83,27.2,585811
2010-07-29,26.75,27.25,26.46,27.07,509961
2010-07-30,26.68,26.91,26.36,26.4,395237
2010-08-02,27.35,27.37,26.85,27.13,521895
2010-08-03,26.94,27.41,26.89,27.13,557307
2010-08-04,27.45,27.68,27.0,27.0,525557
2010-08-05,27.39,27.56,27.1636,27.29,386016
2010-08-06,27.34,27.73,26.88,27.06,682335
2010-08-09,27.17,27.58,27.1,27.58,508463
2010-08-10,26.65,27.06,26.33,26.82,635314
2010-08-11,25.52,26.26,25.51,26.26,589247
2010-08-12,25.35,25.57,24.88,25.04,317877
2010-08-13,25.03,25.45,25.0,25.28,322459
2010-08-16,24.91,25.25,24.78,24.89,261396
2010-08-17,25.29,25.425,25.0,25.19,274797
2010-08-18,25.4,25.59,25.0,25.24,243475
2010-08-19,24.59,25.32,24.58,25.18,414616
2010-08-20,24.91,25.01,24.3,24.43,339792
2010-08-23,24.4,25.03,24.36,24.99,472458
2010-08-24,23.76,24.19,23.75,24.19,376396
2010-08-25,23.85,23.94,23.42,23.54,500455
2010-08-26,23.39,24.027,23.38,23.9,458373
2010-08-27,24.03,24.08,23.27,23.54,467053
2010-08-30,23.26,24.04,23.26,23.92,501901
2010-08-31,23.08,23.26,22.91,23.24,749888
2010-09-01,24.13,24.14,23.25,23.43,515167
2010-09-02,24.41,24.41,23.93,24.07,445637
2010-09-03,24.95,25.1,24.72,24.81,565329
2010-09-06,24.95,25.1,24.72,24.81,0
2010-09-07,24.3,24.92,24.26,24.78,343814
2010-09-08,24.32,24.8,24.25,24.31,441302
