Date,Close,High,Low,Open,Volume
2010-01-01,80.98,82.66,80.98,82.66,0
2010-01-04,81.56,81.9,80.18,81.84,899631
2010-01-05,84.76,84.99,80.83,81.37,2044813
2010-01-06,84.12,85.23,83.78,84.74,872931
2010-01-07,85.74,86.49,84.12,84.15,1106840
2010-01-08,86.37,86.49,84.717,85.3,1202066
2010-01-11,85.56,86.97,84.99,86.48,1094510
2010-01-12,83.82,85.66,83.2,84.98,867087
2010-01-13,85.7,85.97,83.76,84.25,827150
2010-01-14,85.11,85.64,84.66,85.16,496859
2010-01-15,83.83,85.53,82.88,84.51,977488
2010-01-18,83.83,85.53,82.88,84.51,0
2010-01-19,84.77,84.94,83.8225,83.9,596002
2010-01-20,86.4,86.51,83.76,84.12,1947921
2010-01-21,84.48,86.95,84.1,86.24,1307101
2010-01-22,82.04,84.99,81.88,84.6,1015436
2010-01-25,82.77,83.42,82.02,82.78,819488
2010-01-26,82.57,83.61,82.05,82.47,666661
2010-01-27,83.01,83.3,81.76,82.41,575191
2010-01-28,81.92,83.51,81.74,83.21,874404
2010-01-29,82.0,84.38,81.73,82.12,1681824
2010-02-01,83.14,83.6699,82.63,82.8,792799
2010-02-02,85.67,86.28,83.03,83.51,1426575
2010-02-03,78.51,81.21,76.9,79.45,7881612
2010-02-04,77.14,78.51,76.88,77.65,2692371
2010-02-05,76.65,77.57,75.06,77.38,3109373
2010-02-08,77.63,78.97,76.1406,76.5,1848458
2010-02-09,78.59,79.44,78.13,78.29,1514237
2010-02-10,77.99,79.4,77.64,78.59,1133233
2010-02-11,79.03,79.34,77.77,77.79,1194006
2010-02-12,78.69,78.78,77.75,78.05,908371
2010-02-15,78.69,78.78,77.75,78.05,0
2010-02-16,79.72,79.77,78.0,79.24,1097362
2010-02-17,80.3,80.72,79.74,79.88,885673
2010-02-18,80.57,80.66,79.56,79.76,562499
2010-02-19,80.6,81.18,80.0,80.48,1146909
2010-02-22,81.31,81.7,80.28,80.75,1112554
2010-02-23,80.28,81.31,79.89,80.96,1174903
2010-02-24,80.15,80.67,79.8701,80.55,1887346
2010-02-25,79.64,79.89,78.73,79.01,1833769
2010-02-26,79.93,80.92,79.3,79.89,1102948
2010-03-01,80.76,81.05,79.16,79.4,740420
2010-03-02,80.63,81.73,80.41,81.35,1398732
2010-03-03,80.35,80.94,80.0201,80.64,834017
2010-03-04,80.99,81.91,80.68,80.88,1528181
2010-03-05,82.63,82.76,81.09,81.43,984465
2010-03-08,82.78,83.74,82.45,82.91,662863
2010-03-09,82.93,83.45,82.19,82.4,704082
2010-03-10,82.35,83.07,81.89,82.69,1066758
2010-03-11,82.67,82.76,81.39,81.75,870057
2010-03-12,82.16,83.17,81.94,83.09,721425
2010-03-15,81.12,82.05,79.92,82.0,1813465
2010-03-16,81.37,81.5,80.69,81.4,671790
2010-03-17,81.99,82.4695,81.27,81.42,608888
2010-03-18,83.32,83.48,81.63,81.91,1050850
2010-03-19,82.86,83.95,82.43,83.43,1049880
2010-03-22,83.86,84.28,81.8609,82.05,676019
2010-03-23,84.9,85.48,84.19,84.33,951473
2010-03-24,84.72,85.15,84.11,84.7,717825
2010-03-25,84.65,85.83,84.57,85.42,671598
2010-03-26,86.07,86.7,84.64,84.64,972611
2010-03-29,85.69,86.67,84.88,86.5,680105
2010-03-30,85.77,86.38,85.22,85.53,443486
2010-03-31,85.04,85.84,84.74,85.3,396499
2010-04-01,86.53,86.83,85.59,85.63,1655851
2010-04-02,86.53,86.83,85.59,85.63,0
2010-04-05,88.14,88.38,86.66,87.01,624128
2010-04-06,88.09,88.22,87.42,87.57,519858
2010-04-07,88.86,89.8435,88.34,88.34,1105364
2010-04-08,88.84,89.21,87.62,88.49,465229
2010-04-09,89.73,89.76,88.4,89.02,430635
2010-04-12,89.47,89.943,88.91,89.75,429149
2010-04-13,90.39,90.89,88.61,89.36,758072
2010-04-14,91.18,91.36,90.08,90.51,1186796
2010-04-15,90.62,91.28,89.97,91.11,740112
2010-04-16,90.01,90.95,89.29,90.44,1225488
2010-04-19,90.76,90.88,88.696,89.51,982071
2010-04-20,91.36,91.8,90.92,90.98,867799
2010-04-21,92.9,93.08,91.14,91.3,795768
2010-04-22,94.94,95.45,91.81,92.19,927587
2010-04-23,95.0,95.5496,94.0,94.8,592237
2010-04-26,94.49,95.59,94.3,94.7,367806
