Date,Close,High,Low,Open,Volume
2010-01-01,46.98,47.68,46.97,47.23,0
2010-01-04,47.73,47.96,47.01,47.61,903966
2010-01-05,47.35,47.82,47.14,47.65,964807
2010-01-06,48.25,48.28,47.23,47.35,893106
2010-01-07,48.78,48.87,47.8,48.22,673731
2010-01-08,49.46,49.51,48.35,48.63,664371
2010-01-11,49.0,49.03,48.24,48.36,1416890
2010-01-12,48.22,48.8,48.014,48.47,1765397
2010-01-13,48.45,48.64,47.97,48.31,777351
2010-01-14,48.6,48.86,48.2,48.2,627376
2010-01-15,47.69,48.53,47.26,48.5,877152
2010-01-18,47.69,48.53,47.26,48.5,0
2010-01-19,49.17,49.17,47.45,47.73,1150661
2010-01-20,48.36,48.5,47.96,48.48,1094241
2010-01-21,47.68,48.7,47.5,48.2,1406307
2010-01-22,46.02,47.57,45.92,47.42,989845
2010-01-25,46.63,46.87,46.09,46.62,687440
2010-01-26,46.16,46.89,45.72,46.34,1920509
2010-01-27,50.84,51.86,49.03,50.25,8160163
2010-01-28,49.94,51.36,49.73,51.09,3285418
2010-01-29,48.24,50.41,48.24,50.2,2637178
2010-02-01,49.75,49.75,48.44,48.46,1364933
2010-02-02,49.68,50.6,49.58,50.0,2382177
2010-02-03,49.23,49.93,48.93,49.59,1512514
2010-02-04,47.91,48.7,47.15,48.7,1962610
2010-02-05,48.51,48.55,47.51,48.0,3071066
2010-02-08,47.71,48.34,47.25,48.2,2015923
2010-02-09,49.5,50.07,48.3,48.89,1899029
2010-02-10,49.71,49.99,48.84,49.27,1867617
2010-02-11,50.72,50.84,49.05,49.44,1303684
2010-02-12,51.43,51.48,49.36,49.74,1826612
2010-02-15,51.43,51.48,49.36,49.74,0
2010-02-16,52.83,53.0,51.72,51.83,1509767
2010-02-17,53.09,53.58,52.86,53.0,1191013
2010-02-18,53.78,53.8,53.01,53.08,726338
2010-02-19,54.31,54.52,53.29,53.52,1207807
2010-02-22,54.04,54.49,53.64,54.38,736984
2010-02-23,53.25,54.2594,52.81,53.97,926754
2010-02-24,53.78,53.8,53.0,53.36,785451
2010-02-25,53.52,53.63,52.11,52.42,1060405
2010-02-26,54.09,54.21,53.24,53.57,790626
2010-03-01,55.13,55.22,54.41,54.43,864229
2010-03-02,55.65,55.91,55.3001,55.5,765693
2010-03-03,55.26,56.14,55.1,55.79,993614
2010-03-04,55.0,55.62,54.855,55.46,684363
2010-03-05,55.98,56.0498,55.31,55.65,2167137
2010-03-08,56.14,56.875,55.95,56.1,1171126
2010-03-09,56.05,56.26,55.71,55.85,804332
2010-03-10,56.16,56.49,55.845,56.03,858432
2010-03-11,55.84,56.05,55.41,56.03,1245898
2010-03-12,55.36,56.09,55.2,56.02,1413685
2010-03-15,54.99,55.47,54.51,55.37,1045438
2010-03-16,55.33,55.5,54.79,55.14,1227931
2010-03-17,55.23,55.82,55.16,55.32,852779
2010-03-18,55.13,55.4,54.94,55.4,797259
2010-03-19,55.37,55.58,54.9,55.24,1766134
2010-03-22,55.86,56.17,54.86,55.07,1201428
2010-03-23,56.78,57.0,55.8,55.92,1914190
2010-03-24,55.82,56.77,55.77,56.67,796504
2010-03-25,55.92,56.7,55.86,56.14,1108305
2010-03-26,55.43,56.65,55.29,56.09,1276566
2010-03-29,55.55,56.105,55.52,55.67,1077982
2010-03-30,56.16,56.5,55.4975,55.74,1120964
2010-03-31,56.36,56.75,55.63,55.83,1057648
2010-04-01,56.64,57.28,56.28,56.55,876599
2010-04-02,56.64,57.28,56.28,56.55,0
2010-04-05,57.32,57.72,56.6,56.75,696342
2010-04-06,58.04,58.05,56.94,57.0,1085521
2010-04-07,57.61,58.06,57.3,57.86,976043
2010-04-08,58.98,59.01,57.27,57.3,1257571
2010-04-09,59.14,59.35,58.86,59.0,842274
2010-04-12,59.61,59.75,59.21,59.29,889180
2010-04-13,59.13,59.68,58.81,59.56,1583928
2010-04-14,60.38,60.41,59.16,59.21,821473
2010-04-15,60.8,60.88,59.94,60.05,824279
2010-04-16,60.01,60.75,59.49,60.72,1287614
2010-04-19,59.27,59.94,58.5775,59.66,998565
2010-04-20,60.69,60.73,59.83,59.88,827882
2010-04-21,60.42,60.83,59.85,60.64,1061422
2010-04-22,62.07,62.2,59.42,59.97,1529944
2010-04-23,62.71,62.72,61.58,62.02,663244
2010-04-26,62.83,63.84,62.7,62.76,662408
2010-04-27,61.27,63.11,61.07,62.57,1094239
2010-04-28,61.17,63.9,61.0,63.81,2339873
2010-04-29,61.9,62.26,61.36,61.89,2015070
2010-04-30,60.72,61.98,60.2308,61.74,2014660
2010-05-03,62.62,62.74,61.18,61.25,841187
2010-05-04,59.93,61.6,59.5,61.17,1261839
2010-05-05,59.55,60.7,58.543,59.45,1345064
2010-05-06,57.35,60.16,53.62,58.97,1896871
2010-05-07,56.54,58.19,55.63,57.0,1724293
2010-05-10,60.04,60.64,58.72,59.87,1760157
2010-05-11,60.08,60.72,58.77,59.0,1332094
2010-05-12,62.38,62.47,60.43,60.52,1105710
2010-05-13,61.15,62.34,60.9,61.56,832699
2010-05-14,59.3,61.0,58.71,60.79,1118341
2010-05-17,59.31,59.83,58.03,59.36,1529184
2010-05-18,57.97,60.26,57.82,59.78,1069754
2010-05-19,56.7,58.05,55.46,57.75,1366839
2010-05-20,52.16,54.62,51.66,54.4,2691222
2010-05-21,53.45,53.72,50.8,50.82,2180384
2010-05-24,52.82,54.08,52.73,53.14,1021980
2010-05-25,51.84,52.02,50.7,51.07,2630249
2010-05-26,52.45,53.67,52.17,52.85,1494068
2010-05-27,54.27,54.28,53.3,53.84,973838
2010-05-28,53.43,54.23,52.9,53.96,987224
2010-05-31,53.43,54.23,52.9,53.96,0
2010-06-01,52.22,53.93,52.15,52.8,776519
2010-06-02,54.1,54.11,51.96,52.41,774052
2010-06-03,54.75,54.88,53.82,54.17,991892
2010-06-04,51.46,53.746,51.05,53.2,1088448
2010-06-07,49.59,51.54,49.5,51.4,1511739
2010-06-08,50.43,50.58,48.87,49.6,1511521
2010-06-09,50.28,51.95,50.18,50.71,1411448
2010-06-10,52.7,52.83,51.27,51.27,1302502
2010-06-11,52.88,53.16,51.99,52.01,1467588
2010-06-14,51.76,53.63,51.57,53.22,1575368
2010-06-15,54.1,54.17,52.16,52.48,1076979
2010-06-16,54.04,54.51,53.56,53.67,658737
2010-06-17,53.82,54.22,53.03,54.22,712155
2010-06-18,53.83,54.08,53.54,53.95,826181
2010-06-21,53.95,55.67,53.501,54.8,950905
2010-06-22,52.21,54.4535,52.07,53.95,834578
2010-06-23,52.01,52.56,51.25,52.05,919110
2010-06-24,50.97,52.09,50.75,51.89,792180
2010-06-25,52.14,52.14,50.4,51.12,3432087
2010-06-28,51.58,52.35,51.28,52.1,993826
2010-06-29,49.11,50.67,48.63,50.6,1745320
2010-06-30,49.09,50.05,48.78,48.87,1605624
2010-07-01,49.08,49.38,47.79,48.99,1426071
2010-07-02,49.37,49.83,49.03,49.2,1731243
2010-07-05,49.37,49.83,49.03,49.2,0
2010-07-06,49.16,50.48,48.63,49.71,1097653
2010-07-07,50.7,50.8,49.14,49.44,1421110
2010-07-08,51.66,51.73,50.81,51.51,688338
2010-07-09,52.02,52.14,51.4,51.79,592825
2010-07-12,51.39,52.1295,51.12,51.65,464549
2010-07-13,52.67,52.93,51.95,52.07,535043
2010-07-14,52.53,52.68,51.82,52.33,797061
2010-07-15,51.82,52.66,51.15,52.62,888374
2010-07-16,50.49,51.53,50.23,51.48,875951
2010-07-19,50.96,51.18,50.05,50.73,626547
2010-07-20,51.74,51.79,49.94,50.11,1076186
2010-07-21,51.45,52.46,51.05,52.16,1028597
2010-07-22,53.23,54.11,52.45,52.45,1278096
2010-07-23,54.57,54.77,53.0,53.12,742548
2010-07-26,55.78,55.81,54.5362,54.67,702716
2010-07-27,55.96,56.49,55.77,56.49,1582504
2010-07-28,54.53,55.42,53.79,55.3,1647359
2010-07-29,54.61,55.43,54.24,55.06,1256152
2010-07-30,54.15,54.65,53.49,53.86,728208
2010-08-02,55.65,55.79,54.59,55.25,946528
2010-08-03,55.32,55.69,54.98,55.31,879284
2010-08-04,55.92,56.0,55.19,55.38,1031604
2010-08-05,56.36,56.8,55.41,55.59,985462
2010-08-06,56.12,56.35,55.07,55.66,672575
2010-08-09,56.73,56.74,55.54,56.25,1044448
2010-08-10,56.52,56.77,55.14,56.11,1022735
2010-08-11,52.51,55.2,52.04,55.2,1818984
2010-08-12,51.36,52.59,50.68,51.09,1571947
2010-08-13,51.47,52.15,51.05,51.05,1406872
2010-08-16,50.9,51.64,50.62,50.83,1232561
2010-08-17,51.84,52.45,51.58,51.75,1683690
2010-08-18,52.5,52.76,51.48,51.71,1593802
2010-08-19,51.06,52.25,50.88,52.07,1831787
2010-08-20,50.57,50.85,49.94,50.66,1129969
2010-08-23,49.86,51.06,49.77,50.82,1204816
2010-08-24,49.35,49.89,48.35,49.24,1688528
2010-08-25,49.88,50.05,48.68,48.7,1653914
2010-08-26,50.77,51.37,50.1004,50.36,2732498
2010-08-27,52.35,52.47,50.1,51.26,1892050
2010-08-30,51.06,52.18,51.06,52.07,1015247
2010-08-31,51.14,51.72,50.34,50.7,1411074
2010-09-01,53.43,53.49,52.08,52.08,1219320
2010-09-02,54.56,54.56,53.41,53.41,1089711
2010-09-03,55.47,55.76,55.06,55.33,794710
2010-09-06,55.47,55.76,55.06,55.33,0
2010-09-07,54.79,55.48,54.67,55.14,637847
2010-09-08,56.37,56.54,54.9,54.9,1411325
2010-09-09,56.19,57.26,55.77,57.23,820229
2010-09-10,57.54,57.765,56.38,56.38,1362052
2010-09-13,59.6,59.75,58.16,58.3,1440014
2010-09-14,59.55,60.14,59.01,59.43,1899339
2010-09-15,59.35,59.52,58.85,59.35,992055
2010-09-16,59.4,59.89,58.89,59.05,725060
2010-09-17,59.95,60.19,59.27,59.54,1146517
2010-09-20,61.17,61.28,59.8,60.18,700819
2010-09-21,60.73,61.45,60.6,61.05,867917
2010-09-22,60.25,61.44,59.9,60.76,794804
2010-09-23,59.74,60.55,59.41,59.5,621809
2010-09-24,61.71,61.99,60.8,60.8,727924
2010-09-27,61.19,61.62,60.98,61.62,431471
2010-09-28,62.22,62.34,60.02,61.18,968768
2010-09-29,62.44,62.71,61.73,61.73,921373
2010-09-30,61.73,63.27,61.29,62.75,937223
2010-10-01,61.87,62.64,60.97,62.06,1137798
2010-10-04,60.87,61.78,60.08,61.78,841924
2010-10-05,62.55,62.87,61.13,61.53,988556
2010-10-06,62.06,62.78,61.63,62.3,836405
2010-10-07,61.93,62.47,61.48,62.47,681684
2010-10-08,62.64,62.98,61.65,61.96,922633
2010-10-11,62.22,62.65,61.96,62.62,703463
2010-10-12,62.07,62.3,61.05,62.11,646678
2010-10-13,62.91,63.18,62.19,62.54,950119
2010-10-14,62.03,63.19,61.7,62.96,902368
2010-10-15,61.92,62.83,61.34,62.73,802679
2010-10-18,62.36,62.52,61.86,61.97,462911
2010-10-19,61.05,62.12,60.6,61.2,940293
2010-10-20,62.16,62.64,60.96,61.24,836641
2010-10-21,63.08,63.25,62.25,62.25,933429
2010-10-22,62.71,63.12,62.3,63.12,393870
2010-10-25,63.84,64.26,63.21,63.41,840659
2010-10-26,63.32,63.79,62.85,63.53,619061
2010-10-27,62.63,62.75,61.65,62.75,777980
2010-10-28,62.25,63.51,61.97,62.89,1074035
2010-10-29,62.37,62.76,61.93,62.06,534721
2010-11-01,63.28,63.52,62.65,62.89,745053
2010-11-02,64.58,64.61,63.65,64.03,958771
2010-11-03,64.91,64.97,63.99,64.7,729374
2010-11-04,66.37,66.53,65.3,65.99,1125889
2010-11-05,66.47,66.86,66.27,66.3,688541
2010-11-08,66.33,66.72,65.9,66.17,764469
2010-11-09,65.01,67.75,64.62,67.08,2110660
2010-11-10,65.99,66.35,63.67,64.77,1763256
2010-11-11,65.84,66.29,64.75,65.22,966752
2010-11-12,64.7,65.78,64.36,65.1,753673
2010-11-15,64.68,65.52,64.16,64.97,910863
2010-11-16,63.72,64.43,63.07,63.9,917296
2010-11-17,63.81,64.21,63.0,63.7,796781
2010-11-18,65.9,66.27,64.71,64.81,1034408
2010-11-19,66.22,66.26,65.3893,65.72,682738
2010-11-22,66.95,67.16,65.32,65.88,908628
2010-11-23,65.86,66.27,65.47,65.9,722505
2010-11-24,67.3,67.48,65.98,66.24,852615
2010-11-25,67.3,67.48,65.98,66.24,0
2010-11-26,67.09,67.46,66.25,66.47,324834
2010-11-29,66.52,66.68,65.58,66.62,688910
2010-11-30,66.12,66.51,64.92,65.58,980127
2010-12-01,67.61,68.01,66.84,67.38,901122
2010-12-02,68.45,68.64,67.27,67.39,734898
2010-12-03,68.39,68.45,67.54,67.9,538625
2010-12-06,68.76,68.99,67.88,68.01,654372
2010-12-07,69.57,70.16,69.27,69.45,857153
2010-12-08,68.98,69.79,68.56,69.59,568215
2010-12-09,69.57,70.0,69.17,69.35,726044
2010-12-10,70.7,70.9,69.69,69.83,726444
2010-12-13,71.26,71.59,70.6,70.98,1247718
2010-12-14,71.87,72.2901,71.43,71.47,1183060
2010-12-15,71.16,72.59,71.15,71.91,861327
2010-12-16,72.05,72.06,70.75,71.3,845804
2010-12-17,72.06,72.3025,71.75,71.97,874489
2010-12-20,71.91,72.4,71.66,72.25,644510
2010-12-21,72.4,72.49,71.91,72.09,653304
2010-12-22,72.45,72.75,72.03,72.61,512344
2010-12-23,71.79,72.34,71.64,72.34,385703
2010-12-24,71.79,72.34,71.64,72.34,0
2010-12-27,72.34,72.59,71.35,71.52,354199
2010-12-28,72.17,72.58,71.7,72.4,259699
2010-12-29,71.89,72.39,71.89,72.24,277188
2010-12-30,71.9,72.4,71.71,71.81,238660
2010-12-31,71.71,72.12,71.59,71.78,302506
2011-01-03,75.11,76.14,72.41,72.41,2600757
2011-01-04,73.64,75.59,72.824,75.27,1925588
2011-01-05,73.84,74.62,73.29,73.3,1174432
2011-01-06,73.05,73.95,72.71,73.77,797453
2011-01-07,72.46,73.54,72.12,73.25,797646
2011-01-10,72.4,72.64,71.9,72.38,1455073
2011-01-11,72.17,73.17,71.97,72.76,1314442
2011-01-12,72.75,72.87,71.79,72.25,1704383
2011-01-13,72.94,73.49,72.59,72.86,1178109
2011-01-14,73.0,73.45,72.67,72.88,1354848
2011-01-17,73.0,73.45,72.67,72.88,0
2011-01-18,74.46,74.61,73.01,73.05,903583
2011-01-19,74.19,74.49,73.85,74.22,1367299
2011-01-20,75.6,75.64,73.19,74.08,3972801
2011-01-21,74.42,77.39,74.25,76.05,2075610
2011-01-24,74.73,75.11,73.85,74.52,1498703
2011-01-25,74.69,75.27,73.59,74.67,1608029
2011-01-26,81.31,82.97,79.37,80.94,6058246
2011-01-27,82.7,82.95,80.69,81.11,2256923
2011-01-28,80.34,81.91,79.65,80.53,2218696
2011-01-31,81.01,81.26,79.52,79.52,1558566
2011-02-01,82.26,82.28,80.66,81.4,1675307
2011-02-02,82.94,83.13,81.46,81.96,1730861
2011-02-03,82.65,82.94,81.98,82.46,1046002
