Date,Close,High,Low,Open,Volume
2010-01-01,52.37,53.39,52.36,53.17,0
2010-01-04,52.54,53.24,52.38,53.02,927896
2010-01-05,51.87,52.59,51.62,52.59,1102411
2010-01-06,52.27,52.3,51.43,51.66,1099787
2010-01-07,52.07,52.24,51.11,51.39,1394192
2010-01-08,52.44,52.51,51.7,52.05,720338
2010-01-11,52.66,53.07,52.3,52.66,506945
2010-01-12,52.62,52.8,52.24,52.24,773404
2010-01-13,52.43,52.71,51.86,52.59,575214
2010-01-14,52.5,52.58,51.95,52.14,540609
2010-01-15,51.71,52.45,51.48,52.4,403821
2010-01-18,51.71,52.45,51.48,52.4,0
2010-01-19,53.84,54.18,53.22,53.33,1100796
2010-01-20,53.3,53.94,52.42,53.28,819531
2010-01-21,52.26,53.32,52.24,53.03,566139
2010-01-22,51.11,52.23,51.05,51.9,761197
2010-01-25,51.26,51.84,51.0,51.57,446296
2010-01-26,51.0,51.93,50.95,51.27,480643
2010-01-27,50.67,51.03,49.84,50.82,506854
2010-01-28,50.35,50.83,49.9,50.68,337665
2010-01-29,50.08,51.27,50.03,50.61,675353
2010-02-01,50.49,50.8,50.23,50.31,493020
2010-02-02,51.39,51.48,50.64,50.71,690615
2010-02-03,53.6,54.2,53.06,53.98,1381346
2010-02-04,53.08,53.92,52.74,52.99,1150113
2010-02-05,52.52,53.29,51.24,52.99,811052
2010-02-08,51.8,52.6,51.72,52.45,460289
2010-02-09,52.24,52.91,51.815,52.2,746944
2010-02-10,51.75,52.33,51.01,51.99,662677
2010-02-11,52.96,53.03,51.12,51.53,794053
2010-02-12,52.9,52.96,51.79,52.1,1039184
2010-02-15,52.9,52.96,51.79,52.1,0
2010-02-16,53.84,53.9,53.05,53.31,479718
2010-02-17,53.91,54.42,53.61,54.35,433052
2010-02-18,54.84,54.93,53.72,53.72,489345
2010-02-19,55.52,56.11,54.61,54.66,1144973
2010-02-22,55.2,56.03,54.99,55.77,735527
2010-02-23,54.48,55.22,54.17,55.13,514650
2010-02-24,55.06,55.11,54.44,54.53,700881
2010-02-25,54.82,54.95,53.7,54.3,580397
2010-02-26,55.44,55.63,54.13,54.86,855490
2010-03-01,55.7,55.96,55.41,55.59,531441
2010-03-02,55.69,56.1,55.57,55.85,408257
2010-03-03,55.76,56.295,55.72,56.02,678682
2010-03-04,55.7,55.98,55.41,55.72,343218
2010-03-05,56.4,56.5,55.78,56.03,336573
2010-03-08,56.77,56.975,56.16,56.22,607301
2010-03-09,56.68,57.0,56.36,56.5,540355
2010-03-10,56.94,57.08,56.52,56.55,501815
2010-03-11,57.66,57.67,56.37,56.73,831847
2010-03-12,58.05,58.06,57.25,58.06,491899
2010-03-15,57.25,58.24,56.99,58.09,1081693
2010-03-16,57.91,57.98,57.31,57.41,445181
2010-03-17,58.34,58.46,57.91,57.95,462813
2010-03-18,57.8,58.42,57.64,58.34,463790
2010-03-19,57.26,58.22,57.12,57.92,1092247
2010-03-22,57.49,57.85,56.96,57.1,459173
2010-03-23,57.92,57.99,57.3,57.5,329140
2010-03-24,57.3,58.06,57.2,57.83,340108
2010-03-25,56.85,57.64,56.75,57.59,316436
2010-03-26,56.87,57.46,56.66,56.94,321193
2010-03-29,56.96,57.09,56.3,57.01,578372
2010-03-30,57.75,58.26,56.87,57.04,775427
2010-03-31,57.84,58.25,57.48,57.48,520065
2010-04-01,58.6,58.6,58.04,58.04,514777
2010-04-02,58.6,58.6,58.04,58.04,0
2010-04-05,58.97,59.29,58.69,58.87,373826
2010-04-06,59.47,59.52,58.4,58.66,545486
2010-04-07,59.52,59.85,58.9,59.15,672328
2010-04-08,60.05,60.23,59.21,59.47,653270
2010-04-09,60.38,60.47,59.83,60.1,398972
2010-04-12,60.87,60.98,60.4,60.52,469683
2010-04-13,60.97,61.04,60.36,60.69,428837
2010-04-14,61.41,61.42,60.69,61.13,543508
2010-04-15,61.68,61.71,60.98,61.15,450618
2010-04-16,60.8,61.5,60.36,61.21,488987
2010-04-19,60.65,60.88,59.96,60.68,394094
2010-04-20,61.29,61.42,60.85,61.12,336046
2010-04-21,61.49,61.61,60.96,61.22,339492
2010-04-22,62.46,62.63,60.8,61.18,512700
2010-04-23,63.91,63.95,61.885,62.17,705640
2010-04-26,61.03,63.5,60.71,63.5,1325251
2010-04-27,61.02,62.71,60.86,61.04,854885
2010-04-28,60.56,61.46,60.33,61.26,681565
2010-04-29,62.41,62.6,60.88,61.17,882005
2010-04-30,61.02,62.84,60.92,62.48,688426
2010-05-03,62.35,62.38,61.15,61.15,364459
2010-05-04,60.53,61.48,60.12,61.21,523101
2010-05-05,59.98,60.32,59.53,60.06,737742
2010-05-06,57.98,60.56,55.08,59.81,1012771
2010-05-07,57.48,59.0,56.71,57.65,1310423
2010-05-10,61.08,61.3,59.22,60.21,735315
2010-05-11,60.65,61.3,60.19,60.58,608737
2010-05-12,61.94,61.99,60.79,60.86,490443
2010-05-13,61.58,62.25,61.43,61.72,287487
2010-05-14,60.3,61.33,59.64,61.26,461113
2010-05-17,60.75,61.365,59.85,60.55,866036
2010-05-18,60.16,61.68,60.1,61.43,627823
2010-05-19,59.12,60.49,57.98,59.84,890117
2010-05-20,56.85,58.23,56.8,57.68,844987
2010-05-21,58.04,58.29,56.05,56.51,913180
2010-05-24,57.29,58.08,57.26,57.66,696799
2010-05-25,56.74,56.74,54.91,55.77,838447
2010-05-26,56.9,57.91,56.72,56.8,665077
2010-05-27,58.87,58.87,57.74,57.89,510483
2010-05-28,58.02,58.89,57.51,58.73,778423
2010-05-31,58.02,58.89,57.51,58.73,0
2010-06-01,56.62,57.98,56.62,57.38,673459
2010-06-02,58.42,58.47,56.41,56.73,646512
2010-06-03,59.19,59.27,58.41,58.68,612689
2010-06-04,56.52,58.45,56.32,58.12,587852
2010-06-07,55.47,56.8,55.4,56.67,709816
2010-06-08,55.95,56.06,54.88,55.43,569465
2010-06-09,56.1,57.07,55.88,56.29,554818
2010-06-10,58.1,58.13,57.04,57.13,495606
2010-06-11,58.28,58.35,57.41,57.41,295166
2010-06-14,58.86,59.45,58.53,58.53,832866
2010-06-15,60.44,60.52,58.97,59.1,430008
2010-06-16,60.18,60.55,59.93,59.97,633249
2010-06-17,60.42,60.49,59.61,60.25,319909
2010-06-18,60.62,60.86,59.82,60.61,474907
2010-06-21,60.3,61.47,60.05,61.19,389825
2010-06-22,59.05,60.97,58.97,60.43,411208
2010-06-23,59.21,59.64,58.43,59.28,397973
2010-06-24,57.94,59.24,57.84,58.99,364678
2010-06-25,57.97,58.17,57.2,57.92,1051893
2010-06-28,57.85,58.49,57.45,58.18,470726
2010-06-29,55.84,57.12,55.48,57.0,665648
2010-06-30,55.96,56.97,55.42,55.58,823725
2010-07-01,55.07,56.02,54.25,55.9,964680
2010-07-02,54.78,55.44,54.37,55.23,722371
2010-07-05,54.78,55.44,54.37,55.23,0
2010-07-06,54.79,55.82,54.2101,55.39,507843
2010-07-07,56.11,56.11,54.58,54.72,593126
2010-07-08,56.76,56.85,55.99,56.52,536673
2010-07-09,56.9,57.1199,56.52,56.88,470170
2010-07-12,56.58,56.9,56.1,56.62,288132
2010-07-13,57.88,58.14,57.06,57.22,342812
2010-07-14,58.3,58.406,57.51,57.58,490242
2010-07-15,58.49,58.61,57.22,58.19,491740
2010-07-16,56.93,58.16,56.76,58.16,511387
2010-07-19,57.21,57.33,56.47,57.03,208356
2010-07-20,58.15,58.27,56.45,56.64,290713
2010-07-21,58.32,58.93,58.0303,58.64,956233
2010-07-22,60.12,60.36,59.0,59.17,757496
2010-07-23,62.01,62.31,59.96,60.08,980882
2010-07-26,63.49,65.1709,62.015,62.14,1445399
2010-07-27,62.83,65.765,62.69,64.22,1072959
2010-07-28,62.12,62.92,61.83,62.77,657931
2010-07-29,62.08,62.75,61.41,62.7,498800
2010-07-30,62.5,62.83,60.92,61.28,537806
2010-08-02,63.02,63.505,62.72,63.29,538938
2010-08-03,63.5,63.94,62.54,62.97,706888
2010-08-04,63.58,64.0,63.32,63.49,610538
2010-08-05,63.43,63.85,63.06,63.07,304816
2010-08-06,63.13,63.31,62.21,62.73,269346
2010-08-09,63.73,63.87,63.22,63.52,160679
2010-08-10,62.86,63.327,62.4,63.27,259840
2010-08-11,60.5,61.75,60.22,61.75,694058
2010-08-12,60.15,60.44,59.34,59.49,369218
2010-08-13,59.42,59.98,59.28,59.86,448745
2010-08-16,59.8,60.05,58.71,59.03,619709
2010-08-17,60.97,61.25,60.03,60.28,524506
2010-08-18,60.83,61.3,60.31,60.82,422789
2010-08-19,59.55,60.62,59.25,60.39,449028
2010-08-20,59.46,59.54,58.54,58.98,504260
