Date,Close,High,Low,Open,Volume
2010-01-01,28.31,28.56,28.28,28.47,0
2010-01-04,28.68,28.78,28.37,28.58,1425461
2010-01-05,28.72,28.72,28.49,28.64,1204479
2010-01-06,28.94,28.97,28.52,28.65,1833386
2010-01-07,28.89,29.05,28.67,28.86,1648351
2010-01-08,28.93,28.99,28.48,28.79,1375308
2010-01-11,28.92,29.43,28.78,29.15,2301541
2010-01-12,28.88,28.91,28.54,28.8,1279882
2010-01-13,29.28,29.34,28.88,28.96,1198288
2010-01-14,29.22,29.3,28.99,29.2,1439633
2010-01-15,28.38,29.26,28.36,29.21,2361724
2010-01-18,28.38,29.26,28.36,29.21,0
2010-01-19,28.59,28.68,28.33,28.35,1575726
2010-01-20,28.31,28.36,28.0,28.33,1295347
2010-01-21,28.2,29.01,28.11,28.51,2566030
2010-01-22,27.58,28.28,27.54,28.0,2158763
2010-01-25,27.43,27.83,27.11,27.7,2386559
2010-01-26,26.95,27.36,26.93,27.27,2258791
2010-01-27,27.04,27.0925,26.62,26.87,1682631
2010-01-28,26.9,27.1,26.5,27.09,2021694
2010-01-29,26.79,27.2,26.695,27.11,1844549
2010-02-01,27.0,27.08,26.59,26.82,1131362
2010-02-02,27.02,27.19,26.8,26.92,2238830
2010-02-03,26.75,27.03,26.6,26.88,2030192
2010-02-04,25.92,26.64,25.88,26.54,3138435
2010-02-05,25.68,26.19,25.15,25.86,3907951
2010-02-08,25.62,25.96,25.41,25.68,1832150
2010-02-09,25.87,26.14,25.63,25.84,1957461
2010-02-10,25.89,26.01,25.56,25.8,1842708
2010-02-11,26.22,26.28,25.5,25.75,2677458
2010-02-12,26.03,26.45,25.5,26.45,5628364
2010-02-15,26.03,26.45,25.5,26.45,0
2010-02-16,27.02,27.29,26.21,26.26,4363522
2010-02-17,27.42,27.6,27.1,27.27,2343467
2010-02-18,27.63,27.71,27.34,27.48,2154529
2010-02-19,28.08,28.27,27.47,27.61,2898606
2010-02-22,28.0,28.34,27.92,28.34,2257013
2010-02-23,27.66,28.15,27.58,27.91,2165446
2010-02-24,28.06,28.07,27.47,27.81,1845826
2010-02-25,28.14,28.15,27.56,27.7,2182309
2010-02-26,28.14,28.44,28.11,28.24,1711128
2010-03-01,28.89,28.91,28.32,28.33,1716436
2010-03-02,29.31,29.34,29.01,29.14,2362397
2010-03-03,29.23,29.44,29.01,29.3,1505751
2010-03-04,29.07,29.26,28.87,29.17,1680142
2010-03-05,29.51,29.55,29.2,29.31,2738694
2010-03-08,29.24,29.54,29.16,29.5,1474440
2010-03-09,29.0,29.27,28.88,29.12,2319645
2010-03-10,28.72,29.12,28.48,28.93,4380324
2010-03-11,28.8,28.835,28.43,28.58,2608242
2010-03-12,28.71,29.01,28.69,28.83,2354960
2010-03-15,29.04,29.06,28.64,28.74,2382387
2010-03-16,28.84,29.09,28.705,29.04,2965839
2010-03-17,28.84,29.04,28.72,28.85,2725076
2010-03-18,28.85,28.96,28.75,28.91,2450415
2010-03-19,28.55,29.0,28.39,28.91,3504953
2010-03-22,28.55,28.63,28.322,28.48,2848525
2010-03-23,28.88,29.0,28.48,28.56,2448251
2010-03-24,28.84,29.0,28.67,28.86,2735937
2010-03-25,28.76,29.06,28.73,28.99,2519211
2010-03-26,28.97,29.03,28.68,28.77,2710272
2010-03-29,29.22,29.25,28.98,29.0,3546091
2010-03-30,29.13,29.25,29.0075,29.05,1625318
2010-03-31,29.02,29.16,28.79,29.02,2306653
2010-04-01,29.18,29.49,29.03,29.21,1587631
2010-04-02,29.18,29.49,29.03,29.21,0
2010-04-05,29.39,29.5,29.18,29.32,1499651
2010-04-06,29.75,29.76,29.28,29.39,1709006
2010-04-07,29.68,29.79,29.48,29.58,1774663
2010-04-08,29.79,29.84,29.53,29.65,1848487
2010-04-09,29.95,29.95,29.695,29.86,1709537
2010-04-12,29.99,30.07,29.87,30.07,1852859
2010-04-13,29.94,30.0,29.66,30.0,1952337
2010-04-14,30.12,30.23,29.76,30.0,3412040
2010-04-15,30.69,30.81,30.07,30.28,3530080
2010-04-16,30.38,30.91,30.26,30.6,3472766
2010-04-19,30.29,30.45,29.91,30.36,1925913
2010-04-20,30.49,30.58,30.28,30.53,2481657
2010-04-21,30.44,30.61,30.25,30.5,2106158
2010-04-22,30.28,30.34,29.96,30.25,2301702
2010-04-23,30.27,30.52,29.99,30.22,3829632
2010-04-26,30.59,30.77,30.27,30.3,2319091
2010-04-27,29.62,30.39,29.56,30.3,3804599
2010-04-28,29.8,30.0,29.58,29.8,1868413
2010-04-29,30.17,30.28,29.8,29.99,3131142
2010-04-30,31.03,31.47,30.31,30.99,5158489
2010-05-03,31.58,31.6,31.01,31.24,3606484
2010-05-04,30.14,31.32,30.0,31.28,4088678
2010-05-05,29.95,30.22,29.65,30.0,2316455
2010-05-06,29.08,30.155,27.68,29.91,4698537
2010-05-07,28.95,29.37,28.53,28.89,5331392
2010-05-10,30.0,30.28,29.77,30.02,2906344
2010-05-11,29.99,30.42,29.77,29.86,2634117
2010-05-12,30.36,30.38,29.9,30.0,2013716
2010-05-13,30.1,30.31,29.95,30.25,3328364
2010-05-14,29.58,29.95,29.23,29.94,2763264
2010-05-17,29.79,29.885,29.32,29.65,4193234
2010-05-18,29.75,30.22,29.64,30.07,3818681
2010-05-19,29.41,29.72,29.23,29.56,2764344
2010-05-20,28.25,29.02,28.25,28.91,4101158
2010-05-21,28.65,28.73,27.72,27.78,4421851
2010-05-24,28.27,28.64,28.26,28.33,2183388
2010-05-25,28.46,28.47,27.65,27.91,3736378
2010-05-26,28.32,28.76,28.255,28.51,3410680
2010-05-27,29.25,29.25,28.715,28.83,2952170
2010-05-28,29.12,29.37,28.85,29.27,1807227
2010-05-31,29.12,29.37,28.85,29.27,0
2010-06-01,29.05,29.37,28.68,28.82,3652533
2010-06-02,29.68,29.68,28.9201,29.1,2482831
2010-06-03,29.96,29.99,29.66,29.79,1861055
2010-06-04,28.51,29.58,28.39,29.56,3147531
2010-06-07,28.07,28.64,28.02,28.59,2567822
2010-06-08,28.94,29.0,28.04,28.1,4837579
2010-06-09,29.6,29.86,29.14,29.19,4202209
2010-06-10,30.65,30.67,29.92,30.07,2925535
2010-06-11,30.67,30.67,30.21,30.27,2515728
2010-06-14,30.84,31.09,30.71,30.71,2879344
2010-06-15,31.29,31.31,30.86,31.11,2934303
2010-06-16,31.3,31.36,31.03,31.19,2270603
2010-06-17,31.54,31.54,31.02,31.4,2451512
2010-06-18,31.52,31.74,31.35,31.62,2576447
2010-06-21,31.29,31.92,31.07,31.77,1985629
2010-06-22,30.6,31.48,30.56,31.4,2270890
2010-06-23,30.63,30.83,30.36,30.62,1811493
2010-06-24,30.34,30.85,30.29,30.6,2405533
2010-06-25,30.97,30.98,30.02,30.37,3668305
2010-06-28,30.89,31.2,30.7,31.08,1937309
2010-06-29,29.56,30.45,29.36,30.45,2307558
2010-06-30,29.73,30.19,29.37,29.55,2771869
2010-07-01,29.53,29.94,29.0,29.9,3637427
2010-07-02,29.26,29.74,29.14,29.63,1859842
2010-07-05,29.26,29.74,29.14,29.63,0
2010-07-06,29.44,29.93,29.21,29.5,2736067
2010-07-07,30.12,30.19,29.11,29.42,3717682
2010-07-08,30.53,30.55,30.24,30.28,1808784
