Date,Close,High,Low,Open,Volume
2010-01-01,51.52,52.48,51.52,52.09,0
2010-01-04,52.21,52.25,51.7,51.92,1896963
2010-01-05,51.45,52.29,51.22,52.22,3721377
2010-01-06,50.73,51.6,50.59,51.37,3688094
2010-01-07,51.35,51.62,50.53,50.78,4251326
2010-01-08,52.45,52.48,51.13,51.13,2501931
2010-01-11,53.0,53.03,52.435,52.5,2417248
2010-01-12,53.0,53.01,52.25,52.73,2525457
2010-01-13,53.74,53.89,52.927,53.11,2072207
2010-01-14,54.39,54.42,53.52,53.8,2846023
2010-01-15,53.98,54.26,53.66,54.18,2657527
2010-01-18,53.98,54.26,53.66,54.18,0
2010-01-19,54.71,54.72,53.15,53.85,2828685
2010-01-20,54.48,54.53,53.73,54.32,2881896
2010-01-21,53.64,54.87,53.43,54.45,3066742
2010-01-22,53.01,53.99,52.95,53.48,1876632
2010-01-25,53.21,53.7,52.88,53.37,1658972
2010-01-26,53.47,53.94,52.97,53.2,2576645
2010-01-27,53.46,53.63,52.65,53.52,3198061
2010-01-28,52.7,53.6,51.72,53.41,5129142
2010-01-29,52.43,52.97,52.25,52.97,3637566
2010-02-01,52.96,52.96,52.14,52.46,2724074
2010-02-02,54.69,54.82,52.68,53.14,4119053
2010-02-03,54.82,55.0,54.4,54.4,2847387
2010-02-04,53.89,54.73,53.86,54.65,3581392
2010-02-05,53.41,54.33,52.56,53.81,3117657
2010-02-08,52.79,53.73,52.79,53.5,2253280
2010-02-09,53.41,53.97,52.95,53.24,2635440
2010-02-10,53.51,53.83,53.27,53.35,2240339
2010-02-11,53.66,53.8,53.1,53.36,2152355
2010-02-12,53.4,53.61,52.92,53.24,2807076
2010-02-15,53.4,53.61,52.92,53.24,0
2010-02-16,54.5,54.57,53.14,53.28,3270010
2010-02-17,54.52,54.81,53.92,54.48,2557557
2010-02-18,55.36,55.63,54.22,54.36,4478563
2010-02-19,55.54,55.65,54.96,55.3,3963310
2010-02-22,55.85,56.2,55.54,55.7,2540229
2010-02-23,55.51,56.3,55.49,55.79,2028674
2010-02-24,56.17,56.61,55.72,55.82,2145828
2010-02-25,55.85,55.9,55.07,55.34,2123146
2010-02-26,56.24,56.86,55.99,56.35,3053152
2010-03-01,56.79,57.05,56.35,56.51,1719058
2010-03-02,56.86,57.22,56.58,57.08,1889701
2010-03-03,56.48,57.0,56.43,56.79,1516079
2010-03-04,56.73,56.94,56.48,56.56,1600140
2010-03-05,57.11,57.32,56.75,56.75,2189179
2010-03-08,57.07,57.32,56.94,57.1,1615357
2010-03-09,57.1,57.2,56.93,57.09,1901790
2010-03-10,57.1,57.21,56.84,56.99,1561965
2010-03-11,56.99,57.02,56.09,56.81,1859541
2010-03-12,56.68,57.05,56.28,56.95,2099330
2010-03-15,56.56,56.74,56.0,56.51,2360375
2010-03-16,56.81,56.97,56.62,56.94,3890465
2010-03-17,56.84,56.9172,56.51,56.72,1539365
2010-03-18,56.84,57.07,56.69,56.82,2706634
2010-03-19,56.87,57.08,56.48,56.91,3675141
2010-03-22,57.09,57.09,56.5,56.63,2538933
2010-03-23,57.25,57.32,56.97,57.05,2445256
2010-03-24,57.11,57.44,56.99,57.16,2236255
2010-03-25,57.26,58.3,57.03,58.0,4935361
2010-03-26,57.29,57.57,57.1,57.29,3136030
2010-03-29,57.67,57.74,57.16,57.3,2173105
2010-03-30,57.45,57.82,57.11,57.73,1485202
2010-03-31,57.12,57.46,56.86,57.22,1736251
2010-04-01,56.92,57.417,56.56,57.05,1928577
2010-04-02,56.92,57.417,56.56,57.05,0
2010-04-05,57.55,57.67,57.11,57.23,1738917
2010-04-06,57.07,57.42,56.88,57.37,1531681
2010-04-07,56.81,57.34,56.75,56.91,2276949
2010-04-08,56.77,57.06,56.67,56.82,1901123
2010-04-09,57.53,57.58,56.79,56.82,1629819
2010-04-12,57.43,57.85,57.32,57.4,1346060
2010-04-13,58.13,58.25,57.19,57.29,2555975
2010-04-14,58.2,58.26,57.64,58.16,2888712
2010-04-15,58.76,58.86,57.93,58.03,2263582
2010-04-16,58.32,58.8698,57.76,58.6,3163924
2010-04-19,58.61,58.67,58.0,58.22,2231227
2010-04-20,59.32,59.475,58.74,58.86,2188461
2010-04-21,60.01,60.1,59.398,59.41,2251648
2010-04-22,59.54,60.0,58.99,59.73,4045838
2010-04-23,59.72,59.92,59.07,59.46,2226090
2010-04-26,59.35,59.89,59.02,59.57,2688306
2010-04-27,57.59,59.44,57.47,59.11,3443403
2010-04-28,58.26,58.31,57.4,57.7,3112910
2010-04-29,59.37,59.47,58.46,58.72,2795590
2010-04-30,58.29,59.75,58.29,59.64,2623114
2010-05-03,59.53,59.74,58.51,58.58,1953934
2010-05-04,58.62,59.14,57.93,59.11,3123044
2010-05-05,58.22,58.89,57.85,58.44,2611417
2010-05-06,56.6,58.32,53.04,58.07,4135882
2010-05-07,55.17,56.7499,54.92,56.3,4165037
2010-05-10,56.59,57.27,55.67,56.9,5169312
2010-05-11,57.46,58.07,55.875,55.99,3867047
2010-05-12,58.0,58.11,57.31,57.43,2086510
2010-05-13,56.85,57.99,56.73,57.98,2469170
2010-05-14,56.32,56.67,55.76,56.57,2549402
2010-05-17,56.63,57.0,55.79,56.81,2787718
2010-05-18,55.44,57.25,55.41,57.0,3661442
2010-05-19,55.18,55.66,54.5,55.33,2569923
2010-05-20,53.26,54.52,53.179,54.25,3748553
2010-05-21,53.7,53.87,52.26,52.3,3953501
2010-05-24,52.65,53.6,52.62,53.6,2469710
2010-05-25,52.28,52.4,51.09,51.38,3608534
2010-05-26,51.53,52.65,51.44,52.45,3973044
2010-05-27,52.64,52.67,51.76,52.44,3038158
2010-05-28,52.41,52.91,52.15,52.58,3300842
2010-05-31,52.41,52.91,52.15,52.58,0
2010-06-01,51.95,53.04,51.93,52.1,2928869
2010-06-02,52.94,52.96,51.91,52.06,2941212
2010-06-03,53.08,53.56,52.77,52.99,2344285
2010-06-04,51.47,52.52,51.3,52.37,3076628
2010-06-07,50.72,51.68,50.7,51.68,3213893
2010-06-08,50.47,51.05,49.74,50.7,3718963
2010-06-09,50.51,51.34,50.35,50.81,3202926
2010-06-10,51.5,51.73,50.86,51.26,2695623
2010-06-11,51.71,51.76,50.66,50.99,1718519
2010-06-14,51.4,52.27,51.36,52.01,2139099
2010-06-15,53.13,53.13,51.84,51.84,2340854
2010-06-16,52.85,53.21,52.7,52.79,2565014
2010-06-17,53.1,53.16,52.39,53.1,1827542
2010-06-18,53.25,53.33,52.765,53.15,2398595
2010-06-21,53.19,53.76,52.92,53.58,2051104
2010-06-22,52.18,53.47,52.07,53.02,1649951
2010-06-23,51.96,52.42,51.41,52.12,2344378
2010-06-24,50.8,51.98,50.64,51.71,2266098
2010-06-25,50.38,51.0,50.05,50.75,5923793
2010-06-28,50.59,51.02,50.17,50.53,1992391
2010-06-29,48.75,50.05,48.42,49.89,2741796
2010-06-30,48.39,49.04,48.31,48.77,3156096
2010-07-01,47.73,48.01,47.19,47.85,2931363
2010-07-02,47.58,48.15,47.26,47.91,1986208
2010-07-05,47.58,48.15,47.26,47.91,0
2010-07-06,47.47,48.18,47.02,47.99,2191283
2010-07-07,48.81,48.86,47.36,47.46,2002555
2010-07-08,49.5,49.59,48.85,49.02,1997284
2010-07-09,48.81,49.58,48.495,49.56,1939926
2010-07-12,48.1,48.71,47.965,48.52,1751709
2010-07-13,48.33,48.78,48.08,48.4,3445364
2010-07-14,48.57,48.86,47.91,48.53,2564040
2010-07-15,49.02,49.3,48.26,49.07,3227024
2010-07-16,47.73,49.315,47.68,48.83,2635978
2010-07-19,48.03,48.4,47.76,48.07,2209886
2010-07-20,48.45,48.56,47.09,47.51,2497265
2010-07-21,48.14,48.86,47.85,48.86,2012946
2010-07-22,48.69,48.99,48.2,48.58,3293620
2010-07-23,49.06,49.31,48.5,48.85,3646639
2010-07-26,49.64,50.0,49.26,49.27,3019460
2010-07-27,48.31,49.59,48.12,49.33,4526052
2010-07-28,48.27,48.6,48.17,48.26,3404487
2010-07-29,46.67,47.97,46.64,47.22,5095086
2010-07-30,46.27,46.61,46.0,46.31,4344304
2010-08-02,46.89,46.99,46.15,46.98,3391227
2010-08-03,45.99,46.88,45.9,46.67,4405908
2010-08-04,46.34,46.48,45.83,46.05,3410919
2010-08-05,46.43,46.85,45.95,46.17,3354041
2010-08-06,46.14,46.47,45.8,45.98,2731687
2010-08-09,46.45,46.75,46.32,46.4,2243715
2010-08-10,46.3,46.53,45.64,46.13,3170248
2010-08-11,44.93,45.83,44.74,45.74,2701393
2010-08-12,44.59,44.83,44.23,44.53,2812817
2010-08-13,44.74,45.185,44.49,44.49,2134274
2010-08-16,44.76,45.07,44.24,44.47,2675574
2010-08-17,45.46,45.8,44.95,45.15,2933462
2010-08-18,45.23,45.49,45.06,45.49,3857017
2010-08-19,44.01,44.93,43.8901,44.93,3560556
2010-08-20,43.75,43.88,43.16,43.62,4071643
2010-08-23,43.49,44.37,43.44,43.84,3026743
2010-08-24,43.26,43.5475,42.65,43.18,4485312
2010-08-25,43.21,43.371,42.7,42.88,7247673
2010-08-26,43.25,43.67,43.11,43.3,3531150
2010-08-27,44.23,44.32,43.23,43.44,4494181
2010-08-30,44.2,44.66,44.18,44.66,3868155
2010-08-31,43.92,44.38,43.8,43.92,4756117
2010-09-01,45.06,45.46,44.31,44.5,3837714
2010-09-02,45.66,45.77,45.0,45.06,2854447
2010-09-03,45.67,46.21,45.45,46.0,2522662
2010-09-06,45.67,46.21,45.45,46.0,0
2010-09-07,45.68,46.26,45.4,46.26,3350173
2010-09-08,45.32,45.43,44.8,45.38,3709376
2010-09-09,45.47,45.96,45.11,45.88,2272703
2010-09-10,46.69,46.74,45.51,45.51,3675353
2010-09-13,46.5,47.66,46.3,47.4,3353077
2010-09-14,46.21,46.5,46.0,46.38,2222258
2010-09-15,45.84,46.16,45.45,46.0,2326236
2010-09-16,45.72,45.9,45.51,45.64,1765121
2010-09-17,45.89,46.16,45.52,45.94,2977868
2010-09-20,46.96,47.06,45.89,45.95,2602260
2010-09-21,46.29,47.17,46.28,46.85,3923397
2010-09-22,45.84,46.59,45.81,46.29,2640257
2010-09-23,45.01,45.59,44.93,45.5,2790655
2010-09-24,45.87,45.94,45.2,45.43,2623008
2010-09-27,45.37,46.23,45.21,46.13,3437179
2010-09-28,45.77,45.85,44.88,45.48,3014005
2010-09-29,45.54,45.63,45.12,45.56,3613659
2010-09-30,45.71,46.19,45.5,45.62,3529549
2010-10-01,44.61,45.8,44.58,45.68,3779808
2010-10-04,44.45,44.94,44.37,44.62,2477685
2010-10-05,45.58,45.77,44.65,44.71,3442356
2010-10-06,45.93,45.995,45.5,45.57,3243985
2010-10-07,45.71,45.99,45.34,45.99,2515370
2010-10-08,45.4,45.69,44.99,45.69,2473286
2010-10-11,45.5,45.59,45.0682,45.55,2160583
2010-10-12,45.63,45.85,45.03,45.52,2775557
2010-10-13,45.88,46.045,45.61,45.79,2359818
2010-10-14,45.52,46.0,45.075,45.89,2109193
2010-10-15,45.71,45.89,45.22,45.79,4921721
2010-10-18,47.33,47.42,45.66,45.66,4412798
2010-10-19,46.54,46.95,46.17,46.95,4130197
2010-10-20,47.24,47.43,46.68,46.73,2890402
2010-10-21,47.83,47.89,47.23,47.39,3284440
2010-10-22,47.6,47.83,47.33,47.83,1612511
2010-10-25,47.14,47.94,47.09,47.94,2216596
2010-10-26,47.55,47.62,46.78,47.01,3033004
2010-10-27,47.3,47.365,46.8301,47.17,1907100
2010-10-28,45.64,47.43,45.16,46.58,6750223
2010-10-29,46.08,46.23,45.65,45.65,2516580
2010-11-01,46.9,47.56,46.33,46.36,3493978
2010-11-02,47.8,48.38,47.25,47.34,3229284
2010-11-03,47.73,48.29,47.3,47.91,2611571
2010-11-04,48.06,48.19,47.6,48.11,2393555
2010-11-05,48.15,48.41,47.95,48.16,2500593
2010-11-08,48.33,48.66,48.07,48.12,2020192
2010-11-09,48.02,48.67,47.95,48.55,2305990
2010-11-10,47.96,48.125,47.62,48.05,2236557
2010-11-11,47.15,47.66,46.95,47.49,2098891
2010-11-12,46.41,47.02,46.12,47.02,2353094
2010-11-15,46.54,46.96,46.5,46.5,1655150
2010-11-16,45.9,46.54,45.68,46.27,2660881
2010-11-17,46.34,46.49,45.98,46.01,2626159
2010-11-18,47.07,47.09,46.53,46.64,2836245
2010-11-19,47.01,47.56,46.71,47.11,2587793
2010-11-22,46.53,46.98,46.0009,46.98,2408984
2010-11-23,46.44,46.54,46.04,46.15,2477907
2010-11-24,47.01,47.22,46.72,46.74,2050187
2010-11-25,47.01,47.22,46.72,46.74,0
2010-11-26,46.48,46.93,46.3,46.67,922619
2010-11-29,46.54,46.63,45.9,46.11,2739463
2010-11-30,46.25,46.65,45.97,46.14,3496410
2010-12-01,47.25,47.37,46.72,46.93,2856940
2010-12-02,48.33,48.51,46.97,47.34,3427507
2010-12-03,47.43,48.25,47.35,48.06,2824800
2010-12-06,47.2,47.59,46.91,47.47,5206746
2010-12-07,47.2,47.74,46.99,47.58,2997337
2010-12-08,46.46,47.27,46.42,47.2,3156616
2010-12-09,45.87,46.72,45.71,46.61,2887768
2010-12-10,45.58,46.18,45.48,46.03,2605523
2010-12-13,45.47,45.96,45.26,45.96,2721661
2010-12-14,45.63,45.8092,45.5,45.76,2029046
2010-12-15,44.86,45.57,44.85,45.41,2947900
2010-12-16,45.39,45.49,44.5,44.79,2396100
2010-12-17,45.17,45.39,44.81,45.34,3809013
2010-12-20,44.96,45.2,44.81,45.12,2091891
2010-12-21,44.95,45.23,44.815,45.06,2181491
2010-12-22,45.6,45.61,44.8701,44.9,4730688
2010-12-23,45.58,45.82,45.45,45.45,1890889
2010-12-24,45.58,45.82,45.45,45.45,0
2010-12-27,45.57,45.65,45.07,45.46,1514499
2010-12-28,45.65,45.72,45.44,45.56,1386455
2010-12-29,45.45,45.79,45.44,45.73,2201351
2010-12-30,45.95,46.07,45.25,45.39,2435916
