Date,Close,High,Low,Open,Volume
2010-01-01,34.16,34.51,34.16,34.43,0
2010-01-04,35.17,35.81,34.1924,34.47,1885340
2010-01-05,36.01,36.03,35.18,35.39,1851095
2010-01-06,35.94,36.02,35.29,35.95,2036074
2010-01-07,36.45,36.68,35.53,35.7,3020795
2010-01-08,36.49,36.67,36.1,36.46,1032754
2010-01-11,36.74,37.0,36.49,36.66,1192926
2010-01-12,35.33,36.47,35.14,36.42,1115549
2010-01-13,36.28,36.36,35.43,35.68,1148990
2010-01-14,36.41,36.91,36.09,36.21,1356234
2010-01-15,36.65,37.12,36.4,36.69,1511815
2010-01-18,36.65,37.12,36.4,36.69,0
2010-01-19,36.72,37.0,36.53,36.98,949421
2010-01-20,36.31,36.66,36.12,36.66,1161497
2010-01-21,36.13,36.9,35.94,36.5,2049636
2010-01-22,34.5,36.74,34.41,35.84,1693026
2010-01-25,34.69,35.562,34.22,35.26,2270750
2010-01-26,34.25,34.89,33.615,34.89,1852161
2010-01-27,34.57,34.71,33.57,34.0,1673929
2010-01-28,33.69,34.56,33.36,34.43,1470101
2010-01-29,33.09,34.23,32.75,33.86,1883098
2010-02-01,34.06,34.16,32.8,33.32,1451892
2010-02-02,34.06,34.33,33.33,34.33,1042837
2010-02-03,33.16,34.19,33.04,34.01,1448703
2010-02-04,31.82,33.0604,31.75,33.05,2081443
2010-02-05,31.79,31.86,30.6375,31.77,2307408
2010-02-08,32.18,32.59,31.22,31.59,1272782
2010-02-09,32.97,33.16,32.17,32.54,1924733
2010-02-10,33.24,33.25,32.34,32.87,1427567
2010-02-11,33.81,33.94,32.8,32.99,1721422
2010-02-12,33.95,34.03,33.145,33.52,1793653
2010-02-15,33.95,34.03,33.145,33.52,0
2010-02-16,34.33,34.38,33.79,33.94,1147157
2010-02-17,34.33,34.54,34.15,34.29,1138750
2010-02-18,34.45,34.48,34.13,34.41,1981255
2010-02-19,34.78,34.98,34.31,34.38,1170162
2010-02-22,34.22,34.75,34.1275,34.75,1840618
2010-02-23,34.38,34.41,33.89,34.31,1803334
2010-02-24,34.89,34.89,34.22,34.33,1749159
2010-02-25,35.44,35.6,34.32,34.41,2432002
2010-02-26,35.36,35.59,33.57,35.59,2250328
2010-03-01,35.54,36.04,35.4,35.69,1257802
2010-03-02,35.42,35.93,35.27,35.49,1701221
2010-03-03,35.65,35.95,35.42,35.5,846748
2010-03-04,35.71,35.98,35.489,35.77,2482824
2010-03-05,35.72,35.98,35.56,35.75,2223311
2010-03-08,35.35,35.95,35.23,35.29,1617931
2010-03-09,36.26,36.45,35.2,35.2,1537491
2010-03-10,36.67,36.92,36.25,36.4,1059070
2010-03-11,36.49,36.71,36.36,36.6,866955
2010-03-12,36.26,36.74,36.23,36.51,1166258
2010-03-15,35.61,36.36,35.28,36.22,2188350
2010-03-16,36.375,36.5,35.5301,35.62,1413803
2010-03-17,36.34,36.5,36.19,36.3,742693
2010-03-18,35.9,36.46,35.72,36.2,1221202
2010-03-19,35.27,36.04,35.23,36.03,1001038
2010-03-22,35.79,36.03,34.86,35.06,980317
