Date,Close,High,Low,Open,Volume
2010-01-01,11.53,11.74,11.53,11.65,0
2010-01-04,11.525,11.665,11.455,11.64,16369892
2010-01-05,11.795,12.0,11.445,11.485,30062592
2010-01-06,11.71,11.81,11.63,11.725,14210424
2010-01-07,11.68,11.765,11.595,11.645,10257208
2010-01-08,11.64,11.8,11.595,11.61,10276902
2010-01-11,11.605,11.685,11.435,11.6,11391606
2010-01-12,11.41,11.595,11.25,11.495,15429414
2010-01-13,11.6875,11.75,11.385,11.44,15098304
2010-01-14,11.775,11.8,11.605,11.625,15517262
2010-01-15,11.635,11.875,11.455,11.85,21862424
2010-01-18,11.635,11.875,11.455,11.85,0
2010-01-19,11.79,11.9,11.58,11.72,18916280
2010-01-20,11.645,11.9,11.425,11.865,33950256
2010-01-21,11.838,12.225,11.665,12.06,53672162
2010-01-22,11.455,11.915,11.425,11.82,24561348
2010-01-25,11.2,11.53,11.135,11.5,24674152
2010-01-26,11.27,11.37,11.085,11.105,22492582
2010-01-27,11.205,11.285,11.065,11.26,21202326
2010-01-28,11.04,11.315,10.93,11.255,28732860
2010-01-29,10.895,11.265,10.875,11.105,18741914
2010-02-01,11.115,11.135,10.885,10.92,13498616
2010-02-02,11.225,11.245,10.955,11.06,15336140
2010-02-03,11.215,11.245,11.05,11.14,14938584
2010-02-04,10.905,11.195,10.895,11.155,19542546
2010-02-05,10.85,11.0175,10.63,10.885,22084124
2010-02-08,10.955,11.075,10.705,10.825,15988560
2010-02-09,11.095,11.15,10.8275,11.07,20816200
2010-02-10,11.185,11.265,11.02,11.045,20032630
2010-02-11,11.28,11.34,10.965,11.125,18518108
2010-02-12,11.3,11.34,11.03,11.135,15750752
2010-02-15,11.3,11.34,11.03,11.135,0
2010-02-16,11.44,11.44,11.235,11.345,16822580
2010-02-17,11.575,11.6475,11.485,11.495,12954804
2010-02-18,11.63,11.66,11.505,11.605,9301748
2010-02-19,11.68,11.73,11.585,11.585,9732982
2010-02-22,11.45,11.68,11.41,11.665,16983774
2010-02-23,11.34,11.455,11.235,11.395,16513501
2010-02-24,11.54,11.54,11.355,11.375,12921000
2010-02-25,11.45,11.49,11.215,11.325,18623650
2010-02-26,11.455,11.495,11.34,11.46,12099852
2010-03-01,11.645,11.67,11.455,11.465,12703578
2010-03-02,11.665,11.7,11.54,11.65,17122068
2010-03-03,11.53,11.69,11.47,11.65,11034988
2010-03-04,11.46,11.585,11.435,11.525,12892504
2010-03-05,11.685,11.695,11.435,11.505,12328652
2010-03-08,11.66,11.795,11.625,11.635,8997052
2010-03-09,11.81,11.875,11.6,11.6,13357104
2010-03-10,12.115,12.135,11.755,11.76,24465668
2010-03-11,12.135,12.335,12.02,12.05,17978960
2010-03-12,12.14,12.24,12.07,12.15,12833316
2010-03-15,12.21,12.25,12.12,12.17,11841624
2010-03-16,12.645,12.685,12.43,12.43,33808094
2010-03-17,12.78,12.83,12.565,12.605,21365978
2010-03-18,12.51,12.75,12.485,12.725,21416700
2010-03-19,12.485,12.575,12.375,12.485,21934104
2010-03-22,12.62,12.69,12.175,12.37,16329424
2010-03-23,12.705,12.715,12.475,12.64,17655864
2010-03-24,12.645,13.0,12.62,12.92,24298002
2010-03-25,12.105,12.565,12.075,12.53,37964944
2010-03-26,12.295,12.415,12.195,12.195,20463456
2010-03-29,12.305,12.385,12.145,12.315,13718706
2010-03-30,12.28,12.315,12.12,12.255,12786192
2010-03-31,12.135,12.27,12.1,12.25,15088494
2010-04-01,12.12,12.365,11.975,12.2,15551084
2010-04-02,12.12,12.365,11.975,12.2,0
2010-04-05,12.305,12.39,12.055,12.08,15765718
2010-04-06,12.3,12.35,12.175,12.225,11589120
2010-04-07,12.455,12.5125,12.345,12.4,16811802
2010-04-08,12.415,12.5,12.315,12.375,14334732
2010-04-09,12.36,12.475,12.225,12.425,12381820
2010-04-12,12.245,12.395,12.16,12.35,12174548
2010-04-13,12.365,12.4,12.16,12.22,14498156
2010-04-14,12.42,12.425,12.2,12.35,15765742
2010-04-15,12.565,12.625,12.31,12.36,19206336
2010-04-16,12.48,12.61,12.355,12.55,21814506
2010-04-19,12.45,12.6175,12.28,12.495,16982922
2010-04-20,12.63,12.645,12.31,12.51,15067776
2010-04-21,12.695,12.71,12.5,12.6,27465822
2010-04-22,13.625,13.725,12.835,13.0,62100954
2010-04-23,13.63,13.645,13.375,13.505,20898244
2010-04-26,13.695,13.795,13.5,13.51,15876304
2010-04-27,13.265,13.75,13.225,13.655,19240926
2010-04-28,13.11,13.44,13.06,13.325,21195566
2010-04-29,13.3,13.365,13.13,13.145,15192582
2010-04-30,12.99,13.37,12.99,13.33,15007614
2010-05-03,13.59,13.625,12.99,13.04,19331144
2010-05-04,13.015,13.325,12.905,13.315,22470244
2010-05-05,13.11,13.285,12.88,12.95,22306946
2010-05-06,12.805,13.125,12.195,12.995,35574288
2010-05-07,12.7253,12.995,12.325,12.64,44814822
2010-05-10,13.52,13.55,12.94,13.035,29335198
2010-05-11,13.35,13.62,13.265,13.35,23993768
2010-05-12,13.925,13.965,13.355,13.405,23335146
2010-05-13,13.72,13.895,13.68,13.895,21925762
2010-05-14,13.255,13.665,13.09,13.665,23081656
2010-05-17,13.455,13.475,13.035,13.34,17651528
2010-05-18,13.29,13.56,13.2,13.295,17119898
2010-05-19,13.095,13.41,12.905,13.165,20713416
2010-05-20,12.55,12.895,12.54,12.765,25200484
2010-05-21,12.645,12.755,12.195,12.27,25733180
2010-05-24,12.535,12.72,12.455,12.58,17087844
2010-05-25,12.46,12.495,12.035,12.22,23753612
2010-05-26,12.355,12.675,12.3415,12.505,24204656
2010-05-27,13.01,13.02,12.6475,12.71,20103988
2010-05-28,12.945,13.165,12.835,13.015,16524398
2010-05-31,12.945,13.165,12.835,13.015,0
2010-06-01,12.85,13.155,12.76,12.88,19534622
2010-06-02,13.29,13.3,12.785,12.88,19932036
2010-06-03,13.43,13.46,13.23,13.27,18458134
2010-06-04,13.0762,13.415,13.0,13.135,22817610
2010-06-07,12.77,13.125,12.755,13.12,19664082
2010-06-08,12.925,12.955,12.6,12.785,19871170
2010-06-09,13.155,13.36,13.005,13.055,23721154
2010-06-10,13.49,13.505,13.2,13.375,18876360
2010-06-11,13.575,13.605,13.37,13.385,17275862
2010-06-14,13.73,13.93,13.64,13.675,17480570
