Date,Close,High,Low,Open,Volume
2010-01-01,37.68,38.53,37.68,38.53,0
2010-01-04,37.59,38.16,37.39,37.96,866733
2010-01-05,36.97,37.78,36.71,37.67,953748
2010-01-06,36.86,37.11,36.73,36.94,689780
2010-01-07,36.77,36.96,36.62,36.83,483065
2010-01-08,36.65,36.73,36.5,36.67,453805
2010-01-11,37.15,37.29,36.72,36.72,552931
2010-01-12,37.12,37.4,36.9481,37.06,505143
2010-01-13,37.42,37.45,37.06,37.28,445765
2010-01-14,37.55,37.59,37.21,37.22,473227
2010-01-15,37.32,37.48,36.92,37.44,670099
2010-01-18,37.32,37.48,36.92,37.44,0
2010-01-19,37.77,37.81,37.3,37.4,281303
2010-01-20,37.35,37.71,37.06,37.56,488723
2010-01-21,36.77,37.7,36.62,37.31,545213
2010-01-22,35.92,36.79,35.9,36.79,833964
2010-01-25,36.18,36.41,35.948,36.28,644890
2010-01-26,36.05,36.25,35.87,36.12,732746
2010-01-27,36.07,36.09,35.64,35.9,602301
2010-01-28,35.78,36.12,35.67,36.12,513584
2010-01-29,35.61,36.03,35.61,35.97,696105
2010-02-01,35.87,35.87,35.311,35.73,449489
2010-02-02,36.3,36.31,35.57,35.85,647150
2010-02-03,36.02,36.29,35.87,36.16,330446
2010-02-04,35.21,35.94,35.21,35.85,448815
2010-02-05,35.12,35.29,34.64,35.2,544621
2010-02-08,34.73,35.17,34.73,35.17,512773
2010-02-09,35.01,35.4,34.84,34.92,521552
2010-02-10,34.63,35.01,34.5,35.01,832436
2010-02-11,34.96,35.47,34.23,34.5,1084367
2010-02-12,34.55,34.88,34.29,34.63,921934
2010-02-15,34.55,34.88,34.29,34.63,0
2010-02-16,35.25,35.25,34.81,34.82,507142
2010-02-17,35.03,35.385,34.8,35.38,730571
2010-02-18,35.4,35.41,34.88,34.95,609588
2010-02-19,36.25,36.33,35.22,35.38,894717
2010-02-22,36.25,36.44,36.14,36.32,578782
2010-02-23,36.22,36.33,35.89,36.22,637776
2010-02-24,36.43,36.47,35.9,36.36,521217
2010-02-25,36.3,36.34,35.77,35.94,932778
2010-02-26,36.05,36.44,36.0,36.41,700536
2010-03-01,36.77,36.88,36.28,36.28,579850
2010-03-02,37.27,37.41,36.83,36.83,689394
2010-03-03,37.53,37.77,37.34,37.42,701081
2010-03-04,37.5,37.6,37.25,37.55,734238
2010-03-05,37.62,37.64,37.26,37.55,859101
2010-03-08,36.9,37.2,36.86,37.06,797860
2010-03-09,36.87,36.96,36.58,36.72,398244
2010-03-10,36.88,36.9,36.55,36.86,832480
2010-03-11,37.05,37.05,36.55,36.8,465120
2010-03-12,36.93,37.23,36.82,37.13,386654
2010-03-15,37.1,37.13,36.83,36.95,546206
2010-03-16,37.4,37.4,36.9,37.1,482945
2010-03-17,37.63,37.65,37.24,37.34,560340
2010-03-18,37.74,37.75,37.48,37.59,507260
2010-03-19,37.91,37.99,37.6,37.79,991767
2010-03-22,37.74,37.89,37.59,37.77,624680
2010-03-23,37.99,38.0,37.69,37.88,598486
2010-03-24,37.59,38.0,37.47,38.0,514329
