Date,Close,High,Low,Open,Volume
2010-01-01,18.82,19.13,18.82,19.02,0
2010-01-04,19.78,19.85,18.91,18.98,14024146
2010-01-05,19.72,19.73,19.2701,19.4,13248268
2010-01-06,19.36,19.68,19.23,19.61,10143650
2010-01-07,19.29,19.39,18.67,19.09,19494500
2010-01-08,19.16,19.24,18.97,19.19,9655100
2010-01-11,19.11,19.28,18.98,19.2,9586529
2010-01-12,19.09,19.43,18.96,18.98,11449063
2010-01-13,19.1,19.19,18.95,19.14,12530882
2010-01-14,19.18,19.34,18.96,19.0,6612762
2010-01-15,19.0,19.16,18.77,19.1,13235543
2010-01-18,19.0,19.16,18.77,19.1,0
2010-01-19,19.29,19.41,18.91,19.04,10802384
2010-01-20,19.02,19.11,18.65,18.77,28245612
2010-01-21,19.15,19.31,18.785,19.04,49512608
2010-01-22,18.82,19.26,18.76,19.11,26803274
2010-01-25,18.96,19.1,18.84,18.97,12215947
2010-01-26,18.63,19.09,18.62,18.87,13896630
2010-01-27,18.74,18.82,18.47,18.63,16489142
2010-01-28,18.42,18.81,18.33,18.75,14873535
2010-01-29,18.29,18.69,18.18,18.57,10510632
2010-02-01,18.44,18.51,18.31,18.45,8523911
2010-02-02,18.23,18.55,18.13,18.41,15495566
2010-02-03,18.17,18.4,18.04,18.33,12133487
2010-02-04,17.59,18.12,17.5,18.1,28299147
2010-02-05,18.07,18.08,17.56,17.61,19731938
2010-02-08,17.72,18.09,17.71,18.02,14733951
2010-02-09,17.5,17.98,17.44,17.88,16020890
2010-02-10,17.87,18.02,17.39,17.45,26045005
2010-02-11,17.68,17.92,17.59,17.87,9711690
2010-02-12,17.61,17.77,17.48,17.75,15981551
2010-02-15,17.61,17.77,17.48,17.75,0
2010-02-16,17.81,17.83,17.55,17.73,8153062
2010-02-17,17.74,17.9,17.5,17.87,10138218
2010-02-18,17.81,17.87,17.6,17.61,10788741
2010-02-19,18.73,18.835,18.12,18.15,26147482
2010-02-22,18.71,18.87,18.575,18.73,14953491
2010-02-23,18.41,18.72,18.36,18.61,11761607
