Date,Close,High,Low,Open,Volume
2010-01-01,21.86,22.11,21.76,21.95,0
2010-01-04,22.02,22.1,21.92,22.01,920370
2010-01-05,21.79,22.08,21.63,21.99,831310
2010-01-06,21.37,21.84,21.27,21.78,1334352
2010-01-07,21.59,21.62,21.25,21.34,1394847
2010-01-08,21.68,21.7,21.46,21.55,702805
2010-01-11,21.67,21.94,21.55,21.81,638924
2010-01-12,21.5,21.53,21.23,21.44,724690
2010-01-13,21.5,21.61,21.25,21.46,589969
2010-01-14,21.32,21.53,21.17,21.51,913239
2010-01-15,21.12,21.32,21.08,21.26,876460
2010-01-18,21.12,21.32,21.08,21.26,0
2010-01-19,21.66,21.68,21.04,21.15,1574912
2010-01-20,21.35,21.59,21.2,21.56,1026435
2010-01-21,20.94,21.55,20.91,21.32,1299588
2010-01-22,20.44,21.03,20.41,20.8,1320520
2010-01-25,20.07,20.89,19.67,20.72,2979917
2010-01-26,20.07,20.36,19.79,19.91,1952057
2010-01-27,20.19,20.29,19.61,19.95,2257838
2010-01-28,19.77,20.32,19.68,20.32,1745792
2010-01-29,19.84,20.25,19.74,19.86,2020842
2010-02-01,19.9,20.19,19.69,19.97,2015972
2010-02-02,20.12,20.21,19.79,19.95,1558987
2010-02-03,19.68,20.06,19.42,19.92,1310998
2010-02-04,18.84,19.52,18.84,19.51,1182192
2010-02-05,19.05,19.07,18.43,18.86,1465146
2010-02-08,19.12,19.24,18.76,19.03,2929494
2010-02-09,19.44,19.67,19.12,19.41,1735595
2010-02-10,19.33,19.48,19.05,19.38,1371104
2010-02-11,19.62,19.63,19.18,19.3,1949230
2010-02-12,19.57,19.61,19.13,19.34,1154752
2010-02-15,19.57,19.61,19.13,19.34,0
2010-02-16,19.74,19.79,19.6,19.79,1036613
2010-02-17,19.86,20.21,19.64,19.81,1096853
2010-02-18,20.12,20.19,19.76,19.82,787457
2010-02-19,20.17,20.28,19.88,20.1,812930
2010-02-22,20.27,20.31,20.04,20.24,832093
2010-02-23,20.1,20.38,19.98,20.18,971300
2010-02-24,20.31,20.33,20.04,20.11,774758
2010-02-25,20.45,20.48,19.73,19.95,1137318
2010-02-26,20.43,20.53,20.16,20.52,1584350
2010-03-01,20.65,20.65,20.39,20.54,1178721
2010-03-02,20.78,20.85,20.62,20.74,1054831
2010-03-03,20.85,20.9,20.73,20.79,938619
2010-03-04,20.53,20.9,20.31,20.81,1469173
2010-03-05,20.91,20.94,20.62,20.73,1207766
2010-03-08,20.88,21.14,20.74,20.92,1309628
2010-03-09,20.7,20.82,20.57,20.77,1663305
2010-03-10,20.84,20.98,20.46,20.73,1746570
2010-03-11,20.86,20.89,20.61,20.76,566429
2010-03-12,21.1,21.16,20.9,21.03,936305
2010-03-15,21.18,21.19,20.96,21.11,862665
2010-03-16,21.48,21.5,21.18,21.19,1147846
2010-03-17,21.71,21.76,21.39,21.48,1124138
2010-03-18,21.74,21.81,21.64,21.75,1079199
2010-03-19,21.6,22.1,21.5,21.75,1296913
2010-03-22,21.75,21.83,21.44,21.53,1085208
2010-03-23,21.74,21.77,21.515,21.73,1104144
2010-03-24,21.47,21.69,21.46,21.68,885206
2010-03-25,21.28,21.75,21.28,21.63,1527083
2010-03-26,21.31,21.56,21.14,21.33,925356
