Date,Close,High,Low,Open,Volume
2010-01-01,61.65,62.35,61.64,62.26,0
2010-01-04,61.67,62.14,61.17,62.14,1337936
2010-01-05,60.21,61.86,59.55,61.59,3081453
2010-01-06,59.42,61.02,58.92,60.39,2491607
2010-01-07,59.95,60.465,59.42,59.42,1339909
2010-01-08,60.46,60.47,59.78,59.94,865383
2010-01-11,59.63,61.97,58.54,61.97,1536730
2010-01-12,59.42,60.34,59.25,59.42,1381635
2010-01-13,60.18,60.36,59.61,59.61,659950
2010-01-14,60.53,60.71,60.13,60.26,1073314
2010-01-15,59.19,60.27,59.17,60.27,1671598
2010-01-18,59.19,60.27,59.17,60.27,0
2010-01-19,59.37,59.42,58.3,58.88,1167545
2010-01-20,58.79,59.04,58.44,59.04,1014639
2010-01-21,58.61,59.52,58.37,58.7,1583199
2010-01-22,58.0,59.19,57.86,58.63,1871153
2010-01-25,58.92,59.39,58.26,58.52,2043568
2010-01-26,62.83,64.3,62.56,62.8,6087068
2010-01-27,63.87,64.06,62.28,62.83,2272048
2010-01-28,63.58,64.08,63.13,64.08,1580279
2010-01-29,63.35,64.63,63.08,63.66,2061427
2010-02-01,64.62,64.75,63.5,63.77,1191053
2010-02-02,65.56,65.62,63.8,64.85,1478814
2010-02-03,64.25,65.33,63.95,65.33,1536299
2010-02-04,63.85,64.17,63.49,64.13,1525456
2010-02-05,63.9,64.25,62.86,64.02,1375984
2010-02-08,63.2,64.1,63.11,63.98,1270061
2010-02-09,63.77,64.41,63.4675,63.64,1605606
2010-02-10,62.98,63.65,62.6,63.6,1752047
2010-02-11,63.73,63.78,62.9,62.99,1052617
2010-02-12,63.95,64.04,62.65,63.16,1042025
2010-02-15,63.95,64.04,62.65,63.16,0
2010-02-16,64.54,64.8,64.18,64.25,748150
2010-02-17,65.04,65.42,64.83,64.95,740038
2010-02-18,65.23,65.34,64.31,65.24,714095
2010-02-19,65.37,65.64,64.8,65.16,739041
2010-02-22,64.81,65.74,64.67,65.52,933281
2010-02-23,64.13,65.03,64.06,64.73,789760
2010-02-24,64.39,64.57,63.86,64.2,646169
2010-02-25,64.34,64.4,63.3375,63.41,826958
2010-02-26,63.38,64.45,63.33,64.18,1090479
2010-03-01,63.74,63.98,63.04,63.6,853572
2010-03-02,64.08,64.23,63.65,64.09,660191
2010-03-03,64.01,64.41,63.85,64.29,948627
2010-03-04,64.73,65.15,64.13,64.33,1064926
2010-03-05,65.16,65.33,64.77,65.11,707487
2010-03-08,65.26,65.56,64.975,65.32,954723
2010-03-09,65.5,65.99,64.91,65.25,681495
2010-03-10,64.7,65.39,64.4,65.28,1266824
2010-03-11,65.25,65.27,63.89,64.46,1245463
2010-03-12,65.54,65.67,65.04,65.26,719379
2010-03-15,65.61,65.65,65.09,65.6,648558
2010-03-16,65.07,65.7,64.52,65.7,861468
2010-03-17,65.76,66.17,64.94,65.04,1222049
2010-03-18,65.28,66.1,65.28,65.85,1055877
2010-03-19,65.3,65.57,65.025,65.34,1857008
2010-03-22,65.76,66.15,64.84,65.11,1189282
2010-03-23,66.46,66.52,65.43,65.77,863383
2010-03-24,65.85,66.46,65.56,66.43,818109
2010-03-25,66.4,67.09,65.87,66.25,1722645
2010-03-26,66.84,67.16,66.5,66.69,887754
2010-03-29,67.01,67.39,66.84,66.9,550720
2010-03-30,66.97,67.41,66.94,67.04,818208
2010-03-31,67.68,68.03,66.63,66.78,1107534
2010-04-01,68.25,68.82,67.81,68.12,988251
2010-04-02,68.25,68.82,67.81,68.12,0
2010-04-05,68.99,69.13,68.08,68.32,953793
2010-04-06,69.87,69.93,68.4,68.75,1132395
2010-04-07,69.85,70.24,69.24,70.0,1879293
2010-04-08,70.84,71.26,68.92,69.16,3189853
2010-04-09,71.21,71.32,70.2001,70.8,1382222
2010-04-12,72.31,72.78,71.02,71.36,2498958
2010-04-13,72.33,72.38,71.79,71.96,2320507
2010-04-14,72.79,72.81,71.77,72.44,1394576
2010-04-15,73.49,73.6498,72.38,72.67,1264100
2010-04-16,72.96,73.52,72.63,73.25,1705337
2010-04-19,73.17,73.18,72.14,72.5,1101123
2010-04-20,73.98,74.14,73.23,73.32,1391788
2010-04-21,74.31,74.685,73.73,73.73,1739630
2010-04-22,79.33,79.55,73.11,74.21,4325459
2010-04-23,79.54,79.65,77.84,78.08,2086602
2010-04-26,79.94,80.33,79.1,79.21,1202454
2010-04-27,79.41,80.21,78.41,78.61,2239216
2010-04-28,79.32,79.73,78.89,79.14,2145923
2010-04-29,79.15,79.86,78.86,79.85,1377790
2010-04-30,78.07,79.64,78.02,79.44,1456497
2010-05-03,80.01,80.22,77.78,78.28,1210009
2010-05-04,78.45,79.36,77.84,79.09,1163629
2010-05-05,77.05,78.39,76.66,77.75,1881384
2010-05-06,76.33,77.725,73.67,76.95,2297822
2010-05-07,75.95,78.02,75.48,76.38,3197862
2010-05-10,79.45,79.53,77.34,77.85,1466323
2010-05-11,79.48,80.49,78.41,79.03,995362
2010-05-12,80.42,80.53,79.78,80.0,1287127
2010-05-13,78.22,80.23,77.97,80.0,1272165
