Date,Close,High,Low,Open,Volume
2010-01-01,41.66,42.48,41.59,42.28,0
2010-01-04,42.98,43.41,41.74,41.89,463188
2010-01-05,42.58,43.12,42.37,42.89,510834
2010-01-06,42.93,43.35,42.45,42.53,574996
2010-01-07,44.69,44.93,42.82,42.98,685535
2010-01-08,47.59,47.85,44.92,45.41,1309192
2010-01-11,47.21,47.94,46.86,47.79,381187
2010-01-12,46.38,47.97,45.73,46.88,799339
2010-01-13,46.47,46.78,45.62,46.58,572518
2010-01-14,46.77,47.33,46.35,46.41,595475
2010-01-15,45.99,46.83,44.84,46.74,559491
2010-01-18,45.99,46.83,44.84,46.74,0
2010-01-19,46.41,46.63,45.55,45.95,485744
2010-01-20,47.04,47.2,45.9,46.16,790720
2010-01-21,47.39,47.96,46.66,47.05,1153106
2010-01-22,45.19,47.79,44.3,47.29,1267834
2010-01-25,44.87,46.24,44.3,45.66,471824
2010-01-26,44.17,45.8,43.98,44.88,436467
2010-01-27,44.71,44.89,43.34,43.98,492869
2010-01-28,44.07,45.37,43.45,45.02,644018
2010-01-29,43.39,44.49,42.93,44.1,559864
2010-02-01,43.62,44.2,43.1,43.58,325635
2010-02-02,43.07,43.59,42.62,43.58,522371
2010-02-03,43.59,44.65,42.66,43.91,609906
2010-02-04,41.74,43.1,41.36,43.07,488587
2010-02-05,41.28,42.62,40.43,42.09,575566
2010-02-08,41.48,41.91,40.48,41.37,649022
2010-02-09,40.92,42.33,40.78,42.11,863448
2010-02-10,40.24,40.93,39.8,40.92,1334184
2010-02-11,40.23,40.49,39.5,40.34,701747
2010-02-12,40.6,40.77,39.75,40.02,549201
2010-02-15,40.6,40.77,39.75,40.02,0
2010-02-16,41.87,41.88,40.44,40.77,376231
2010-02-17,41.95,42.2,41.53,41.89,339553
2010-02-18,41.82,42.32,41.67,41.98,614901
2010-02-19,43.09,43.165,41.77,41.85,536401
2010-02-22,43.75,44.0,43.11,43.11,478373
2010-02-23,43.31,43.92,43.27,43.52,619339
2010-02-24,44.72,44.85,43.143,43.51,658873
2010-02-25,44.56,44.63,43.74,43.74,543661
2010-02-26,44.56,44.75,44.13,44.47,414703
2010-03-01,45.02,45.24,44.46,44.71,457286
2010-03-02,45.71,46.11,44.77,45.0,478477
2010-03-03,46.28,46.49,45.56,45.64,492440
2010-03-04,45.88,46.49,45.76,45.99,551660
2010-03-05,47.1,47.5,45.97,46.27,568258
2010-03-08,46.89,47.16,46.55,46.93,389920
2010-03-09,45.43,46.565,45.34,46.55,627960
2010-03-10,46.1,46.12,45.39,45.54,425401
2010-03-11,46.42,46.44,45.65,45.84,351460
2010-03-12,46.03,46.75,45.72,46.75,296355
2010-03-15,46.2,46.41,45.79,45.98,352749
2010-03-16,46.77,46.77,46.08,46.23,307191
2010-03-17,47.45,47.47,46.85,46.85,348738
2010-03-18,46.76,47.49,46.57,47.44,258148
2010-03-19,46.59,47.3499,45.93,47.07,463844
2010-03-22,47.11,47.5,46.27,46.39,392463
2010-03-23,48.38,48.43,46.675,47.21,439583
2010-03-24,48.02,48.25,47.67,48.23,241279
2010-03-25,47.02,48.71,47.0,48.16,428645
2010-03-26,46.44,47.62,46.23,47.35,290488
2010-03-29,46.51,47.24,46.36,46.78,306818
2010-03-30,47.18,47.43,46.6,46.6,328833
2010-03-31,46.66,47.74,46.62,46.85,302996
2010-04-01,47.0,47.89,46.25,47.01,165802
2010-04-02,47.0,47.89,46.25,47.01,0
2010-04-05,47.27,47.6,46.91,47.11,405248
2010-04-06,49.2,49.78,46.85,47.24,772546
2010-04-07,48.92,49.68,48.6,49.2,487779
2010-04-08,49.29,49.46,47.79,48.72,262868
2010-04-09,48.98,49.43,48.44,49.43,428441
2010-04-12,48.92,49.2,48.13,49.2,352163
2010-04-13,49.06,49.28,47.96,48.79,264495
2010-04-14,49.23,49.47,48.93,49.41,537009
2010-04-15,49.42,49.74,49.13,49.38,339608
2010-04-16,48.6,49.36,48.07,49.36,458871
2010-04-19,48.0,48.56,47.31,48.25,511541
2010-04-20,49.04,49.14,47.92,48.24,277410
2010-04-21,50.45,50.71,49.07,49.07,792927
2010-04-22,50.82,51.14,49.62,49.86,557166
2010-04-23,51.66,52.16,48.99,50.74,738265
2010-04-26,51.3,52.28,51.26,51.63,393786
2010-04-27,49.83,52.0,49.53,50.83,441232
2010-04-28,49.6,50.69,49.37,50.24,263029
2010-04-29,50.76,51.0,49.24,50.0,368626
2010-04-30,49.18,51.0,49.18,50.7,338104
2010-05-03,48.83,49.72,48.55,49.41,488730
2010-05-04,47.14,48.31,46.79,48.31,468216
2010-05-05,47.67,47.7,45.76,46.41,485299
2010-05-06,46.52,48.1,44.26,47.46,817176
2010-05-07,45.79,46.76,44.71,46.22,769679
2010-05-10,49.48,49.52,47.49,47.67,991498
2010-05-11,50.09,50.74,48.42,48.69,811899
2010-05-12,50.06,50.57,48.59,48.97,589363
2010-05-13,50.02,50.5,49.51,49.78,407132
2010-05-14,47.53,49.72,47.0,49.57,925811
2010-05-17,46.92,48.24,46.05,47.7,803805
2010-05-18,46.27,47.865,45.82,47.65,725895
2010-05-19,46.73,47.39,45.91,46.5,799893
2010-05-20,43.28,46.43,43.16,45.78,1186852
2010-05-21,44.39,44.695,42.56,43.12,1037350
2010-05-24,44.11,44.9,43.5965,44.26,623331
2010-05-25,43.29,43.38,41.81,43.16,1251212
2010-05-26,43.86,44.79,43.34,43.44,874435
2010-05-27,45.87,45.9,44.23,44.67,485407
2010-05-28,44.86,46.84,44.49,46.84,723872
2010-05-31,44.86,46.84,44.49,46.84,0
2010-06-01,43.18,44.71,43.17,44.5,465721
2010-06-02,45.25,45.29,43.27,43.39,359176
2010-06-03,44.78,45.53,44.57,45.08,424944
2010-06-04,41.92,44.22,41.87,44.22,921239
2010-06-07,41.68,42.53,41.55,41.97,574956
2010-06-08,42.24,42.33,40.78,41.75,586716
2010-06-09,41.44,42.8,41.17,42.48,518950
2010-06-10,42.73,42.83,42.01,42.18,285773
2010-06-11,43.06,43.09,42.07,42.07,292573
2010-06-14,43.81,44.69,43.23,43.44,414576
2010-06-15,45.15,45.29,43.73,44.23,405577
2010-06-16,44.6,45.14,44.5,44.66,245914
2010-06-17,44.67,44.98,44.1,44.7,295891
2010-06-18,44.87,44.94,44.24,44.88,411873
2010-06-21,44.39,45.37,44.19,45.25,250211
2010-06-22,44.23,45.74,44.07,44.59,461875
2010-06-23,43.8,44.53,43.22,44.1,394428
2010-06-24,43.04,43.98,42.64,43.49,337600
2010-06-25,44.22,44.28,42.79,43.23,700013
2010-06-28,44.23,44.52,43.55,44.07,311191
2010-06-29,41.42,43.58,41.15,43.46,820629
2010-06-30,41.23,42.05,41.12,41.27,638334
2010-07-01,40.31,41.24,38.26,41.1,1101352
2010-07-02,39.36,40.45,39.14,40.45,718479
2010-07-05,39.36,40.45,39.14,40.45,0
2010-07-06,39.89,40.56,39.58,39.86,550264
2010-07-07,41.46,41.54,39.65,40.0,403264
2010-07-08,41.48,42.06,40.83,41.71,344448
2010-07-09,42.1,42.16,41.22,41.5,420155
2010-07-12,41.89,42.33,41.42,41.85,327152
2010-07-13,42.99,43.2,41.96,42.34,529017
2010-07-14,42.67,42.98,42.27,42.74,530456
2010-07-15,41.83,42.83,41.21,42.76,468031
2010-07-16,40.21,41.49,39.97,41.42,524016
2010-07-19,39.9,40.7,39.39,40.47,352300
2010-07-20,40.1,40.13,38.77,39.2,405540
2010-07-21,38.57,40.71,38.55,40.25,533131
2010-07-22,40.09,40.46,38.642,39.26,797336
2010-07-23,44.99,45.16,40.12,40.23,2115883
2010-07-26,45.11,45.89,44.64,45.22,776118
2010-07-27,45.19,46.17,45.04,45.47,570411
2010-07-28,44.62,45.34,44.27,44.97,359387
2010-07-29,43.93,45.21,43.52,44.92,608944
2010-07-30,43.19,43.84,42.7,43.16,733226
2010-08-02,43.44,44.24,43.35,43.95,485513
2010-08-03,43.39,44.3,43.03,43.1,399370
2010-08-04,43.77,44.15,43.41,43.51,464508
2010-08-05,42.85,43.47,42.35,43.47,350889
2010-08-06,42.48,42.52,41.71,42.3,339406
2010-08-09,43.23,43.29,41.995,42.91,323306
2010-08-10,42.43,43.31,42.27,42.54,485318
2010-08-11,40.53,41.81,40.47,41.55,540179
2010-08-12,40.48,40.99,39.92,39.94,483615
2010-08-13,39.58,40.72,39.52,40.21,343881
2010-08-16,39.97,40.14,39.31,39.32,229589
2010-08-17,40.93,41.0497,39.98,40.34,435207
2010-08-18,40.38,40.97,40.23,40.97,316961
2010-08-19,39.34,40.28,38.99,40.03,601348
2010-08-20,39.42,39.59,38.75,39.05,412464
2010-08-23,38.12,39.86,38.11,39.79,454702
2010-08-24,37.29,37.95,37.09,37.88,692501
2010-08-25,37.15,37.44,36.72,37.01,511205
2010-08-26,38.015,38.62,37.2,37.21,653060
2010-08-27,38.71,38.77,37.33,38.46,512154
2010-08-30,36.95,38.59,36.88,38.59,353191
2010-08-31,37.17,37.76,36.76,36.82,338306
2010-09-01,39.59,39.66,37.66,37.87,740374
2010-09-02,39.47,39.58,39.11,39.56,250950
2010-09-03,40.7,41.0,39.87,39.99,438412
2010-09-06,40.7,41.0,39.87,39.99,0
2010-09-07,39.71,40.4,39.17,40.39,403178
2010-09-08,39.82,40.38,39.7,39.83,272944
2010-09-09,39.63,40.619,39.37,40.49,252886
2010-09-10,40.13,40.34,39.62,39.66,456213
2010-09-13,42.05,42.2,40.65,40.77,423840
2010-09-14,41.02,42.04,40.71,42.04,264663
2010-09-15,41.24,41.41,40.4,40.8,199179
2010-09-16,40.49,41.09,40.03,41.09,213413
2010-09-17,40.23,40.85,39.78,40.85,321488
