Date,Close,High,Low,Open,Volume
2010-01-01,61.75,62.695,61.73,62.58,0
2010-01-04,62.18,62.29,61.42,62.2,773605
2010-01-05,61.89,62.34,61.58,62.22,677717
2010-01-06,62.11,62.38,61.81,61.88,1060202
2010-01-07,61.94,62.44,61.52,62.44,981438
2010-01-08,62.08,62.14,61.18,61.89,635821
2010-01-11,61.94,62.49,61.71,62.39,449875
2010-01-12,62.65,62.67,61.81,61.91,770570
2010-01-13,62.63,63.0,62.41,62.65,478253
2010-01-14,62.11,62.67,62.1,62.46,653045
2010-01-15,61.9,62.58,61.59,62.01,693886
2010-01-18,61.9,62.58,61.59,62.01,0
2010-01-19,62.44,62.5,61.79,61.79,464612
2010-01-20,61.62,62.15,61.14,62.15,549003
2010-01-21,60.57,62.12,60.28,61.54,1038411
2010-01-22,59.97,60.52,59.72,60.37,858543
2010-01-25,60.37,60.53,59.7,60.33,467193
2010-01-26,60.71,60.81,59.64,60.26,786298
2010-01-27,61.14,61.22,60.59,60.59,643583
2010-01-28,60.99,61.27,60.662,61.14,577291
2010-01-29,60.07,61.11,59.94,61.11,802030
2010-02-01,61.12,61.17,60.11,60.18,657494
2010-02-02,62.35,62.4,61.21,61.21,781765
2010-02-03,61.87,62.34,61.44,62.34,499393
2010-02-04,60.3,61.66,60.27,61.6,652501
2010-02-05,59.51,60.23,59.04,60.04,1000129
2010-02-08,59.38,59.98,59.18,59.55,378159
2010-02-09,60.04,60.76,59.75,59.92,638355
2010-02-10,59.71,59.95,59.445,59.94,359236
2010-02-11,59.7,59.87,58.94,59.59,620711
2010-02-12,59.02,59.72,58.7,59.33,939202
2010-02-15,59.02,59.72,58.7,59.33,0
2010-02-16,59.85,60.0,59.02,59.57,655104
2010-02-17,60.34,60.59,59.69,59.91,695322
2010-02-18,60.9,61.05,60.32,60.41,447068
2010-02-19,60.55,61.2,60.46,60.74,821800
2010-02-22,60.39,60.96,60.27,60.75,802081
2010-02-23,60.11,60.56,59.71,60.09,1380582
2010-02-24,58.67,60.15,57.72,60.01,3051188
2010-02-25,59.39,59.41,57.75,58.01,1258003
2010-02-26,59.68,59.92,59.03,59.52,1118605
2010-03-01,59.51,59.93,59.32,59.73,780808
2010-03-02,59.85,59.95,59.44,59.55,818944
2010-03-03,59.56,59.95,59.4,59.8,702653
2010-03-04,59.7,59.85,59.3835,59.85,739843
2010-03-05,59.66,59.95,59.42,59.87,602757
2010-03-08,59.17,59.56,58.91,59.48,932290
2010-03-09,59.2,59.53,59.03,59.17,939841
2010-03-10,59.19,59.28,58.87,59.11,665472
2010-03-11,58.95,59.18,58.51,59.01,864811
2010-03-12,59.18,59.33,58.88,58.93,658595
2010-03-15,59.38,59.51,59.13,59.16,689373
2010-03-16,59.8,59.93,59.22,59.35,935835
2010-03-17,60.23,60.34,59.53,59.91,586363
2010-03-18,60.0,60.23,59.85,60.17,676003
2010-03-19,59.79,60.41,59.51,60.06,1230144
2010-03-22,60.51,60.67,59.47,59.75,874990
2010-03-23,61.01,61.08,60.34,60.64,529043
2010-03-24,61.0,61.25,60.8125,61.06,719971
2010-03-25,60.6,61.21,60.51,61.19,547725
2010-03-26,59.87,60.66,59.13,60.4,718022
2010-03-29,60.06,60.09,59.76,59.88,616039
2010-03-30,60.35,60.48,59.81,60.04,598618
2010-03-31,60.26,60.46,60.01,60.28,574256
2010-04-01,60.33,60.76,59.99,60.5,522584
2010-04-02,60.33,60.76,59.99,60.5,0
2010-04-05,60.39,60.5,60.18,60.5,562685
2010-04-06,60.7,60.7,60.11,60.14,552620
2010-04-07,60.78,60.89,60.37,60.45,794085
2010-04-08,61.04,61.15,60.53,60.6,596087
2010-04-09,61.84,61.93,61.06,61.06,690125
2010-04-12,62.25,62.35,61.91,62.1,806406
2010-04-13,62.48,62.55,61.8,62.09,626727
2010-04-14,62.4,62.6,62.01,62.47,521378
2010-04-15,62.25,62.45,61.83,62.25,973301
2010-04-16,62.04,62.4,61.9,62.2,818664
2010-04-19,62.43,62.47,61.77,61.93,530573
2010-04-20,63.26,63.4,62.59,62.86,1064085
2010-04-21,63.05,63.5,62.94,63.2,908284
2010-04-22,63.01,63.13,62.58,62.9,552934
2010-04-23,63.24,63.3,62.6,62.98,741378
2010-04-26,62.62,63.2,62.41,63.11,533189
2010-04-27,61.38,62.64,61.27,62.51,533196
2010-04-28,61.7,62.07,60.9307,61.6,580916
2010-04-29,61.71,62.29,61.31,62.01,819985
2010-04-30,61.07,61.94,61.04,61.7,754725
2010-05-03,61.06,61.42,60.33,61.19,710262
2010-05-04,60.59,61.01,60.32,60.57,657975
2010-05-05,60.62,60.74,60.07,60.55,530167
2010-05-06,58.89,60.73,57.0,60.68,1215612
2010-05-07,58.43,59.06,57.89,58.85,1264341
2010-05-10,58.92,60.02,58.31,59.83,1578279
2010-05-11,58.68,59.4,58.13,58.65,1356013
2010-05-12,58.07,58.73,57.37,58.27,1697966
2010-05-13,58.21,58.67,57.86,57.9,1043801
2010-05-14,57.79,58.36,57.63,58.21,1011382
2010-05-17,58.24,58.29,57.64,57.95,920469
2010-05-18,58.13,58.69,58.05,58.26,919980
2010-05-19,57.93,58.2,57.54,57.89,1699614
2010-05-20,56.31,57.32,56.3,57.22,1025287
2010-05-21,55.95,55.95,53.27,55.0,1818345
2010-05-24,55.6,56.03,55.23,55.54,960661
2010-05-25,55.12,55.17,54.39,54.71,1203030
2010-05-26,55.4,55.9,55.12,55.5,1118442
2010-05-27,56.27,56.27,55.61,55.95,1075492
2010-05-28,55.22,56.21,55.19,55.98,1461710
2010-05-31,55.22,56.21,55.19,55.98,0
2010-06-01,54.75,55.35,54.72,55.0,1373905
2010-06-02,55.76,55.76,54.74,54.8,1042298
2010-06-03,56.23,56.4199,56.01,56.22,611323
2010-06-04,55.28,55.8299,55.185,55.48,1264690
2010-06-07,55.09,55.89,55.01,55.5,961282
2010-06-08,55.28,55.3,54.62,55.09,1361576
2010-06-09,55.38,56.04,55.2,55.37,724874
2010-06-10,56.34,56.62,55.83,55.85,1020254
2010-06-11,56.07,56.24,55.55,56.14,1291722
2010-06-14,56.86,57.17,56.32,56.47,844818
2010-06-15,57.54,57.63,57.11,57.23,997942
2010-06-16,57.75,57.9499,56.78,57.07,871842
2010-06-17,61.55,61.81,59.26,59.32,2760283
2010-06-18,62.1,63.33,61.905,62.89,1738080
2010-06-21,61.87,62.7,61.6,62.35,826551
2010-06-22,61.82,62.47,61.72,61.88,1015255
2010-06-23,61.46,62.04,61.12,61.93,799282
2010-06-24,62.62,62.83,61.18,61.41,1568616
2010-06-25,62.02,62.92,61.69,62.92,1450478
2010-06-28,62.04,62.25,61.67,61.96,630839
2010-06-29,60.68,61.94,60.25,61.68,1654157
2010-06-30,60.22,60.62,59.52,60.39,1668071
2010-07-01,59.9,60.05,59.34,60.0,1274005
2010-07-02,59.68,60.2,59.35,59.93,710820
2010-07-05,59.68,60.2,59.35,59.93,0
2010-07-06,60.9,60.9,59.81,59.98,1370595
2010-07-07,62.21,62.21,60.82,61.07,960584
2010-07-08,62.54,62.5599,62.01,62.52,952620
2010-07-09,62.36,62.77,62.23,62.64,697992
2010-07-12,62.38,62.53,61.998,62.36,423217
2010-07-13,62.41,62.74,62.19,62.6,586402
2010-07-14,62.46,62.49,62.1,62.37,495806
2010-07-15,62.76,62.9,62.05,62.42,675695
2010-07-16,61.51,62.85,61.45,62.64,604933
2010-07-19,61.63,62.01,61.43,61.68,549291
2010-07-20,61.78,61.78,60.54,61.04,812215
2010-07-21,61.44,62.13,61.19,61.78,805068
2010-07-22,62.52,62.63,61.53,61.88,840233
2010-07-23,62.78,62.97,62.2,62.31,696063
2010-07-26,63.21,63.22,62.59,62.99,490494
2010-07-27,63.68,63.75,62.93,63.32,728209
2010-07-28,62.09,63.64,62.01,63.52,718110
2010-07-29,61.09,62.38,60.96,62.22,602413
2010-07-30,61.43,61.75,60.35,60.78,550277
2010-08-02,59.71,61.02,59.58,61.02,1557909
2010-08-03,59.5,59.79,59.11,59.29,787649
2010-08-04,59.57,59.966,59.4,59.51,611548
2010-08-05,58.81,59.62,58.4039,59.62,775463
2010-08-06,58.8,59.13,58.4,58.48,849390
2010-08-09,58.55,58.86,58.13,58.85,829987
2010-08-10,58.65,59.0,58.24,58.46,873068
2010-08-11,57.82,57.88,57.23,57.8,896307
2010-08-12,57.93,57.99,57.2,57.23,1073925
2010-08-13,58.15,58.4,57.87,57.87,1000475
2010-08-16,58.36,58.51,57.44,57.82,638486
2010-08-17,59.16,59.57,58.32,58.68,1062932
2010-08-18,58.97,59.32,58.71,59.2,888373
2010-08-19,58.03,58.49,57.37,58.49,1348660
2010-08-20,59.65,59.82,58.01,58.21,1458799
2010-08-23,59.79,60.79,59.68,59.86,926783
2010-08-24,58.83,59.8568,58.62,59.57,996673
2010-08-25,58.81,59.01,58.36,58.73,533032
2010-08-26,58.34,59.16,58.23,58.9,550142
2010-08-27,58.33,58.56,57.71,58.42,1315404
2010-08-30,58.15,59.07,58.1,58.46,700309
2010-08-31,58.48,58.62,57.8,58.18,998343
2010-09-01,59.75,59.8,58.79,58.96,581782
2010-09-02,59.63,60.02,59.41,60.0,554090
2010-09-03,60.38,60.38,59.64,60.0,462194
2010-09-06,60.38,60.38,59.64,60.0,0
2010-09-07,60.23,60.54,60.0,60.18,503483
2010-09-08,60.61,60.77,60.25,60.41,619312
2010-09-09,61.11,61.21,60.6,61.11,583485
2010-09-10,61.29,61.45,60.895,61.29,653064
2010-09-13,61.0,61.57,60.58,61.46,466224
2010-09-14,60.41,60.79,60.19,60.79,530962
2010-09-15,60.68,61.0,60.17,60.28,627018
2010-09-16,60.77,60.82,60.41,60.5,303068
2010-09-17,61.07,61.3,60.6,61.01,630416
2010-09-20,61.59,61.73,61.15,61.3,441431
2010-09-21,61.81,61.88,61.37,61.74,492205
2010-09-22,61.93,62.35,61.7101,61.85,564515
2010-09-23,60.65,61.71,60.58,61.58,490507
2010-09-24,61.18,61.55,60.82,61.14,647500
2010-09-27,61.05,61.31,60.8,61.3,468437
2010-09-28,61.27,61.38,60.36,61.22,454262
2010-09-29,60.75,61.25,60.53,61.17,383465
2010-09-30,60.53,61.69,60.29,60.83,560879
2010-10-01,60.27,61.14,59.71,60.66,760302
2010-10-04,60.76,61.26,60.1322,60.28,841126
2010-10-05,61.77,61.77,60.78,60.96,907370
2010-10-06,61.98,62.09,61.52,61.71,717662
2010-10-07,62.04,62.41,61.88,62.24,638063
2010-10-08,61.9,62.19,61.4,62.19,687417
2010-10-11,62.0,62.17,61.53,61.85,282020
2010-10-12,62.04,62.15,61.45,61.99,567809
2010-10-13,62.83,62.93,62.01,62.24,634757
2010-10-14,62.97,63.44,62.76,62.95,775760
2010-10-15,62.95,63.45,62.66,63.36,666300
2010-10-18,63.11,63.28,62.71,62.86,393793
2010-10-19,62.16,63.05,62.05,62.74,695057
2010-10-20,62.83,63.29,62.34,62.34,529150
2010-10-21,63.07,63.7161,62.84,62.94,730814
2010-10-22,63.03,63.175,62.7801,63.04,292973
2010-10-25,63.17,63.82,63.12,63.28,504526
2010-10-26,62.94,63.13,62.5,63.09,536982
2010-10-27,62.56,62.66,62.0,62.64,374153
2010-10-28,63.5,63.53,62.65,62.86,719131
2010-10-29,64.28,64.55,63.34,63.53,758627
2010-11-01,64.0,64.89,63.71,64.35,530466
2010-11-02,64.08,64.88,64.0,64.54,403097
2010-11-03,63.93,64.54,63.4,64.2,438201
2010-11-04,64.54,64.79,64.24,64.48,453232
2010-11-05,64.41,64.73,64.16,64.46,463058
2010-11-08,64.46,64.48,63.95,64.22,569702
2010-11-09,63.48,64.43,63.22,64.22,511051
2010-11-10,63.06,63.37,62.63,63.37,625381
2010-11-11,63.09,63.21,62.64,62.76,695343
2010-11-12,62.89,63.38,62.7,62.93,569448
2010-11-15,62.86,63.6,62.75,63.22,662914
2010-11-16,63.1,63.59,62.16,62.75,1246359
2010-11-17,63.0,63.5,62.74,63.23,899254
2010-11-18,62.15,63.73,60.46,63.35,3067956
2010-11-19,62.23,62.45,61.458,62.23,998593
2010-11-22,62.93,63.09,61.95,62.06,959773
2010-11-23,62.73,62.94,61.99,62.52,786161
2010-11-24,63.0,63.37,62.77,62.87,675382
2010-11-25,63.0,63.37,62.77,62.87,0
2010-11-26,63.03,63.23,62.5,62.67,283548
2010-11-29,62.85,62.96,62.4,62.45,742809
2010-11-30,63.25,63.51,62.2678,62.53,966522
2010-12-01,64.35,64.79,63.522,63.62,934220
