Date,Close,High,Low,Open,Volume
2010-01-01,42.26,42.96,42.26,42.95,0
2010-01-04,42.86,43.06,42.51,42.74,267966
2010-01-05,42.84,43.01,42.44,42.63,392694
2010-01-06,43.08,43.17,42.62,42.84,658314
2010-01-07,43.8,43.8,42.86,42.86,405174
2010-01-08,44.71,44.78,43.49,43.58,384609
2010-01-11,44.9,44.96,44.54,44.84,521020
2010-01-12,43.96,44.61,43.73,44.46,462300
2010-01-13,44.24,44.3,43.78,44.0,244794
2010-01-14,44.1,44.4099,43.93,44.06,267001
2010-01-15,43.4,44.21,43.17,43.94,407757
2010-01-18,43.4,44.21,43.17,43.94,0
2010-01-19,44.01,44.01,43.34,43.34,310301
2010-01-20,43.49,43.78,42.98,43.48,277593
2010-01-21,43.39,43.75,42.92,43.39,686661
2010-01-22,43.21,43.765,43.06,43.42,558014
2010-01-25,43.07,43.69,42.8,43.61,409713
2010-01-26,42.67,43.26,42.66,43.06,404393
2010-01-27,42.2,42.64,41.36,42.44,432440
2010-01-28,41.26,42.2,40.9,42.14,340665
2010-01-29,40.88,41.82,40.78,41.34,335146
2010-02-01,41.69,41.7,41.07,41.11,209382
2010-02-02,42.99,43.11,41.65,41.65,413408
2010-02-03,42.93,43.48,42.59,42.94,497119
2010-02-04,40.4,43.06,40.21,42.73,1637931
2010-02-05,40.31,40.59,39.31,40.47,1197393
2010-02-08,40.12,40.62,39.79,40.23,540892
2010-02-09,41.01,41.16,40.34,40.47,475017
2010-02-10,41.01,41.62,40.92,41.1,372785
2010-02-11,41.43,41.45,40.52,41.01,450386
2010-02-12,41.61,41.65,40.88,41.04,302853
2010-02-15,41.61,41.65,40.88,41.04,0
2010-02-16,42.25,42.34,41.75,42.13,279728
2010-02-17,42.47,42.62,41.86,42.25,216069
2010-02-18,42.57,42.58,42.23,42.31,388694
2010-02-19,42.9,43.03,42.38,42.54,325841
2010-02-22,42.87,43.12,42.54,43.03,191755
2010-02-23,42.16,42.81,41.78,42.57,266293
2010-02-24,42.27,42.56,41.8,42.4,484458
2010-02-25,42.12,42.21,41.2,41.56,264832
2010-02-26,42.22,42.29,41.82,42.12,357486
2010-03-01,42.81,42.98,42.16,42.5,315794
2010-03-02,43.02,43.48,42.94,43.18,244810
2010-03-03,42.96,43.54,42.82,43.33,233483
2010-03-04,43.07,43.29,42.75,43.15,149427
2010-03-05,43.45,43.67,43.21,43.46,251540
2010-03-08,43.17,43.59,42.94,43.54,253888
2010-03-09,43.18,43.39,42.98,43.07,255330
2010-03-10,43.65,43.82,43.03,43.18,328471
2010-03-11,43.52,43.59,43.19,43.59,312897
