Date,Close,High,Low,Open,Volume
2010-01-01,33.32,33.75,33.19,33.62,0
2010-01-04,33.25,33.56,33.17,33.43,5119269
2010-01-05,32.58,33.35,32.5,33.35,4948044
2010-01-06,33.04,33.21,32.56,32.68,5061805
2010-01-07,32.9,33.09,32.63,33.09,3481053
2010-01-08,32.83,32.92,32.6,32.92,3513852
2010-01-11,33.26,33.32,32.86,33.03,3609416
2010-01-12,33.05,33.43,33.0,33.22,4354545
2010-01-13,33.52,33.61,33.11,33.21,4961271
2010-01-14,33.44,33.51,33.27,33.49,2654126
2010-01-15,33.34,33.36,32.93,33.15,7412520
2010-01-18,33.34,33.36,32.93,33.15,0
2010-01-19,33.65,33.65,33.1,33.39,4693071
2010-01-20,33.43,33.5396,33.14,33.51,8747946
2010-01-21,33.15,33.73,33.01,33.49,4380794
2010-01-22,32.54,33.35,32.52,33.13,5910392
2010-01-25,32.8,32.92,32.43,32.79,4476588
2010-01-26,32.97,33.11,32.6,32.78,5362143
2010-01-27,32.91,33.23,32.11,32.92,9757005
2010-01-28,31.95,32.58,31.94,32.42,5069485
2010-01-29,32.0,32.2,31.85,32.06,5421236
2010-02-01,32.0,32.14,31.75,32.09,3771824
2010-02-02,32.15,32.17,31.71,31.98,4712366
2010-02-03,32.0,32.14,31.85,32.0,3143098
2010-02-04,31.58,32.03,31.58,31.89,4894961
2010-02-05,31.7,31.7385,31.31,31.57,7399798
2010-02-08,31.13,31.71,31.1,31.69,3802565
2010-02-09,31.29,31.6,31.16,31.28,4217985
2010-02-10,31.28,31.36,31.01,31.29,3165786
2010-02-11,31.32,31.38,30.85,31.19,3605113
2010-02-12,31.17,31.27,30.99,31.09,6224270
2010-02-15,31.17,31.27,30.99,31.09,0
2010-02-16,31.88,31.92,31.01,31.55,3798140
2010-02-17,31.64,32.1,31.58,32.0,3320653
2010-02-18,31.81,31.87,31.58,31.6,2978008
2010-02-19,32.29,32.35,31.73,31.73,4249720
2010-02-22,32.34,32.49,32.205,32.45,3799328
2010-02-23,32.02,32.45,32.02,32.33,4050093
2010-02-24,32.13,32.22,31.73,32.06,3603142
2010-02-25,32.01,32.03,31.59,31.8,3895687
2010-02-26,31.77,32.09,31.75,32.06,3852070
2010-03-01,32.06,32.13,31.83,31.89,2971003
2010-03-02,32.23,32.37,32.02,32.2,3216727
2010-03-03,32.18,32.37,32.01,32.35,3455018
2010-03-04,32.29,32.32,32.0,32.13,3264018
2010-03-05,32.22,32.24,32.0315,32.07,5062814
2010-03-08,32.35,32.49,32.23,32.43,3070055
2010-03-09,32.31,32.41,32.08,32.36,10894309
2010-03-10,32.36,32.45,32.15,32.32,3721014
2010-03-11,32.5,32.5,32.23,32.31,2547864
2010-03-12,32.48,32.54,32.26,32.5,3238035
2010-03-15,32.86,32.89,32.465,32.53,3353808
2010-03-16,33.21,33.27,32.69,32.8,4859311
2010-03-17,33.45,33.45,33.11,33.19,3424552
2010-03-18,33.38,33.46,33.25,33.36,3375833
2010-03-19,33.18,33.5,33.13,33.39,7262610
2010-03-22,33.11,33.29,33.04,33.19,3480216
2010-03-23,33.35,33.35,33.012,33.15,4174044
2010-03-24,33.03,33.33,33.01,33.23,2922315
2010-03-25,33.01,33.23,32.8517,33.18,3877747
2010-03-26,33.1,33.3,32.94,33.02,2678395
2010-03-29,33.34,33.35,33.11,33.21,2640092
2010-03-30,33.21,33.45,33.05,33.35,3324241
2010-03-31,33.16,33.25,33.0,33.07,2740527
2010-04-01,33.42,33.45,33.195,33.22,2661497
2010-04-02,33.42,33.45,33.195,33.22,0
2010-04-05,33.49,33.52,33.305,33.44,2126761
2010-04-06,33.88,33.88,33.3,33.35,3050563
2010-04-07,33.56,33.82,33.5,33.8,3302590
2010-04-08,33.51,33.58,33.35,33.52,2773378
2010-04-09,33.93,33.93,33.32,33.49,3197112
2010-04-12,33.95,33.99,33.85,33.91,2427797
2010-04-13,33.91,33.97,33.72,33.89,2965061
2010-04-14,33.99,34.0,33.7,33.82,3039959
2010-04-15,33.95,33.96,33.7,33.84,2774348
2010-04-16,33.87,33.99,33.76,33.92,4464054
2010-04-19,34.09,34.2,33.81,33.91,3428530
2010-04-20,34.4,34.44,34.21,34.23,2881621
2010-04-21,34.45,34.55,34.32,34.35,3077751
2010-04-22,34.55,34.59,34.15,34.31,3319666
2010-04-23,34.73,34.73,34.31,34.5,3459155
2010-04-26,34.87,35.17,34.7,34.71,5202919
2010-04-27,34.5,35.2,34.44,34.91,5196857
2010-04-28,35.26,35.45,34.71,34.77,9757412
2010-04-29,34.64,34.84,34.5,34.7,6296731
2010-04-30,34.56,35.03,34.55,34.7,6479613
2010-05-03,34.61,34.84,34.51,34.71,5212448
2010-05-04,34.32,34.62,34.22,34.43,5907339
2010-05-05,34.02,34.85,34.02,34.39,7230218
2010-05-06,33.48,34.15,32.04,34.06,13047603
2010-05-07,33.92,34.27,33.32,33.6,14377460
2010-05-10,34.87,34.98,34.5,34.6,5961560
2010-05-11,34.88,35.1,34.57,34.64,5170225
2010-05-12,35.06,35.1,34.71,34.86,3646464
2010-05-13,34.63,35.03,34.58,34.97,4665394
2010-05-14,34.47,34.77,34.31,34.58,3821647
2010-05-17,34.63,34.74,34.17,34.66,3469969
2010-05-18,34.27,34.8,34.14,34.77,5314703
2010-05-19,33.93,34.31,33.78,34.09,5972188
2010-05-20,33.41,33.97,33.37,33.62,11055556
2010-05-21,33.62,33.62,33.01,33.01,6904138
2010-05-24,33.11,33.6,33.06,33.39,6329318
2010-05-25,32.99,33.07,32.45,33.0,6889218
2010-05-26,32.67,33.2,32.54,33.1,8774639
2010-05-27,32.92,33.09,32.72,33.08,5475424
2010-05-28,32.7,33.07,32.62,32.99,7506472
2010-05-31,32.7,33.07,32.62,32.99,0
2010-06-01,32.27,32.76,32.26,32.58,6616204
2010-06-02,32.69,32.71,32.23,32.35,5779084
2010-06-03,32.83,33.0,32.63,32.7,4789376
2010-06-04,32.13,32.61,32.035,32.55,7466059
2010-06-07,32.28,32.79,32.25,32.59,5066547
2010-06-08,32.84,32.85,32.13,32.25,5627967
2010-06-09,32.57,32.89,32.47,32.85,3925871
2010-06-10,33.02,33.04,32.685,32.91,4602231
2010-06-11,33.03,33.03,32.59,32.83,3565754
2010-06-14,33.17,33.35,33.05,33.2,3421008
2010-06-15,33.71,33.72,33.27,33.4,2678158
2010-06-16,33.86,33.86,33.48,33.61,3171059
2010-06-17,34.02,34.09,33.67,33.85,3753627
2010-06-18,34.11,34.19,33.95,34.09,4646793
2010-06-21,33.92,34.36,33.81,34.25,3692049
2010-06-22,33.54,34.06,33.51,34.0,4921584
2010-06-23,33.34,33.63,33.19,33.51,3432352
2010-06-24,33.3,33.69,33.25,33.25,4291624
2010-06-25,33.28,33.42,33.1,33.3,5234442
2010-06-28,33.81,33.96,33.29,33.45,4107363
2010-06-29,33.64,33.75,33.27,33.56,5505448
2010-06-30,33.28,33.72,33.18,33.67,4567165
2010-07-01,33.37,33.43,33.0,33.33,5057387
2010-07-02,33.38,33.65,33.3,33.49,4491635
2010-07-05,33.38,33.65,33.3,33.49,0
2010-07-06,33.5,33.6,33.25,33.58,8049753
2010-07-07,34.53,34.57,33.43,33.53,6020117
2010-07-08,34.52,34.56,34.24,34.49,4397996
2010-07-09,34.71,34.75,34.38,34.55,3172675
2010-07-12,34.78,34.8,34.47,34.57,3336243
2010-07-13,34.89,34.98,34.72,34.85,3396649
2010-07-14,34.91,34.95,34.62,34.82,2857662
2010-07-15,35.02,35.09,34.8,34.93,7237240
2010-07-16,34.78,35.13,34.76,34.85,4913988
2010-07-19,35.42,35.5,34.86,34.96,4410052
2010-07-20,35.84,35.84,35.11,35.17,6614941
2010-07-21,35.37,35.78,35.22,35.78,4537917
2010-07-22,35.65,35.84,35.37,35.57,4046062
2010-07-23,35.89,35.9,35.49,35.58,3292316
2010-07-26,36.08,36.1,35.69,35.69,3216545
2010-07-27,36.73,36.78,36.09,36.28,4952070
2010-07-28,36.59,36.65,36.255,36.65,5459256
2010-07-29,35.49,35.77,35.05,35.42,8190912
2010-07-30,35.33,35.46,35.11,35.34,5692130
2010-08-02,35.84,35.86,35.46,35.49,4687946
2010-08-03,35.61,35.95,35.53,35.7,3966623
2010-08-04,35.77,35.91,35.5,35.68,4309336
2010-08-05,35.92,35.95,35.53,35.65,3139676
2010-08-06,35.88,35.98,35.56,35.72,3836956
2010-08-09,36.15,36.19,35.92,35.97,3903961
2010-08-10,36.36,36.62,35.94,35.97,5753527
2010-08-11,35.86,36.22,35.85,36.02,4802303
2010-08-12,35.78,35.9,35.52,35.77,3659677
2010-08-13,35.84,36.14,35.6,35.61,3407992
2010-08-16,35.87,35.92,35.6,35.68,2898430
2010-08-17,36.06,36.24,35.879,36.0,3433181
2010-08-18,35.95,36.07,35.72,36.05,3915037
2010-08-19,35.49,35.88,35.2801,35.85,3904502
2010-08-20,35.78,35.86,35.19,35.19,4357781
2010-08-23,35.88,36.26,35.82,35.84,4687914
2010-08-24,36.42,36.57,35.7,35.75,5787497
