Date,Close,High,Low,Open,Volume
2010-01-01,55.17,55.55,55.17,55.42,0
2010-01-04,55.16,55.9,55.08,55.55,465803
2010-01-05,54.67,55.05,54.2,55.05,647514
2010-01-06,54.63,54.92,54.38,54.6,649555
2010-01-07,54.72,54.75,54.3,54.44,357048
2010-01-08,55.34,55.5,54.3,54.76,542439
2010-01-11,55.35,55.59,54.7,55.31,445561
2010-01-12,54.87,55.26,54.73,55.06,370447
2010-01-13,55.78,55.83,54.55,54.84,361463
2010-01-14,55.52,55.87,55.41,55.58,243690
2010-01-15,54.81,55.89,54.59,55.89,652076
2010-01-18,54.81,55.89,54.59,55.89,0
2010-01-19,56.12,56.185,54.88,55.05,565264
2010-01-20,55.19,55.85,54.65,55.71,407889
2010-01-21,55.01,56.03,54.75,55.06,612659
2010-01-22,54.8,55.3992,54.7,54.72,608394
2010-01-25,54.27,54.93,54.13,54.82,537680
2010-01-26,53.81,54.65,53.69,54.18,352937
2010-01-27,53.77,54.14,53.13,54.05,484364
2010-01-28,53.42,54.06,52.97,53.77,543451
2010-01-29,52.91,54.025,52.9,53.79,691530
2010-02-01,53.48,53.58,52.7,53.26,451573
2010-02-02,53.59,53.66,52.995,53.46,486360
2010-02-03,54.48,54.65,53.0,53.29,861461
2010-02-04,52.99,54.93,52.82,54.25,1325673
2010-02-05,52.0,53.94,51.5,53.94,1974736
2010-02-08,51.16,52.39,50.97,52.01,929611
2010-02-09,51.55,52.02,51.22,51.52,652500
2010-02-10,51.2,51.75,50.88,51.75,370550
2010-02-11,51.65,51.88,50.62,51.08,603524
2010-02-12,51.36,51.545,50.91,51.13,545304
2010-02-15,51.36,51.545,50.91,51.13,0
2010-02-16,52.45,52.45,51.61,51.77,627672
2010-02-17,53.02,53.2,52.08,52.43,620053
2010-02-18,53.5,53.6,53.03,53.14,557800
2010-02-19,54.3,54.55,53.29,53.29,806033
2010-02-22,54.6,54.64,53.99,54.27,932053
2010-02-23,53.98,54.68,53.96,54.46,866040
2010-02-24,54.83,54.93,53.96,54.34,845399
2010-02-25,55.93,56.0,54.13,54.26,973721
2010-02-26,55.18,56.09,54.96,56.09,773970
2010-03-01,55.57,55.57,55.2,55.32,414723
2010-03-02,56.14,56.5,55.4301,55.9,997584
2010-03-03,55.78,56.41,55.58,56.31,361790
2010-03-04,55.3,55.83,55.2,55.75,542479
2010-03-05,55.35,55.71,55.26,55.3,364204
2010-03-08,54.68,55.16,54.57,55.15,392434
2010-03-09,54.65,54.91,54.36,54.57,382618
2010-03-10,54.38,54.7,54.27,54.57,622535
2010-03-11,54.56,54.56,54.03,54.38,514194
2010-03-12,54.49,54.86,54.2,54.6,299522
2010-03-15,54.93,55.04,54.16,54.56,373640
2010-03-16,55.27,55.36,54.82,54.82,271263
2010-03-17,55.49,55.62,55.08,55.25,326194
2010-03-18,55.49,55.57,55.156,55.29,311923
2010-03-19,55.61,56.55,55.16,55.5,975517
2010-03-22,56.1,56.25,55.14,55.53,456931
2010-03-23,56.38,56.44,56.02,56.07,264131
2010-03-24,54.71,55.86,54.34,55.49,756417
2010-03-25,54.5,54.93,54.41,54.78,514700
2010-03-26,54.5,54.7,54.29,54.7,415844
2010-03-29,55.04,55.37,54.52,54.72,358496
2010-03-30,54.9,55.2,54.57,55.2,301918
2010-03-31,54.5,54.85,54.26,54.83,350898
2010-04-01,54.77,55.03,54.27,54.67,378894
2010-04-02,54.77,55.03,54.27,54.67,0
2010-04-05,55.08,55.17,54.68,54.77,385385
2010-04-06,55.14,55.2485,54.75,54.75,379046
2010-04-07,54.57,54.91,54.46,54.88,420200
2010-04-08,54.35,54.5,54.06,54.5,432693
2010-04-09,54.58,54.58,53.83,54.29,329797
2010-04-12,55.57,55.68,54.49,54.69,532574
2010-04-13,55.81,56.0,55.18,55.26,486743
2010-04-14,55.9,55.93,54.94,55.8,1100345
2010-04-15,55.75,56.0,55.14,55.93,569178
2010-04-16,55.66,55.9375,55.46,55.61,674732
2010-04-19,55.86,55.86,55.3,55.66,765052
2010-04-20,56.12,56.12,55.48,55.95,392436
2010-04-21,55.75,55.99,55.36,55.91,613000
2010-04-22,56.56,56.64,55.28,55.63,424558
2010-04-23,57.0,57.34,56.59,56.99,666542
2010-04-26,57.16,57.45,56.82,56.87,519443
2010-04-27,56.0,57.18,55.91,56.95,474234
2010-04-28,57.07,57.22,55.82,56.04,569643
2010-04-29,58.1,58.2,57.14,57.5,763596
2010-04-30,58.9,59.525,58.14,58.33,901698
2010-05-03,58.61,59.15,58.37,58.91,1095830
2010-05-04,57.44,58.26,56.87,58.23,594197
2010-05-05,57.44,57.84,57.05,57.28,514947
2010-05-06,56.03,57.57,54.58,57.43,914957
2010-05-07,55.53,56.42,55.26,55.62,825438
2010-05-10,57.64,57.8,56.78,56.86,613514
2010-05-11,57.57,58.16,56.78,57.0,395925
2010-05-12,57.77,57.93,57.25,57.58,595359
2010-05-13,57.19,57.77,57.09,57.71,402659
2010-05-14,56.7,57.17,56.34,57.05,503966
2010-05-17,57.44,57.6,56.62,56.94,611193
2010-05-18,58.06,58.84,57.75,57.8,1033893
2010-05-19,58.36,59.02,57.73,58.05,1134441
2010-05-20,56.91,58.07,56.74,57.42,931355
