Date,Close,High,Low,Open,Volume
2010-01-01,20.29,20.47,20.13,20.21,0
2010-01-04,20.44,20.69,20.21,20.65,6669251
2010-01-05,20.72,20.78,20.16,20.3,8286651
2010-01-06,21.3,21.47,20.33,20.62,8225403
2010-01-07,22.56,23.29,21.04,21.4,15575109
2010-01-08,23.01,23.04,22.32,22.43,6714701
2010-01-11,23.27,23.35,22.72,23.11,7180118
2010-01-12,22.45,23.1,22.38,23.03,9228676
2010-01-13,22.78,22.9,22.11,22.61,8276992
2010-01-14,23.7,23.99,22.66,22.78,7962068
2010-01-15,23.39,23.6,22.95,23.49,10337087
2010-01-18,23.39,23.6,22.95,23.49,0
2010-01-19,23.35,23.47,23.0,23.28,5851898
2010-01-20,23.42,23.93,23.11,23.26,8259024
2010-01-21,24.53,25.89,23.51,23.53,18109785
2010-01-22,24.55,25.67,23.66,24.52,20886246
2010-01-25,24.0,24.7,23.06,24.54,12374377
2010-01-26,23.62,24.38,23.46,23.72,9919433
2010-01-27,24.7,24.81,23.44,23.57,11197620
2010-01-28,24.81,26.2,24.57,26.01,20529811
2010-01-29,24.33,24.77,24.2,24.59,13431518
2010-02-01,24.5,24.58,23.64,24.46,11488522
2010-02-02,24.27,24.68,23.98,24.5,11749018
2010-02-03,23.27,24.05,22.86,24.05,13874873
2010-02-04,22.0,23.3,21.92,23.22,12493953
2010-02-05,22.49,22.67,21.44,21.96,9157748
2010-02-08,22.4,23.09,21.84,22.37,7661973
2010-02-09,22.69,23.07,22.4,22.61,5773434
2010-02-10,22.99,23.41,22.49,22.59,5819786
2010-02-11,22.48,23.0,22.38,22.94,9105600
2010-02-12,22.37,22.4,21.8,22.26,8346550
2010-02-15,22.37,22.4,21.8,22.26,0
2010-02-16,22.69,22.89,22.53,22.73,9009703
2010-02-17,22.6,23.02,22.41,22.79,9022566
2010-02-18,22.62,22.78,22.08,22.47,9497247
2010-02-19,23.03,23.12,22.65,22.65,7952628
2010-02-22,23.65,23.9,23.05,23.25,7016603
2010-02-23,22.76,23.74,22.69,23.74,7776400
2010-02-24,23.77,23.87,22.77,22.87,8697623
2010-02-25,23.52,23.55,22.93,23.27,6841434
2010-02-26,23.81,23.86,23.19,23.6,6849360
2010-03-01,23.64,23.86,23.3,23.71,4387336
2010-03-02,24.43,24.72,23.67,23.72,7657861
2010-03-03,24.16,24.64,24.08,24.6,3922993
2010-03-04,24.38,24.44,24.0,24.11,4261623
2010-03-05,25.06,25.09,24.35,24.39,4958275
2010-03-08,25.64,25.9,24.96,25.04,7261359
2010-03-09,25.83,26.45,25.07,25.39,10530189
2010-03-10,26.49,27.25,25.92,26.0,12604562
2010-03-11,27.08,27.13,26.28,26.51,6654938
2010-03-12,26.86,28.0,26.76,27.5,8986820
2010-03-15,26.99,27.39,26.72,26.89,7241844
2010-03-16,27.38,27.45,26.81,27.1,6803415
2010-03-17,28.09,28.39,27.27,27.32,7544724
2010-03-18,27.38,28.13,27.12,27.94,6382237
2010-03-19,27.18,27.8,26.89,27.61,6788025
2010-03-22,27.09,27.15,26.39,26.47,7136528
2010-03-23,26.87,27.09,26.16,26.93,7817862
2010-03-24,27.26,27.3,26.67,26.75,6019906
2010-03-25,26.57,27.65,26.54,27.5,8433629
2010-03-26,26.5,27.07,26.25,26.71,8355741
2010-03-29,26.34,26.76,26.18,26.63,3207058
2010-03-30,26.34,26.75,26.15,26.29,3405240
2010-03-31,26.79,26.9,26.15,26.19,5623166
2010-04-01,27.16,27.23,26.84,27.0,4972536
2010-04-02,27.16,27.23,26.84,27.0,0
2010-04-05,27.74,27.789,27.05,27.3,6326240
2010-04-06,28.71,28.97,27.43,27.5,8130013
2010-04-07,28.53,29.41,28.34,29.05,7916915
2010-04-08,28.56,28.6,27.72,28.23,6717130
2010-04-09,28.65,28.82,28.24,28.59,4002897
2010-04-12,29.44,29.64,28.79,28.91,6892844
2010-04-13,29.02,29.28,28.71,29.28,5434973
2010-04-14,30.28,30.29,29.17,29.17,8111905
2010-04-15,29.77,30.42,29.59,30.19,6806818
2010-04-16,28.48,29.64,27.64,29.56,14852175
2010-04-19,28.97,29.05,27.98,28.21,8845753
2010-04-20,30.19,30.29,28.76,29.08,8139659
2010-04-21,29.72,31.42,29.29,30.0,13491189
2010-04-22,29.32,29.46,28.4,29.29,9776241
2010-04-23,29.44,29.78,29.07,29.43,6465717
2010-04-26,28.37,29.61,28.24,29.35,5090096
2010-04-27,27.79,29.3,27.68,28.04,11377547
