Date,Close,High,Low,Open,Volume
2010-01-01,43.54,44.15,43.5,43.88,0
2010-01-04,44.46,44.78,43.55,43.81,3440447
2010-01-05,44.55,45.0,44.02,44.52,3993348
2010-01-06,43.81,44.67,43.65,44.4,4062388
2010-01-07,44.6,44.86,43.98,44.345,5273341
2010-01-08,45.51,45.88,44.39,44.76,6038651
2010-01-11,44.36,46.1,44.21,45.89,4260499
2010-01-12,44.2,44.85,43.91,43.91,3432967
2010-01-13,44.61,44.77,43.65,44.5,2747233
2010-01-14,43.79,44.42,43.19,44.33,4269026
2010-01-15,42.67,44.1,42.52,43.52,6887078
2010-01-18,42.67,44.1,42.52,43.52,0
2010-01-19,43.2,43.33,42.45,42.51,6996321
2010-01-20,46.28,46.82,43.88,43.89,12516240
2010-01-21,45.47,46.9,45.35,46.21,8062402
2010-01-22,43.36,45.85,43.05,45.4,6370532
2010-01-25,43.94,44.424,43.17,43.85,3559103
2010-01-26,43.08,44.34,42.48,43.89,5315310
2010-01-27,44.51,44.61,42.7,42.88,5125138
2010-01-28,43.83,44.76,43.14,44.76,4129481
2010-01-29,42.88,44.52,42.61,44.15,5285619
2010-02-01,44.16,44.22,43.09,43.27,4831673
2010-02-02,44.57,44.76,43.85,44.16,5885192
2010-02-03,44.4,44.61,44.1,44.4,4762516
2010-02-04,43.07,44.35,43.0,44.02,7108550
2010-02-05,43.35,43.63,42.02,43.29,8363951
2010-02-08,43.0,44.31,42.9,43.32,5984723
2010-02-09,44.22,44.36,43.32,43.5,8471008
2010-02-10,44.64,45.33,43.99,44.22,5670225
2010-02-11,45.05,45.3,44.13,44.65,4879527
2010-02-12,44.62,44.91,44.11,44.58,5845670
2010-02-15,44.62,44.91,44.11,44.58,0
2010-02-16,45.47,45.57,44.46,44.87,5039303
2010-02-17,44.84,45.45,44.52,45.29,4456980
2010-02-18,45.23,45.32,44.48,44.8,5357508
2010-02-19,46.64,47.55,45.21,45.21,9715547
2010-02-22,46.78,47.15,46.39,46.72,5889174
2010-02-23,45.86,46.96,45.64,46.5,5167150
2010-02-24,45.38,45.8,44.45,44.48,8404635
2010-02-25,44.99,45.05,44.13,44.25,7236439
2010-02-26,44.91,45.17,44.43,44.86,4912000
2010-03-01,44.97,45.22,44.7199,45.2,3333374
2010-03-02,45.03,45.54,44.96,45.21,3427402
2010-03-03,44.92,45.6,44.85,45.11,2751216
2010-03-04,45.1,45.26,44.73,45.0,3835701
