Date,Close,High,Low,Open,Volume
2010-01-01,15.93,16.076,15.92,15.98,0
2010-01-04,16.12,16.17,15.89,16.02,1418701
2010-01-05,15.92,16.13,15.86,16.08,2431518
2010-01-06,16.13,16.17,15.72,15.94,2839300
2010-01-07,15.97,16.2,15.1,15.6,3870650
2010-01-08,15.66,15.88,15.55,15.88,2100255
2010-01-11,15.69,15.8,15.53,15.66,1535998
2010-01-12,15.65,15.75,15.52,15.63,1762870
2010-01-13,15.91,15.995,15.61,15.64,1518726
2010-01-14,16.33,16.48,15.98,15.98,2466965
2010-01-15,16.41,16.55,16.29,16.37,2384670
2010-01-18,16.41,16.55,16.29,16.37,0
2010-01-19,16.82,16.84,16.38,16.38,2334552
2010-01-20,16.83,16.835,16.54,16.66,2655360
2010-01-21,16.79,17.04,16.72,16.72,2402207
2010-01-22,16.61,16.85,16.5,16.82,2110099
2010-01-25,16.61,16.8,16.46,16.8,1274283
2010-01-26,16.42,16.62,16.41,16.47,1001169
2010-01-27,16.34,16.48,16.06,16.4,1120560
2010-01-28,16.17,16.45,16.1,16.41,734882
2010-01-29,16.08,16.27,16.03,16.23,1461380
2010-02-01,16.23,16.29,16.07,16.18,998590
2010-02-02,16.39,16.42,16.1185,16.28,829072
2010-02-03,16.31,16.42,16.19,16.36,685139
2010-02-04,15.45,16.2,15.41,16.16,1993861
2010-02-05,15.33,15.51,14.95,15.4,3211414
2010-02-08,14.93,15.37,14.87,15.37,2205642
2010-02-09,15.2,15.33,14.96,15.17,1509778
2010-02-10,15.13,15.24,14.91,15.17,1615752
2010-02-11,15.49,15.53,15.08,15.18,1351464
2010-02-12,15.36,15.59,15.28,15.38,1974176
2010-02-15,15.36,15.59,15.28,15.38,0
2010-02-16,15.61,15.61,15.37,15.43,839434
2010-02-17,15.68,15.84,15.55,15.62,1360335
2010-02-18,15.59,15.8,15.56,15.71,1447988
2010-02-19,15.6,15.625,15.33,15.48,1589857
2010-02-22,15.53,15.68,15.47,15.66,958355
2010-02-23,15.22,15.46,15.03,15.4,2239958
2010-02-24,15.02,15.25,14.96,15.24,2710879
2010-02-25,14.83,14.91,14.6,14.82,4360009
2010-02-26,15.04,15.09,14.83,14.89,1611534
2010-03-01,15.26,15.26,15.06,15.1,1071084
2010-03-02,15.47,15.52,15.21,15.29,1364960
2010-03-03,15.43,15.66,15.42,15.49,1498395
2010-03-04,15.57,15.59,15.36,15.4,1096776
2010-03-05,15.81,15.85,15.58,15.65,1118606
2010-03-08,15.78,15.83,15.67,15.75,1596522
2010-03-09,15.81,15.92,15.67,15.73,1815480
2010-03-10,15.62,15.88,15.54,15.74,1849257
2010-03-11,15.83,15.83,15.54,15.55,1104584
2010-03-12,16.11,16.14,15.83,15.83,1627015
2010-03-15,16.13,16.23,15.96,16.1,1076584
2010-03-16,16.17,16.23,15.99,16.11,822555
2010-03-17,16.24,16.28,16.09,16.18,828320
2010-03-18,16.19,16.3,16.03,16.19,1519160
2010-03-19,16.0,16.31,15.96,16.19,1702469
2010-03-22,16.11,16.15,15.85,15.86,1286386
2010-03-23,16.37,16.39,16.03,16.09,1070185
2010-03-24,16.22,16.38,16.13,16.28,1044916
2010-03-25,16.18,16.39,16.16,16.35,1196453
2010-03-26,16.01,16.225,16.0,16.17,1116904
2010-03-29,16.31,16.35,16.05,16.09,987165
2010-03-30,16.42,16.57,16.36,16.39,957212
2010-03-31,16.44,16.56,16.2799,16.39,1369667
2010-04-01,16.5,16.6,16.33,16.5,1212523
2010-04-02,16.5,16.6,16.33,16.5,0
2010-04-05,16.67,16.72,16.43,16.51,823168
2010-04-06,17.0,17.01,16.6,16.65,1489911
2010-04-07,16.84,17.12,16.83,16.9,1657634
2010-04-08,16.85,17.0,16.77,16.85,2216131
