Date,Close,High,Low,Open,Volume
2010-01-01,51.51,52.24,51.39,52.24,0
2010-01-04,52.71,53.0,51.62,51.74,2032962
2010-01-05,53.48,53.55,52.17,52.59,2474038
2010-01-06,54.82,54.91,53.27,53.43,3035777
2010-01-07,56.75,57.07,54.53,54.62,4276309
2010-01-08,57.42,57.68,56.44,56.44,1441569
2010-01-11,57.07,57.68,56.53,57.57,1595260
2010-01-12,56.18,56.77,55.8,56.71,1208424
2010-01-13,56.71,56.95,56.0,56.41,1129227
2010-01-14,56.55,56.64,55.93,56.55,1430429
2010-01-15,55.74,56.65,55.44,56.45,1661145
2010-01-18,55.74,56.65,55.44,56.45,0
2010-01-19,56.3,56.54,55.68,55.72,1349767
2010-01-20,55.54,55.81,55.0,55.74,1396293
2010-01-21,54.18,55.525,54.16,55.48,1973448
2010-01-22,53.33,54.28,53.2,54.03,1363496
2010-01-25,53.82,54.04,53.47,53.82,1522304
2010-01-26,53.31,54.25,53.15,53.38,1608577
2010-01-27,52.47,53.34,51.54,52.93,3563583
2010-01-28,51.39,52.88,51.37,52.62,1948375
2010-01-29,51.25,52.15,51.0,51.79,2658025
2010-02-01,52.23,52.34,51.21,51.57,1360394
2010-02-02,54.25,54.36,52.1975,52.26,2981014
2010-02-03,56.34,57.36,54.69,54.82,5723894
2010-02-04,54.64,56.0,54.59,55.81,2338074
2010-02-05,54.43,54.73,52.76,54.57,2440331
2010-02-08,53.53,54.5,53.48,54.5,1676848
2010-02-09,54.22,54.5898,53.47,54.29,1594739
2010-02-10,53.77,54.4,53.38,54.3,1067607
2010-02-11,54.11,54.36,53.26,53.68,1460588
2010-02-12,54.29,54.32,53.27,53.85,2179519
2010-02-15,54.29,54.32,53.27,53.85,0
2010-02-16,54.87,54.89,54.13,54.66,1504426
2010-02-17,55.84,55.99,54.77,54.9,1309981
2010-02-18,56.36,56.6,55.52,55.54,2861671
2010-02-19,55.92,56.4,55.75,56.3,1126654
2010-02-22,56.22,56.26,55.57,56.01,1579038
2010-02-23,55.24,56.27,54.85,56.03,1138173
2010-02-24,56.14,56.24,54.94,55.36,1374173
2010-02-25,56.0,56.09,54.78,55.07,1230189
2010-02-26,57.25,57.5,56.04,56.21,2616875
2010-03-01,59.06,59.1,56.86,56.99,2434562
2010-03-02,58.78,59.9,58.6,59.25,1822522
2010-03-03,58.79,59.38,58.5,59.08,699044
2010-03-04,58.44,58.96,58.12,58.85,2478324
2010-03-05,59.09,59.51,58.44,58.89,2008236
2010-03-08,59.07,59.26,58.64,59.26,930201
2010-03-09,59.27,59.59,58.62,58.88,1023856
2010-03-10,59.38,59.5,58.63,59.18,980668
2010-03-11,58.83,59.21,58.46,59.15,1557043
2010-03-12,57.86,59.29,57.19,58.86,5307824
2010-03-15,57.62,58.49,56.5,58.16,3164130
2010-03-16,57.76,58.5,57.6,58.21,1578558
2010-03-17,58.44,58.65,57.93,58.12,1957558
2010-03-18,58.55,58.94,58.41,58.6,1536576
2010-03-19,58.07,59.35,58.03,58.96,2096931
2010-03-22,59.0,59.06,57.87,58.0,1469818
2010-03-23,59.9,59.98,59.0,59.19,3117233
2010-03-24,59.1,59.98,58.97,59.9,1369067
2010-03-25,57.92,59.55,57.91,59.37,1605739
2010-03-26,58.61,58.79,58.05,58.33,1872594
2010-03-29,58.34,59.43,58.14,59.05,1505553
2010-03-30,58.22,58.56,58.0,58.24,855077
2010-03-31,57.41,58.2599,57.3,58.11,1268091
2010-04-01,58.0,58.26,57.46,57.9,1323393
2010-04-02,58.0,58.26,57.46,57.9,0
2010-04-05,59.23,59.25,58.2,58.44,1313714
2010-04-06,59.72,59.75,58.8,58.92,969781
2010-04-07,59.37,59.69,58.97,59.45,1587827
2010-04-08,59.25,59.47,58.915,59.32,1233630
2010-04-09,60.42,60.73,59.44,59.57,2001259
2010-04-12,60.37,61.0,60.34,60.67,1284665
2010-04-13,61.07,61.25,60.1,60.35,1598446
2010-04-14,61.9,62.02,60.76,61.27,1687467
2010-04-15,61.22,62.1,61.12,61.65,1504461
2010-04-16,60.46,61.7695,59.69,61.06,1791582
2010-04-19,60.47,60.85,59.6,60.33,967371
2010-04-20,61.74,61.88,60.96,61.18,2622089
2010-04-21,62.03,62.05,61.5,61.92,1503095
2010-04-22,63.0,63.01,60.99,61.55,1274398
2010-04-23,62.84,63.6,62.07,62.72,1650753
2010-04-26,63.3,64.14,62.92,63.0,2446779
2010-04-27,64.36,66.27,63.92,64.51,5054399
2010-04-28,64.6,65.09,63.5,64.73,3908205
2010-04-29,65.07,65.5,64.72,64.98,1884762
2010-04-30,62.15,64.99,62.13,64.98,3026025
2010-05-03,63.31,63.55,62.2,62.69,2383707
2010-05-04,61.43,62.51,61.03,62.51,2004279
2010-05-05,60.01,61.42,59.76,60.95,2071017
2010-05-06,58.42,60.98,55.75,59.61,3211754
2010-05-07,56.12,59.15,55.95,58.35,3467382
2010-05-10,61.23,61.27,59.03,59.75,3433108
2010-05-11,61.45,62.85,60.31,60.48,2812476
2010-05-12,62.61,63.13,61.73,61.73,2253899
2010-05-13,61.76,63.76,61.7,62.42,2886825
2010-05-14,60.33,61.5,59.66,61.48,1992212
2010-05-17,60.11,60.76,58.66,60.38,1716084
2010-05-18,59.04,61.47,58.86,60.98,2595713
2010-05-19,57.68,59.19,56.86,58.39,3155008
2010-05-20,54.22,56.34,53.42,55.95,4316707
2010-05-21,55.38,55.59,52.88,54.47,4374863
2010-05-24,54.5,55.45,54.36,55.2,2070894
2010-05-25,54.88,54.97,52.02,52.82,3242051
2010-05-26,54.84,56.45,54.44,55.27,2035100
2010-05-27,57.09,57.15,55.9,56.29,2301912
2010-05-28,55.79,56.77,55.24,56.59,1665888
2010-05-31,55.79,56.77,55.24,56.59,0
2010-06-01,54.89,56.61,54.85,55.6,2122883
2010-06-02,57.25,57.32,54.76,55.28,2313638
2010-06-03,57.61,58.52,56.86,57.74,1621758
2010-06-04,55.07,56.76,54.85,56.68,3416640
2010-06-07,53.29,55.33,53.04,55.1,2454954
2010-06-08,54.14,54.31,53.07,53.33,1648031
2010-06-09,52.87,55.09,52.57,54.73,3125903
2010-06-10,54.08,54.3,53.4,53.51,3843753
2010-06-11,54.96,55.25,53.36,53.57,1487990
2010-06-14,55.31,56.55,55.11,55.62,1519321
2010-06-15,57.3,57.42,55.42,55.45,2090561
2010-06-16,56.82,57.15,56.2,56.63,1284012
2010-06-17,55.63,57.14,55.2075,57.04,2104629
2010-06-18,55.99,56.28,55.4,55.99,1833925
2010-06-21,55.27,57.11,54.96,56.99,1722321
2010-06-22,52.27,55.49,52.23,54.82,3616404
2010-06-23,52.18,52.606,50.74,52.15,4517553
2010-06-24,52.16,52.89,51.31,52.11,2235856
2010-06-25,52.06,52.4,51.1,52.4,2211673
2010-06-28,51.75,52.53,51.54,52.31,1274631
2010-06-29,50.42,51.35,49.67,51.35,3489762
2010-06-30,50.52,51.17,49.9,50.31,2882515
