Date,Close,High,Low,Open,Volume
2010-01-01,50.37,50.96,50.37,50.7,0
2010-01-04,52.16,52.27,50.83,51.28,3978837
2010-01-05,52.65,52.69,51.925,52.33,2196282
2010-01-06,53.46,53.53,52.5,52.66,3249751
2010-01-07,55.25,55.36,53.35,53.35,4068028
2010-01-08,55.42,56.12,55.21,55.68,3534162
2010-01-11,55.25,55.85,54.98,55.76,2164238
2010-01-12,55.21,55.38,54.38,54.7,2857503
2010-01-13,55.47,55.64,55.02,55.15,1749292
2010-01-14,56.02,56.12,55.41,55.53,1563904
2010-01-15,56.03,56.04,55.43,55.98,2930629
2010-01-18,56.03,56.04,55.43,55.98,0
2010-01-19,56.96,57.39,56.23,56.23,2543441
2010-01-20,55.93,57.37,55.59,56.82,2583715
2010-01-21,54.73,55.97,54.5,55.84,2337671
2010-01-22,54.04,55.1896,53.98,54.45,2575854
2010-01-25,54.44,54.88,53.81,54.27,2312046
2010-01-26,54.56,55.04,53.9,54.3,2171169
2010-01-27,52.91,53.97,51.73,53.61,4030710
2010-01-28,52.19,53.2,51.77,52.96,3329657
2010-01-29,51.92,52.57,51.6,52.43,3602366
2010-02-01,52.2,52.22,51.6,52.22,1268384
2010-02-02,53.15,53.29,52.0599,52.34,2103068
2010-02-03,52.54,53.02,52.42,53.02,1346037
2010-02-04,51.09,52.19,51.07,52.15,4008653
2010-02-05,51.06,51.23,49.85,50.99,3182944
2010-02-08,51.43,51.98,50.93,51.14,2192698
2010-02-09,51.91,52.45,51.53,51.96,1905005
2010-02-10,51.62,52.1,51.29,51.93,1459673
2010-02-11,52.17,52.39,51.15,51.42,1760907
2010-02-12,52.06,52.2599,51.37,51.66,1633622
2010-02-15,52.06,52.2599,51.37,51.66,0
2010-02-16,52.8,52.81,52.06,52.25,1350555
2010-02-17,53.07,53.22,52.8,53.0,1115740
2010-02-18,53.24,53.34,52.8,53.0,1021104
2010-02-19,53.16,53.43,52.81,52.97,1226038
2010-02-22,53.09,53.45,52.96,53.36,1251866
2010-02-23,52.62,53.07,52.45,52.91,1239174
2010-02-24,52.89,52.95,52.47,52.93,1077096
2010-02-25,52.84,52.85,51.84,52.07,1317073
2010-02-26,53.1,53.43,52.75,52.98,1204021
2010-03-01,53.82,54.08,53.29,53.32,1018744
2010-03-02,54.46,54.77,53.92,53.94,1084140
2010-03-03,54.11,54.78,54.055,54.56,1443638
2010-03-04,54.05,54.19,53.79,54.01,1229772
2010-03-05,55.04,55.04,54.21,54.23,2240869
2010-03-08,55.05,55.24,54.95,55.1,1354348
2010-03-09,55.0,55.07,54.78,54.93,1329753
2010-03-10,55.29,55.4,54.69,54.94,1565459
2010-03-11,55.73,55.79,54.78,55.2,2413217
2010-03-12,55.23,55.75,54.47,55.75,2070916
2010-03-15,55.42,55.47,54.98,55.36,1033433
2010-03-16,55.43,55.55,55.0575,55.55,1055106
2010-03-17,56.27,56.27,55.33,55.44,2221033
2010-03-18,56.66,56.67,56.02,56.07,1591246
2010-03-19,56.64,57.09,56.21,56.9,1755214
2010-03-22,56.85,57.25,56.21,56.21,1838524
2010-03-23,57.0,57.01,56.21,56.87,1325611
2010-03-24,57.96,58.24,57.3801,57.89,2680901
2010-03-25,57.68,58.49,57.68,58.31,1710131
2010-03-26,56.71,57.68,56.66,57.67,1938724
2010-03-29,57.18,57.27,56.76,56.83,1121771
2010-03-30,57.51,57.62,57.05,57.33,1087947
2010-03-31,57.22,57.6,56.82,57.24,1239594
2010-04-01,57.65,57.74,57.3101,57.63,863576
2010-04-02,57.65,57.74,57.3101,57.63,0
2010-04-05,57.85,58.2,57.51,57.65,942195
2010-04-06,57.78,57.9,57.5,57.62,875379
2010-04-07,57.17,57.93,56.905,57.81,1412669
2010-04-08,57.1,57.2,56.635,57.14,1093675
2010-04-09,57.64,57.64,57.01,57.03,618736
2010-04-12,57.64,57.95,57.32,57.64,1068435
2010-04-13,57.18,57.56,56.868,57.13,1945871
2010-04-14,57.71,57.83,56.87,57.14,1958300
2010-04-15,58.09,58.37,57.51,57.58,1513309
2010-04-16,57.24,58.25,56.84,57.95,1842563
2010-04-19,57.47,57.51,57.03,57.22,1627783
2010-04-20,58.45,58.72,57.55,57.87,2117016
2010-04-21,57.93,58.44,57.35,57.74,1997575
2010-04-22,57.72,57.82,56.76,57.43,1896295
2010-04-23,58.89,59.01,57.15,57.5,3247888
2010-04-26,58.81,59.72,58.71,59.23,2269117
2010-04-27,57.54,58.93,57.45,58.52,2400344
2010-04-28,58.08,58.35,57.31,57.67,1907531
2010-04-29,58.6,58.98,58.33,58.6,1302347
2010-04-30,57.44,58.925,57.4,58.86,2093526
2010-05-03,58.12,58.37,57.22,57.46,2193823
2010-05-04,57.45,58.78,56.92,58.75,3484664
2010-05-05,57.22,57.41,56.75,56.98,2072925
2010-05-06,56.25,57.28,53.85,57.02,4144247
2010-05-07,54.12,56.12,53.74,55.87,4881201
2010-05-10,56.86,56.87,55.56,55.56,2755320
2010-05-11,56.75,57.18,56.09,56.22,1849342
2010-05-12,57.22,57.22,56.45,57.01,1166672
2010-05-13,57.47,57.99,57.01,57.28,1786939
2010-05-14,56.46,57.71,55.65,57.59,3253099
2010-05-17,56.56,56.89,55.74,56.53,2337494
2010-05-18,55.91,57.27,55.87,56.93,1241139
2010-05-19,55.72,56.38,55.04,55.58,2236122
2010-05-20,53.88,55.0,53.31,54.68,4533505
2010-05-21,52.7,53.9,52.18,53.21,5263354
2010-05-24,53.18,53.73,52.3,52.38,2794800
2010-05-25,52.59,52.62,51.22,51.93,2332545
2010-05-26,52.19,53.37,52.15,52.8,2173733
2010-05-27,53.47,53.53,52.53,52.9,1372885
2010-05-28,53.03,53.7331,52.936,53.25,1826925
2010-05-31,53.03,53.7331,52.936,53.25,0
2010-06-01,52.42,53.34,52.34,52.63,1737288
2010-06-02,53.71,53.71,52.19,52.56,1833834
2010-06-03,54.03,54.35,53.62,53.93,1760659
2010-06-04,51.97,53.39,51.8,53.19,2398462
2010-06-07,50.62,52.17,50.58,51.95,2910551
2010-06-08,50.56,50.94,49.91,50.49,2641982
2010-06-09,49.48,51.0,49.24,50.58,4328201
2010-06-10,49.36,50.25,48.76,50.24,4722658
2010-06-11,50.59,50.6,49.0,49.15,4198793
2010-06-14,50.45,51.27,50.44,50.78,2018816
2010-06-15,51.72,51.72,50.68,50.8,2057179
2010-06-16,52.23,52.38,51.27,51.38,2039534
2010-06-17,52.04,52.23,51.56,52.18,1749594
2010-06-18,51.82,52.1,51.59,51.9,2019704
2010-06-21,51.58,52.47,51.25,52.34,1814050
2010-06-22,50.94,52.1,50.93,51.73,1879651
2010-06-23,51.14,51.43,50.17,51.22,2388734
2010-06-24,50.2,51.16,50.03,51.1,2361287
2010-06-25,50.1,50.51,49.75,50.23,3624545
2010-06-28,51.04,51.44,49.62,49.91,2396622
2010-06-29,50.16,50.7693,49.73,50.51,2444315
2010-06-30,50.06,50.74,49.74,49.99,1995753
2010-07-01,49.76,49.89,48.61,49.8,2948188
2010-07-02,49.88,50.23,49.4226,49.84,1896992
2010-07-05,49.88,50.23,49.4226,49.84,0
2010-07-06,50.42,50.87,49.91,50.2,1591910
2010-07-07,52.25,52.27,50.5,50.54,1729911
2010-07-08,52.48,52.67,51.725,52.62,2674693
2010-07-09,52.38,52.6,52.09,52.42,962667
2010-07-12,52.14,52.41,51.79,52.27,998158
2010-07-13,53.12,53.25,52.38,52.43,1171358
2010-07-14,53.05,53.29,52.71,53.01,1532653
