Date,Close,High,Low,Open,Volume
2010-01-01,17.89,18.27,17.89,18.12,0
2010-01-04,18.4,18.53,18.01,18.1,8322224
2010-01-05,18.3,18.44,18.14,18.42,6621163
2010-01-06,18.36,18.46,18.14,18.22,6043685
2010-01-07,18.32,18.47,18.13,18.28,8085205
2010-01-08,18.37,18.5,18.21,18.29,6030834
2010-01-11,18.36,18.5,18.23,18.34,6345471
2010-01-12,18.47,18.62,18.25,18.3,12956309
2010-01-13,18.69,18.86,18.53,18.75,9715008
2010-01-14,18.78,18.89,18.61,18.65,7248859
2010-01-15,18.85,19.14,18.565,18.99,17047668
2010-01-18,18.85,19.14,18.565,18.99,0
2010-01-19,19.14,19.16,18.79,18.83,10053164
2010-01-20,18.71,19.08,18.36,18.98,14625797
2010-01-21,18.63,19.04,18.4889,18.89,17271399
2010-01-22,18.29,18.84,18.28,18.6,14709904
2010-01-25,18.47,18.63,18.24,18.35,11209482
2010-01-26,18.46,18.63,18.28,18.33,10200012
2010-01-27,18.61,18.66,18.23,18.42,14282602
2010-01-28,17.41,18.1,17.15,18.05,35322683
2010-01-29,16.95,17.56,16.9,17.52,16539313
2010-02-01,17.33,17.37,16.99,17.0,13669972
2010-02-02,17.33,17.43,17.09,17.32,12981796
2010-02-03,17.26,17.39,17.14,17.19,11434539
2010-02-04,16.93,17.19,16.85,17.09,13880994
2010-02-05,17.14,17.2,16.83,16.87,13726708
2010-02-08,17.01,17.13,16.87,17.09,9241823
2010-02-09,17.06,17.21,16.8539,17.19,13685274
2010-02-10,17.09,17.15,16.88,17.03,7281040
2010-02-11,17.23,17.4,16.92,17.05,11168978
2010-02-12,16.83,16.86,16.6,16.76,17203289
2010-02-15,16.83,16.86,16.6,16.76,0
2010-02-16,17.09,17.12,16.58,16.58,7827769
2010-02-17,16.94,17.2,16.83,17.07,9752540
2010-02-18,17.12,17.14,16.8,16.96,7889436
2010-02-19,17.17,17.25,16.92,16.99,6340573
2010-02-22,16.88,17.27,16.815,17.17,18500859
2010-02-23,16.64,16.94,16.61,16.82,15558280
2010-02-24,16.52,16.87,16.45,16.75,23826760
2010-02-25,16.54,16.59,16.13,16.29,20631521
2010-02-26,16.55,16.66,16.34,16.6,14737635
2010-03-01,16.68,16.76,16.48,16.55,13099912
2010-03-02,16.57,16.845,16.56,16.69,12286579
2010-03-03,16.66,16.79,16.58,16.58,9501041
2010-03-04,16.73,16.86,16.51,16.74,9526515
2010-03-05,16.97,17.0,16.77,16.89,10331985
2010-03-08,16.9,16.99,16.82,16.92,6986291
2010-03-09,17.2,17.2967,16.76,16.92,11990655
2010-03-10,17.45,17.49,17.0,17.09,16531794
2010-03-11,17.38,17.45,17.24,17.36,8798238
2010-03-12,17.47,17.52,17.27,17.37,7423254
2010-03-15,17.38,17.5,17.2,17.38,6733678
2010-03-16,17.28,17.48,17.17,17.37,8323090
2010-03-17,17.12,17.34,17.02,17.26,14226789
2010-03-18,17.46,17.5,17.12,17.16,18478893
2010-03-19,17.19,17.57,17.11,17.57,34454686
2010-03-22,17.17,17.25,17.1,17.15,20275002
2010-03-23,17.0475,17.17,16.92,17.15,14694719
2010-03-24,16.97,17.05,16.83,16.96,23960543
2010-03-25,17.03,17.24,16.91,17.05,16333264
2010-03-26,16.84,17.1,16.76,17.1,10025222
2010-03-29,16.95,16.99,16.84,16.89,9327149
2010-03-30,17.05,17.09,16.91,16.95,9888096
2010-03-31,16.9275,17.05,16.8,16.96,7016714
2010-04-01,16.77,17.09,16.71,16.96,9827460
2010-04-02,16.77,17.09,16.71,16.96,0
2010-04-05,16.83,16.88,16.72,16.8,11390263
2010-04-06,16.73,16.76,16.53,16.7,12867791
2010-04-07,16.69,16.86,16.64,16.72,11047678
2010-04-08,16.68,16.79,16.55,16.79,9664348
2010-04-09,17.08,17.1,16.58,16.65,13996674
2010-04-12,17.16,17.23,17.03,17.04,8743038
2010-04-13,16.71,17.16,16.66,17.12,19559226
2010-04-14,17.09,17.13,16.67,16.75,19852017
2010-04-15,16.98,17.17,16.74,16.85,17760868
2010-04-16,16.68,17.04,16.67,16.97,17463412
2010-04-19,16.81,16.87,16.56,16.71,10603553
2010-04-20,17.07,17.13,16.87,16.94,12541158
2010-04-21,17.11,17.13,16.86,16.99,8590233
2010-04-22,17.22,17.27,16.85,17.05,15665779
2010-04-23,17.41,17.41,16.99,17.14,10446221
2010-04-26,17.08,17.47,17.07,17.39,11864197
2010-04-27,16.95,17.23,16.9,17.09,13470410
2010-04-28,17.36,17.44,17.01,17.05,18855896
2010-04-29,17.135,17.36,17.06,17.28,14736466
2010-04-30,16.77,16.95,16.69,16.79,17453393
2010-05-03,16.64,16.865,16.58,16.82,25038542
2010-05-04,16.22,16.55,16.13,16.5,19177449
2010-05-05,16.25,16.4,16.13,16.2,22445901
2010-05-06,16.53,17.25,15.95,17.02,39133744
2010-05-07,15.621,16.54,15.53,16.44,33011878
2010-05-10,16.21,16.398,16.04,16.15,22183652
2010-05-11,16.29,16.54,16.06,16.11,12234021
2010-05-12,16.58,16.61,16.23,16.4,13127484
2010-05-13,16.37,16.73,16.36,16.45,8307876
2010-05-14,16.12,16.35,15.98,16.29,10824807
2010-05-17,16.28,16.32,15.95,16.08,17185872
2010-05-18,15.95,16.46,15.91,16.35,18049884
2010-05-19,15.63,16.125,15.535,15.93,19568965
2010-05-20,14.76,15.36,14.75,15.16,25423662
2010-05-21,14.71,16.35,14.38,14.6,29541475
2010-05-24,14.43,14.73,14.41,14.6,18521620
2010-05-25,14.33,14.43,14.03,14.23,17097970
2010-05-26,14.14,14.67,14.1,14.39,27249152
2010-05-27,14.62,14.62,14.31,14.38,12843653
2010-05-28,14.17,14.55,14.085,14.5,18153633
2010-05-31,14.17,14.55,14.085,14.5,0
2010-06-01,13.84,14.21,13.84,14.07,18895826
2010-06-02,14.28,14.28,13.84,13.86,15014000
2010-06-03,14.6,14.62,14.09,14.23,15378299
2010-06-04,13.92,14.5,13.9,14.34,16911400
2010-06-07,13.9,14.35,13.88,14.09,14092826
2010-06-08,14.05,14.11,13.78,13.91,18220004
2010-06-09,13.92,14.2,13.88,14.09,17838181
2010-06-10,14.43,14.5,14.22,14.41,22433072
2010-06-11,14.67,14.72,14.22,14.22,12807350
2010-06-14,14.43,14.88,14.41,14.85,13108329
2010-06-15,15.01,15.03,14.6,14.66,10487087
2010-06-16,15.07,15.16,14.79,14.88,10664246
2010-06-17,15.04,15.19,14.89,15.19,20667070
2010-06-18,15.16,15.3,15.0,15.1,13158009
2010-06-21,14.96,15.4,14.84,15.35,9649187
2010-06-22,14.68,15.11,14.65,14.93,8118447
2010-06-23,14.75,14.89,14.58,14.68,9476231
2010-06-24,14.42,14.81,14.39,14.67,10421077
2010-06-25,14.42,14.57,14.16,14.44,29397631
2010-06-28,14.41,14.59,14.33,14.46,7260932
2010-06-29,13.93,14.28,13.82,14.25,12348175
2010-06-30,13.88,14.205,13.85,13.96,19326806
2010-07-01,13.87,13.95,13.58,13.82,13421970
2010-07-02,13.98,14.06,13.775,13.87,9018048
2010-07-05,13.98,14.06,13.775,13.87,0
2010-07-06,14.03,14.28,13.92,14.19,10245040
2010-07-07,14.46,14.48,13.94,14.02,16211728
2010-07-08,14.5,14.55,14.3,14.52,10993281
2010-07-09,14.55,14.645,14.39,14.46,7040728
2010-07-12,14.72,14.83,14.45,14.49,6446966
2010-07-13,14.98,15.0,14.8075,14.84,11315075
2010-07-14,14.96,15.08,14.86,15.07,11043048
2010-07-15,14.92,14.97,14.59,14.79,11796503
2010-07-16,14.59,14.99,14.56,14.94,10602390
2010-07-19,14.9,14.95,14.61,14.69,8640076
2010-07-20,15.02,15.0215,14.55,14.65,8368444
2010-07-21,14.59,15.05,14.52,15.03,9448677
2010-07-22,15.19,15.5,14.665,14.69,9824463
2010-07-23,15.19,15.19,14.96,15.1,6587229
2010-07-26,15.09,15.145,14.83,15.11,9593319
2010-07-27,14.99,15.17,14.925,15.12,9307099
2010-07-28,14.67,15.08,14.64,15.0,13054201
2010-07-29,13.03,13.76,12.9,13.23,62450702
2010-07-30,12.97,13.08,12.82,12.98,19422531
2010-08-02,13.17,13.28,13.05,13.11,14489970
2010-08-03,12.96,13.185,12.92,13.1,13028141
2010-08-04,13.08,13.215,12.98,13.0,7724603
2010-08-05,13.09,13.27,12.97,13.07,18725477
2010-08-06,13.04,13.14,12.83,13.0,10363922
2010-08-09,13.04,13.09,12.93,13.09,9319444
2010-08-10,12.9,13.01,12.705,12.93,10278730
2010-08-11,12.545,12.74,12.5,12.66,14835485
2010-08-12,12.41,12.49,12.31,12.43,13305590
2010-08-13,12.34,12.42,12.27,12.34,8626725
2010-08-16,12.39,12.45,12.04,12.06,10824989
2010-08-17,12.73,12.82,12.44,12.48,13256475
2010-08-18,12.59,12.73,12.53,12.64,11321831
2010-08-19,13.37,13.97,13.0,13.95,62096328
2010-08-20,13.8,13.83,13.44,13.57,31653083
2010-08-23,13.53,13.9,13.5,13.8,15112593
2010-08-24,13.66,13.74,13.33,13.35,15374526
2010-08-25,13.82,13.87,13.5,13.59,12557898
2010-08-26,13.66,13.84,13.6,13.82,14792934
2010-08-27,13.97,14.05,13.68,13.74,17459771
2010-08-30,13.69,13.98,13.68,13.87,18461922
2010-08-31,13.63,13.735,13.57,13.66,21330667
2010-09-01,14.08,14.09,13.75,13.84,16228715
2010-09-02,13.97,14.12,13.89,14.03,11378445
2010-09-03,13.98,14.24,13.94,14.18,12236860
2010-09-06,13.98,14.24,13.94,14.18,0
2010-09-07,13.97,14.11,13.92,13.92,11011470
2010-09-08,14.58,14.98,13.96,14.05,38916106
2010-09-09,14.62,14.81,14.51,14.74,11797203
2010-09-10,14.86,14.97,14.6,14.71,13360829
2010-09-13,15.01,15.14,14.89,15.0,13601087
2010-09-14,15.0,15.13,14.95,15.02,15450973
2010-09-15,14.99,15.07,14.85,14.91,12332576
2010-09-16,14.94,15.01,14.85,15.01,8081802
2010-09-17,14.98,15.07,14.93,15.0,11661755
2010-09-20,15.0901,15.23,15.0,15.02,7844966
2010-09-21,15.06,15.19,14.99,15.18,8699685
