Date,Close,High,Low,Open,Volume
2010-01-01,28.03,28.43,28.02,28.29,0
2010-01-04,28.58,28.61,28.275,28.41,29139478
2010-01-05,28.44,28.73,28.35,28.7,35234454
2010-01-06,27.61,28.03,27.55,27.95,37901928
2010-01-07,27.3,27.69,27.12,27.58,33600552
2010-01-08,27.1,27.39,26.88,27.29,27635225
2010-01-11,26.97,27.22,26.85,27.18,25794631
2010-01-12,26.96,27.11,26.78,26.85,26314372
2010-01-13,26.64,27.1,26.53,27.0,42597501
2010-01-14,26.19,26.85,26.08,26.64,42251520
2010-01-15,25.79,26.27,25.65,26.25,64018226
2010-01-18,25.79,26.27,25.65,26.25,0
2010-01-19,26.2,26.25,25.8,25.92,33966471
2010-01-20,25.83,26.03,25.7,26.03,39089554
2010-01-21,25.67,25.98,25.4,25.92,40078444
2010-01-22,25.39,25.83,25.36,25.52,38382937
2010-01-25,25.58,25.9,25.32,25.73,29904560
2010-01-26,25.33,25.51,25.06,25.4,34173192
2010-01-27,25.62,26.12,25.1,25.21,58991723
2010-01-28,25.54,26.15,25.29,25.7,52073068
2010-01-29,25.36,25.75,25.35,25.61,38925412
2010-02-01,25.38,25.71,25.28,25.67,36774304
2010-02-02,25.69,25.84,25.27,25.37,31119897
2010-02-03,25.58,25.81,25.4,25.63,22954152
2010-02-04,25.03,25.49,25.03,25.43,32334559
2010-02-05,25.24,25.31,24.96,25.12,50884628
2010-02-08,24.98,25.27,24.96,25.19,27177112
2010-02-09,25.26,25.42,25.05,25.18,34939725
2010-02-10,25.12,25.25,25.01,25.23,26654563
2010-02-11,25.19,25.38,24.83,25.05,27448483
2010-02-12,25.07,25.15,24.86,25.03,34115209
2010-02-15,25.07,25.15,24.86,25.03,0
2010-02-16,25.32,25.49,25.13,25.31,25906058
2010-02-17,25.4,25.52,25.2,25.48,19506412
2010-02-18,25.24,25.53,25.16,25.46,27028478
2010-02-19,25.1,25.4,25.02,25.15,34707719
2010-02-22,25.02,25.16,24.97,25.12,31114628
2010-02-23,24.83,25.03,24.83,25.0,28519051
2010-02-24,24.91,24.95,24.8,24.9,28973318
2010-02-25,24.77,24.86,24.61,24.76,29584431
2010-02-26,24.81,24.91,24.71,24.83,29184348
2010-03-01,25.0,25.07,24.83,24.91,24905966
2010-03-02,24.88,25.06,24.71,25.0,33402686
2010-03-03,24.89,25.03,24.81,25.03,20701446
2010-03-04,24.96,25.0,24.8,24.88,28737108
2010-03-05,24.99,25.05,24.82,25.04,27961458
2010-03-08,25.28,25.36,24.9,25.05,24682642
2010-03-09,25.56,25.73,25.3,25.31,43466721
2010-03-10,25.52,25.715,25.37,25.6,23539319
2010-03-11,25.6,25.6,25.3,25.42,21768716
2010-03-12,25.62,25.73,25.41,25.7,17818191
2010-03-15,25.78,25.8,25.5595,25.63,20320370
2010-03-16,25.85,25.99,25.71,25.86,17620335
2010-03-17,25.9,25.99,25.85,25.95,18109632
2010-03-18,26.06,26.09,25.9,25.98,17017900
2010-03-19,26.24,26.31,25.99,26.19,33975254
2010-03-22,26.4,26.54,26.08,26.2,24538549
2010-03-23,26.55,26.57,26.33,26.44,18143281
2010-03-24,26.26,26.5,26.12,26.42,20422815
2010-03-25,26.15,26.44,26.11,26.43,24102333
2010-03-26,26.24,26.5,26.11,26.19,18060751
2010-03-29,26.51,26.57,26.3,26.3,20319797
2010-03-30,25.95,26.33,25.84,26.23,52256516
2010-03-31,25.84,26.04,25.75,25.93,36707896
2010-04-01,26.11,26.21,25.91,25.95,20559227
2010-04-02,26.11,26.21,25.91,25.95,0
2010-04-05,26.31,26.36,26.13,26.27,23978285
2010-04-06,26.31,26.355,26.15,26.25,21372360
2010-04-07,25.65,26.03,25.48,25.95,31376955
2010-04-08,26.02,26.06,25.6,25.66,36555683
2010-04-09,26.44,26.51,26.06,26.1,39747637
2010-04-12,26.38,26.67,26.34,26.57,22852206
2010-04-13,26.2,26.43,26.02,26.32,34242708
2010-04-14,26.24,26.24,26.015,26.13,27719603
2010-04-15,26.24,26.3,26.04,26.11,28001022
2010-04-16,25.93,26.35,25.91,26.23,31988637
2010-04-19,26.38,26.45,25.95,26.07,33301205
2010-04-20,26.66,26.74,26.36,26.49,34479610
2010-04-21,26.34,26.75,26.14,26.74,44752763
2010-04-22,26.27,26.31,25.79,26.1,32947271
2010-04-23,26.25,26.29,25.99,26.19,28023249
2010-04-26,26.27,26.415,26.21,26.25,17782577
2010-04-27,25.95,26.31,25.88,26.11,33875068
2010-04-28,25.91,26.1,25.63,25.93,34159613
2010-04-29,26.14,26.3,25.94,26.1,25633617
2010-04-30,26.06,26.5,26.05,26.22,33741328
2010-05-03,26.28,26.43,26.07,26.28,27076464
2010-05-04,25.9,26.43,25.75,26.37,31364018
2010-05-05,25.77,26.138,25.74,25.85,33486396
2010-05-06,25.14,25.74,24.04,25.65,67762582
2010-05-07,25.1,25.49,24.77,25.13,51364048
2010-05-10,25.67,26.02,25.4,25.79,40844772
2010-05-11,25.64,25.81,25.34,25.45,32373241
2010-05-12,25.82,25.89,25.56,25.68,29325016
2010-05-13,25.74,25.97,25.62,25.78,22946292
