Date,Close,High,Low,Open,Volume
2010-01-01,45.16,45.55,45.14,45.27,0
2010-01-04,45.92,46.07,45.38,45.57,1302366
2010-01-05,45.37,45.89,45.12,45.89,1011900
2010-01-06,45.32,45.69,45.12,45.49,729166
2010-01-07,44.56,45.2,44.48,45.2,1242440
2010-01-08,44.5,44.58,44.16,44.46,1128200
2010-01-11,45.01,45.155,44.55,44.72,816102
2010-01-12,45.17,45.3,44.65,44.94,702760
2010-01-13,45.35,45.58,44.82,45.12,725085
2010-01-14,45.59,45.72,45.22,45.23,830470
2010-01-15,45.18,45.88,45.09,45.42,1120807
2010-01-18,45.18,45.88,45.09,45.42,0
2010-01-19,44.58,45.1,44.23,44.98,1823222
2010-01-20,43.76,44.36,43.27,44.24,1384953
2010-01-21,43.36,44.2,43.2525,43.86,1391026
2010-01-22,43.02,43.69,43.0,43.38,890678
2010-01-25,42.8,43.38,42.76,43.32,915898
2010-01-26,42.91,43.1,42.38,42.59,1077094
2010-01-27,42.88,43.0,42.58,42.91,1021535
2010-01-28,42.46,43.03,42.41,42.93,676514
2010-01-29,42.0,42.65,41.86,42.52,1369003
2010-02-01,42.5,42.705,42.08,42.15,1017617
2010-02-02,42.35,42.54,42.0,42.45,1387311
2010-02-03,42.65,42.72,42.08,42.2,909273
2010-02-04,40.43,42.46,40.38,42.42,2138193
2010-02-05,41.22,41.38,40.43,40.59,1724272
2010-02-08,41.31,41.81,41.1,41.22,1213799
2010-02-09,39.98,41.63,39.76,41.51,3752367
2010-02-10,39.0,40.42,38.87,40.11,2462526
2010-02-11,39.44,39.51,38.44,38.96,3022382
2010-02-12,38.9,39.2,38.6,39.2,2394663
2010-02-15,38.9,39.2,38.6,39.2,0
2010-02-16,39.88,39.96,38.8919,39.19,2199505
2010-02-17,40.47,40.63,39.97,40.03,1843539
2010-02-18,40.64,40.84,40.25,40.33,1567213
2010-02-19,41.11,41.47,40.45,40.65,1653680
2010-02-22,41.35,41.58,40.72,41.11,1354756
2010-02-23,40.86,41.34,40.61,41.14,1269340
2010-02-24,40.98,41.09,40.53,40.8,1053605
2010-02-25,40.85,40.88,40.16,40.47,1393166
2010-02-26,40.38,40.9,40.02,40.85,1893427
2010-03-01,41.08,41.08,40.26,40.45,1190193
2010-03-02,41.07,41.49,40.96,41.2,1285841
2010-03-03,41.32,41.41,40.95,41.22,2124120
2010-03-04,42.18,42.22,41.4,41.47,1604189
2010-03-05,42.81,42.81,42.24,42.44,1705455
2010-03-08,42.69,42.92,42.23,42.83,1260795
2010-03-09,42.94,43.06,42.39,42.42,2592035
2010-03-10,43.01,43.12,42.62,42.86,1335216
2010-03-11,43.13,43.14,42.6,42.9,788112
2010-03-12,43.15,43.23,42.88,43.13,742321
2010-03-15,43.13,43.28,42.99,43.15,924973
2010-03-16,43.34,43.41,43.06,43.09,1203789
2010-03-17,43.46,43.61,43.31,43.4,1140994
2010-03-18,43.32,43.75,43.27,43.5,1116424
2010-03-19,43.36,43.69,43.05,43.37,1384076
2010-03-22,43.15,43.365,43.01,43.2,1183809
2010-03-23,43.0,43.33,42.81,43.13,1195914
2010-03-24,42.8,42.97,42.6799,42.87,1252965
2010-03-25,42.66,43.58,42.495,43.5,2015346
2010-03-26,42.61,42.9,42.47,42.67,1554375
2010-03-29,41.73,42.21,41.59,42.05,2119030
2010-03-30,42.13,42.43,41.85,41.86,1442711
2010-03-31,42.06,42.26,41.93,42.12,1057558
2010-04-01,43.1,43.15,42.32,42.39,2203065
2010-04-02,43.1,43.15,42.32,42.39,0
2010-04-05,43.17,43.4,42.94,43.33,872159
2010-04-06,42.89,43.02,42.635,42.95,991810
2010-04-07,42.92,43.115,42.78,42.88,1355898
2010-04-08,43.05,43.11,42.7,42.99,915767
2010-04-09,43.58,43.63,43.035,43.08,781451
2010-04-12,44.01,44.14,43.57,43.65,1675950
2010-04-13,44.57,44.78,43.75,43.87,2139252
2010-04-14,44.56,44.74,44.29,44.59,1258211
2010-04-15,44.46,44.55,44.03,44.42,1120227
2010-04-16,43.98,44.48,43.67,44.42,1230914
2010-04-19,43.76,44.21,43.385,43.98,1169728
2010-04-20,44.09,44.14,43.78,44.0,857735
2010-04-21,43.98,44.16,43.91,44.06,530611
2010-04-22,44.01,44.08,43.63,43.84,759631
2010-04-23,44.14,44.14,43.56,43.9,754088
2010-04-26,44.01,44.5,43.98,44.16,834182
2010-04-27,42.95,44.0,42.865,43.83,986433
2010-04-28,42.87,43.12,42.53,43.02,1696129
2010-04-29,44.65,44.91,43.19,43.33,2247150
2010-04-30,44.36,45.0,44.33,44.75,1208990
2010-05-03,44.54,44.99,44.35,44.6,1506883
2010-05-04,44.13,44.55,43.18,43.2,1763967
2010-05-05,43.41,44.142,43.22,43.7,1758456
2010-05-06,42.8,43.44,40.75,43.31,2580478
2010-05-07,41.96,42.79,41.56,42.79,3544479
2010-05-10,42.9,43.56,42.82,43.19,2196105
2010-05-11,42.19,42.96,42.16,42.56,2526890
2010-05-12,42.46,42.63,42.09,42.4,2167171
2010-05-13,42.97,43.44,42.48,42.5,1119673
2010-05-14,42.7,43.44,42.49,42.85,1753438
2010-05-17,42.95,43.0895,42.49,42.75,1323144
2010-05-18,43.6,44.15,43.41,43.49,1821364
2010-05-19,43.11,43.63,42.9,43.41,1767209
2010-05-20,41.33,42.63,41.33,42.48,2221993
2010-05-21,41.89,41.89,40.65,40.79,2283803
2010-05-24,41.53,41.9,41.22,41.69,1330095
2010-05-25,40.75,40.77,39.89,40.76,2550558
2010-05-26,40.15,41.07,40.07,40.48,2770968
2010-05-27,40.59,40.97,40.3,40.69,3186831
2010-05-28,41.04,41.42,40.48,40.58,2202761
2010-05-31,41.04,41.42,40.48,40.58,0
2010-06-01,40.47,41.21,40.35,40.64,1359220
2010-06-02,41.7,41.7,40.46,40.7,1494826
2010-06-03,42.11,42.12,41.39,41.78,1751210
2010-06-04,41.64,41.95,41.13,41.38,3808042
2010-06-07,42.22,42.66,41.7,41.83,3029893
2010-06-08,42.95,42.98,42.07,42.17,2733314
2010-06-09,43.15,43.7,42.93,43.04,1622897
2010-06-10,43.93,44.16,43.5338,43.62,1205106
2010-06-11,43.68,43.68,43.15,43.46,1377371
2010-06-14,44.01,44.22,43.74,43.87,1113866
2010-06-15,44.34,44.35,43.89,44.15,1356926
2010-06-16,44.37,44.54,44.16,44.23,794175
2010-06-17,44.35,44.45,44.015,44.41,655337
2010-06-18,44.55,44.7,44.2,44.45,1148776
2010-06-21,43.99,44.95,43.77,44.95,935201
2010-06-22,44.13,44.7,43.98,44.09,1036852
2010-06-23,44.16,44.25,43.61,44.09,949766
2010-06-24,43.89,44.28,43.7,44.06,887514
2010-06-25,43.4,43.89,43.14,43.81,1377589
2010-06-28,43.61,43.79,43.13,43.36,1195271
2010-06-29,42.82,43.66,42.5457,43.29,1271793
2010-06-30,42.36,43.02,42.25,42.82,1073372
2010-07-01,42.69,42.82,41.88,42.49,1281660
2010-07-02,42.18,42.77,42.1,42.69,993811
2010-07-05,42.18,42.77,42.1,42.69,0
2010-07-06,42.53,43.0,42.12,42.69,980380
2010-07-07,43.51,43.54,42.68,42.73,1160749
2010-07-08,43.95,44.01,43.58,43.76,985527
2010-07-09,44.16,44.42,43.98,44.02,628158
2010-07-12,44.34,44.47,44.08,44.15,563348
2010-07-13,44.81,44.91,44.53,44.62,659462
2010-07-14,44.55,45.0,44.46,44.64,1306048
2010-07-15,44.73,44.78,44.1652,44.57,940092
2010-07-16,43.97,44.69,43.89,44.67,967432
2010-07-19,44.51,45.02,43.88,44.1,682517
2010-07-20,44.84,44.86,43.95,44.14,674413
2010-07-21,44.89,45.3,44.67,44.89,1284522
2010-07-22,45.91,46.02,45.18,45.25,1328904
2010-07-23,46.24,46.26,45.69,45.7,595187
2010-07-26,46.48,46.53,46.04,46.23,701986
2010-07-27,46.55,46.95,46.41,46.71,974349
2010-07-28,45.46,46.44,45.42,46.39,1110235
2010-07-29,44.86,45.76,44.52,45.55,1394305
2010-07-30,45.01,45.238,44.27,44.42,1318956
2010-08-02,46.0,46.17,45.43,45.43,1537624
2010-08-03,46.76,46.89,45.54,45.74,1384101
2010-08-04,47.09,47.13,46.07,46.43,1134356
2010-08-05,46.75,46.98,46.46,46.95,875881
2010-08-06,45.68,46.41,45.075,46.41,1245553
2010-08-09,46.01,46.12,45.78,45.86,988848
2010-08-10,46.18,46.42,45.59,45.83,749297
2010-08-11,45.62,45.87,45.22,45.68,852887
2010-08-12,45.77,45.78,44.97,45.34,810341
2010-08-13,45.62,45.89,45.43,45.55,856483
2010-08-16,45.66,45.81,45.07,45.58,717589
2010-08-17,46.41,46.88,45.78,45.81,969032
2010-08-18,46.54,46.61,45.98,46.38,808192
2010-08-19,46.04,46.43,45.57,46.43,602274
2010-08-20,45.92,46.16,45.47,45.7,717591
2010-08-23,45.75,46.18,45.69,46.18,484692
2010-08-24,45.1,45.68,45.02,45.3,857317
2010-08-25,44.62,44.95,44.46,44.93,2746194
2010-08-26,44.11,44.89,43.93,44.75,993454
2010-08-27,43.81,44.29,43.4,44.16,1219866
2010-08-30,43.35,44.03,43.32,43.7,853835
2010-08-31,43.56,43.79,43.1,43.27,947424
2010-09-01,44.73,44.84,43.72,43.81,1191569
2010-09-02,44.75,44.82,44.55,44.76,1030791
2010-09-03,44.59,45.06,44.44,45.05,918802
2010-09-06,44.59,45.06,44.44,45.05,0
2010-09-07,44.38,44.6,44.38,44.58,1149768
2010-09-08,44.76,44.95,44.49,44.49,1029979
2010-09-09,44.4,45.21,44.34,45.13,606384
2010-09-10,44.08,44.51,44.04,44.51,839015
2010-09-13,44.36,44.42,44.1908,44.26,707800
2010-09-14,44.66,44.85,44.2,44.25,977392
2010-09-15,45.13,45.15,44.47,44.58,915252
2010-09-16,45.18,45.36,44.89,45.13,936947
2010-09-17,45.5,45.57,45.31,45.36,1769530
2010-09-20,45.93,45.94,45.32,45.5,790775
2010-09-21,45.52,46.16,45.49,45.92,927053
