Date,Close,High,Low,Open,Volume
2010-01-01,47.49,47.9,47.48,47.9,0
2010-01-04,49.4,49.4,48.0,48.16,791385
2010-01-05,49.87,50.16,49.27,49.4,235658
2010-01-06,50.22,50.42,49.66,49.66,337030
2010-01-07,50.87,51.01,49.92,50.22,346098
2010-01-08,51.45,51.88,50.82,51.0,238543
2010-01-11,51.46,51.89,50.8511,51.89,193334
2010-01-12,50.28,51.2,50.11,51.2,270875
2010-01-13,50.45,50.78,50.08,50.47,378420
2010-01-14,50.76,50.83,50.0002,50.15,340433
2010-01-15,50.38,50.7,50.21,50.58,335963
2010-01-18,50.38,50.7,50.21,50.58,0
2010-01-19,50.42,50.7,50.29,50.59,325759
2010-01-20,50.75,51.09,50.01,50.86,454933
2010-01-21,50.07,51.13,49.61,50.83,355645
2010-01-22,49.05,49.94,48.77,49.79,445920
2010-01-25,48.75,49.72,48.65,49.4,345215
2010-01-26,48.77,49.08,48.51,48.75,233000
2010-01-27,48.99,49.01,48.05,48.85,338216
2010-01-28,48.79,49.17,48.41,48.96,244150
2010-01-29,48.27,49.17,48.24,49.02,317759
2010-02-01,48.44,48.54,48.0,48.5,230829
2010-02-02,49.51,49.54,48.25,48.39,285512
2010-02-03,49.64,49.79,49.01,49.46,253162
2010-02-04,47.7,49.55,47.6901,49.42,177848
2010-02-05,47.6,47.95,46.54,47.83,209617
2010-02-08,47.5,48.06,47.35,47.77,200952
2010-02-09,48.35,48.63,47.47,47.98,297321
2010-02-10,47.92,48.26,47.35,47.5,333105
2010-02-11,47.95,48.08,47.2,48.03,419208
2010-02-12,48.03,48.05,47.2,47.29,317647
2010-02-15,48.03,48.05,47.2,47.29,0
2010-02-16,48.57,48.64,47.84,48.26,182437
2010-02-17,48.36,48.65,48.11,48.57,192869
2010-02-18,49.19,49.29,48.06,48.1,193882
2010-02-19,49.3,49.585,49.04,49.19,194159
2010-02-22,49.4,49.59,48.56,49.28,250950
2010-02-23,49.0,49.68,48.94,49.43,208368
2010-02-24,49.4,49.44,48.76,49.02,146180
2010-02-25,49.59,49.64,48.5,48.81,270109
2010-02-26,50.22,50.26,49.56,49.7,528521
2010-03-01,52.6,52.7,50.66,50.81,397119
2010-03-02,52.87,53.52,52.795,52.98,220412
2010-03-03,52.71,53.21,52.65,53.2,167785
2010-03-04,52.66,52.78,52.39,52.77,137742
2010-03-05,52.85,53.17,52.68,52.77,390445
2010-03-08,51.92,53.06,51.83,53.06,368642
2010-03-09,52.51,52.99,51.92,51.99,263144
2010-03-10,52.61,52.9267,52.36,52.36,212184
2010-03-11,52.84,53.01,52.3,52.38,280216
2010-03-12,52.6,52.95,52.17,52.86,323144
2010-03-15,52.44,52.5,51.66,52.36,188794
2010-03-16,52.25,52.53,51.95,52.53,170499
2010-03-17,52.36,52.57,52.16,52.25,70744
2010-03-18,52.22,52.49,52.0,52.49,102306
2010-03-19,52.41,52.54,52.22,52.36,188568
2010-03-22,52.27,52.4,52.0,52.04,77425
2010-03-23,52.14,52.5,51.94,52.17,181459
2010-03-24,52.12,52.25,51.85,52.17,187104
