Date,Close,High,Low,Open,Volume
2010-01-01,43.0,43.91,42.91,43.72,0
2010-01-04,43.99,44.59,43.59,43.66,1935111
2010-01-05,44.28,44.34,43.44,44.04,1216951
2010-01-06,44.96,45.07,44.05,44.11,1699604
2010-01-07,46.89,46.97,45.02,45.08,3562615
2010-01-08,46.01,46.6,45.5,46.53,3589186
2010-01-11,46.68,47.015,45.9,46.23,3001432
2010-01-12,46.44,46.58,45.35,46.34,8526311
2010-01-13,46.88,46.98,46.12,46.43,3054794
2010-01-14,45.36,46.635,45.23,46.49,5030446
2010-01-15,45.37,45.69,44.76,45.46,4630758
2010-01-18,45.37,45.69,44.76,45.46,0
2010-01-19,44.1,45.3,44.03,45.23,3526309
2010-01-20,43.1,43.83,42.91,43.76,3555415
2010-01-21,41.77,43.16,41.57,42.86,5403423
2010-01-22,40.79,41.87,40.68,41.67,3137700
2010-01-25,41.73,42.005,41.33,41.87,2716828
2010-01-26,41.47,41.96,41.23,41.71,2257071
2010-01-27,41.37,41.76,40.87,41.32,1781803
2010-01-28,40.82,41.62,40.66,41.59,1503753
2010-01-29,40.61,41.65,40.54,41.2,2234618
2010-02-01,41.1,41.14,40.61,40.61,1388448
2010-02-02,42.05,42.13,41.2,41.2,1613681
2010-02-03,41.63,42.012,41.345,41.82,1314159
2010-02-04,40.0,41.58,39.89,41.32,2358419
2010-02-05,39.7,40.02,38.89,39.95,3333307
2010-02-08,39.79,40.09,39.17,39.74,1866053
2010-02-09,40.07,40.35,39.34,40.35,2424326
2010-02-10,41.14,41.74,40.69,40.79,3484431
2010-02-11,41.54,41.64,40.69,41.11,2170042
2010-02-12,41.51,41.57,40.92,40.95,1216519
2010-02-15,41.51,41.57,40.92,40.95,0
2010-02-16,42.08,42.1,41.63,41.76,1378141
2010-02-17,43.05,43.12,42.36,42.73,2188140
2010-02-18,43.35,43.38,42.7,43.02,1290658
2010-02-19,43.54,43.615,43.02,43.27,1679053
2010-02-22,43.51,43.74,43.33,43.54,1120643
2010-02-23,42.94,43.71,42.81,43.41,1264489
2010-02-24,43.69,43.72,42.87,42.97,1285316
2010-02-25,43.78,43.82,42.55,42.62,1881452
2010-02-26,44.39,44.55,43.65,43.87,2042541
2010-03-01,45.59,45.74,44.33,44.5,2148633
2010-03-02,44.9,45.8,44.73,45.75,1622447
2010-03-03,44.97,45.56,44.83,45.13,1545519
2010-03-04,45.43,45.71,45.03,45.12,930361
2010-03-05,45.94,46.05,45.39,45.63,1306552
2010-03-08,46.01,46.28,45.72,45.84,918983
2010-03-09,45.87,46.15,45.6,45.79,1382530
2010-03-10,45.89,46.11,45.61,45.76,1025389
2010-03-11,45.6,45.75,45.04,45.65,1308104
2010-03-12,46.0,46.145,45.45,45.78,939176
2010-03-15,46.04,46.11,45.46,46.03,864179
