Date,Close,High,Low,Open,Volume
2010-01-01,18.275,18.49,18.27,18.405,0
2010-01-04,18.02,18.325,17.875,18.0,12576998
2010-01-05,18.505,18.52,17.96,17.96,10609062
2010-01-06,18.58,18.65,18.385,18.525,7493690
2010-01-07,19.53,19.87,19.125,19.375,27294584
2010-01-08,19.275,19.31,19.015,19.16,11693794
2010-01-11,19.245,19.425,19.13,19.405,7300614
2010-01-12,19.07,19.175,18.93,19.15,5791738
2010-01-13,19.135,19.185,18.955,19.09,5494038
2010-01-14,18.9,19.15,18.805,19.15,5459860
2010-01-15,18.645,19.06,18.555,18.85,7892614
2010-01-18,18.645,19.06,18.555,18.85,0
2010-01-19,18.94,18.945,18.6,18.6,5158974
2010-01-20,18.705,18.835,18.575,18.835,4229416
2010-01-21,18.425,18.805,18.4,18.76,8178568
2010-01-22,18.37,18.66,18.33,18.41,9267048
2010-01-25,18.505,18.64,18.385,18.53,6020590
2010-01-26,19.04,19.2225,18.48,18.48,12284304
2010-01-27,19.195,19.295,18.915,19.055,8131378
2010-01-28,19.115,19.315,19.05,19.22,10883402
2010-01-29,19.005,19.425,19.0,19.21,8611888
2010-02-01,19.25,19.39,19.055,19.055,10061684
2010-02-02,19.615,19.62,19.375,19.385,11624568
2010-02-03,19.38,19.62,19.265,19.575,9363110
2010-02-04,19.075,19.445,19.07,19.375,10186292
2010-02-05,19.155,19.245,18.85,19.11,9917954
2010-02-08,18.895,19.18,18.895,19.175,5373568
2010-02-09,18.955,19.075,18.845,19.065,5827150
2010-02-10,18.805,19.0575,18.7,18.965,8258702
2010-02-11,18.76,18.825,18.625,18.805,9426154
2010-02-12,18.795,18.835,18.56,18.585,7173422
2010-02-15,18.795,18.835,18.56,18.585,0
2010-02-16,19.235,19.25,18.87,18.935,5876990
2010-02-17,19.395,19.48,19.315,19.37,5805864
2010-02-18,19.545,19.5925,19.265,19.355,6046430
2010-02-19,19.575,19.705,19.485,19.5,5828140
2010-02-22,19.685,19.735,19.485,19.575,8120101
2010-02-23,19.59,19.75,19.395,19.7,9109084
2010-02-24,20.255,20.275,19.43,19.675,14029620
2010-02-25,20.87,20.95,19.88,19.945,21335866
2010-02-26,20.815,21.045,20.79,20.82,12578328
2010-03-01,20.835,20.9,20.535,20.815,10663948
2010-03-02,20.54,20.85,20.46,20.795,10944012
2010-03-03,20.58,20.715,20.48,20.655,9475302
2010-03-04,20.52,20.715,20.255,20.655,15264008
2010-03-05,20.765,20.765,20.5,20.69,7784530
2010-03-08,20.77,20.83,20.65,20.75,5567820
2010-03-09,20.83,20.97,20.705,20.81,5593780
2010-03-10,20.935,20.985,20.72,20.78,5693272
2010-03-11,20.885,20.985,20.815,20.925,7987074
2010-03-12,21.065,21.175,20.91,20.995,9210942
2010-03-15,21.435,21.45,20.995,21.025,9615912
2010-03-16,21.615,21.62,21.415,21.5,7799494
2010-03-17,21.55,21.69,21.505,21.67,5858946
2010-03-18,21.58,21.705,21.39,21.55,7385566
2010-03-19,21.49,21.705,21.43,21.66,7110372
2010-03-22,21.81,21.93,21.415,21.435,5581890
2010-03-23,21.765,21.945,21.585,21.92,6647582
2010-03-24,21.615,21.835,21.49,21.75,5747262
2010-03-25,21.76,21.96,21.63,21.695,6666058
2010-03-26,21.665,21.89,21.515,21.805,7450176
2010-03-29,21.64,21.78,21.435,21.72,5061174
2010-03-30,21.6,21.8375,21.53,21.635,5218122
2010-03-31,21.26,21.58,21.185,21.475,8399020
2010-04-01,21.355,21.465,21.1888,21.315,7531290
2010-04-02,21.355,21.465,21.1888,21.315,0
2010-04-05,22.175,22.205,21.4,21.445,9675144
2010-04-06,22.35,22.475,22.12,22.125,11874596
2010-04-07,22.31,22.455,22.16,22.27,9958554
2010-04-08,22.41,22.67,22.05,22.395,14080432
2010-04-09,22.415,22.48,22.07,22.32,9814182
2010-04-12,22.805,22.89,22.415,22.53,11567348
2010-04-13,23.075,23.165,22.78,22.795,12062202
2010-04-14,23.17,23.235,22.97,23.11,10898726
2010-04-15,23.125,23.175,22.915,23.05,7359372
2010-04-16,22.84,23.115,22.64,23.015,9465936
2010-04-19,22.745,22.855,22.43,22.785,6014614
2010-04-20,22.995,23.09,22.755,22.915,7961322
2010-04-21,23.43,23.5,22.935,22.99,9899964
2010-04-22,23.845,23.945,23.225,23.345,11075730
2010-04-23,24.005,24.045,23.6475,23.91,9336918
2010-04-26,23.945,24.25,23.895,23.99,9419724
2010-04-27,23.5,24.105,23.485,23.8,11373922
2010-04-28,23.35,23.67,23.225,23.595,8614486
2010-04-29,23.635,23.79,23.41,23.41,5579496
2010-04-30,23.17,23.835,23.14,23.73,8596126
2010-05-03,23.57,23.745,23.13,23.195,5913742
2010-05-04,22.835,23.38,22.77,23.28,10201156
2010-05-05,23.16,23.745,22.685,22.755,16365744
2010-05-06,22.315,22.875,21.0,22.595,19921128
2010-05-07,21.835,22.515,21.54,22.25,19790716
2010-05-10,22.88,23.175,22.37,22.85,15926746
2010-05-11,22.87,23.12,22.585,22.645,14853914
2010-05-12,23.25,23.275,22.77,22.925,9317068
2010-05-13,22.68,23.245,22.575,23.245,8405594
2010-05-14,22.625,22.915,22.39,22.65,12597766
2010-05-17,22.625,22.845,22.29,22.755,15620630
2010-05-18,21.84,22.3,21.605,21.91,30314008
2010-05-19,21.595,21.8,21.205,21.55,15625150
2010-05-20,21.72,22.31,21.05,21.395,20981528
2010-05-21,21.99,22.17,21.265,21.285,16391269
2010-05-24,21.975,22.27,21.83,21.97,10268054
2010-05-25,22.675,22.7025,21.5,21.585,22513104
2010-05-26,22.25,22.865,22.155,22.695,17042432
2010-05-27,23.005,23.02,22.54,22.59,12059616
2010-05-28,22.73,23.075,22.58,23.055,8702036
2010-05-31,22.73,23.075,22.58,23.055,0
2010-06-01,22.635,22.935,22.475,22.73,11173414
2010-06-02,23.06,23.0603,22.37,22.605,11681648
2010-06-03,23.15,23.67,23.0275,23.405,12500458
2010-06-04,22.245,22.9748,22.18,22.885,10413272
2010-06-07,21.985,22.54,21.96,22.36,9911186
2010-06-08,22.385,22.4225,21.82,21.92,9541306
2010-06-09,22.51,22.985,22.425,22.475,10789338
2010-06-10,23.11,23.145,22.68,22.745,8826192
2010-06-11,23.025,23.195,22.75,22.825,6544822
2010-06-14,23.04,23.3,22.845,23.12,7817670
2010-06-15,23.31,23.31,22.945,23.055,7541944
2010-06-16,23.15,23.37,23.045,23.23,5873880
2010-06-17,22.95,23.16,22.73,23.15,7357938
2010-06-18,22.98,23.345,22.885,23.045,11628946
2010-06-21,22.54,23.16,22.425,23.105,7961542
2010-06-22,22.24,22.835,22.22,22.565,7551482
2010-06-23,22.355,22.52,22.005,22.145,7426688
2010-06-24,22.07,22.41,21.96,22.36,8442322
2010-06-25,21.57,22.075,21.56,22.04,21047346
2010-06-28,21.61,21.865,21.545,21.585,11185638
2010-06-29,21.015,21.5,20.915,21.29,18893796
2010-06-30,20.975,21.36,20.905,21.045,11428098
2010-07-01,21.455,21.49,20.76,20.965,12752204
2010-07-02,21.185,21.595,21.11,21.475,8265283
2010-07-05,21.185,21.595,21.11,21.475,0
2010-07-06,21.21,21.755,21.04,21.665,10192302
2010-07-07,21.755,21.765,21.18,21.3,10514842
2010-07-08,20.765,21.51,20.465,21.43,30155708
2010-07-09,20.86,20.87,20.59,20.795,10671386
2010-07-12,20.995,21.04,20.8,20.855,8586804
2010-07-13,21.385,21.465,21.07,21.25,8038793
2010-07-14,21.235,21.355,21.015,21.355,7828928
2010-07-15,21.44,21.475,21.02,21.21,8723496
2010-07-16,20.62,21.38,20.55,21.38,11322094
2010-07-19,20.7,20.905,20.595,20.605,8126186
2010-07-20,21.02,21.03,20.3,20.505,12132454
2010-07-21,20.855,21.2,20.755,21.115,8049454
2010-07-22,21.125,21.275,20.995,21.025,8814012
2010-07-23,21.44,21.45,21.0,21.145,5574478
2010-07-26,21.48,21.49,21.175,21.37,5933134
2010-07-27,21.13,21.53,20.905,21.53,10710120
2010-07-28,20.815,21.4099,20.75,21.145,6956246
2010-07-29,20.465,20.975,20.04,20.91,15625508
2010-07-30,20.76,20.81,20.215,20.345,11334652
2010-08-02,20.995,21.185,20.86,20.965,10919368
2010-08-03,20.51,20.955,20.325,20.905,9041930
2010-08-04,20.57,20.8,20.515,20.665,10329134
2010-08-05,21.0,21.195,20.31,20.43,16527960
2010-08-06,20.84,20.8625,20.475,20.86,7413660
2010-08-09,21.49,21.535,20.885,20.885,8158761
2010-08-10,21.34,21.5,21.165,21.315,6872030
2010-08-11,20.9,21.145,20.77,21.015,6657464
2010-08-12,20.87,20.93,20.565,20.685,6604894
2010-08-13,20.45,20.825,20.43,20.775,6326336
2010-08-16,20.685,20.99,20.3,20.345,9873762
2010-08-17,20.89,21.25,20.82,20.86,9344620
2010-08-18,21.045,21.125,20.685,20.89,7994096
2010-08-19,20.965,21.19,20.69,20.94,10863150
2010-08-20,20.89,21.095,20.775,20.79,7365108
2010-08-23,20.71,21.08,20.71,20.915,6733542
2010-08-24,20.37,20.765,20.335,20.51,8545130
2010-08-25,20.545,20.645,20.15,20.325,7444678
2010-08-26,20.28,20.605,20.23,20.555,6632590
2010-08-27,20.565,20.735,20.135,20.37,6875026
2010-08-30,20.2,20.61,20.195,20.465,5240748
2010-08-31,19.845,20.21,19.78,20.08,11953866
2010-09-01,20.445,20.61,20.015,20.08,10184942
2010-09-02,20.725,20.85,20.37,20.405,6505396
2010-09-03,20.945,21.0,20.705,20.865,5654068
2010-09-06,20.945,21.0,20.705,20.865,0
2010-09-07,20.47,20.92,20.435,20.885,6080698
2010-09-08,20.63,20.72,20.385,20.5,5312154
2010-09-09,20.565,20.82,20.475,20.77,5055316
2010-09-10,20.555,20.755,20.495,20.53,3496610
2010-09-13,20.615,20.75,20.555,20.66,6814884
2010-09-14,21.11,21.24,20.645,20.675,7693456
2010-09-15,21.265,21.295,21.0,21.075,5680128
2010-09-16,21.395,21.485,21.12,21.145,5732360
2010-09-17,21.405,21.48,21.225,21.415,6457424
2010-09-20,21.57,21.61,21.245,21.405,7166000
2010-09-21,21.465,21.62,21.245,21.58,6364864
2010-09-22,21.755,21.895,21.47,21.51,8379543
2010-09-23,22.08,22.24,21.6,21.66,8463718
2010-09-24,22.525,22.57,22.1355,22.29,5216844
2010-09-27,22.415,22.5598,22.385,22.48,4352980
2010-09-28,22.61,22.685,22.265,22.375,5839970
2010-09-29,22.475,22.595,22.335,22.405,5301608
2010-09-30,22.315,22.615,22.125,22.51,8297738
2010-10-01,22.27,22.585,22.14,22.49,5769292
2010-10-04,22.275,22.555,22.135,22.135,5996704
2010-10-05,22.355,22.475,21.795,22.41,9249180
2010-10-06,22.28,22.39,22.06,22.25,6062734
2010-10-07,22.075,22.415,21.87,22.075,9927574
2010-10-08,22.335,22.535,22.065,22.065,6155200
