Date,Close,High,Low,Open,Volume
2011-12-07,27.45,27.76,24.0,27.5,1413628
2011-12-08,26.55,27.78,25.759,27.72,719530
2011-12-09,27.91,28.0,26.7,27.93,716180
2011-12-12,27.45,28.28,27.0,28.28,393301
2011-12-13,27.5,28.53,27.01,28.53,452443
2011-12-14,27.12,28.19,26.85,28.19,445374
2011-12-15,28.33,29.1,27.6,27.87,1417557
2011-12-16,28.46,29.92,28.0,29.92,966618
2011-12-19,28.97,29.46,28.408,28.69,1048411
2011-12-20,30.25,30.62,29.47,29.5,2017106
2011-12-21,27.67,30.0,27.51,30.0,2871800
2011-12-22,24.53,27.6,23.99,27.12,6294064
2011-12-23,26.02,27.14,24.5,24.71,2744280
2011-12-26,26.02,26.02,26.02,26.02,0
2011-12-27,25.94,26.1,24.63,25.25,2887314
2011-12-28,25.77,25.98,24.94,25.25,2098539
2011-12-29,24.82,25.66,24.79,25.54,2247268
2011-12-30,25.21,25.55,24.64,24.97,1798396
2012-01-02,25.21,25.21,25.21,25.21,0
2012-01-03,26.63,27.35,26.105,26.15,3721786
2012-01-04,25.68,26.09,25.41,25.85,1680917
2012-01-05,25.52,25.82,24.57,24.57,1534670
2012-01-06,25.57,26.02,25.17,25.52,1484711
2012-01-09,26.26,26.77,25.65,25.74,1965244
2012-01-10,27.75,28.24,26.59,26.73,4177497
2012-01-11,27.79,28.22,26.56,26.69,1803258
2012-01-12,28.46,29.17,27.8,27.87,2005567
2012-01-13,29.51,29.77,27.93,28.22,1993345
2012-01-16,29.51,29.51,29.51,29.51,0
2012-01-17,28.99,29.8,28.91,29.58,3210091
2012-01-18,29.03,29.43,28.52,28.69,1205137
2012-01-19,30.33,30.885,29.02,29.1,2712854
2012-01-20,30.4,30.49,29.82,30.42,1307550
2012-01-23,30.38,30.79,30.23,30.54,2565392
2012-01-24,30.69,30.75,29.97,30.14,1299072
2012-01-25,31.49,32.33,30.55,30.55,2349256
2012-01-26,31.05,31.94,30.46,31.48,1881489
2012-01-27,31.24,31.46,30.35,30.39,1227465
2012-01-30,31.64,31.84,30.64,30.96,904412
2012-01-31,32.91,33.04,30.84,31.98,1258128
2012-02-01,35.06,35.17,33.08,33.11,3610274
2012-02-02,34.88,35.6,33.83,35.52,2447714
2012-02-03,35.38,35.93,35.07,35.07,2993420
2012-02-06,35.15,35.75,35.06,35.35,1967930
2012-02-07,34.84,35.48,34.82,35.28,2235853
2012-02-08,34.34,34.97,33.02,34.78,3223195
2012-02-09,29.34,29.85,27.99,28.28,12923339
2012-02-10,30.04,30.89,28.65,29.02,3623540
2012-02-13,28.59,30.13,28.5,30.07,2396352
2012-02-14,27.63,28.788,26.929,28.7,4072040
2012-02-15,29.28,30.1,27.52,27.8,4922770
2012-02-16,30.4,30.65,28.73,29.27,2583207
