Date,Close,High,Low,Open,Volume
2010-01-01,53.25,54.16,53.25,54.06,0
2010-01-04,54.4,55.3399,53.12,53.35,2330155
2010-01-05,55.01,55.03,53.63,54.06,1569481
2010-01-06,54.15,55.075,53.98,54.84,1517914
2010-01-07,54.11,54.5389,53.55,54.11,1047901
2010-01-08,53.9,54.0181,53.22,53.83,1344637
2010-01-11,54.28,54.79,53.94,54.07,1098957
2010-01-12,54.59,54.99,53.76,53.96,1606711
2010-01-13,55.13,55.28,54.15,54.67,1476940
2010-01-14,54.79,55.06,54.19,54.9,1191292
2010-01-15,53.6,54.9,53.52,54.9,1657863
2010-01-18,53.6,54.9,53.52,54.9,0
2010-01-19,54.29,54.45,53.35,53.53,1197770
2010-01-20,53.36,53.9,52.8,53.89,1474461
2010-01-21,51.92,53.43,51.73,53.3,1979520
2010-01-22,50.64,51.98,50.48,51.67,1826463
2010-01-25,51.7,51.9686,50.85,51.08,1561990
2010-01-26,51.37,52.27,50.92,51.41,2311733
2010-01-27,52.63,52.81,51.1,51.67,2050787
2010-01-28,50.6,54.12,48.81,53.5,5056633
2010-01-29,49.62,51.2,49.18,51.03,2663274
2010-02-01,51.03,51.14,49.37,49.6,2245524
2010-02-02,51.17,51.59,50.69,50.83,1741159
2010-02-03,50.7,51.27,50.42,50.97,1475714
2010-02-04,48.27,50.71,48.27,50.06,2274852
2010-02-05,48.87,49.09,47.42,48.6,3488688
2010-02-08,48.13,49.69,48.1,49.14,1735883
2010-02-09,48.69,49.39,47.89,48.6,1844392
2010-02-10,49.07,49.47,48.52,48.64,1454859
2010-02-11,49.01,49.21,48.48,48.825,1402112
2010-02-12,48.94,49.08,48.24,48.6,1829300
2010-02-15,48.94,49.08,48.24,48.6,0
2010-02-16,50.18,50.18,48.99,49.45,1242550
2010-02-17,49.92,50.59,49.595,50.44,1504555
2010-02-18,49.6,50.15,49.23,49.94,1739696
2010-02-19,49.95,50.31,49.49,49.63,1647693
2010-02-22,50.04,50.56,49.635,50.25,1469531
2010-02-23,49.595,50.28,49.48,49.99,2212353
2010-02-24,50.63,50.69,49.63,49.95,1379248
2010-02-25,50.32,50.39,49.5559,50.11,1076335
2010-02-26,50.69,50.97,49.87,50.57,1529673
2010-03-01,51.1,51.17,50.58,50.65,1046934
2010-03-02,51.4,51.48,51.06,51.12,1466791
2010-03-03,51.64,52.06,51.28,51.44,1403276
2010-03-04,52.56,52.61,51.5001,51.57,1698978
2010-03-05,53.98,53.99,52.62,52.79,1754874
2010-03-08,53.36,53.95,53.25,53.89,1316809
2010-03-09,53.49,53.81,52.87,53.32,1167155
2010-03-10,53.44,53.65,53.11,53.53,1710180
2010-03-11,53.4,53.4,52.71,53.1,1083873
2010-03-12,53.33,53.73,52.83,53.4,1320661
2010-03-15,53.45,53.53,52.74,53.31,1265110
2010-03-16,53.85,53.89,53.27,53.69,1339167
2010-03-17,55.25,55.51,53.95,53.95,1956365
2010-03-18,55.22,55.42,54.88,55.42,1055031
2010-03-19,54.81,55.59,54.44,55.57,1506794
2010-03-22,55.4625,55.5,54.41,54.59,837367
2010-03-23,55.86,55.91,55.18,55.37,1332609
2010-03-24,55.0,55.75,54.52,55.55,1382548
2010-03-25,55.22,56.25,54.84,55.23,1547225
2010-03-26,55.08,55.75,54.52,55.22,1506779
2010-03-29,55.36,55.49,54.91,55.42,970619
2010-03-30,55.21,55.82,54.85,55.4,1009242
2010-03-31,54.97,55.39,54.52,54.89,1435436
2010-04-01,55.87,56.13,55.42,55.5,1232265
2010-04-02,55.87,56.13,55.42,55.5,0
2010-04-05,55.86,55.96,55.5,55.93,1713744
2010-04-06,55.93,56.05,55.4,55.65,1665529
2010-04-07,55.54,56.23,55.36,55.87,1632473
2010-04-08,55.67,55.81,55.11,55.5,2970667
2010-04-09,56.52,56.59,55.56,55.78,1680625
2010-04-12,56.39,56.94,56.12,56.72,1454981
2010-04-13,57.16,57.31,56.1,56.13,1273479
2010-04-14,58.48,58.49,57.06,57.06,2170964
2010-04-15,58.7,58.87,58.15,58.43,1949499
2010-04-16,56.72,58.73,56.45,58.37,3128834
2010-04-19,57.65,57.75,56.75,57.0,2150144
2010-04-20,58.5,58.64,57.4304,57.86,1522898
2010-04-21,58.21,58.78,57.47,58.44,1382055
2010-04-22,58.98,59.3,57.1,57.99,2230016
2010-04-23,58.88,59.44,58.16,58.58,2247744
2010-04-26,57.81,59.13,57.58,58.97,1485423
2010-04-27,56.26,58.04,56.03,57.35,1899180
2010-04-28,56.51,57.185,56.31,56.56,2083492
2010-04-29,58.89,59.11,56.89,57.0,1715533
2010-04-30,57.54,59.05,57.48,58.91,1467069
2010-05-03,58.58,58.69,57.54,57.75,1350148
2010-05-04,57.31,58.0,57.03,57.82,2538640
2010-05-05,56.58,57.6,56.31,56.79,1703026
2010-05-06,53.45,57.14,49.54,56.3,4059167
2010-05-07,52.51,53.81,52.03,53.4,4105047
2010-05-10,55.04,55.89,54.16,55.15,2613943
2010-05-11,54.04,54.98,53.67,54.26,2975706
2010-05-12,54.98,55.1,54.14,54.35,2242242
2010-05-13,53.74,54.78,53.68,54.78,2138228
2010-05-14,52.47,53.24,51.99,53.24,2448598
2010-05-17,53.12,53.47,51.89,52.59,2010663
2010-05-18,51.98,54.01,51.73,53.5,2201934
2010-05-19,51.79,52.33,50.64,51.76,2002746
2010-05-20,48.97,50.83,48.96,50.51,2830391
2010-05-21,50.99,51.46,47.32,47.73,4011180
2010-05-24,48.87,50.79,48.84,50.77,3025428
2010-05-25,49.84,49.89,47.03,47.09,3497981
2010-05-26,49.43,50.74,49.24,50.0,2663084
2010-05-27,51.47,51.98,50.46,50.68,2586039
2010-05-28,49.52,51.45,49.43,51.2,3086265
2010-05-31,49.52,51.45,49.43,51.2,0
2010-06-01,48.71,49.9,48.58,49.1,2150864
2010-06-02,50.09,50.15,48.13,48.84,2522438
2010-06-03,49.47,50.03,48.84,49.99,2159628
2010-06-04,47.915,49.27,47.8,48.05,4179838
2010-06-07,47.12,48.68,47.09,48.36,2137548
2010-06-08,47.97,48.08,46.5,47.19,2721082
2010-06-09,47.21,48.72,47.04,48.15,2422655
2010-06-10,48.82,48.93,47.16,47.63,2355723
2010-06-11,49.84,50.0,48.04,48.04,2035177
2010-06-14,49.38,50.91,49.32,50.83,1596504
2010-06-15,50.49,51.04,49.91,51.04,2538291
2010-06-16,49.5,50.42,49.28,50.25,3078985
2010-06-17,49.44,49.8,48.65,49.51,2674593
2010-06-18,49.34,49.6,48.88,49.44,2182796
2010-06-21,48.76,50.2488,48.57,49.87,1868154
2010-06-22,47.83,49.42,47.77,48.47,2241886
2010-06-23,47.63,48.31,47.42,47.99,1643174
2010-06-24,46.0,47.61,45.83,47.3,2981693
2010-06-25,47.57,47.94,46.15,46.4,3397956
2010-06-28,46.99,48.0,46.93,47.55,1598257
2010-06-29,44.85,46.49,44.59,46.38,3288501
2010-06-30,44.39,45.46,44.28,44.61,2218587
2010-07-01,44.12,44.8,42.81,44.26,2917984
2010-07-02,43.6,44.58,43.02,44.28,2608254
2010-07-05,43.6,44.58,43.02,44.28,0
2010-07-06,43.78,44.88,43.18,44.31,2792348
2010-07-07,45.94,46.01,43.64,43.64,3044750
2010-07-08,47.09,47.47,46.33,46.53,3733347
2010-07-09,47.89,48.02,47.065,47.12,2596016
2010-07-12,47.8,48.03,47.33,47.53,2513487
