Date,Close,High,Low,Open,Volume
2010-01-01,49.86,50.55,49.84,50.19,0
2010-01-04,49.81,50.44,49.66,50.15,3715991
2010-01-05,48.63,49.69,48.52,49.63,5941860
2010-01-06,47.94,48.39,47.35,48.26,10124459
2010-01-07,48.63,48.85,47.82,47.82,4901549
2010-01-08,48.56,48.76,48.07,48.65,3933079
2010-01-11,48.54,48.84,48.1,48.7,3058441
2010-01-12,48.85,49.39,48.6,48.99,5147283
2010-01-13,49.02,49.33,48.83,48.93,3462346
2010-01-14,49.28,49.4,48.73,48.93,2656210
2010-01-15,48.79,49.46,48.26,49.11,4252417
2010-01-18,48.79,49.46,48.26,49.11,0
2010-01-19,49.43,49.6,48.43,48.75,3349383
2010-01-20,48.93,49.7,48.55,49.26,3433308
2010-01-21,48.95,49.08,48.03,48.79,5942700
2010-01-22,48.31,49.64,48.2,48.81,6886256
2010-01-25,48.89,49.11,47.95,48.83,4768048
2010-01-26,50.23,51.13,50.15,50.55,8488923
2010-01-27,50.9,50.91,50.03,50.29,4662345
2010-01-28,50.27,51.07,49.98,51.07,4554924
2010-01-29,50.67,50.99,50.09,50.3,4484775
2010-02-01,50.69,50.95,50.22,50.95,4305883
2010-02-02,51.09,51.18,50.26,50.6,5640113
2010-02-03,50.57,50.95,50.28,50.46,3978746
2010-02-04,49.73,50.74,49.69,50.27,6662457
2010-02-05,50.28,50.5,49.24,49.61,6746318
2010-02-08,49.05,50.29,49.01,50.18,5193701
2010-02-09,49.57,49.75,48.88,49.54,5355306
2010-02-10,49.69,49.91,49.25,49.645,4619385
2010-02-11,50.2,50.27,49.26,49.61,4639251
2010-02-12,50.45,50.49,49.28,49.77,5810313
2010-02-15,50.45,50.49,49.28,49.77,0
2010-02-16,51.61,51.61,50.26,50.49,5379825
2010-02-17,51.75,51.92,51.17,51.61,4512749
2010-02-18,52.74,52.88,51.6,51.82,4577578
2010-02-19,52.88,53.1287,52.56,52.79,5437223
2010-02-22,53.04,53.29,52.76,52.94,4457681
2010-02-23,52.36,53.42,52.32,52.73,6511888
2010-02-24,52.79,52.97,52.4,52.69,6050503
2010-02-25,52.75,52.88,52.12,52.3,5101382
2010-02-26,52.59,52.99,52.32,52.85,7398529
2010-03-01,53.08,53.42,52.76,52.87,4330160
2010-03-02,53.29,53.44,52.91,53.38,3619511
2010-03-03,53.12,53.72,53.12,53.42,3892883
2010-03-04,53.55,53.62,53.03,53.06,3911710
2010-03-05,53.94,53.97,53.45,53.8,4259691
2010-03-08,53.8,53.99,53.41,53.41,3145149
2010-03-09,53.57,54.2,53.44,53.87,5108928
2010-03-10,52.89,53.78,52.6001,53.52,5891196
2010-03-11,53.62,53.66,52.8,52.94,4085787
2010-03-12,53.16,54.0,53.0,53.84,4490576
2010-03-15,52.73,53.06,52.28,53.0,4929591
2010-03-16,52.85,52.955,52.495,52.63,4126235
2010-03-17,52.99,53.54,52.85,53.0,5519057
2010-03-18,53.38,53.71,52.95,52.95,4112949
2010-03-19,53.46,53.6,52.78,53.58,11711612
2010-03-22,53.39,53.58,53.18,53.3,3817692
2010-03-23,53.9,53.9,53.35,53.52,3244258
2010-03-24,54.06,54.26,53.695,53.84,3218148
2010-03-25,54.08,54.5,54.01,54.37,4123621
2010-03-26,54.35,54.74,54.16,54.36,3422675
2010-03-29,54.76,54.82,54.35,54.59,2644697
2010-03-30,53.93,54.83,53.8,54.74,3517496
2010-03-31,53.94,54.15,53.69,53.85,3357022
2010-04-01,53.92,54.33,53.5875,54.32,3725292
2010-04-02,53.92,54.33,53.5875,54.32,0
2010-04-05,53.33,54.15,53.18,54.0,4361957
2010-04-06,52.59,53.18,52.43,53.14,6585367
2010-04-07,52.5,53.19,52.28,52.61,5631689
2010-04-08,52.26,52.52,52.192,52.29,4146916
2010-04-09,52.4,52.46,52.14,52.27,3406369
2010-04-12,52.02,52.68,51.93,52.54,3184479
2010-04-13,52.22,52.42,51.92,51.92,3416661
2010-04-14,52.91,52.96,52.18,52.21,3158800
2010-04-15,52.88,52.97,52.32,52.85,3736525
2010-04-16,52.14,53.21,52.05,52.89,6067654
2010-04-19,53.19,53.2,51.94,52.03,4869192
2010-04-20,53.17,53.47,52.79,53.31,4310932
2010-04-21,52.8,53.12,52.405,52.93,3833078
2010-04-22,53.79,53.84,52.18,52.43,4729286
2010-04-23,53.38,53.66,52.73,52.92,5346404
2010-04-26,51.92,53.38,51.86,53.3,6322769
2010-04-27,50.53,51.83,50.48,51.56,6430214
2010-04-28,51.12,51.26,50.34,50.38,6420705
2010-04-29,51.42,51.42,50.7,51.31,4908003
2010-04-30,50.74,51.35,50.49,51.35,5243008
2010-05-03,51.21,51.28,50.76,50.89,4037772
2010-05-04,50.0,50.74,49.805,50.56,6098676
2010-05-05,50.62,51.05,49.75,49.9,4062744
2010-05-06,49.8,51.16,48.53,50.66,9027022
2010-05-07,49.26,50.23,48.82,49.39,7940963
2010-05-10,50.09,50.73,49.46,50.49,6336317
2010-05-11,49.78,50.2,49.52,49.8,4672138
2010-05-12,50.19,50.25,49.375,49.86,5782052
2010-05-13,50.17,50.82,50.01,50.1,3797416
2010-05-14,50.12,50.825,49.87,50.1,6948448
2010-05-17,50.12,50.48,49.345,50.29,6006883
2010-05-18,49.83,50.78,49.69,50.47,4368669
2010-05-19,50.14,50.37,49.41,49.69,5241797
2010-05-20,48.42,50.19,48.38,49.41,7954398
2010-05-21,49.23,49.26,47.91,48.0,8400558
2010-05-24,48.49,49.37,48.43,48.92,5268113
2010-05-25,48.67,48.72,47.69,47.97,6596081
2010-05-26,48.0,48.8,47.87,48.65,6973293
2010-05-27,49.73,49.77,48.46,48.58,6247089
2010-05-28,49.47,50.05,49.28,49.84,5474574
2010-05-31,49.47,50.05,49.28,49.84,0
2010-06-01,48.6,49.64,48.54,49.08,4961082
2010-06-02,49.78,49.78,48.545,48.7,5062731
2010-06-03,49.72,49.99,49.39,49.95,3679206
2010-06-04,48.61,49.54,48.43,49.27,6378262
2010-06-07,48.27,48.82,48.26,48.6,5780403
2010-06-08,49.09,49.12,47.77,47.93,5969582
2010-06-09,48.79,49.54,48.72,49.16,6338036
2010-06-10,49.99,50.03,49.19,49.36,4964591
2010-06-11,50.41,50.42,49.63,49.73,3916255
2010-06-14,50.05,50.8,50.03,50.8,4117978
2010-06-15,51.23,51.29,50.15,50.5,4053330
2010-06-16,50.83,51.05,50.41,51.02,4817581
2010-06-17,51.71,51.73,50.82,51.04,4518058
2010-06-18,51.35,51.91,51.26,51.81,8521721
2010-06-21,51.17,52.0,51.02,51.87,3336200
2010-06-22,51.01,51.84,50.99,51.4,3883321
2010-06-23,51.11,51.4,50.88,51.13,4276036
2010-06-24,50.54,51.2,50.43,51.06,4199952
2010-06-25,51.12,51.27,50.32,50.77,7527874
2010-06-28,51.07,51.37,50.98,51.37,3219535
2010-06-29,49.73,50.92,49.47,50.7,5661692
2010-06-30,49.25,49.93,49.2,49.46,4426230
2010-07-01,48.93,49.49,48.38,49.43,4621091
2010-07-02,48.54,49.15,48.23,48.8,2722377
2010-07-05,48.54,49.15,48.23,48.8,0
2010-07-06,48.58,49.1,48.17,48.95,3858645
2010-07-07,49.95,49.99,48.42,48.9,4668136
2010-07-08,50.09,50.15,49.51,50.04,3231484
2010-07-09,51.15,51.16,50.11,50.15,3095880
2010-07-12,51.12,51.43,50.79,50.92,3025759
2010-07-13,51.2,51.6425,51.14,51.48,5224181
2010-07-14,51.39,51.48,50.83,51.13,3865943
2010-07-15,50.3,51.35,49.99,51.35,7023769
2010-07-16,49.62,50.5,49.51,50.11,5952666
2010-07-19,49.71,49.9999,49.27,49.79,2667196
2010-07-20,50.35,50.39,49.2,49.2,3801211
2010-07-21,49.87,50.72,49.8,50.31,3961686
2010-07-22,49.29,50.19,48.77,48.77,6956492
2010-07-23,50.14,50.14,48.6,48.88,7008477
2010-07-26,50.45,50.47,49.96,50.28,4814359
2010-07-27,50.58,50.75,50.14,50.75,6311969
2010-07-28,50.29,50.81,50.155,50.56,4455058
2010-07-29,50.52,50.95,50.1,50.61,6845008
2010-07-30,50.45,50.605,50.02,50.03,5751937
2010-08-02,50.85,51.22,50.51,51.04,4957824
2010-08-03,50.12,50.83,50.03,50.56,4927026
2010-08-04,50.68,50.76,50.3,50.32,6729806
2010-08-05,50.67,50.71,50.32,50.5,1966235
2010-08-06,50.27,50.45,49.48,50.38,3140762
2010-08-09,50.61,50.7,50.2,50.61,2248301
2010-08-10,49.4,50.29,49.31,50.15,5991557
2010-08-11,48.96,49.56,48.86,49.02,6571963
2010-08-12,49.63,49.87,48.64,48.7,5021296
2010-08-13,50.14,50.58,49.41,49.68,5029144
2010-08-16,49.91,49.92,49.5,49.81,3513336
2010-08-17,49.91,50.32,49.83,50.32,4762571
2010-08-18,50.08,50.3,49.61,49.92,3837781
2010-08-19,49.84,50.07,49.49,49.87,4068736
2010-08-20,50.09,50.41,49.66,49.97,4564000
2010-08-23,49.74,50.19,49.51,49.77,3939081
2010-08-24,49.26,49.71,49.14,49.51,3826575
2010-08-25,49.52,49.73,48.96,49.2,3639162
2010-08-26,49.03,49.91,48.89,49.7,3796384
2010-08-27,49.87,49.87,49.19,49.19,4437606
2010-08-30,48.95,49.71,48.92,49.64,2966402
2010-08-31,48.99,49.29,48.46,48.8,4579473
2010-09-01,50.31,50.36,49.06,49.31,4922250
2010-09-02,50.22,50.48,49.66,50.47,3595832
2010-09-03,51.03,51.05,50.25,50.49,3405604
2010-09-06,51.03,51.05,50.25,50.49,0
