Date,Close,High,Low,Open,Volume
2010-01-01,13.2425,13.49,13.23,13.4425,0
2010-01-04,13.335,13.605,13.2475,13.345,1316388
2010-01-05,13.195,13.42,12.875,13.3975,2732052
2010-01-06,13.1675,13.2725,13.0225,13.0725,1483188
2010-01-07,13.3475,13.38,13.075,13.185,918836
2010-01-08,13.34,13.48,13.1925,13.48,547984
2010-01-11,13.2325,13.3475,13.11,13.3475,983712
2010-01-12,13.2375,13.2875,13.1075,13.1875,1346164
2010-01-13,13.3225,13.375,13.15,13.265,1323096
2010-01-14,13.21,13.3488,13.13,13.3025,1093552
2010-01-15,13.1125,13.275,13.03,13.08,1418276
2010-01-18,13.1125,13.275,13.03,13.08,0
2010-01-19,13.2175,13.28,13.0025,13.005,2829164
2010-01-20,12.7825,12.865,12.525,12.75,2540960
2010-01-21,12.6875,13.0525,12.505,12.8425,1835868
2010-01-22,12.5275,12.8675,12.5,12.6325,1513952
2010-01-25,12.8125,12.8325,12.4125,12.5025,1590780
2010-01-26,12.655,12.7475,12.28,12.3325,2915720
2010-01-27,13.055,13.1175,12.4625,12.5125,3322840
2010-01-28,12.875,13.375,12.8025,13.105,5424456
2010-01-29,12.6175,13.08,12.595,12.965,2592488
2010-02-01,13.04,13.0625,12.6475,12.8925,1877544
2010-02-02,13.23,13.27,12.9375,13.085,1108500
2010-02-03,13.035,13.275,12.91,13.1275,1363100
2010-02-04,12.7025,13.0275,12.67,12.9675,1210304
2010-02-05,12.65,12.8365,12.45,12.775,1222140
2010-02-08,12.535,13.025,12.5075,12.6225,1015816
2010-02-09,12.84,12.8625,12.525,12.6125,1178728
2010-02-10,12.74,12.8525,12.6275,12.68,882872
2010-02-11,12.97,12.995,12.5325,12.5725,983372
2010-02-12,12.94,12.955,12.7525,12.7525,937156
2010-02-15,12.94,12.955,12.7525,12.7525,0
2010-02-16,13.1075,13.135,12.945,13.0,685616
2010-02-17,13.4275,13.455,13.1575,13.2,998652
2010-02-18,13.3075,13.3975,13.1725,13.3975,940160
2010-02-19,13.355,13.425,13.2075,13.3175,917068
2010-02-22,13.34,13.5,13.32,13.4025,960820
2010-02-23,13.3625,13.525,13.24,13.355,1641436
2010-02-24,13.685,13.705,13.25,13.435,926908
2010-02-25,13.725,13.88,13.5725,13.6475,1654868
2010-02-26,13.68,13.8025,13.6125,13.75,1735220
2010-03-01,14.3325,14.37,13.825,13.95,3808264
2010-03-02,14.235,14.405,14.125,14.3075,2249936
2010-03-03,14.1925,14.3575,14.1125,14.3025,1466064
2010-03-04,14.1425,14.3625,14.0975,14.26,1481324
2010-03-05,14.37,14.4025,14.125,14.165,2078996
2010-03-08,14.425,14.4725,14.3,14.3925,809504
2010-03-09,14.35,14.5,14.2725,14.395,1207600
2010-03-10,14.4475,14.5625,14.2575,14.3075,1184404
