Date,Close,High,Low,Open,Volume
2010-01-01,10.05,10.3,10.04,10.06,0
2010-01-04,10.4,10.6,10.08,10.15,3666383
2010-01-05,10.47,10.49,10.11,10.39,4442345
2010-01-06,10.44,10.66,10.33,10.49,2829385
2010-01-07,10.39,10.43,9.99,10.35,2655430
2010-01-08,10.42,10.49,10.27,10.31,2144346
2010-01-11,10.68,10.82,10.4101,10.49,3860796
2010-01-12,10.19,10.56,10.14,10.56,2808288
2010-01-13,10.36,10.37,10.05,10.3,1691067
2010-01-14,10.15,10.38,10.12,10.3,1403481
2010-01-15,10.08,10.29,9.9199,10.27,2084442
2010-01-18,10.08,10.29,9.9199,10.27,0
2010-01-19,9.95,10.25,9.83,10.07,3223564
2010-01-20,9.73,9.98,9.53,9.955,3587558
2010-01-21,9.37,9.89,9.36,9.75,2600511
2010-01-22,9.29,9.875,9.25,9.43,2730276
2010-01-25,9.12,9.35,8.97,9.29,3343631
2010-01-26,9.2,9.29,9.06,9.09,2461653
2010-01-27,9.33,9.37,9.13,9.15,1938351
2010-01-28,9.28,9.42,9.08,9.36,1947391
2010-01-29,9.28,9.75,9.25,9.75,4289516
2010-02-01,9.34,9.41,9.28,9.35,1713190
2010-02-02,9.34,9.4,9.2,9.36,1847270
2010-02-03,9.6,9.82,9.33,9.34,4273236
2010-02-04,9.2525,9.76,9.15,9.71,2638266
2010-02-05,9.29,9.35,9.09,9.28,2604182
2010-02-08,9.45,9.54,9.18,9.35,1760663
2010-02-09,9.52,9.66,9.35,9.55,1960167
2010-02-10,9.71,9.74,9.48,9.54,1729495
2010-02-11,9.86,9.96,9.57,9.67,1770921
2010-02-12,9.65,9.75,9.5,9.72,1385302
2010-02-15,9.65,9.75,9.5,9.72,0
2010-02-16,9.75,9.83,9.57,9.7,1072110
2010-02-17,9.66,9.93,9.63,9.79,2178426
2010-02-18,9.64,9.69,9.5,9.68,1522982
2010-02-19,9.5,9.68,9.41,9.59,1641523
2010-02-22,9.24,9.57,9.19,9.52,2405156
2010-02-23,9.32,9.33,9.1375,9.24,1630253
2010-02-24,9.22,9.34,9.16,9.32,1390238
2010-02-25,9.28,9.28,9.03,9.12,1538393
2010-02-26,9.62,9.64,9.21,9.31,2811009
2010-03-01,9.44,9.75,9.39,9.62,2125029
2010-03-02,9.28,9.55,9.24,9.49,2160003
2010-03-03,9.03,9.32,8.94,9.26,5512315
2010-03-04,10.02,10.02,9.31,9.5,7572166
2010-03-05,9.99,10.22,9.91,10.03,3041371
2010-03-08,10.18,10.25,9.93,10.04,1674178
2010-03-09,10.39,10.45,10.19,10.23,1741057
2010-03-10,10.5,10.54,10.32,10.42,1527959
2010-03-11,10.22,10.42,10.11,10.42,1726461
2010-03-12,10.13,10.28,10.04,10.2,1044540
2010-03-15,10.12,10.13,9.85,10.11,1304399
2010-03-16,9.96,10.14,9.85,10.13,1801228
2010-03-17,9.83,9.995,9.755,9.97,1508962
2010-03-18,10.0,10.18,9.82,9.86,1719387
2010-03-19,10.02,10.12,9.81,10.12,3049271
2010-03-22,10.27,10.46,9.79,9.94,4066605
2010-03-23,10.5,10.505,10.24,10.24,1799266
2010-03-24,10.38,10.55,10.35,10.48,1011846
2010-03-25,10.18,10.45,10.17,10.4,1252185
2010-03-26,10.21,10.32,10.04,10.24,1246265
2010-03-29,10.11,10.26,10.05,10.2,952989
2010-03-30,10.09,10.19,9.98,10.08,1062569
2010-03-31,9.8675,10.08,9.85,10.03,1402401
2010-04-01,10.04,10.07,9.87,9.88,1307476
2010-04-02,10.04,10.07,9.87,9.88,0
2010-04-05,10.36,10.36,10.01,10.09,1215435
2010-04-06,10.42,10.5,10.27,10.3,1074735
2010-04-07,10.32,10.44,10.26,10.38,1346521
2010-04-08,10.38,10.41,10.17,10.32,1283934
2010-04-09,10.51,10.55,10.31,10.46,1387313
2010-04-12,10.87,10.87,10.51,10.58,1341338
2010-04-13,10.86,10.91,10.72,10.86,1000888
2010-04-14,10.86,11.19,10.81,10.86,2304771
2010-04-15,10.79,10.93,10.64,10.89,1665639
