Date,Close,High,Low,Open,Volume
2010-01-01,26.06,26.27,25.94,25.95,0
2010-01-04,26.01,26.61,25.89,26.2,10369316
2010-01-05,25.86,26.3,25.7,25.95,10943716
2010-01-06,25.67,26.03,25.56,25.9,8933806
2010-01-07,25.75,25.84,25.36,25.6,10775594
2010-01-08,26.34,26.34,25.52,25.6,12875690
2010-01-11,26.0,26.49,25.72,26.34,11678665
2010-01-12,24.91,26.03,24.67,26.02,21165393
2010-01-13,25.02,25.16,24.67,25.01,18809238
2010-01-14,24.71,25.0,24.48,24.89,22914326
2010-01-15,24.5,24.77,24.2,24.68,20359850
2010-01-18,24.5,24.77,24.2,24.68,0
2010-01-19,24.72,24.78,24.35,24.45,11785966
2010-01-20,24.55,24.61,24.2,24.52,13253695
2010-01-21,24.18,24.88,24.01,24.55,18407988
2010-01-22,23.11,24.17,23.0,24.1,21807796
2010-01-25,23.69,23.82,23.2,23.41,20192090
2010-01-26,23.35,23.9,23.29,23.39,19650802
2010-01-27,23.53,23.66,23.08,23.37,19535889
2010-01-28,23.05,23.51,22.69,23.46,20200246
2010-01-29,22.5,23.37,22.28,23.11,23137204
2010-02-01,23.05,23.08,22.56,22.56,13198954
2010-02-02,23.31,23.37,22.94,22.97,11891095
2010-02-03,23.2,23.32,22.93,23.26,12882575
2010-02-04,22.59,23.01,22.4,23.01,14644072
2010-02-05,22.97,23.13,22.5,22.55,23093971
2010-02-08,23.1,23.37,22.7,23.0,16139282
2010-02-09,23.38,23.66,23.27,23.33,17495500
2010-02-10,23.44,23.58,23.141,23.39,12401341
2010-02-11,23.77,24.0,23.3,23.43,16197164
2010-02-12,24.03,24.27,23.4,23.54,21797524
2010-02-15,24.03,24.27,23.4,23.54,0
2010-02-16,24.79,24.88,24.13,24.27,22856839
2010-02-17,24.71,24.97,24.3,24.87,19430494
2010-02-18,24.83,24.86,24.385,24.62,13219017
2010-02-19,25.01,25.06,24.59,24.85,15978982
2010-02-22,24.73,25.15,24.62,25.12,11176754
2010-02-23,24.3,24.72,24.06,24.64,12905748
2010-02-24,24.75,25.0,24.48,24.48,14514641
2010-02-25,24.52,24.55,24.01,24.11,17886007
2010-02-26,24.38,24.61,24.2275,24.44,13205971
2010-03-01,24.63,24.925,24.47,24.47,14893843
2010-03-02,24.48,24.92,24.25,24.52,16888501
2010-03-03,24.4,24.79,24.35,24.49,13012655
2010-03-04,24.67,24.75,24.16,24.51,13537947
2010-03-05,24.97,25.09,24.6075,24.85,10348563
2010-03-08,24.69,25.09,24.55,24.99,22269106
2010-03-09,24.19,24.49,23.87,24.37,27990538
2010-03-10,24.59,24.68,24.17,24.21,13878507
2010-03-11,24.07,24.4,23.8,24.35,23088219
2010-03-12,24.0,24.24,23.9,24.17,15073856
2010-03-15,23.94,23.99,23.7,23.97,9053302
2010-03-16,24.68,24.75,23.96,24.08,18281947
2010-03-17,24.91,25.0,24.56,24.69,12621129
2010-03-18,24.72,25.0,24.55,25.0,10501926
2010-03-19,24.36,24.73,24.13,24.72,16391224
2010-03-22,24.73,24.75,24.17,24.18,10652182
2010-03-23,25.45,25.48,24.73,24.78,17937875
2010-03-24,24.79,25.33,24.72,25.27,16929271
2010-03-25,24.79,25.22,24.78,25.17,11306403
2010-03-26,24.75,25.03,24.51,24.89,10137977
