Date,Close,High,Low,Open,Volume
2010-01-01,16.44,16.75,16.38,16.55,0
2010-01-04,16.21,16.71,16.14,16.56,1835136
2010-01-05,16.19,16.3,16.01,16.2,1665576
2010-01-06,16.08,16.42,15.96,16.22,1888968
2010-01-07,16.2,16.42,15.82,16.04,1791980
2010-01-08,15.88,16.18,15.77,16.04,1099768
2010-01-11,15.99,16.25,15.96,16.09,1531315
2010-01-12,15.6,16.24,15.52,16.17,2410801
2010-01-13,15.87,15.96,15.35,15.43,1949440
2010-01-14,15.74,15.84,15.61,15.73,1233942
2010-01-15,15.55,15.74,15.44,15.62,1531590
2010-01-18,15.55,15.74,15.44,15.62,0
2010-01-19,15.93,15.965,15.51,15.61,1855839
2010-01-20,15.77,15.82,15.46,15.8,1500034
2010-01-21,15.36,15.915,15.34,15.76,2653469
2010-01-22,14.97,15.55,14.93,15.44,1828469
2010-01-25,15.29,15.47,14.85,15.28,1979479
2010-01-26,15.19,15.35,14.94,15.15,2069397
2010-01-27,15.4,15.4,14.92,15.16,1789558
2010-01-28,15.44,15.64,15.22,15.4,2003155
2010-01-29,15.56,15.7,15.37,15.52,2573350
2010-02-01,15.75,15.87,15.57,15.67,1845360
2010-02-02,16.05,16.09,15.44,15.44,1547431
2010-02-03,15.71,15.94,15.43,15.93,1881443
2010-02-04,15.33,15.73,15.31,15.54,3858183
2010-02-05,15.81,15.81,15.21,15.36,4798511
2010-02-08,15.52,15.96,15.48,15.72,2499532
2010-02-09,15.09,15.8,14.99,15.8,4455250
2010-02-10,14.7,15.15,14.48,14.98,2427205
2010-02-11,15.05,15.06,14.4725,14.65,2589086
2010-02-12,15.15,15.25,14.76,14.9,3174879
2010-02-15,15.15,15.25,14.76,14.9,0
2010-02-16,15.76,15.78,15.12,15.32,2689041
2010-02-17,15.98,16.05,15.71,15.78,1880233
2010-02-18,16.25,16.35,15.78,15.96,1486298
2010-02-19,16.31,16.4,16.08,16.19,2532853
2010-02-22,16.48,16.57,16.19,16.4,2141609
2010-02-23,16.5,16.56,16.29,16.46,1853250
2010-02-24,16.71,16.73,16.46,16.54,1598669
2010-02-25,16.67,16.7,16.38,16.45,1633489
2010-02-26,16.8,16.95,16.48,16.61,2227647
2010-03-01,16.78,16.98,16.68,16.84,1512299
2010-03-02,16.74,16.84,16.65,16.81,1114249
2010-03-03,16.56,16.77,16.56,16.75,1133785
2010-03-04,16.52,16.71,16.48,16.66,1751417
2010-03-05,16.94,16.98,16.52,16.64,2811476
2010-03-08,17.12,17.24,16.75,16.86,1515428
2010-03-09,17.06,17.37,16.94,17.0,3724295
2010-03-10,17.0,17.26,16.9,17.0,3167223
2010-03-11,17.26,17.29,16.85,16.91,1495016
2010-03-12,17.31,17.44,17.14,17.32,1327130
2010-03-15,17.22,17.41,16.9,17.31,1231761
2010-03-16,17.8,17.84,17.22,17.29,1674373
2010-03-17,17.84,18.03,17.09,17.79,1793693
2010-03-18,17.77,18.0,17.66,17.76,1482707
2010-03-19,17.77,17.83,17.57,17.81,2453293
2010-03-22,17.78,17.86,17.56,17.57,1855022
2010-03-23,17.73,17.81,17.47,17.75,1585726
2010-03-24,17.79,17.84,17.58,17.58,1600707
2010-03-25,17.97,18.26,17.87,17.9,2193954
2010-03-26,18.05,18.25,17.93,18.05,2124747
2010-03-29,17.93,18.13,17.87,18.1,986523
2010-03-30,17.93,18.04,17.78,17.91,2156883
2010-03-31,17.64,17.98,17.63,17.91,1847049
2010-04-01,17.74,17.79,17.57,17.76,1323159
2010-04-02,17.74,17.79,17.57,17.76,0
2010-04-05,18.23,18.25,17.74,17.86,1608896
2010-04-06,18.79,19.005,18.33,18.52,3235256
2010-04-07,18.35,18.83,18.19,18.8,2058857
2010-04-08,18.34,18.38,17.95,18.1,1732614
2010-04-09,18.96,18.96,18.37,18.4,2289936
2010-04-12,18.95,19.15,18.79,18.93,2934084
2010-04-13,19.66,19.7,18.88,18.92,3154269
2010-04-14,19.8,19.81,19.59,19.75,3230855
2010-04-15,19.3,19.75,19.26,19.68,2798627
2010-04-16,19.08,19.56,19.03,19.23,3658161
2010-04-19,19.35,19.37,18.89,18.96,3055030
2010-04-20,19.73,19.73,19.25,19.43,1899352
2010-04-21,20.34,20.605,19.69,19.74,2948559
2010-04-22,20.77,20.82,20.01,20.09,2002701
2010-04-23,21.06,21.2,20.53,20.83,4019268
2010-04-26,20.89,21.25,20.81,21.01,3317488
2010-04-27,20.42,21.05,20.41,20.73,2775265
2010-04-28,20.36,20.75,20.3,20.52,2712209
2010-04-29,21.25,21.34,20.565,20.63,4995493
2010-04-30,20.31,21.5,20.3,21.23,2990950
2010-05-03,21.12,21.4,20.51,20.55,2873520
2010-05-04,21.41,21.62,20.5227,20.75,3314274
2010-05-05,21.09,21.69,20.92,21.66,4284808
2010-05-06,20.18,21.15,18.85,20.86,4497029
2010-05-07,19.8,20.77,19.5,20.16,3499330
2010-05-10,21.08,21.08,20.58,20.72,3200596
2010-05-11,21.21,21.54,20.61,20.69,3016942
2010-05-12,21.66,21.82,21.26,21.35,2893945
2010-05-13,21.3,21.77,21.21,21.55,1917773
2010-05-14,20.84,21.24,20.61,21.07,2548031
2010-05-17,20.88,21.23,20.1,20.94,1731441
2010-05-18,20.41,21.27,20.34,21.22,2585821
2010-05-19,20.28,20.69,19.79,20.39,3032896
2010-05-20,19.2,20.0,19.16,19.72,3189992
2010-05-21,19.76,19.8199,18.76,18.85,3482337
2010-05-24,19.09,19.76,19.07,19.69,1908047
2010-05-25,19.23,19.32,18.29,18.65,3890530
2010-05-26,19.36,19.91,19.15,19.37,2796031
2010-05-27,20.52,20.56,19.58,19.84,3245515
2010-05-28,20.33,20.74,20.24,20.52,3009818
2010-05-31,20.33,20.74,20.24,20.52,0
2010-06-01,19.82,20.32,19.78,20.21,2930465
2010-06-02,20.28,20.28,19.64,19.86,2197598
2010-06-03,19.79,20.33,19.74,20.27,2733895
2010-06-04,18.3,19.57,18.09,19.5,6164344
2010-06-07,18.27,18.675,18.1,18.37,5322714
2010-06-08,18.52,18.61,17.78,18.28,3973557
2010-06-09,18.91,19.47,18.705,18.82,3814339
