Date,Close,High,Low,Open,Volume
2010-01-01,18.16,18.56,18.005,18.39,0
2010-01-04,18.85,19.25,18.59,18.94,594661
2010-01-05,18.76,19.16,18.56,19.02,500943
2010-01-06,19.22,19.25,18.69,18.71,340381
2010-01-07,20.86,20.98,19.37,19.37,1530499
2010-01-08,21.61,21.62,20.87,20.99,619358
2010-01-11,21.28,21.62,21.05,21.57,403887
2010-01-12,21.14,21.6,20.87,21.05,234857
2010-01-13,21.31,21.41,20.63,21.01,195584
2010-01-14,20.44,21.48,20.4,21.22,438238
2010-01-15,20.35,20.54,19.75,20.54,236562
2010-01-18,20.35,20.54,19.75,20.54,0
2010-01-19,20.21,20.45,20.07,20.18,378202
2010-01-20,20.1,20.31,19.71,20.19,298056
2010-01-21,20.0,20.4881,19.5,20.14,283378
2010-01-22,20.05,20.49,19.57,19.69,289007
2010-01-25,19.74,20.4747,19.725,20.46,154634
2010-01-26,19.97,20.26,19.24,19.91,458610
2010-01-27,19.91,20.0,19.64,19.65,122638
2010-01-28,19.29,20.1599,19.15,20.0,207028
2010-01-29,19.4,19.97,19.3,19.53,191951
2010-02-01,19.79,19.99,19.42,19.42,233749
2010-02-02,19.49,19.74,18.88,19.69,365699
2010-02-03,19.12,19.615,19.0,19.25,91355
2010-02-04,18.01,19.01,18.0,18.63,329439
2010-02-05,17.92,18.133,17.52,18.0,343125
2010-02-08,17.87,18.6,17.53,17.84,213927
2010-02-09,17.94,18.26,17.8,18.14,464235
2010-02-10,17.29,18.0,17.05,17.64,587084
2010-02-11,17.75,17.92,17.05,17.31,216751
2010-02-12,17.86,17.95,17.53,17.95,293998
2010-02-15,17.86,17.95,17.53,17.95,0
2010-02-16,18.39,18.49,17.92,18.15,185844
2010-02-17,18.45,18.68,18.26,18.53,211157
2010-02-18,18.42,18.54,18.24,18.37,93521
2010-02-19,17.94,18.45,17.93,18.43,315358
2010-02-22,17.98,18.276,17.56,17.95,201218
2010-02-23,17.72,18.01,17.27,17.95,542444
2010-02-24,18.36,18.425,17.62,17.75,187041
2010-02-25,18.1,18.5,17.95,18.08,204689
2010-02-26,18.33,18.5,18.12,18.17,112547
2010-03-01,19.12,19.21,18.383,18.5,359908
2010-03-02,19.67,19.69,19.13,19.24,298800
2010-03-03,19.97,20.028,19.27,19.65,404755
2010-03-04,21.21,21.21,19.87,20.03,552994
2010-03-05,21.4,21.62,20.96,21.45,546422
2010-03-08,20.98,21.74,20.74,21.41,440008
2010-03-09,21.17,21.49,20.72,21.02,559323
2010-03-10,21.47,21.62,21.08,21.24,250571
2010-03-11,21.54,21.56,20.64,21.4,489890
2010-03-12,23.33,23.35,21.58,21.91,1976496
2010-03-15,22.11,23.06,21.17,22.78,1143103
2010-03-16,22.86,22.94,21.91,22.35,528637
2010-03-17,22.49,23.1717,22.44,23.01,310432
2010-03-18,22.64,22.73,21.88,22.49,237096
2010-03-19,21.7,22.5,21.61,22.45,446003
2010-03-22,22.07,22.15,21.32,21.51,339615
2010-03-23,22.21,22.3,21.62,22.14,297761
2010-03-24,21.97,22.29,21.0,22.06,288710
2010-03-25,22.72,23.28,22.0,22.08,545226
2010-03-26,22.5,23.14,22.4,22.98,254226
2010-03-29,22.81,22.9,22.33,22.68,209572
2010-03-30,23.21,23.45,22.8,22.98,345072
2010-03-31,22.62,23.39,22.54,23.22,459712
2010-04-01,22.15,23.0194,21.84,22.81,421577
2010-04-02,22.15,23.0194,21.84,22.81,0
2010-04-05,22.63,22.63,21.64,22.26,501413
2010-04-06,23.19,23.26,22.58,22.65,261615
2010-04-07,22.2,23.2,22.09,23.1,340011
2010-04-08,22.15,22.47,21.89,22.19,137267
2010-04-09,23.2,23.38,22.18,22.18,428320
2010-04-12,23.22,24.1,23.04,23.3,738033
2010-04-13,22.84,23.11,22.44,23.11,233087
2010-04-14,23.26,23.29,22.72,23.03,240730
2010-04-15,23.81,24.0899,23.3101,23.36,269625
2010-04-16,23.61,23.98,23.1,23.81,206345
2010-04-19,22.17,23.52,22.06,23.47,431919
2010-04-20,22.82,22.88,22.25,22.28,214652
2010-04-21,23.18,23.3,22.43,22.78,327308
2010-04-22,24.588,24.854,22.75,22.99,602482
2010-04-23,25.36,25.4,24.29,24.73,446741
2010-04-26,24.97,25.76,24.73,25.46,269237
2010-04-27,22.75,23.65,21.661,22.87,1542925
2010-04-28,22.98,23.72,22.86,23.26,408046
2010-04-29,24.08,24.1,23.24,23.26,304971
2010-04-30,23.12,24.75,23.09,24.15,353482
2010-05-03,23.93,24.55,23.3,23.47,309524
2010-05-04,23.01,23.77,22.83,23.74,254651
2010-05-05,22.5,23.13,22.01,22.64,270664
2010-05-06,21.99,22.77,20.71,22.48,429973
2010-05-07,21.24,22.47,21.14,21.95,285258
2010-05-10,22.82,23.0,22.2,22.66,353125
2010-05-11,23.4,24.09,22.51,22.68,287284
2010-05-12,24.7,25.04,23.33,23.58,299341
2010-05-13,24.18,25.395,23.96,24.94,476231
2010-05-14,23.74,24.23,23.5,23.88,245872
2010-05-17,23.76,24.75,23.64,23.96,693890
2010-05-18,23.5,24.5,23.47,23.93,196242
2010-05-19,23.51,23.97,22.91,23.31,203269
2010-05-20,22.16,22.9662,22.1,22.57,313216
2010-05-21,23.32,23.83,21.35,21.7,424693
2010-05-24,23.55,24.07,23.33,23.33,245055
2010-05-25,22.86,23.09,22.0,22.71,464162
2010-05-26,23.62,24.09,22.79,23.18,759630
2010-05-27,24.59,24.78,23.24,23.56,317168
2010-05-28,25.58,26.0,24.81,25.25,636297
2010-05-31,25.58,26.0,24.81,25.25,0
2010-06-01,24.75,25.98,24.75,25.41,487845
2010-06-02,23.59,25.09,22.86,24.82,1154526
2010-06-03,23.9,24.1399,23.17,23.55,484451
2010-06-04,23.16,23.9,22.73,23.7,781005
2010-06-07,22.23,23.48,21.57,23.4,925779
2010-06-08,21.42,22.52,21.25,22.28,577514
2010-06-09,21.9,22.19,21.24,21.6,930243
2010-06-10,22.4,22.6,21.92,22.19,849153
2010-06-11,24.68,24.87,22.62,22.67,5338625
2010-06-14,24.53,24.8899,23.75,24.75,1084900
2010-06-15,25.12,25.37,24.81,25.18,889210
2010-06-16,25.85,26.5,24.86,25.04,1434571
2010-06-17,25.8,26.46,24.86,26.13,677729
2010-06-18,26.18,26.49,25.83,25.97,781751
2010-06-21,25.55,26.75,25.13,26.49,864368
2010-06-22,25.05,25.87,24.9101,25.53,702262
2010-06-23,24.965,25.21,24.46,25.0,506028
2010-06-24,24.42,24.808,24.1,24.75,564718
2010-06-25,24.92,24.92,23.86,24.47,897458
2010-06-28,25.82,26.03,24.92,24.93,746334
2010-06-29,24.04,25.26,23.81,25.26,669763
2010-06-30,23.655,24.48,23.42,23.97,479291
2010-07-01,23.0,23.99,22.68,23.75,1364557
2010-07-02,23.08,23.31,22.7903,23.12,488797
2010-07-05,23.08,23.31,22.7903,23.12,0
2010-07-06,22.21,23.88,22.02,23.3,933182
2010-07-07,23.35,23.46,22.06,22.22,789740
2010-07-08,22.97,23.73,22.61,23.61,538984
2010-07-09,23.51,23.54,22.5,22.95,281367
2010-07-12,23.09,23.48,22.51,23.44,412348
2010-07-13,23.89,23.93,23.045,23.49,437234
2010-07-14,23.6,23.74,22.78,23.74,391554
2010-07-15,23.3,23.56,22.73,23.56,378697
2010-07-16,22.77,23.06,22.59,23.03,563938
2010-07-19,22.9,23.06,22.51,22.9,495657
2010-07-20,23.15,23.24,22.23,22.66,445729
2010-07-21,22.86,23.31,22.45,23.31,322648
2010-07-22,24.12,24.17,23.07,23.27,477190
2010-07-23,24.74,24.76,23.85,24.08,423844
2010-07-26,25.43,25.5,24.65,24.83,444298
2010-07-27,24.67,25.8895,24.41,25.55,346367
2010-07-28,24.61,24.82,24.11,24.56,297814
2010-07-29,25.44,25.67,24.77,24.93,815285
2010-07-30,25.26,25.53,24.68,25.03,528176
2010-08-02,25.43,25.87,25.17,25.75,394993
2010-08-03,25.33,25.49,24.51,25.38,503236
2010-08-04,24.9,25.45,24.73,25.45,339656
2010-08-05,24.89,24.97,24.17,24.74,345398
2010-08-06,24.79,24.88,23.5601,24.44,482321
2010-08-09,24.71,25.0,24.43,24.9,309717
2010-08-10,24.09,24.66,23.96,24.45,366120
2010-08-11,22.95,23.9,22.84,23.5,498608
2010-08-12,22.97,23.25,22.11,22.52,266212
2010-08-13,22.18,23.045,22.06,22.81,449214
2010-08-16,22.58,22.93,21.8301,22.14,401766
2010-08-17,23.24,23.53,22.71,22.88,361108
2010-08-18,24.04,24.15,22.75,23.09,381258
2010-08-19,23.44,24.29,23.41,24.05,522526
2010-08-20,23.36,23.55,22.88,23.4,530001
2010-08-23,23.19,23.7,23.16,23.44,326311
2010-08-24,22.9625,23.4,22.201,22.92,364049
2010-08-25,23.58,23.65,22.69,22.69,267271
2010-08-26,23.27,23.97,23.13,23.74,385221
2010-08-27,23.71,23.98,23.21,23.64,309168
2010-08-30,23.535,23.79,23.21,23.52,615484
2010-08-31,22.7,23.56,22.45,23.56,769060
2010-09-01,22.26,23.22,20.67,22.93,3352136
2010-09-02,22.23,23.49,21.6,22.29,1407775
2010-09-03,26.3,26.47,24.3,25.23,3125653
2010-09-06,26.3,26.47,24.3,25.23,0
2010-09-07,26.4,26.74,26.06,26.41,859692
2010-09-08,26.71,26.95,26.39,26.75,813622
2010-09-09,26.35,26.96,25.97,26.92,419397
2010-09-10,26.21,26.88,26.19,26.36,363746
2010-09-13,27.65,27.7,26.41,26.5,774827
2010-09-14,28.59,29.25,27.34,27.52,1039288
2010-09-15,28.01,28.56,27.87,28.4,445217
2010-09-16,28.03,28.15,27.5303,27.89,249635
2010-09-17,28.15,28.45,27.54,28.33,446230
2010-09-20,28.23,28.33,27.54,28.31,508766
2010-09-21,29.11,29.47,28.35,28.35,1023508
2010-09-22,27.94,29.13,27.77,29.05,626911
2010-09-23,27.66,28.37,27.51,27.62,534520
2010-09-24,28.93,28.94,28.0217,28.1,409888
2010-09-27,28.64,29.1634,28.6,29.02,385647
2010-09-28,29.35,29.47,28.09,28.81,622960
2010-09-29,29.82,30.19,28.96,29.39,732002
2010-09-30,29.2,29.99,29.01,29.99,482953
2010-10-01,29.35,29.54,28.81,29.44,380454
2010-10-04,28.41,29.63,28.26,29.53,633953
2010-10-05,28.69,29.3099,28.47,28.79,461109
2010-10-06,28.3,28.94,28.05,28.67,524291
2010-10-07,28.53,28.86,27.76,28.6,812586
2010-10-08,28.96,29.11,28.57,28.59,373221
2010-10-11,29.03,29.25,28.52,28.82,231229
2010-10-12,30.9,31.0,28.8,28.86,1571809
2010-10-13,30.88,31.56,30.33,31.0,797708
2010-10-14,30.42,30.51,29.61,30.33,697408
2010-10-15,31.01,31.05,30.225,30.78,478920
2010-10-18,31.66,31.73,31.1,31.18,500696
2010-10-19,30.8,31.65,30.52,31.15,472559
2010-10-20,30.72,31.47,30.64,30.89,320575
2010-10-21,30.89,31.58,30.61,30.85,314383
2010-10-22,31.07,31.22,30.5,30.92,236588
2010-10-25,32.1,32.5,31.19,31.23,434536
2010-10-26,32.33,32.6797,31.62,31.83,332276
2010-10-27,31.59,32.25,31.37,32.25,464087
2010-10-28,31.14,32.03,31.01,31.7,353848
2010-10-29,30.69,31.21,30.68,31.0,373374
2010-11-01,30.41,31.36,30.01,31.36,574532
2010-11-02,30.81,31.01,30.09,30.85,293819
2010-11-03,31.67,31.85,30.8,30.85,254164
2010-11-04,31.86,32.19,31.39,31.84,298381
2010-11-05,32.3,32.34,31.6518,32.02,208605
2010-11-08,33.03,33.5,32.2101,32.33,337899
2010-11-09,32.61,33.29,32.401,33.29,241181
2010-11-10,33.0,33.0,32.3541,32.65,164470
2010-11-11,32.75,32.89,32.32,32.62,188136
2010-11-12,31.98,32.74,31.82,32.43,316900
2010-11-15,31.8,32.2,31.51,32.01,159661
2010-11-16,31.57,31.73,30.51,31.49,369160
2010-11-17,31.5,31.86,31.0133,31.39,150211
2010-11-18,31.97,32.68,31.76,31.76,200172
2010-11-19,31.95,32.05,31.6401,32.04,304948
2010-11-22,32.68,32.87,31.29,31.95,429880
2010-11-23,33.48,33.5,32.24,32.27,410691
2010-11-24,34.47,35.0,33.59,33.76,663675
2010-11-25,34.47,35.0,33.59,33.76,0
2010-11-26,34.99,35.05,34.33,34.44,163270
2010-11-29,35.15,35.55,34.2013,34.37,702936
2010-11-30,34.95,35.96,34.5,34.64,785001
2010-12-01,36.47,36.71,35.58,35.77,857419
2010-12-02,35.72,37.24,35.37,36.42,1628875
2010-12-03,35.22,35.5784,33.76,34.37,1773567
2010-12-06,34.08,36.04,33.63,35.16,1074640
2010-12-07,33.86,34.92,33.76,34.61,630933
2010-12-08,34.41,34.66,33.41,33.86,636699
2010-12-09,34.76,35.35,33.73,34.7,650262
2010-12-10,34.71,34.93,34.23,34.93,418878
2010-12-13,34.01,34.97,33.8,34.96,612276
2010-12-14,33.16,34.21,33.01,33.78,616837
2010-12-15,32.79,33.42,32.01,33.0,857455
2010-12-16,34.09,34.33,32.6,32.61,537908
2010-12-17,33.15,34.18,33.15,34.17,3263923
2010-12-20,33.03,33.8,33.0,33.29,616039
2010-12-21,33.41,33.59,32.99,33.47,298762
2010-12-22,34.49,34.7,33.13,33.37,692223
2010-12-23,34.74,34.97,34.5,34.56,356790
2010-12-24,34.74,34.97,34.5,34.56,0
2010-12-27,34.15,34.84,33.75,34.74,297734
2010-12-28,33.96,34.34,33.62,34.19,135007
2010-12-29,34.27,34.42,33.81,33.99,125636
2010-12-30,34.34,34.91,34.11,34.36,157943
2010-12-31,34.0,34.57,33.63,34.24,219750
2011-01-03,34.32,34.5,33.69,34.13,392310
2011-01-04,34.28,34.8399,33.89,34.48,473803
2011-01-05,34.52,34.75,33.89,34.11,530439
2011-01-06,37.18,37.4822,35.1,35.12,1240660
2011-01-07,37.55,38.25,36.91,37.5,801529
2011-01-10,37.85,38.0,36.76,37.44,523506
2011-01-11,37.17,37.85,36.6312,37.72,667802
2011-01-12,37.09,37.77,37.0,37.5,260519
2011-01-13,37.12,37.35,36.83,37.22,263350
2011-01-14,37.06,37.49,36.81,37.17,577427
2011-01-17,37.06,37.49,36.81,37.17,0
2011-01-18,36.45,37.21,36.2,36.9,527193
2011-01-19,35.72,36.65,35.6,36.52,618609
2011-01-20,36.12,36.94,35.37,35.37,535256
2011-01-21,35.87,36.83,35.8,36.38,350391
2011-01-24,36.09,36.24,35.5,35.81,260687
2011-01-25,36.05,36.33,35.41,35.81,276261
2011-01-26,36.65,36.78,35.45,36.17,374785
2011-01-27,37.06,37.16,36.24,36.68,367071
2011-01-28,36.73,37.12,36.07,37.12,546954
2011-01-31,37.04,37.26,36.13,36.9,571562
