Date,Close,High,Low,Open,Volume
2010-01-01,19.52,20.09,19.5,19.97,0
2010-01-04,19.94,20.05,19.5491,19.73,3110300
2010-01-05,20.23,20.29,19.8,19.85,1988992
2010-01-06,20.41,20.51,20.19,20.25,2435234
2010-01-07,20.86,20.92,20.07,20.24,3769547
2010-01-08,20.58,20.8,20.41,20.8,2046295
2010-01-11,20.96,20.99,20.58,20.58,2172585
2010-01-12,20.91,21.24,20.79,20.79,5054035
2010-01-13,21.05,21.15,20.77,21.01,2686670
2010-01-14,21.45,21.69,20.95,20.95,5754766
2010-01-15,21.39,21.79,21.3,21.41,6100936
2010-01-18,21.39,21.79,21.3,21.41,0
2010-01-19,21.64,21.92,21.26,21.29,3621794
2010-01-20,21.53,21.61,21.17,21.5,3954310
2010-01-21,20.98,21.56,20.93,21.53,5031078
2010-01-22,20.19,21.09,20.15,20.99,3668387
2010-01-25,20.33,20.61,20.225,20.48,2502729
2010-01-26,19.8,20.41,19.76,20.13,2908458
2010-01-27,19.99,20.01,19.45,19.81,3471825
2010-01-28,19.61,20.0256,19.59,19.92,4037852
2010-01-29,19.57,20.11,19.52,19.69,3336500
2010-02-01,20.1,20.14,19.59,19.71,3175632
2010-02-02,20.67,20.8,20.0,20.17,3610535
2010-02-03,19.95,20.62,19.75,20.45,3713449
2010-02-04,18.9,19.74,18.86,19.74,4127083
2010-02-05,19.22,19.23,18.56,18.9,4816952
2010-02-08,18.73,19.22,18.73,19.18,2748563
2010-02-09,19.01,19.38,18.78,19.04,3393160
2010-02-10,19.14,19.33,18.9,19.04,3111991
2010-02-11,19.42,19.5,18.97,19.14,2863192
2010-02-12,19.52,19.55,18.78,19.11,3629945
2010-02-15,19.52,19.55,18.78,19.11,0
2010-02-16,20.08,20.08,19.62,19.79,3084837
2010-02-17,20.53,20.74,20.19,20.54,3316047
2010-02-18,20.92,20.94,20.4,20.54,3639534
2010-02-19,21.01,21.07,20.67,20.8,2920256
2010-02-22,21.01,21.1,20.87,21.0,1603409
2010-02-23,20.64,21.0875,20.57,20.87,3734717
2010-02-24,20.93,20.99,20.64,20.69,2771886
2010-02-25,20.78,20.81,20.42,20.44,2799937
2010-02-26,20.81,20.96,20.62,20.84,2615221
2010-03-01,21.31,21.32,20.86,20.89,2535394
2010-03-02,21.3,21.43,21.16,21.42,2507472
2010-03-03,21.35,21.5,21.24,21.37,2825177
2010-03-04,21.68,21.68,21.29,21.44,2267574
2010-03-05,22.2,22.25,21.655,21.88,3338501
2010-03-08,22.42,22.54,22.19,22.27,2505868
2010-03-09,22.48,22.56,22.24,22.26,2619839
2010-03-10,22.77,22.83,22.37,22.52,2297797
2010-03-11,23.25,23.25,22.83,22.9,3195414
2010-03-12,23.4,23.55,23.02,23.43,4261978
2010-03-15,23.84,23.93,23.28,23.41,4206094
2010-03-16,24.17,24.23,23.75,23.85,3553587
2010-03-17,24.43,24.91,24.32,24.87,4781150
2010-03-18,24.33,24.42,24.19,24.29,2621922
2010-03-19,23.93,24.48,23.63,23.63,5046570
2010-03-22,23.89,24.01,23.55,23.67,3222757
2010-03-23,24.19,24.22,23.73,23.91,3393493
2010-03-24,24.18,24.31,23.97,24.13,2752203
2010-03-25,24.39,24.695,24.175,24.4,4214808
2010-03-26,24.65,24.78,24.41,24.45,4124770
2010-03-29,24.87,25.0,24.75,24.76,3731791
2010-03-30,24.73,25.0,24.695,24.97,2050326
2010-03-31,24.77,24.94,24.56,24.59,4751753
2010-04-01,25.17,25.31,24.93,24.97,1927578
2010-04-02,25.17,25.31,24.93,24.97,0
2010-04-05,25.34,25.45,25.19,25.2,2600274
2010-04-06,25.6,25.84,25.13,25.16,3523382
2010-04-07,25.36,25.65,25.13,25.57,2585415
2010-04-08,25.43,25.49,25.09,25.23,1879615
2010-04-09,25.53,25.53,25.305,25.43,2333151
2010-04-12,25.54,25.72,25.455,25.65,1708030
2010-04-13,25.59,25.64,25.28,25.46,1313124
2010-04-14,26.41,26.42,25.69,25.72,2528208
2010-04-15,26.07,26.2,25.76,26.11,2702176
2010-04-16,25.32,26.01,24.96,25.9,4268325
2010-04-19,25.48,25.5,24.95,25.13,3113752
2010-04-20,25.89,25.94,25.64,25.71,1971636
2010-04-21,25.65,26.18,25.34,26.0,2830260
2010-04-22,25.51,25.56,24.92,25.3,2372997
2010-04-23,25.91,25.94,25.39,25.46,2108010
2010-04-26,25.64,26.09,25.63,25.84,2185902
2010-04-27,24.27,25.56,24.18,25.36,4435617
2010-04-28,24.28,24.94,24.14,24.52,4914369
2010-04-29,24.71,24.97,24.41,24.55,4851274
2010-04-30,24.47,25.17,24.36,25.01,4575893
2010-05-03,24.36,24.82,24.2,24.71,3779392
2010-05-04,23.57,24.06,23.44,24.06,5844215
2010-05-05,23.58,24.31,22.91,23.11,5665696
2010-05-06,22.66,23.83,21.03,23.41,5506211
2010-05-07,22.44,23.01,21.86,22.38,7541416
2010-05-10,24.32,24.32,23.66,24.0,4757869
2010-05-11,24.05,24.5,23.75,24.03,2974352
2010-05-12,24.31,24.38,23.95,24.11,4325179
2010-05-13,23.57,24.24,23.535,24.17,3663015
2010-05-14,22.71,23.38,22.49,23.35,5212266
2010-05-17,22.59,22.91,22.15,22.79,7467250
2010-05-18,22.07,22.93,21.95,22.72,6286681
2010-05-19,22.05,22.39,21.54,21.93,7475255
2010-05-20,21.51,21.97,21.03,21.77,18734329
2010-05-21,22.46,22.53,21.05,21.3,7578134
2010-05-24,22.08,22.5,22.01,22.19,4382759
2010-05-25,22.19,22.3125,20.98,21.19,10840301
2010-05-26,22.4,22.81,22.26,22.32,6649941
2010-05-27,23.52,23.56,22.68,22.94,4135532
2010-05-28,23.1,23.77,23.02,23.53,5270694
2010-05-31,23.1,23.77,23.02,23.53,0
2010-06-01,22.62,23.23,22.41,22.41,4141100
2010-06-02,23.4,23.41,22.65,22.7,3711282
2010-06-03,23.26,23.55,23.06,23.44,2988362
2010-06-04,22.28,22.77,22.185,22.64,7176827
2010-06-07,21.73,22.47,21.72,22.31,6815949
2010-06-08,22.28,22.36,21.59,21.81,5482407
2010-06-09,22.14,22.76,22.06,22.51,3927289
2010-06-10,23.06,23.1,22.49,22.61,2886874
2010-06-11,23.29,23.34,22.58,22.67,3242262
2010-06-14,23.35,23.73,23.27,23.5,3647279
2010-06-15,23.82,23.85,23.23,23.48,3302313
2010-06-16,23.43,23.74,23.275,23.62,2908472
2010-06-17,23.36,23.58,23.13,23.43,2417060
2010-06-18,23.58,23.58,23.375,23.46,2206351
2010-06-21,23.44,24.34,23.28,23.96,1860147
2010-06-22,22.96,23.68,22.93,23.44,2614921
2010-06-23,22.74,23.07,22.56,22.97,2852638
2010-06-24,22.33,22.72,22.24,22.59,3382863
2010-06-25,22.69,22.76,22.06,22.48,3641831
2010-06-28,22.79,22.95,22.6,22.73,2743599
2010-06-29,21.91,22.44,21.755,22.44,4575738
2010-06-30,21.7,22.21,21.65,21.81,4520340
2010-07-01,21.34,21.775,20.915,21.77,4680931
2010-07-02,21.26,21.59,20.98,21.44,3109163
2010-07-05,21.26,21.59,20.98,21.44,0
2010-07-06,21.3,21.81,20.99,21.53,4189668
2010-07-07,21.95,21.99,21.31,21.53,5086699
2010-07-08,22.4,22.44,21.92,22.2,3140358
2010-07-09,22.66,22.7,22.35,22.46,2066878
2010-07-12,22.51,22.72,22.33,22.57,2387082
2010-07-13,22.89,23.01,22.725,22.82,2869077
2010-07-14,22.44,22.72,22.24,22.72,3728919
2010-07-15,22.46,22.53,21.99,22.46,3187861
2010-07-16,21.73,22.22,21.64,22.21,3989124
2010-07-19,21.72,21.97,21.34,21.81,2368909
2010-07-20,22.15,22.15,21.28,21.29,3263930
2010-07-21,21.8,22.45,21.73,22.45,4497870
2010-07-22,21.81,22.12,21.6,22.12,7647749
2010-07-23,22.46,22.49,21.56,21.71,5735866
