Date,Close,High,Low,Open,Volume
2010-01-01,9.81,10.09,9.77,9.99,0
2010-01-04,10.04,10.13,9.79,9.92,1692409
2010-01-05,9.93,10.04,9.8,10.04,1459200
2010-01-06,9.93,9.97,9.69,9.9,1072862
2010-01-07,9.8,9.98,9.73,9.87,2052705
2010-01-08,9.58,9.85,9.52,9.78,1398951
2010-01-11,9.3,9.65,9.29,9.61,1570755
2010-01-12,9.14,9.32,8.965,9.3,1666540
2010-01-13,8.96,9.21,8.85,9.16,3644412
2010-01-14,8.98,9.0,8.87,8.97,1101941
2010-01-15,9.14,9.15,8.91,9.03,1682905
2010-01-18,9.14,9.15,8.91,9.03,0
2010-01-19,9.28,9.325,9.1,9.19,1929294
2010-01-20,9.25,9.28,9.0,9.2,1465620
2010-01-21,8.8,9.28,8.73,9.28,2489307
2010-01-22,8.49,8.87,8.45,8.73,4160796
2010-01-25,8.62,8.75,8.36,8.56,3592059
2010-01-26,8.5,8.77,8.43,8.59,1005844
2010-01-27,8.34,8.506,8.26,8.49,2403841
2010-01-28,8.33,8.44,8.18,8.34,2357152
2010-01-29,8.01,8.43,8.01,8.3,1727023
2010-02-01,8.38,8.44,8.05,8.06,1466805
2010-02-02,8.46,8.61,8.25,8.37,1936949
2010-02-03,8.31,8.5,8.15,8.42,1483961
2010-02-04,7.38,8.2,7.29,8.18,4219016
2010-02-05,7.38,7.43,7.13,7.33,2973683
2010-02-08,7.41,7.53,7.25,7.38,2475625
2010-02-09,7.54,7.81,7.34,7.54,1830916
2010-02-10,7.28,7.6,7.18,7.5,1747284
2010-02-11,7.08,7.3,7.03,7.25,2456190
2010-02-12,7.07,7.095,6.99,7.03,1658684
2010-02-15,7.07,7.095,6.99,7.03,0
2010-02-16,7.14,7.2,7.03,7.13,1078672
2010-02-17,7.16,7.21,7.02,7.14,981614
2010-02-18,7.02,7.17,6.93,7.17,1175079
2010-02-19,7.03,7.06,6.87,6.99,2765114
2010-02-22,7.44,7.46,6.99,7.09,2207566
2010-02-23,7.29,7.47,7.235,7.45,991161
2010-02-24,7.36,7.46,7.25,7.35,1566181
2010-02-25,7.28,7.32,7.03,7.17,1366504
2010-02-26,7.55,7.6,7.21,7.27,1162258
2010-03-01,7.8,7.97,7.5625,7.57,1881715
2010-03-02,8.02,8.15,7.8,7.86,2345234
2010-03-03,7.76,8.19,7.67,8.05,1626948
2010-03-04,7.87,7.93,7.68,7.76,713907
2010-03-05,8.28,8.31,7.92,7.95,1420571
2010-03-08,8.18,8.35,8.11,8.29,633507
2010-03-09,8.39,8.49,8.11,8.11,939282
2010-03-10,8.5,8.64,8.29,8.35,1249432
2010-03-11,8.47,8.52,8.11,8.43,556767
2010-03-12,8.42,8.5,8.26,8.47,528678
2010-03-15,8.25,8.42,8.13,8.42,713005
2010-03-16,8.25,8.31,8.17,8.29,330795
2010-03-17,8.25,8.33,8.17,8.25,567855
2010-03-18,8.14,8.3,8.11,8.26,396578
2010-03-19,7.96,8.28,7.94,8.17,831655
2010-03-22,7.97,8.15,7.83,7.92,878975
2010-03-23,8.39,8.41,8.0,8.03,1027042
2010-03-24,8.46,8.49,8.25,8.36,1103379
2010-03-25,8.41,8.7,8.41,8.52,1027800
2010-03-26,8.4,8.65,8.31,8.42,695058
2010-03-29,9.0,9.1,8.41,8.5,2384036
2010-03-30,9.4,9.44,9.02,9.05,3247257
2010-03-31,9.38,9.62,9.17,9.38,1734517
2010-04-01,9.27,9.56,9.26,9.48,1441956
2010-04-02,9.27,9.56,9.26,9.48,0
2010-04-05,9.6,9.64,9.26,9.34,1275260
2010-04-06,9.74,9.795,9.48,9.57,2087834
2010-04-07,9.83,10.0,9.65,9.69,1754803
2010-04-08,9.82,9.86,9.39,9.72,2041240
2010-04-09,10.46,10.48,9.76,9.86,3694668
2010-04-12,10.2,10.45,10.16,10.37,1985116
2010-04-13,10.47,10.5402,10.12,10.22,1782919
2010-04-14,10.78,10.84,10.42,10.52,1507986
2010-04-15,10.94,11.05,10.71,10.79,2355909
2010-04-16,10.63,11.0199,10.53,10.92,1306635
2010-04-19,10.73,10.8,10.53,10.62,1309628
2010-04-20,10.73,10.93,10.54,10.78,2109674
2010-04-21,10.7,10.76,10.345,10.75,1882229
2010-04-22,12.51,12.605,10.45,10.65,6919963
2010-04-23,13.14,13.35,12.42,12.65,3902535
2010-04-26,13.82,13.94,13.08,13.2,3153322
2010-04-27,13.22,13.95,13.13,13.75,3916809
2010-04-28,13.3,13.83,13.12,13.35,1827379
2010-04-29,14.46,14.69,13.33,13.42,4978510
2010-04-30,14.36,14.79,14.33,14.53,2752800
2010-05-03,14.59,14.7,14.31,14.53,1403662
2010-05-04,13.9,14.27,13.7,14.22,2395653
2010-05-05,13.3,13.8,13.14,13.58,2699278
2010-05-06,12.58,13.6,11.37,13.13,1824185
2010-05-07,12.12,12.75,11.99,12.62,2860680
2010-05-10,13.34,13.48,12.58,13.33,1794598
2010-05-11,13.46,13.9,12.88,13.09,1740367
2010-05-12,14.01,14.29,13.51,13.54,2087505
2010-05-13,14.2,14.5491,13.91,13.91,1554081
2010-05-14,13.56,14.12,13.27,14.02,1534440
2010-05-17,13.38,13.92,12.92,13.66,1138442
2010-05-18,13.31,13.84,13.17,13.59,1464867
2010-05-19,12.61,13.43,12.37,13.28,2051297
2010-05-20,11.61,12.42,11.61,12.02,3012985
2010-05-21,11.81,12.21,11.2,11.27,2038250
2010-05-24,11.89,12.28,11.77,11.87,1600188
2010-05-25,11.51,11.51,10.88,11.29,2319033
2010-05-26,11.7,12.17,11.51,11.55,1302520
2010-05-27,12.41,12.41,11.85,12.05,1229129
2010-05-28,12.15,12.61,12.08,12.29,1409361
2010-05-31,12.15,12.61,12.08,12.29,0
2010-06-01,12.21,12.63,11.7,12.0,2425960
2010-06-02,12.62,12.62,12.23,12.36,1069339
2010-06-03,12.55,12.7,12.29,12.61,737881
2010-06-04,11.65,12.33,11.64,12.23,1570076
2010-06-07,11.17,11.8,11.08,11.66,1589313
2010-06-08,10.83,11.41,10.77,11.25,1615126
2010-06-09,10.97,11.63,10.87,10.91,3338678
2010-06-10,11.4,11.46,11.14,11.23,1561426
2010-06-11,11.7,11.7,11.0,11.12,2464932
2010-06-14,11.83,12.22,11.76,11.93,1067609
2010-06-15,12.61,12.65,11.91,12.0,2400828
2010-06-16,12.63,12.74,12.3,12.5,1201985
2010-06-17,12.52,12.7,12.17,12.64,812337
2010-06-18,12.48,12.77,11.92,12.59,1176247
2010-06-21,12.23,13.07,12.09,12.72,933496
2010-06-22,11.52,12.39,11.44,12.24,1421913
2010-06-23,10.98,11.56,10.83,11.4,2276485
2010-06-24,10.46,10.94,10.43,10.82,2131424
2010-06-25,10.68,10.76,10.13,10.46,2535423
2010-06-28,10.53,10.92,10.5,10.67,1034181
2010-06-29,9.51,10.24,9.39,10.23,3178755
2010-06-30,9.32,9.75,9.28,9.53,1350890
2010-07-01,8.91,9.35,8.55,9.32,2975233
2010-07-02,8.53,8.99,8.43,8.99,1500501
2010-07-05,8.53,8.99,8.43,8.99,0
2010-07-06,8.29,8.87,8.2,8.75,2416859
2010-07-07,8.83,8.925,8.22,8.34,1554821
2010-07-08,9.1,9.12,8.87,8.95,1164718
2010-07-09,9.59,9.84,9.21,9.24,2278480
2010-07-12,9.51,9.71,9.27,9.52,939204
2010-07-13,10.17,10.3,9.715,9.77,2334946
2010-07-14,10.43,10.46,10.01,10.01,1939826
2010-07-15,10.57,10.61,10.14,10.42,2146279
2010-07-16,10.25,10.5,10.13,10.44,2535292
2010-07-19,10.4,10.4,10.06,10.31,2388110
2010-07-20,10.57,10.61,10.05,10.15,2443548
