Date,Close,High,Low,Open,Volume
2010-01-01,22.51,22.65,22.38,22.4,0
2010-01-04,22.88,22.91,22.53,22.57,12891860
2010-01-05,23.46,23.51,22.74,22.76,14504800
2010-01-06,23.71,23.87,23.32,23.43,12293590
2010-01-07,24.17,24.48,23.5,23.64,15245286
2010-01-08,24.21,24.26,23.74,23.97,9935095
2010-01-11,24.32,24.5,24.11,24.5,8482770
2010-01-12,24.31,24.54,24.04,24.18,13119260
2010-01-13,24.71,24.89,24.12,24.29,12736745
2010-01-14,25.33,25.41,24.53,24.6,13383948
2010-01-15,24.62,25.22,24.46,25.22,13590495
2010-01-18,24.62,25.22,24.46,25.22,0
2010-01-19,24.49,24.77,24.09,24.49,15471461
2010-01-20,25.01,25.34,24.77,24.8,18602368
2010-01-21,25.14,25.74,24.66,25.22,24865114
2010-01-22,24.67,26.84,24.57,25.06,20008267
2010-01-25,24.81,25.13,24.4201,25.01,13692377
2010-01-26,24.31,24.91,24.23,24.39,15866802
2010-01-27,25.12,25.225,24.12,24.17,19764290
2010-01-28,24.99,25.37,24.79,25.23,17791515
2010-01-29,25.08,25.46,24.89,25.2,18317714
2010-02-01,25.18,25.3593,24.9,25.15,12033677
2010-02-02,24.87,25.31,24.75,25.16,14793939
2010-02-03,24.46,24.85,24.22,24.76,12353788
2010-02-04,23.65,24.4,23.62,24.29,20553738
2010-02-05,23.97,24.25,23.28,23.83,22491128
2010-02-08,23.49,24.03,23.41,23.92,15753515
2010-02-09,23.49,23.86,23.26,23.63,13742785
2010-02-10,23.61,23.88,23.27,23.47,12219501
2010-02-11,23.49,23.7,23.285,23.67,8753389
2010-02-12,23.26,23.39,22.98,23.25,16552684
2010-02-15,23.26,23.39,22.98,23.25,0
2010-02-16,23.86,23.8801,23.22,23.6,11489221
2010-02-17,23.73,23.89,23.48,23.86,21960447
2010-02-18,23.91,24.0,23.53,23.71,9076725
2010-02-19,24.14,24.25,23.81,23.92,11805067
2010-02-22,24.55,24.71,24.26,24.39,12844806
