Date,Close,High,Low,Open,Volume
2010-01-01,69.41,70.76,69.32,70.67,0
2010-01-04,71.63,71.86,69.86,70.21,6104078
2010-01-05,70.56,71.64,70.28,71.64,5004889
2010-01-06,70.19,70.83,70.03,70.56,4726859
2010-01-07,70.49,70.62,69.57,70.01,4264324
2010-01-08,70.63,70.7,70.25,70.26,4654756
2010-01-11,72.16,72.26,70.73,70.73,5529998
2010-01-12,71.74,71.95,71.06,71.8,4671957
2010-01-13,72.56,72.66,71.79,71.82,4877064
2010-01-14,72.81,72.85,72.12,72.24,3551212
2010-01-15,71.99,72.93,71.68,72.83,5343245
2010-01-18,71.99,72.93,71.68,72.83,0
2010-01-19,72.29,72.94,71.64,71.99,3680613
2010-01-20,71.43,72.24,70.63,72.01,3673173
2010-01-21,70.13,71.85,69.75,71.45,5111525
2010-01-22,69.08,70.29,69.0,69.87,5813947
2010-01-25,68.59,69.51,68.56,69.51,4999387
2010-01-26,68.47,68.86,67.8,68.0,4996356
2010-01-27,67.61,67.85,66.5,67.26,7690664
2010-01-28,67.37,67.83,66.55,67.69,5579133
2010-01-29,67.48,68.49,66.64,67.39,7232057
2010-02-01,67.55,67.97,67.2,67.76,4916678
2010-02-02,68.03,68.43,67.69,67.89,6129221
2010-02-03,68.24,68.43,67.7,67.82,4150985
2010-02-04,66.38,67.95,66.34,67.87,5983103
2010-02-05,66.5,67.0,65.05,66.38,7825787
2010-02-08,65.4,66.33,65.31,66.28,5260361
2010-02-09,66.52,67.11,65.71,66.2,5277448
2010-02-10,66.64,66.93,66.11,66.52,4933051
2010-02-11,66.71,66.85,65.86,66.36,5504100
2010-02-12,65.69,66.26,65.01,65.9,7957397
2010-02-15,65.69,66.26,65.01,65.9,0
2010-02-16,66.33,66.43,65.56,66.2,6290951
2010-02-17,67.35,67.53,65.82,66.38,5988692
2010-02-18,68.11,68.29,67.42,67.54,4124802
2010-02-19,68.52,68.9,68.11,68.15,5296087
2010-02-22,68.4,68.92,68.13,68.84,3311292
2010-02-23,67.79,68.75,67.72,68.21,4152371
2010-02-24,68.62,68.7,67.79,67.86,4842440
2010-02-25,68.67,68.7,67.05,67.64,5920516
2010-02-26,68.65,68.98,68.14,68.64,3973110
2010-03-01,69.64,69.8,68.84,69.0,3703238
2010-03-02,69.75,70.0,69.64,69.84,5956243
2010-03-03,69.6,70.38,69.43,70.0,4835538
2010-03-04,70.37,70.79,69.64,69.74,5651723
2010-03-05,71.25,71.31,70.57,70.8,4057324
2010-03-08,70.76,71.42,70.76,71.21,4018568
2010-03-09,71.78,72.25,71.16,71.45,5560467
2010-03-10,71.79,72.22,71.38,71.67,4904430
2010-03-11,72.04,72.04,71.26,71.85,4983932
2010-03-12,71.53,72.45,71.14,72.03,5805586
2010-03-15,71.84,72.11,71.32,71.62,5463095
2010-03-16,72.4,72.5,71.59,71.98,5154484
2010-03-17,72.19,72.8,72.06,72.5,4486594
2010-03-18,72.5,72.55,72.06,72.1,3174683
2010-03-19,73.24,73.735,72.72,72.76,9090631
2010-03-22,72.61,73.03,72.57,72.87,5176803
2010-03-23,73.09,73.17,72.58,72.59,4964021
2010-03-24,73.04,73.54,72.76,72.93,4180805
2010-03-25,73.27,73.82,73.18,73.5,3936206
2010-03-26,73.62,74.07,73.46,73.59,4793739
2010-03-29,74.0,74.32,73.63,73.69,3033921
2010-03-30,74.13,74.85,73.95,74.09,2876091
2010-03-31,73.61,74.33,73.42,73.83,3761566
2010-04-01,74.13,74.48,73.54,74.15,3456279
2010-04-02,74.13,74.48,73.54,74.15,0
2010-04-05,74.85,74.95,74.22,74.28,4504993
2010-04-06,74.67,74.97,74.42,74.54,3689592
2010-04-07,73.99,74.64,73.53,74.5,5225365
2010-04-08,73.7,73.91,73.28,73.87,3353261
2010-04-09,73.99,74.0,73.41,73.85,2818259
2010-04-12,73.76,74.36,73.59,74.36,3792209
2010-04-13,73.46,73.71,72.93,73.58,4405188
2010-04-14,74.0,74.05,73.13,73.34,3383875
2010-04-15,74.61,74.72,73.76,73.77,3360733
2010-04-16,73.69,74.78,73.21,74.67,7570183
2010-04-19,73.76,73.81,73.0,73.47,5122233
2010-04-20,74.2,74.68,73.27,74.26,4977841
2010-04-21,76.93,77.09,73.63,73.91,10706257
2010-04-22,76.43,76.75,75.94,76.39,8610341
2010-04-23,76.47,76.78,75.78,76.45,4710891
2010-04-26,76.4,77.08,76.26,76.43,3457258
2010-04-27,74.32,76.35,74.07,76.35,6237354
