Date,Close,High,Low,Open,Volume
2010-01-01,29.73,30.25,29.66,30.0,0
2010-01-04,29.98,30.28,29.8,30.06,3132757
2010-01-05,30.04,30.06,29.55,29.98,4322642
2010-01-06,29.89,30.36,29.81,29.92,3614209
2010-01-07,30.2,30.4,29.52,29.93,6298918
2010-01-08,30.04,30.15,29.75,30.15,1764953
2010-01-11,30.18,30.24,29.76,30.02,3337445
2010-01-12,29.48,30.06,29.15,30.01,4338410
2010-01-13,29.67,29.78,29.33,29.65,2656663
2010-01-14,29.97,30.02,29.57,29.58,2870177
2010-01-15,29.45,29.97,29.11,29.93,4405965
2010-01-18,29.45,29.97,29.11,29.93,0
2010-01-19,30.8,30.9,29.47,29.47,5845883
2010-01-20,30.71,30.82,30.34,30.59,4803334
2010-01-21,30.37,31.2,30.27,30.67,5270178
2010-01-22,29.57,30.22,29.43,30.22,4483248
2010-01-25,29.3,30.0,29.24,29.85,2770441
2010-01-26,29.4,29.73,29.01,29.21,2583412
2010-01-27,29.25,29.68,29.03,29.49,2226916
2010-01-28,29.0,29.58,28.73,29.39,2724825
2010-01-29,29.14,29.74,28.98,29.09,4553196
2010-02-01,29.29,29.74,29.11,29.41,4157719
2010-02-02,29.68,29.76,28.5,29.32,4167896
2010-02-03,30.31,30.99,29.58,29.58,5796989
2010-02-04,29.13,30.04,29.13,30.04,4898574
2010-02-05,28.43,29.18,27.9,29.08,6303193
2010-02-08,27.92,28.61,27.89,28.48,5013965
2010-02-09,28.75,29.03,28.17,28.36,7182248
2010-02-10,28.55,28.9,28.18,28.61,4393211
2010-02-11,28.33,29.14,28.11,28.71,8873351
2010-02-12,28.9,29.1,28.27,28.63,4959123
2010-02-15,28.9,29.1,28.27,28.63,0
2010-02-16,29.41,29.41,28.795,29.08,3005085
2010-02-17,29.76,29.93,29.21,29.41,3726037
2010-02-18,29.76,29.82,29.29,29.61,3847648
2010-02-19,29.94,30.005,29.45,29.74,4145849
2010-02-22,29.8,30.27,29.59,30.24,5051748
2010-02-23,29.31,29.96,29.07,29.66,5043432
2010-02-24,29.45,29.58,28.99,29.5,4822001
2010-02-25,29.69,29.735,28.79,28.8,5072457
2010-02-26,29.65,29.73,29.44,29.68,3285282
2010-03-01,29.65,30.0,29.48,29.81,5190159
2010-03-02,29.7,30.09,29.61,29.9,3973089
2010-03-03,29.58,29.93,29.53,29.67,2543337
2010-03-04,29.75,29.85,29.45,29.65,3106333
