Date,Close,High,Low,Open,Volume
2010-01-01,30.28,30.28,30.28,30.28,0
2010-01-04,29.85,30.5,29.67,30.09,360340
2010-01-05,30.05,30.07,29.49,29.85,419456
2010-01-06,30.44,30.87,30.0,30.06,843497
2010-01-07,30.39,30.68,29.8,30.49,305534
2010-01-08,30.0,30.27,29.98,30.23,251661
2010-01-11,29.93,30.105,29.75,30.07,674569
2010-01-12,30.16,30.38,29.84,29.97,741883
2010-01-13,30.15,30.29,30.11,30.28,379066
2010-01-14,29.91,30.1,29.89,30.03,297037
2010-01-15,28.95,29.92,28.66,29.91,700179
2010-01-18,28.95,28.95,28.95,28.95,0
2010-01-19,27.95,28.84,27.81,28.8,1520308
2010-01-20,27.99,28.1,27.685,27.82,935990
2010-01-21,28.04,28.4,27.91,28.01,651979
2010-01-22,28.01,28.37,27.93,28.11,556055
2010-01-25,27.95,28.24,27.91,28.0,236186
2010-01-26,28.35,28.75,27.83,28.02,286004
2010-01-27,28.9,29.24,28.01,28.02,452259
2010-01-28,28.77,29.025,28.57,28.76,423427
2010-01-29,28.12,28.9,28.0,28.81,323608
2010-02-01,28.41,28.46,28.2,28.32,368286
2010-02-02,27.96,28.59,27.9,28.16,502507
2010-02-03,27.99,28.13,27.9,27.97,245098
2010-02-04,27.75,27.94,27.71,27.92,610151
2010-02-05,27.7,27.82,26.65,27.78,638787
2010-02-08,27.63,27.91,27.38,27.38,606645
2010-02-09,27.84,28.1,27.83,27.94,1439619
2010-02-10,27.84,28.08,27.51,27.96,494075
2010-02-11,28.02,28.09,27.845,28.05,344533
2010-02-12,28.31,28.39,27.53,27.71,831861
2010-02-15,28.31,28.31,28.31,28.31,0
2010-02-16,28.25,28.41,27.95,28.33,205144
2010-02-17,27.94,28.18,27.85,28.18,395416
2010-02-18,28.0,28.1,27.66,27.93,586609
2010-02-19,28.01,28.23,27.83,27.99,152455
2010-02-22,28.24,28.42,27.89,28.16,279374
2010-02-23,28.01,28.32,27.82,28.32,320103
2010-02-24,27.96,28.0,27.88,27.96,244362
2010-02-25,27.98,28.055,27.83,27.83,325531
2010-02-26,28.3,28.3,27.96,28.09,613593
2010-03-01,28.4,28.74,28.22,28.59,308401
2010-03-02,28.02,28.7,27.79,28.7,467988
2010-03-03,27.63,28.09,27.37,28.09,607585
2010-03-04,27.24,27.64,27.05,27.64,285953
2010-03-05,27.38,27.58,27.27,27.35,702660
2010-03-08,29.03,29.35,27.17,27.48,670891
2010-03-09,28.45,28.92,27.97,28.76,691330
2010-03-10,28.53,28.76,28.43,28.68,409834
2010-03-11,28.19,28.6,28.0,28.54,461079
2010-03-12,28.2,28.705,28.0,28.03,514900
2010-03-15,28.1,28.19,27.89,28.06,463301
2010-03-16,28.05,28.15,27.98,28.1,623726
2010-03-17,28.01,28.15,28.0,28.01,415170
2010-03-18,28.37,28.5,28.0,28.14,232717
2010-03-19,28.29,28.53,27.78,27.8,461084
2010-03-22,28.2,28.77,28.14,28.27,253766
2010-03-23,28.0,28.42,27.81,28.06,341500
2010-03-24,28.02,28.26,27.82,28.14,628598
2010-03-25,28.0,28.44,27.92,28.02,230253
2010-03-26,28.07,28.13,27.97,28.0,314232
2010-03-29,28.0,28.23,27.75,28.02,241044
2010-03-30,27.91,28.22,27.835,28.01,723161
2010-03-31,28.2,28.36,27.95,27.95,466884
2010-04-01,27.99,28.42,27.87,28.25,536905
2010-04-02,27.99,27.99,27.99,27.99,0
2010-04-05,27.89,28.06,27.53,27.68,406323
2010-04-06,28.16,28.19,27.59,27.72,543681
2010-04-07,27.81,28.175,27.52,28.02,548480
2010-04-08,27.65,27.93,27.52,27.66,312015
2010-04-09,27.98,28.09,27.64,27.81,411400
2010-04-12,28.04,28.29,27.77,27.77,171729
2010-04-13,28.07,28.34,27.84,27.84,937563
2010-04-14,28.56,28.64,28.02,28.02,1022403
2010-04-15,28.19,28.52,28.13,28.39,438901
2010-04-16,28.02,28.2,28.0,28.06,356637
2010-04-19,28.24,28.49,27.9,28.02,295451
2010-04-20,28.29,28.73,28.19,28.33,177039
2010-04-21,28.16,28.6,28.0,28.36,406006
2010-04-22,28.2,28.36,28.0,28.01,225752
2010-04-23,28.31,28.39,28.06,28.08,211635
2010-04-26,28.56,28.64,28.21,28.21,344734
2010-04-27,28.51,28.595,28.29,28.33,221107
2010-04-28,27.8,28.33,27.75,28.22,518566
2010-04-29,28.03,28.07,27.69,27.86,531985
2010-04-30,28.02,28.73,27.92,27.92,269571
