Date,Close,High,Low,Open,Volume
2010-01-01,38.306,39.1555,38.2885,38.8578,0
2010-01-04,37.9645,39.0767,37.7105,38.7089,1366597
2010-01-05,38.1484,38.2272,37.4215,37.8769,1649515
2010-01-06,37.7193,38.3848,37.5091,38.1484,2261435
2010-01-07,38.1396,38.271,37.2726,37.6054,3166135
2010-01-08,37.7193,38.0521,37.3164,37.8857,1890852
2010-01-11,38.4812,38.595,37.7893,37.7893,1607158
2010-01-12,38.236,38.5074,37.8681,38.271,1866325
2010-01-13,39.3307,39.427,38.3498,38.5162,2109817
2010-01-14,39.1993,39.7248,38.8402,39.2256,1461499
2010-01-15,39.1205,39.3307,38.9366,39.138,1437472
2010-01-18,39.1205,39.3307,38.9366,39.138,0
2010-01-19,39.6985,39.8036,39.0855,39.2606,1776478
2010-01-20,39.0242,39.5321,38.7001,39.4445,1807770
2010-01-21,38.1484,39.2781,38.0783,39.1205,2089001
2010-01-22,37.439,38.5512,37.3339,38.0345,2287522
2010-01-25,37.3427,37.7455,36.826,37.6142,2444657
2010-01-26,37.1763,37.7893,36.7822,37.0537,1783343
2010-01-27,37.728,37.7543,36.6596,37.0449,2023930
2010-01-28,37.3952,37.9995,36.9311,37.8594,1712373
2010-01-29,36.9573,37.9294,36.6771,37.6842,2255069
2010-02-01,37.4478,37.4653,36.9136,37.15,1402600
2010-02-02,38.0083,38.0783,36.9661,37.4127,1747273
2010-02-03,37.4127,37.8244,37.3339,37.7718,1383695
2010-02-04,35.8626,37.1763,35.7926,37.1237,2967544
2010-02-05,36.8435,36.861,35.5211,35.9152,2944602
2010-02-08,36.0903,37.0624,36.0378,36.7822,1736997
2010-02-09,35.9765,36.5195,35.7225,36.4319,1579576
2010-02-10,36.248,36.5195,35.3459,35.9415,1414172
2010-02-11,36.6683,36.6946,35.8451,36.1429,1345195
2010-02-12,36.6771,36.7472,35.9765,36.2042,1194804
2010-02-15,36.6771,36.7472,35.9765,36.2042,0
2010-02-16,37.9207,37.9557,36.9398,37.0975,1621543
2010-02-17,38.6826,38.7877,37.9907,38.0433,1908322
2010-02-18,39.3745,39.4708,38.3411,38.5337,2151702
2010-02-19,39.4883,39.8561,39.2081,39.6722,1931149
2010-02-22,39.4358,39.7423,39.3307,39.7335,1564526
2010-02-23,39.1643,39.4971,39.0329,39.4182,1878468
2010-02-24,39.3219,39.5496,39.1205,39.173,1902652
2010-02-25,38.9278,39.0329,38.5512,38.8665,2444054
2010-02-26,38.7001,39.1468,38.6301,39.103,1899682
2010-03-01,38.9628,39.0767,38.6388,38.9015,1699959
2010-03-02,38.9278,39.2694,38.8665,39.2694,1249606
2010-03-03,38.8052,39.0592,38.7965,39.0417,1311460
2010-03-04,38.8578,39.0767,38.6738,38.9716,1571704
2010-03-05,39.5146,39.5934,38.8227,39.1905,1727669
2010-03-08,39.751,39.8561,39.3044,39.4971,995214
2010-03-09,40.0138,40.2415,39.4358,39.6635,1710112
2010-03-10,39.7686,39.97,39.1468,39.3745,1835858
2010-03-11,40.2064,40.224,39.4795,39.4971,1357609
2010-03-12,40.7144,40.907,40.2502,40.3728,1677301
2010-03-15,40.8545,40.9333,40.04,40.259,2303614
2010-03-16,41.5288,41.5989,40.7407,40.837,2472292
2010-03-17,41.9667,42.1068,41.4675,41.5639,1566923
2010-03-18,41.6339,41.8354,41.415,41.5551,1612449
2010-03-19,41.5201,41.8791,41.0734,41.739,2024601
2010-03-22,42.5798,42.7724,41.0734,41.4413,1794141
2010-03-23,42.4572,42.5185,41.9405,42.2557,1871602
2010-03-24,42.606,42.8775,42.2908,42.4046,1590206
2010-03-25,42.4922,43.1227,41.7478,42.1331,1872785
2010-03-26,42.1244,42.9388,42.0631,42.5885,2372904
2010-03-29,42.1594,42.7199,41.958,42.4484,1632350
2010-03-30,42.1594,42.4834,41.9842,42.2032,1516563
2010-03-31,41.5814,42.1419,41.5201,41.8879,1929789
2010-04-01,41.5026,41.9054,41.1873,41.8178,1690749
2010-04-02,41.5026,41.9054,41.1873,41.8178,0
2010-04-05,42.1682,42.247,41.5814,41.7565,1623838
2010-04-06,42.7899,42.9739,41.7741,41.8967,1526854
2010-04-07,41.9317,42.7374,41.7741,42.5535,1528591
2010-04-08,41.4325,42.1068,41.3537,41.8091,2151522
2010-04-09,41.161,41.7128,41.0034,41.5989,2878938
2010-04-12,40.907,41.3887,40.6356,41.2311,2053155
2010-04-13,41.4413,41.5376,40.8545,41.0559,2924912
2010-04-14,40.8983,41.7565,40.7669,41.5989,2316498
2010-04-15,39.97,40.8983,39.9087,40.8545,2701953
2010-04-16,38.7965,40.0576,38.7702,39.8649,4211527
2010-04-19,39.0592,39.2694,38.4724,38.6213,3075996
2010-04-20,39.9787,40.0138,38.9891,39.2431,2070235
2010-04-21,40.3553,40.7844,39.8386,39.8561,2277539
2010-04-22,41.3011,41.4325,39.8649,40.04,1785103
2010-04-23,42.028,42.0543,41.0822,41.2223,3973051
2010-04-26,42.4659,42.7462,41.8616,42.0193,1780858
2010-04-27,41.5026,42.7637,41.4238,42.1857,2704186
2010-04-28,41.4851,41.8879,39.462,40.7844,2124535
2010-04-29,42.86,42.9126,41.7653,41.9492,1808010
2010-04-30,41.3624,42.7637,41.2004,42.2032,2289145
2010-05-03,42.5097,42.825,41.3624,41.669,1598869
2010-05-04,41.7916,42.282,41.3099,41.9667,2734677
2010-05-05,41.0297,41.8791,40.6881,41.3537,1482238
2010-05-06,40.0751,41.9492,37.7806,40.9246,4082991
2010-05-07,39.7861,41.0559,38.9453,40.1802,3541510
2010-05-10,43.1753,43.2191,41.45,41.7215,3999518
2010-05-11,42.6323,43.438,42.282,42.5447,3129709
2010-05-12,43.2979,43.403,42.536,42.9739,2083918
2010-05-13,42.7024,43.4643,42.606,43.3154,1815669
2010-05-14,41.8616,42.536,41.4413,42.536,2173675
2010-05-17,41.7828,42.4747,40.6881,42.1331,1911010
2010-05-18,40.6531,42.4309,40.4867,42.2032,2069490
2010-05-19,40.4692,41.2836,39.6459,40.5042,2375077
2010-05-20,38.6914,39.9787,38.6476,39.3657,3564236
2010-05-21,40.2677,40.3203,38.1834,38.5337,4684525
2010-05-24,39.4971,40.5305,39.4095,40.2415,2157575
2010-05-25,39.8736,39.9174,37.8769,38.0783,2472357
2010-05-26,39.5496,40.9333,39.3657,40.3816,2468627
2010-05-27,41.6252,41.669,40.1101,40.3466,2125460
2010-05-28,41.1172,41.9229,40.9158,41.5026,1860621
2010-05-31,41.1172,41.9229,40.9158,41.5026,0
2010-06-01,40.872,41.5989,40.5305,40.7231,2608072
2010-06-02,41.9667,42.0018,40.6881,41.2311,2736788
2010-06-03,41.7916,42.0543,41.3712,41.958,2322583
2010-06-04,39.8211,41.4413,39.681,40.837,2837669
2010-06-07,39.6372,40.5918,39.6022,39.9525,1852612
2010-06-08,40.4079,40.583,38.7877,39.7072,3253128
2010-06-09,40.1889,40.8895,40.0138,40.1364,2783494
2010-06-10,41.8003,41.8791,40.6793,41.0034,2312280
2010-06-11,42.3345,42.4396,40.9771,41.1523,1655505
2010-06-14,42.8075,43.1227,42.3871,42.6586,2295089
2010-06-15,43.9109,43.9897,42.8075,43.0527,2086281
2010-06-16,43.5957,43.9022,43.2804,43.7095,2207971
2010-06-17,43.7445,43.8671,43.1227,43.5694,1659203
2010-06-18,43.3855,43.8847,43.0702,43.7883,2566041
2010-06-21,43.3329,44.0773,43.1578,43.9284,1620760
2010-06-22,42.0455,43.4818,41.958,43.3154,2420978
2010-06-23,41.9317,42.5185,41.4588,42.028,2846396
2010-06-24,41.4763,42.0193,41.0822,41.7215,2742748
2010-06-25,42.5272,42.6849,41.3887,41.669,3133859
2010-06-28,42.2295,42.86,42.0018,42.5272,2500884
2010-06-29,41.2136,41.8616,40.9333,41.5464,3174935
2010-06-30,41.1172,41.9317,41.0034,41.2136,2939513
2010-07-01,41.2136,41.4238,40.329,41.2661,2984509
2010-07-02,40.6443,41.5814,40.5743,41.4763,2547804
2010-07-05,40.6443,41.5814,40.5743,41.4763,0
2010-07-06,40.3641,41.6777,40.0838,40.907,3263079
2010-07-07,42.0455,42.0631,40.3816,40.6618,3110902
2010-07-08,41.9667,42.6761,41.2924,42.4134,2040339
2010-07-09,42.5185,42.5535,41.7916,41.8091,1661044
2010-07-12,42.4572,42.6411,42.0543,42.4834,1205894
2010-07-13,42.9826,43.1052,42.5009,42.9126,2018649
2010-07-14,42.6586,43.0965,42.1682,42.6323,1279430
2010-07-15,42.317,42.6761,41.6164,42.6761,2168929
2010-07-16,41.3712,42.1156,41.0297,42.0193,2852007
2010-07-19,42.1682,42.4922,40.9946,41.38,1664160
2010-07-20,43.184,43.2979,41.3888,41.7215,2268555
2010-07-21,42.1769,43.3767,42.0543,43.3767,2215136
2010-07-22,43.6394,43.8321,42.5185,42.5447,2665020
2010-07-23,44.2612,44.2963,42.9301,43.3855,2024079
2010-07-26,45.391,45.4479,43.8321,44.0861,2547980
2010-07-27,45.2246,45.7851,44.4714,45.7851,1809346
2010-07-28,44.6203,45.4172,44.4892,45.1545,2046633
2010-07-29,44.1211,45.172,43.8409,45.0669,1813739
2010-07-30,44.4189,44.6641,43.5606,43.6307,2231704
2010-08-02,45.8989,46.004,44.9531,45.2946,1643173
2010-08-03,45.6712,45.8814,45.3559,45.5836,1212020
2010-08-04,45.7851,46.0303,45.5223,45.7588,1342798
2010-08-05,45.1458,45.8639,44.9925,45.4785,1426909
2010-08-06,45.2509,45.3559,44.2437,44.6991,1614447
2010-08-09,45.7325,45.7763,45.1107,45.4961,1051827
2010-08-10,45.6362,45.8814,44.9268,45.3297,1877676
2010-08-11,44.3663,45.0932,44.1299,44.9005,1953381
2010-08-12,43.6745,44.305,43.5431,43.8321,1912330
2010-08-13,43.6657,44.1561,43.5957,43.5957,1298031
2010-08-16,43.7007,43.9722,43.2541,43.4468,900998
2010-08-17,45.0845,45.1195,43.8234,44.1036,1448196
