Date,Close,High,Low,Open,Volume
2010-01-01,30.9745,31.3111,30.9745,31.2737,0
2010-01-04,31.1147,31.2737,30.9371,31.2269,16228897
2010-01-05,31.1708,31.2269,30.6473,31.1989,23800597
2010-01-06,29.8432,30.6099,29.731,30.5164,37632642
2010-01-07,29.6656,30.0115,29.4786,30.0115,25590496
2010-01-08,29.6843,29.7123,29.3757,29.6001,20725205
2010-01-11,29.8058,29.89,29.3757,29.89,22045705
2010-01-12,29.8339,29.8432,29.6282,29.7123,14453171
2010-01-13,29.7965,29.9554,29.6001,29.8713,17167426
2010-01-14,29.1888,29.7965,29.1701,29.7497,23131534
2010-01-15,28.5904,29.2822,28.4689,29.1701,46793752
2010-01-18,28.5904,29.2822,28.4689,29.1701,0
2010-01-19,29.1981,29.2822,28.6558,28.74,24011634
2010-01-20,28.7119,29.3009,28.6091,29.1981,30335225
2010-01-21,28.6371,28.955,28.2912,28.7867,23647659
2010-01-22,28.366,28.9176,28.3286,28.581,24308599
2010-01-25,28.6839,29.0392,28.3006,28.7961,21173647
2010-01-26,28.2071,28.5436,27.8144,28.4221,37930783
2010-01-27,27.9266,28.2351,27.5807,28.0388,35077799
2010-01-28,27.4217,28.2351,27.2347,27.8892,35786623
2010-01-29,27.5059,27.8237,27.3095,27.5339,27175899
2010-02-01,27.6835,27.9079,27.4404,27.8798,18283131
2010-02-02,27.7957,27.9359,27.562,27.6368,17662705
2010-02-03,27.2908,27.8798,27.1319,27.805,35977191
2010-02-04,26.7673,27.1506,26.7579,27.0945,28852326
2010-02-05,26.8701,26.8888,26.4681,26.7673,25152200
2010-02-08,26.5242,26.9449,26.5242,26.9169,17767498
2010-02-09,26.8795,27.188,26.8234,26.8327,25636252
2010-02-10,26.9917,27.1319,26.6925,26.9169,16204794
2010-02-11,27.1506,27.3002,26.8147,26.9823,16048060
2010-02-12,27.0477,27.1319,26.8421,27.0384,15211020
2010-02-15,27.0477,27.1319,26.8421,27.0384,0
2010-02-16,27.2815,27.3376,27.1506,27.2721,12496790
2010-02-17,27.2441,27.4872,27.1412,27.4217,14355264
2010-02-18,27.2534,27.3558,27.0571,27.2815,11976335
2010-02-19,27.1319,27.375,27.029,27.1973,19767410
2010-02-22,27.1132,27.2347,27.0197,27.1693,14686984
2010-02-23,26.8701,27.0664,26.8327,27.0197,15770340
2010-02-24,27.0758,27.1132,26.8421,26.9356,13319589
2010-02-25,27.001,27.0851,26.7392,26.8888,16944040
2010-02-26,27.0477,27.1225,26.8888,27.001,13625713
2010-03-01,27.1038,27.2114,26.973,27.1038,17327132
2010-03-02,27.3563,27.375,27.0197,27.1599,18561063
2010-03-03,27.2347,27.4311,27.1412,27.4124,14287706
2010-03-04,27.3656,27.5059,27.2067,27.2628,14018371
2010-03-05,27.3282,27.4404,27.216,27.4124,20047114
2010-03-08,27.7022,27.7863,27.3002,27.3937,17154337
2010-03-09,27.964,28.0809,27.6461,27.6929,21716465
2010-03-10,27.8144,28.0855,27.6929,27.992,19422055
2010-03-11,27.8985,27.9079,27.6742,27.777,11755704
2010-03-12,27.7957,27.9827,27.7022,27.9453,12085504
2010-03-15,27.9172,27.9172,27.6742,27.7863,13474152
2010-03-16,27.9827,28.0481,27.8331,28.0014,13768344
2010-03-17,28.1884,28.2819,28.0014,28.0294,26134717
2010-03-18,28.3286,28.4034,28.1884,28.2164,11909453
2010-03-19,28.4315,28.553,28.2819,28.4689,20509944
2010-03-22,28.6558,28.7213,28.3099,28.3754,13640778
2010-03-23,28.9644,28.9644,28.6091,28.7119,15433793
2010-03-24,28.4782,28.9363,28.4221,28.8896,16052966
2010-03-25,28.338,28.6839,28.3006,28.6839,14468670
2010-03-26,28.3941,28.4689,28.2071,28.4221,12971181
2010-03-29,28.4689,28.6044,28.3847,28.5997,15013067
2010-03-30,29.1981,29.4505,29.0018,29.0672,47365928
2010-03-31,29.0018,29.1981,28.8802,29.1701,22928912
2010-04-01,29.2449,29.3944,29.1046,29.1981,18418735
2010-04-02,29.2449,29.3944,29.1046,29.1981,0
2010-04-05,29.4131,29.6469,29.2542,29.5627,18912756
2010-04-06,29.1701,29.3196,29.0953,29.3103,22561273
2010-04-07,28.2725,28.7774,28.1323,28.7213,29107154
2010-04-08,28.1977,28.3099,27.9172,28.1603,31678482
2010-04-09,28.1229,28.2725,27.9827,28.1977,21090527
2010-04-12,27.992,28.2351,27.9546,28.0949,19634004
2010-04-13,28.1136,28.1884,27.8237,28.0481,20287436
2010-04-14,27.9079,28.0949,27.7209,28.0575,44345949
2010-04-15,27.6181,27.8985,27.5807,27.8705,28947751
2010-04-16,27.6555,27.8424,27.562,27.5994,26393496
2010-04-19,27.7957,27.8237,27.5339,27.5994,19041633
2010-04-20,27.8237,27.8892,27.6181,27.8892,15987094
2010-04-21,27.6368,27.8892,27.5152,27.8424,24234314
2010-04-22,27.375,27.4404,27.029,27.1132,26643867
2010-04-23,27.1599,27.1786,26.9449,27.1132,26159170
2010-04-26,27.0571,27.2067,26.9636,27.1038,17484267
2010-04-27,26.8795,27.0664,26.7392,27.0197,26687690
