Date,Close,High,Low,Open,Volume
2010-01-01,36.72,37.19,36.68,37.19,0
2010-01-04,37.3,37.3,36.64,37.01,8170923
2010-01-05,37.0,37.16,36.62,37.1,10844186
2010-01-06,36.72,37.29,35.92,36.16,8945309
2010-01-07,36.94,37.0,36.47,36.69,5040666
2010-01-08,36.99,37.07,36.65,36.92,6140011
2010-01-11,37.05,37.14,36.9,37.0,4947446
2010-01-12,36.74,36.97,36.6,36.84,4646279
2010-01-13,37.08,37.16,36.6,36.65,4526541
2010-01-14,37.11,37.25,36.88,37.16,5686995
2010-01-15,36.6,37.05,36.46,36.93,8691801
2010-01-18,36.6,37.05,36.46,36.93,0
2010-01-19,36.74,36.87,36.36,36.62,5621610
2010-01-20,36.95,37.05,36.51,36.6,5938975
2010-01-21,36.45,37.27,36.22,37.15,7951637
2010-01-22,35.99,36.8,35.97,36.31,6976385
2010-01-25,36.67,36.865,35.98,36.22,6137989
2010-01-26,36.17,36.7,36.11,36.55,6565410
2010-01-27,36.7,36.83,36.1,36.15,6706449
2010-01-28,36.4,37.0,36.37,36.75,5613771
2010-01-29,36.05,37.0625,36.0,36.52,8441864
2010-02-01,36.38,36.41,36.01,36.29,6073147
2010-02-02,36.78,36.84,36.22,36.35,7675534
2010-02-03,34.62,36.19,34.23,36.0,23411696
2010-02-04,33.45,35.1,33.44,34.72,17081149
2010-02-05,33.31,33.68,33.0,33.45,12635419
2010-02-08,33.29,33.9,33.27,33.9,11686160
2010-02-09,33.61,33.84,33.41,33.55,7249164
2010-02-10,33.3,33.61,33.025,33.55,6630089
2010-02-11,33.6,33.6,33.04,33.25,5881770
2010-02-12,33.49,33.63,33.23,33.38,5646179
2010-02-15,33.49,33.63,33.23,33.38,0
2010-02-16,34.08,34.08,33.35,33.51,5406464
2010-02-17,34.19,34.57,33.65,33.73,7799556
2010-02-18,34.69,34.75,34.23,34.31,5142040
2010-02-19,34.86,34.95,34.52,34.6,4706568
2010-02-22,34.75,35.31,34.71,35.21,5984292
2010-02-23,34.76,34.81,34.04,34.63,7834873
2010-02-24,35.5,35.58,34.6,34.99,7894489
2010-02-25,36.02,36.13,34.96,35.2,11441363
2010-02-26,35.24,36.07,35.18,36.01,7104015
2010-03-01,35.42,35.45,34.87,35.23,6867987
2010-03-02,35.24,35.77,35.2,35.5,8809021
2010-03-03,35.36,35.97,35.02,35.14,10597207
2010-03-04,35.0,35.58,34.93,35.4,8401494
2010-03-05,34.99,35.2599,34.93,35.19,7075281
2010-03-08,34.74,35.14,34.61,35.0,7873545
2010-03-09,34.39,34.79,34.26,34.77,7297968
2010-03-10,34.27,34.66,34.2,34.43,8637034
2010-03-11,33.94,34.305,33.44,34.15,13191507
2010-03-12,33.93,34.2,33.84,34.09,6886893
2010-03-15,34.17,34.18,33.715,33.87,4202297
2010-03-16,34.51,34.58,34.15,34.37,5481118
2010-03-17,34.48,34.74,34.29,34.59,5649349
2010-03-18,34.82,34.87,34.41,34.41,5084792
2010-03-19,34.53,35.0,34.32,34.77,9497985
2010-03-22,35.33,35.62,34.57,34.59,10412986
2010-03-23,35.91,36.19,35.49,35.93,10612213
2010-03-24,35.4,35.9,35.31,35.87,6244433
2010-03-25,36.33,36.4,35.45,35.51,9933475
2010-03-26,36.79,36.86,36.15,36.24,9887367
2010-03-29,37.49,37.5505,36.68,36.79,12950166
2010-03-30,37.42,37.6,37.23,37.49,6087003
2010-03-31,37.09,37.3,36.9,37.15,5705636
2010-04-01,37.75,37.78,37.14,37.26,7946463
2010-04-02,37.75,37.78,37.14,37.26,0
2010-04-05,37.83,37.95,37.43,37.67,6897494
2010-04-06,37.4,37.77,37.3,37.56,5647170
2010-04-07,36.79,37.49,36.5,37.24,8565447
2010-04-08,36.85,36.95,36.6,36.68,5801876
2010-04-09,37.07,37.1,36.65,36.81,4275710
2010-04-12,36.82,36.98,36.56,36.97,6171798
2010-04-13,36.81,36.91,36.57,36.63,4161767
2010-04-14,36.78,36.98,36.55,36.81,4436147
2010-04-15,36.51,36.72,36.29,36.55,6355913
2010-04-16,35.86,36.67,35.86,36.4,9056552
2010-04-19,36.13,36.14,35.69,35.84,4903905
2010-04-20,36.06,36.33,36.02,36.23,3830043
2010-04-21,35.87,36.2,35.58,36.0,4419402
2010-04-22,36.06,36.14,35.59,35.71,3754730
2010-04-23,35.86,36.14,35.7,35.94,4655438
2010-04-26,35.69,35.99,35.68,35.71,3826913
2010-04-27,34.9,35.69,34.77,35.5,6926153
2010-04-28,35.2,35.49,34.82,34.94,5425281
2010-04-29,35.87,36.0,35.31,35.48,6138080
2010-04-30,35.15,36.14,35.13,35.78,6038113
2010-05-03,35.62,35.7,35.19,35.29,5132846
2010-05-04,35.13,35.57,34.81,35.05,8268780
2010-05-05,35.73,36.45,34.66,35.15,9729301
2010-05-06,34.66,35.73,32.76,35.46,10550878
2010-05-07,34.87,35.4,34.0,34.42,13083016
2010-05-10,35.57,36.0,35.2,35.45,7740335
2010-05-11,36.17,36.44,35.07,35.2,9310337
2010-05-12,36.57,36.61,36.0,36.2,5432171
2010-05-13,35.86,36.71,35.84,36.57,5414898
2010-05-14,35.38,35.85,35.15,35.78,6158976
2010-05-17,35.71,35.74,34.98,35.47,6469952
2010-05-18,35.2,35.97,35.13,35.52,5512882
2010-05-19,34.81,35.21,34.41,35.0,7427596
2010-05-20,32.71,33.75,32.7,33.17,16189229
2010-05-21,33.1,33.39,32.3,32.35,12367388
2010-05-24,32.74,33.2,32.7,33.0,5063404
2010-05-25,32.91,32.97,31.93,32.19,8301727
2010-05-26,31.92,33.15,31.79,32.95,7984671
2010-05-27,32.34,32.41,31.85,32.4,7458154
2010-05-28,32.04,32.49,31.78,32.25,7384610
2010-05-31,32.04,32.49,31.78,32.25,0
2010-06-01,32.02,32.72,31.54,31.86,7923483
2010-06-02,32.82,32.85,31.97,32.19,5810661
2010-06-03,32.35,33.15,31.86,32.61,7604804
2010-06-04,30.84,32.0,30.65,31.82,11232078
2010-06-07,30.0,30.61,29.52,30.0,18641474
2010-06-08,30.61,30.68,29.75,29.9,13350215
2010-06-09,29.83,30.62,29.35,30.58,18879237
2010-06-10,29.96,30.2,28.16,30.02,28450700
2010-06-11,29.48,29.68,29.1,29.39,17654993
2010-06-14,29.54,29.99,29.49,29.81,13340869
2010-06-15,30.18,30.18,29.56,29.75,10284408
2010-06-16,29.24,30.06,29.16,30.01,12837661
2010-06-17,29.27,29.45,29.045,29.4,12545492
2010-06-18,30.09,31.38,30.04,31.05,29571373
2010-06-21,30.14,30.54,29.95,30.53,13321787
2010-06-22,28.17,28.94,28.07,28.9,27961965
2010-06-23,28.13,28.39,27.92,28.15,14109081
2010-06-24,27.59,28.25,27.55,28.13,10877043
2010-06-25,26.93,27.79,26.89,27.62,15867656
2010-06-28,26.9,27.29,26.89,27.16,9148586
2010-06-29,26.49,26.7,26.33,26.68,20156106
2010-06-30,26.7,26.91,26.26,26.47,11880061
2010-07-01,26.56,26.8,26.39,26.67,15035168
2010-07-02,26.36,26.8,26.26,26.69,12016381
2010-07-05,26.36,26.8,26.26,26.69,0
2010-07-06,26.62,27.32,26.45,27.09,12703149
2010-07-07,27.15,27.15,26.5,26.69,10504571
2010-07-08,28.12,28.24,27.35,27.47,11704305
2010-07-09,28.4,28.41,28.05,28.16,10043540
2010-07-12,28.14,28.47,27.98,28.35,11137193
2010-07-13,29.11,29.28,28.36,28.46,14321942
2010-07-14,29.62,29.64,28.89,29.04,15894512
2010-07-15,29.72,29.96,29.36,29.6,15239256
2010-07-16,29.21,29.71,29.1,29.68,12277517
2010-07-19,29.23,29.46,29.02,29.19,9197092
2010-07-20,29.52,29.8,29.0,29.0,10533053
2010-07-21,28.86,29.69,28.68,29.69,11628127
2010-07-22,29.41,29.75,29.0,29.15,10331274
2010-07-23,30.14,30.25,29.39,29.49,7387999
2010-07-26,29.88,30.26,29.68,30.06,8918988
2010-07-27,29.09,29.95,28.97,29.95,12343858
2010-07-28,28.92,29.27,28.5,28.66,11898771
2010-07-29,28.32,29.171,28.26,28.98,11042615
2010-07-30,28.55,28.71,28.0,28.12,7197078
2010-08-02,29.13,29.23,28.83,29.11,6970154
2010-08-03,28.82,29.3,28.77,29.06,5630217
2010-08-04,28.5,28.93,28.33,28.78,8404647
2010-08-05,28.19,28.45,28.08,28.4,8516996
2010-08-06,28.0,28.1,27.52,28.0,9723389
2010-08-09,28.35,28.56,27.85,28.065,6185289
2010-08-10,28.22,28.44,27.87,28.2,7653667
2010-08-11,27.73,27.9501,27.67,27.82,8710862
2010-08-12,28.03,28.14,27.6,27.61,7373040
2010-08-13,28.17,28.319,27.9,27.99,7032401
2010-08-16,28.19,28.3,27.83,28.05,6454501
2010-08-17,28.22,28.59,28.05,28.2,8942609
2010-08-18,28.21,28.34,28.1,28.25,8618709
2010-08-19,28.16,28.33,27.91,28.16,7392810
2010-08-20,28.45,28.5919,27.94,27.94,7600852
2010-08-23,28.48,28.8473,28.46,28.54,6690648
2010-08-24,27.95,28.265,27.77,28.06,6783212
2010-08-25,27.5,27.89,27.33,27.76,7565715
2010-08-26,27.14,27.67,26.99,27.67,7561633
2010-08-27,27.32,27.36,26.82,27.27,8165867
2010-08-30,27.19,27.5,27.19,27.38,4421167
2010-08-31,26.88,27.17,26.77,27.1,8897422
2010-09-01,27.69,27.86,27.05,27.06,7359380
2010-09-02,28.3,28.43,27.48,27.73,7622068
2010-09-03,28.3,28.95,28.23,28.65,7388900
2010-09-06,28.3,28.95,28.23,28.65,0
2010-09-07,28.49,28.72,28.12,28.16,6092518
2010-09-08,28.67,28.87,28.5201,28.58,5224710
2010-09-09,28.72,28.96,28.7,28.9,5409502
2010-09-10,28.96,29.1222,28.73,28.76,4359612
2010-09-13,29.06,29.33,28.95,29.26,4620614
2010-09-14,29.22,29.42,29.02,29.07,5102925
2010-09-15,29.21,29.38,28.89,29.23,6387372
2010-09-16,29.12,29.13,28.83,28.99,5004487
2010-09-17,29.21,29.32,28.97,29.18,7283945
2010-09-20,29.24,29.34,29.19,29.25,10141502
2010-09-21,29.72,29.94,29.15,29.21,8593471
2010-09-22,29.79,30.0,29.64,29.71,6767656
2010-09-23,29.51,29.91,29.46,29.54,5509827
2010-09-24,30.36,30.5,29.76,29.92,7320743
2010-09-27,30.35,30.79,30.168,30.29,8679764
2010-09-28,33.81,34.12,32.75,33.1,31778356
2010-09-29,33.63,33.81,33.25,33.26,9120051
2010-09-30,33.5,33.87,33.4,33.64,7314575
2010-10-01,33.68,33.92,33.5,33.74,7045792
2010-10-04,33.11,33.71,33.04,33.65,9543786
2010-10-05,33.98,34.55,33.85,33.94,10942481
2010-10-06,34.06,34.09,33.68,33.95,5086192
2010-10-07,33.87,34.17,33.78,34.09,5512291
2010-10-08,33.98,34.05,33.55,33.75,6423789
2010-10-11,33.75,34.06,33.56,34.01,4280489
2010-10-12,34.04,34.14,33.5,33.62,6875437
2010-10-13,34.8,35.18,34.17,34.31,11031765
2010-10-14,34.49,34.85,34.07,34.83,6127205
2010-10-15,34.58,34.87,34.305,34.7,6055566
2010-10-18,34.41,34.63,34.24,34.55,4260908
2010-10-19,33.63,34.25,33.4,33.97,7396694
2010-10-20,34.03,34.32,33.6501,33.74,6341701
2010-10-21,34.1,34.63,33.78,34.27,5189418
2010-10-22,34.07,34.34,33.97,34.18,2828446
2010-10-25,34.44,34.75,34.14,34.35,9125172
2010-10-26,34.14,34.39,34.0,34.27,5300715
2010-10-27,33.95,33.99,33.51,33.91,4306188
2010-10-28,34.14,34.23,33.78,34.08,4411026
2010-10-29,33.88,34.19,33.62,34.1,6886143
2010-11-01,34.05,34.59,33.75,33.96,7353415
2010-11-02,34.49,34.68,34.32,34.38,9199751
2010-11-03,35.18,35.52,34.29,34.33,9882094
2010-11-04,35.95,36.0,35.3,35.39,8391784
2010-11-05,35.14,36.15,35.01,35.8,8376139
2010-11-08,35.09,35.2,34.83,35.04,5326258
2010-11-09,35.24,35.36,35.0,35.09,5321506
2010-11-10,35.11,35.19,34.58,34.96,5413843
2010-11-11,35.21,35.23,34.7,34.94,3993186
2010-11-12,34.83,35.17,34.44,34.94,5531112
2010-11-15,34.51,34.97,34.46,34.76,4300114
2010-11-16,34.01,34.6,33.89,34.42,7381758
2010-11-17,34.01,34.3,33.83,33.9,5744615
2010-11-18,34.42,34.54,34.38,34.39,6527627
2010-11-19,34.76,34.79,34.26,34.4,6417973
2010-11-22,34.89,35.19,34.46,34.66,4910048
2010-11-23,33.98,34.56,33.83,34.55,7145793
2010-11-24,34.31,34.35,34.03,34.08,5088647
2010-11-25,34.31,34.35,34.03,34.08,0
2010-11-26,33.68,34.08,33.63,33.89,2139186
2010-11-29,34.8,34.97,33.38,33.47,10110998
