Date,Close,High,Low,Open,Volume
2010-01-01,44.15,44.95,44.15,44.7,0
2010-01-04,45.26,45.8,44.4,44.4,3118631
2010-01-05,46.46,47.44,45.05,45.35,7049209
2010-01-06,46.5,46.905,46.05,46.54,3996027
2010-01-07,45.59,46.5,45.08,46.4,3626722
2010-01-08,45.82,45.84,45.15,45.49,2522027
2010-01-11,45.87,46.45,45.54,45.91,2787995
2010-01-12,44.69,46.03,44.05,45.59,4171416
2010-01-13,45.46,45.53,44.04,44.8,2811222
2010-01-14,45.77,46.16,45.42,45.44,2097663
2010-01-15,43.98,45.84,43.36,45.76,4874852
2010-01-18,43.98,45.84,43.36,45.76,0
2010-01-19,44.96,45.04,44.04,44.04,2865195
2010-01-20,44.26,44.65,43.28,44.57,3710673
2010-01-21,45.29,47.0,44.63,46.44,9389664
2010-01-22,40.74,44.95,40.7,44.95,10992091
2010-01-25,41.49,42.15,41.09,41.41,5391948
2010-01-26,40.86,41.7,40.63,41.48,4574143
2010-01-27,40.64,41.14,39.96,40.8,3780184
2010-01-28,39.48,40.83,39.04,40.83,4559750
2010-01-29,37.99,39.9,37.63,39.8,6185710
2010-02-01,39.7,39.78,38.19,38.28,4708299
2010-02-02,40.47,40.61,39.25,39.88,3504087
2010-02-03,40.49,40.92,40.06,40.23,2558905
2010-02-04,38.72,39.88,38.43,39.88,3643168
2010-02-05,39.43,39.6102,38.16,38.7,5567785
2010-02-08,39.65,40.37,39.48,39.79,3680062
2010-02-09,40.38,40.86,39.81,40.41,4488386
2010-02-10,40.07,40.63,39.5,40.11,2743924
2010-02-11,40.29,40.53,39.58,40.16,3658185
2010-02-12,39.85,40.18,38.85,39.99,4832186
2010-02-15,39.85,40.18,38.85,39.99,0
2010-02-16,42.58,42.6,40.2,40.53,7253638
2010-02-17,42.64,42.94,41.92,42.94,4111671
2010-02-18,43.4,43.46,41.95,42.29,3952660
2010-02-19,43.15,43.79,42.95,43.14,3839703
2010-02-22,42.37,43.48,42.28,43.4,4200821
2010-02-23,40.84,42.39,40.49,42.15,5144831
2010-02-24,38.99,41.46,38.83,41.02,11330531
2010-02-25,39.1,39.26,37.29,38.5,10621789
2010-02-26,38.63,39.16,38.36,38.97,4668754
2010-03-01,40.48,40.65,38.76,39.02,7416428
2010-03-02,39.61,40.81,39.49,40.79,5432990
2010-03-03,38.64,39.45,38.05,39.3,8802999
2010-03-04,39.43,39.48,38.15,38.58,5560742
2010-03-05,39.25,39.68,38.95,39.65,4500994
2010-03-08,39.6,39.82,38.7601,39.29,5037817
2010-03-09,38.79,39.77,38.43,39.55,6903290
2010-03-10,38.07,39.15,37.96,38.9,7367650
2010-03-11,38.86,38.94,36.22,37.36,14512480
2010-03-12,38.38,38.91,37.73,38.86,6656182
2010-03-15,38.25,38.63,37.67,38.47,4216262
2010-03-16,38.58,38.67,37.84,38.29,4442028
2010-03-17,39.16,39.95,38.87,38.94,6500573
2010-03-18,39.01,39.42,38.82,39.35,2739372
2010-03-19,38.14,39.16,37.76,39.06,5271611
2010-03-22,40.64,40.83,37.95,38.05,9478807
2010-03-23,42.02,42.21,40.55,40.86,8590067
2010-03-24,41.69,42.4,41.51,41.89,4801391
2010-03-25,40.68,42.4,40.66,42.02,5737973
2010-03-26,39.55,40.43,39.02,40.38,9289690
2010-03-29,39.97,40.53,39.77,40.0,4385602
2010-03-30,39.35,40.18,38.81,40.06,5937886
2010-03-31,38.99,39.71,38.5,38.78,4424671
2010-04-01,39.01,39.8,38.55,39.52,3978854
2010-04-02,39.01,39.8,38.55,39.52,0
2010-04-05,40.63,40.77,39.2,39.36,4698157
2010-04-06,41.05,41.23,40.13,40.22,3909576
2010-04-07,40.28,40.97,39.95,40.77,4940080
2010-04-08,40.34,40.66,39.58,39.95,3156560
2010-04-09,41.39,41.39,40.38,40.69,3636075
2010-04-12,41.08,42.24,40.75,41.74,4839637
2010-04-13,40.15,41.57,40.05,40.99,7386588
2010-04-14,41.45,42.24,40.42,40.46,9255770
2010-04-15,41.77,42.32,41.11,41.3,4331836
2010-04-16,40.44,42.09,40.0,41.67,6702766
2010-04-19,39.58,40.25,38.64,40.08,8776531
2010-04-20,40.22,40.57,39.51,39.83,4632352
2010-04-21,40.29,41.09,39.7,41.0,6123301
2010-04-22,40.68,40.88,38.96,39.77,8892834
2010-04-23,44.71,44.84,42.08,42.6,16156524
2010-04-26,44.11,45.09,44.0,44.75,5614698
2010-04-27,42.8,44.03,42.58,43.75,5379054
2010-04-28,42.76,43.4,42.23,43.18,5293751
2010-04-29,42.93,43.37,42.375,43.02,3886405
2010-04-30,41.09,43.02,41.0,42.96,4752664
2010-05-03,41.74,42.09,41.27,41.5,2929344
2010-05-04,40.53,41.23,40.01,41.0,4745663
2010-05-05,40.66,41.2,39.58,40.0,3948829
2010-05-06,38.75,40.6,35.27,40.39,7518315
2010-05-07,38.34,39.32,36.75,38.34,7853095
2010-05-10,39.95,41.2,39.55,40.87,5963938
