Date,Close,High,Low,Open,Volume
2010-01-01,80.66,82.44,80.56,82.02,0
2010-01-04,81.95,82.23,80.5,81.38,1010335
2010-01-05,81.78,81.945,80.56,81.92,1209207
2010-01-06,81.06,82.44,80.87,81.73,1335014
2010-01-07,82.8,83.49,81.06,81.73,1567348
2010-01-08,84.56,84.73,82.43,82.43,1357104
2010-01-11,84.02,85.17,83.88,84.82,848085
2010-01-12,82.35,83.24,81.55,83.24,852570
2010-01-13,83.07,83.36,82.03,83.07,721293
2010-01-14,83.17,84.0,82.75,82.81,592432
2010-01-15,82.3,83.85,81.95,83.14,728523
2010-01-18,82.3,83.85,81.95,83.14,0
2010-01-19,82.64,82.69,81.34,82.0,703755
2010-01-20,81.36,82.25,80.02,82.25,981197
2010-01-21,78.83,81.59,78.1,81.25,1368127
2010-01-22,77.57,78.96,75.94,78.17,2366846
2010-01-25,76.72,79.3899,76.03,79.34,1076023
2010-01-26,76.1,77.45,75.35,76.35,996210
2010-01-27,75.88,76.37,74.54,75.79,848639
2010-01-28,75.68,76.88,74.748,76.05,1024856
2010-01-29,75.18,76.98,74.87,76.12,1282673
2010-02-01,76.06,76.32,75.33,75.63,1160193
2010-02-02,82.23,83.27,78.85,78.86,5826013
2010-02-03,82.08,82.57,80.58,81.26,2072794
2010-02-04,78.63,81.06,78.38,80.93,2354043
2010-02-05,76.12,79.1,73.3,78.45,2661276
2010-02-08,75.61,77.38,74.25,76.19,1988454
2010-02-09,77.88,78.23,75.18,76.8,1724911
2010-02-10,77.64,78.71,76.38,77.95,1134596
2010-02-11,80.34,80.48,77.3901,77.93,1273013
2010-02-12,81.17,81.25,79.03,79.03,1162991
2010-02-15,81.17,81.25,79.03,79.03,0
2010-02-16,82.31,82.39,79.69,80.37,1473696
2010-02-17,83.06,83.21,82.03,82.48,975486
2010-02-18,84.56,84.85,82.03,82.68,1501443
2010-02-19,84.67,85.14,83.93,83.95,1175805
2010-02-22,84.52,85.12,84.13,84.73,1336576
2010-02-23,82.92,84.53,82.41,84.39,1211629
2010-02-24,83.55,83.65,81.85,82.91,1121077
2010-02-25,83.61,83.787,82.06,82.25,1205475
2010-02-26,84.16,84.44,82.99,83.54,1013646
2010-03-01,85.89,85.92,83.67,84.59,884127
2010-03-02,86.38,86.94,85.91,86.73,961602
2010-03-03,86.69,87.52,86.09,86.49,884846
2010-03-04,85.5,86.96,85.31,86.81,1046195
2010-03-05,86.67,86.99,85.8,85.97,796573
2010-03-08,86.87,87.22,86.26,86.67,838383
2010-03-09,87.25,88.08,86.54,86.77,998804
2010-03-10,86.94,87.76,86.49,87.07,829262
2010-03-11,86.53,86.87,85.76,86.87,939862
2010-03-12,86.0,86.89,85.58,86.73,891338
2010-03-15,86.29,87.76,84.96,85.69,1433921
2010-03-16,88.07,88.23,85.94,86.43,998412
2010-03-17,88.61,89.1588,88.05,88.33,1045538
2010-03-18,88.9,89.4,88.62,88.62,807023
2010-03-19,86.28,88.9,85.98,88.9,1530902
2010-03-22,88.45,88.77,85.5,85.93,1049652
2010-03-23,89.83,89.95,88.34,88.76,960187
2010-03-24,89.14,89.88,88.72,89.53,703950
2010-03-25,89.13,91.11,89.06,89.98,723709
2010-03-26,90.01,90.84,89.0,89.66,728345
2010-03-29,90.08,90.635,89.51,90.28,339337
2010-03-30,89.0,90.3,88.57,90.18,714567
2010-03-31,87.25,88.86,86.92,88.55,848355
2010-04-01,87.77,88.99,86.86,88.02,849792
2010-04-02,87.77,88.99,86.86,88.02,0
2010-04-05,90.74,90.99,88.14,88.46,1077122
2010-04-06,91.48,91.62,89.74,90.65,909206
2010-04-07,89.11,91.6,88.8,90.93,1115177
2010-04-08,92.06,92.31,88.66,88.8,1461349
2010-04-09,93.31,93.54,91.12,92.13,1588762
2010-04-12,94.44,94.91,93.04,93.47,1296292
2010-04-13,92.13,94.25,91.68,93.98,1767971
2010-04-14,92.86,93.02,91.58,91.58,1151176
2010-04-15,93.22,94.71,92.08,92.72,1420353
2010-04-16,93.41,94.74,91.6,94.5,1424530
2010-04-19,93.6,94.31,91.69,93.22,1129654
2010-04-20,96.09,96.91,94.34,94.61,1680095
2010-04-21,98.77,98.95,95.88,95.88,1463620
2010-04-22,101.12,101.53,97.77,98.0,2174055
2010-04-23,102.22,102.42,99.2,99.69,1574481
2010-04-26,112.42,118.44,112.28,115.0,8098850
2010-04-27,107.73,113.33,107.51,110.6,4104930
2010-04-28,110.68,111.25,104.82,105.3,3641861
2010-04-29,110.76,111.63,109.49,110.34,1646892
2010-04-30,108.87,111.44,108.85,110.3,1642272
2010-05-03,111.71,112.38,109.31,109.51,1830961
2010-05-04,109.14,110.95,108.38,110.21,1886092
2010-05-05,104.21,108.0,102.45,105.46,3094593
2010-05-06,102.9,105.66,95.39,103.81,2689782
2010-05-07,98.14,104.11,97.56,102.31,2476652
2010-05-10,106.64,106.69,101.74,102.95,2241164
2010-05-11,105.24,107.88,104.09,104.6,1854044
2010-05-12,111.41,111.78,105.75,106.25,1785988
2010-05-13,108.73,111.84,108.08,111.0,1327550
2010-05-14,106.69,107.83,104.8201,107.65,981316
2010-05-17,108.12,108.57,103.86,107.19,1503125
2010-05-18,104.47,111.0,103.94,109.5,1637396
2010-05-19,99.62,104.0,97.66,102.84,3178697
2010-05-20,93.15,97.49,92.64,95.9,3047215
2010-05-21,99.04,99.29,90.79,91.53,2928353
2010-05-24,97.36,100.19,97.26,98.34,1254196
2010-05-25,99.04,99.15,94.11,94.76,1797432
2010-05-26,99.0,103.36,98.34,100.6,1595338
2010-05-27,104.66,105.9,100.27,101.32,2601668
2010-05-28,104.44,106.83,103.5,104.66,1562577
2010-05-31,104.44,106.83,103.5,104.66,0
2010-06-01,98.98,104.76,98.8,103.21,1731168
2010-06-02,103.54,103.564,99.04,99.92,1208437
2010-06-03,101.29,103.87,100.2,103.87,1312255
2010-06-04,95.65,100.16,94.95,98.75,1454476
2010-06-07,92.35,96.42,92.24,96.16,1741287
2010-06-08,94.1,95.07,90.21,93.08,1946930
2010-06-09,94.96,98.35,94.28,95.21,1976239
2010-06-10,99.77,100.09,96.72,97.67,1378399
2010-06-11,98.24,100.1784,96.19,97.73,1694388
2010-06-14,98.23,100.73,97.81,99.84,1906651
2010-06-15,102.48,102.7,98.28,99.0,1685562
2010-06-16,102.8,103.78,99.88,102.07,1480457
2010-06-17,101.86,103.6,99.51,102.79,1071916
2010-06-18,101.36,102.35,100.56,101.99,1045905
2010-06-21,103.53,105.47,102.7,103.28,1753267
2010-06-22,97.94,104.1875,97.33,103.43,1504284
2010-06-23,97.71,98.95,95.05,97.52,1585313
2010-06-24,94.29,97.59,93.3,96.76,1540121
2010-06-25,96.65,96.74,93.47,94.64,1864157
