Date,Close,High,Low,Open,Volume
2010-01-01,33.81,34.05,33.8,34.04,0
2010-01-04,34.16,34.26,33.87,34.01,2058727
2010-01-05,34.01,34.22,33.78,34.22,2961628
2010-01-06,34.0,34.15,33.78,33.87,1636639
2010-01-07,34.08,34.12,33.82,33.94,1406678
2010-01-08,34.24,34.33,33.665,33.92,1451837
2010-01-11,34.67,34.72,34.28,34.36,1731749
2010-01-12,34.88,34.9,34.3,34.59,2191874
2010-01-13,34.8,35.0,34.66,34.87,1958147
2010-01-14,34.44,34.75,34.32,34.71,2481604
2010-01-15,33.25,34.39,33.15,34.36,4103623
2010-01-18,33.25,34.39,33.15,34.36,0
2010-01-19,33.92,33.93,33.18,33.26,3002191
2010-01-20,33.72,33.75,33.02,33.65,3236443
2010-01-21,33.1,33.99,33.03,33.7,3303894
2010-01-22,32.86,33.58,32.83,33.13,2825666
2010-01-25,32.64,33.11,32.6,33.11,1669683
2010-01-26,32.56,32.91,32.26,32.53,1752672
2010-01-27,32.58,32.74,32.14,32.51,1873647
2010-01-28,32.11,32.73,31.83,32.73,2761328
2010-01-29,32.05,32.52,31.95,32.34,2373688
2010-02-01,32.18,32.46,31.83,32.2,1834628
2010-02-02,32.51,32.62,32.14,32.18,1881077
2010-02-03,32.47,32.57,32.21,32.43,1071169
2010-02-04,31.81,32.44,31.73,32.28,2477730
2010-02-05,31.82,32.12,31.37,31.74,2663572
2010-02-08,31.4,31.95,31.4,31.87,1737654
2010-02-09,32.06,32.17,31.56,31.66,2018014
2010-02-10,31.92,32.14,31.56,32.06,1374005
2010-02-11,31.93,31.99,31.3,31.73,2636183
2010-02-12,31.83,32.0,31.29,31.69,3396766
2010-02-15,31.83,32.0,31.29,31.69,0
2010-02-16,32.9,33.09,32.4,32.51,2948455
2010-02-17,33.0,33.2,32.84,33.1,2075041
2010-02-18,32.9,33.08,32.67,33.02,2765866
2010-02-19,33.38,33.48,32.63,32.75,2581165
2010-02-22,33.36,33.51,33.2101,33.5,1395910
2010-02-23,32.62,33.28,32.54,32.82,2547530
2010-02-24,32.92,32.99,32.5107,32.9,3163485
2010-02-25,33.03,33.03,32.42,32.5,2507117
2010-02-26,33.02,33.14,32.79,32.99,1879754
2010-03-01,33.37,33.45,33.01,33.01,2404829
2010-03-02,33.51,33.63,33.4,33.56,1690030
2010-03-03,33.5,33.76,33.34,33.65,1579263
2010-03-04,33.47,33.6646,33.31,33.5,1389857
2010-03-05,33.86,33.86,33.54,33.67,1624926
2010-03-08,33.6,33.94,33.555,33.81,1645011
2010-03-09,33.62,33.64,33.34,33.61,1929809
2010-03-10,33.49,33.59,33.27,33.54,2410897
2010-03-11,33.45,33.47,33.11,33.39,2142481
2010-03-12,33.42,33.51,33.15,33.49,1906673
2010-03-15,33.7,33.73,33.22,33.47,2090908
2010-03-16,33.88,33.9885,33.68,33.84,2194870
2010-03-17,33.97,34.17,33.88,34.0,1658225
2010-03-18,34.1,34.19,33.95,34.03,1797894
2010-03-19,34.16,34.47,33.98,34.17,4182450
2010-03-22,34.27,34.3,34.0,34.12,1962673
2010-03-23,34.69,34.72,34.25,34.38,2501745
2010-03-24,34.36,34.6,33.99,34.59,2415398
2010-03-25,34.27,34.58,34.27,34.54,2169905
2010-03-26,34.43,34.64,34.22,34.31,4230198
2010-03-29,34.55,34.75,34.34,34.53,1697094
2010-03-30,34.44,34.64,34.32,34.54,1705062
2010-03-31,34.43,34.57,34.09,34.28,1910172
