Date,Close,High,Low,Open,Volume
2010-01-01,53.45,54.37,53.42,54.25,0
2010-01-04,54.23,54.67,53.67,53.74,20753890
2010-01-05,53.69,54.19,53.5702,54.09,15649378
2010-01-06,53.57,53.83,53.42,53.5,12517828
2010-01-07,53.6,53.75,53.26,53.72,10662697
2010-01-08,53.33,53.53,53.02,53.43,11363488
2010-01-11,54.21,54.44,53.1,53.33,13989639
2010-01-12,54.73,54.75,53.86,54.0,15117022
2010-01-13,55.01,55.2,54.41,54.79,13290652
2010-01-14,54.21,54.84,54.16,54.73,13772183
2010-01-15,53.68,54.55,53.6,54.34,19088243
2010-01-18,53.68,54.55,53.6,54.34,0
2010-01-19,54.03,54.26,53.5,53.91,14618629
2010-01-20,53.86,53.94,53.23,53.92,13308519
2010-01-21,52.92,54.07,52.84,54.07,16028682
2010-01-22,52.94,53.4702,52.69,52.96,19416031
2010-01-25,52.88,53.22,52.775,53.14,12003255
2010-01-26,53.61,53.86,52.73,52.82,15585088
2010-01-27,53.4,53.77,53.1,53.52,13192047
2010-01-28,52.61,53.45,52.51,53.38,16961014
2010-01-29,53.43,54.15,53.4,53.68,24281225
2010-02-01,53.48,53.78,53.31,53.62,11028818
2010-02-02,53.49,53.72,53.33,53.59,11388907
2010-02-03,54.27,54.5,53.64,53.73,17988850
2010-02-04,52.97,54.3,52.96,53.88,21029997
2010-02-05,53.45,53.53,52.76,52.77,15546378
2010-02-08,52.93,53.54,52.92,53.38,10506063
2010-02-09,53.25,53.62,52.82,53.21,10825120
2010-02-10,53.24,53.5,52.96,53.27,9408393
2010-02-11,53.08,53.45,52.91,53.13,11579594
2010-02-12,52.9,53.11,52.66,53.11,17038867
2010-02-15,52.9,53.11,52.66,53.11,0
2010-02-16,53.56,53.72,52.9,53.01,15771181
2010-02-17,54.06,54.25,53.65,53.77,15534113
2010-02-18,53.47,53.5,52.91,53.1,29458040
2010-02-19,53.49,53.58,53.07,53.17,15090572
2010-02-22,53.83,53.92,53.34,53.5,12097112
2010-02-23,53.62,54.08,53.45,53.79,14138110
2010-02-24,53.92,53.95,53.48,53.74,10624152
2010-02-25,54.15,54.28,53.25,53.32,13510073
2010-02-26,54.07,54.24,53.5,54.05,15953097
2010-03-01,53.9,54.13,53.54,54.02,12129735
2010-03-02,53.59,53.89,53.47,53.75,14083621
2010-03-03,53.66,53.75,53.15,53.34,11631120
2010-03-04,53.96,54.09,53.75,53.92,11211800
2010-03-05,54.14,54.17,53.5,54.09,11375086
2010-03-08,54.15,54.28,53.93,53.96,7556638
2010-03-09,54.06,54.5,53.92,54.07,12585199
2010-03-10,53.63,54.02,53.53,53.75,12697801
2010-03-11,53.97,53.99,53.53,53.64,10675420
2010-03-12,53.9,54.24,53.79,54.14,10481281
2010-03-15,55.42,55.54,54.35,54.42,24374792
2010-03-16,55.99,56.27,55.6,55.85,18458501
2010-03-17,55.92,56.13,55.66,56.03,12495115
2010-03-18,55.94,55.952,55.54,55.79,9472592
2010-03-19,55.34,56.27,55.15,56.03,17019610
2010-03-22,55.62,56.0422,55.13,55.22,9874095
2010-03-23,55.89,56.0,55.61,55.65,9369255
2010-03-24,55.58,56.0,55.43,55.78,8698851
2010-03-25,55.61,55.99,55.6,55.73,9793123
2010-03-26,55.51,55.96,55.47,55.58,9947257
2010-03-29,55.74,55.75,55.43,55.5,9776427
2010-03-30,55.91,56.05,55.66,55.66,6941570
2010-03-31,55.6,55.905,55.5,55.73,9966853
2010-04-01,55.49,55.85,55.17,55.78,11788075
2010-04-02,55.49,55.85,55.17,55.78,0
2010-04-05,55.49,55.73,55.22,55.53,10749664
2010-04-06,55.53,55.63,55.29,55.43,9567168
2010-04-07,55.28,55.9,55.14,55.56,12936271
2010-04-08,55.38,55.7,55.16,55.2,11139666
2010-04-09,55.07,55.38,54.635,55.24,12535319
2010-04-12,55.02,55.1,54.58,55.02,11698279
2010-04-13,54.72,55.21,54.66,54.91,12809690
2010-04-14,54.64,54.91,54.34,54.54,14687995
2010-04-15,54.13,54.36,53.92,54.19,17660248
2010-04-16,54.11,54.59,53.84,54.15,19234121
2010-04-19,54.39,54.48,54.0,54.14,11315660
2010-04-20,54.52,54.82,54.38,54.54,9093104
2010-04-21,54.47,54.57,54.18,54.52,11499212
2010-04-22,54.49,54.65,54.15,54.36,10921391
2010-04-23,54.53,54.61,53.92,54.51,16595907
2010-04-26,54.04,54.7,54.01,54.5,14750913
2010-04-27,54.04,54.42,53.53,53.6,19175177
2010-04-28,53.61,54.1,53.52,54.01,14904711
2010-04-29,53.7,54.23,53.55,53.74,13319908
2010-04-30,53.64,54.15,53.64,53.85,16279335
2010-05-03,53.74,53.95,53.47,53.81,12301065
2010-05-04,54.02,54.57,53.55,53.58,18671071
2010-05-05,54.77,54.95,53.82,54.28,16609822
2010-05-06,53.23,54.78,51.53,54.66,24068402
2010-05-07,52.4,53.62,51.8,52.96,28945091
2010-05-10,52.58,53.24,51.83,52.75,27090587
2010-05-11,52.46,52.77,52.17,52.27,19630110
2010-05-12,52.48,52.56,52.13,52.43,13610883
2010-05-13,52.4,52.97,52.36,52.67,12459468
2010-05-14,52.12,52.7,52.02,52.6,18653215
2010-05-17,52.73,52.92,52.04,52.36,16946493
2010-05-18,53.705,54.45,53.2,53.32,32230581
2010-05-19,53.04,53.76,52.79,53.57,20419291
2010-05-20,51.3,52.96,51.3,52.49,27257148
2010-05-21,51.37,51.37,50.51,50.65,24549360
2010-05-24,51.0,51.54,50.9,50.91,13573852
2010-05-25,50.28,50.5,50.0,50.14,24062657
2010-05-26,50.02,50.6,50.01,50.28,19079045
2010-05-27,50.7,50.73,50.32,50.58,13982529
2010-05-28,50.56,50.93,50.5,50.62,14019582
2010-05-31,50.56,50.93,50.5,50.62,0
2010-06-01,50.92,51.51,50.52,50.6,16054600
2010-06-02,51.72,51.74,51.02,51.14,13665737
2010-06-03,51.72,52.08,51.48,51.72,10509388
2010-06-04,50.4,51.7,50.22,51.46,24041813
2010-06-07,50.74,51.365,50.32,50.4,19501312
2010-06-08,50.78,50.98,50.5275,50.61,20317355
2010-06-09,50.99,51.36,50.59,50.96,16540496
2010-06-10,51.22,51.68,51.06,51.23,15850405
2010-06-11,50.86,51.27,50.55,50.9,14027440
2010-06-14,51.24,51.46,50.89,50.97,13900030
2010-06-15,51.64,51.65,51.06,51.2,14171852
2010-06-16,50.98,51.58,50.92,51.31,15905146
2010-06-17,51.41,51.49,50.96,51.0,12667232
2010-06-18,51.55,51.91,51.41,51.5,25426629
2010-06-21,51.02,51.88,50.71,51.7,14656976
2010-06-22,50.68,51.47,50.6,51.04,13659223
2010-06-23,50.81,51.04,50.4,50.8,15945812
2010-06-24,50.03,50.83,49.95,50.75,14819550
2010-06-25,48.8,50.2,48.8,50.03,45336600
2010-06-28,49.57,49.77,49.01,49.04,14697130
2010-06-29,48.9,49.26,48.4319,49.17,20354663
2010-06-30,48.07,48.97,48.01,48.96,18392396
2010-07-01,48.34,48.41,47.77,48.1,18114602
2010-07-02,48.0,48.44,47.84,48.44,13584196
2010-07-05,48.0,48.44,47.84,48.44,0
2010-07-06,48.57,49.44,48.255,49.34,18225757
2010-07-07,48.92,48.97,48.16,48.66,16179001
2010-07-08,49.18,49.32,48.7927,49.32,12649961
2010-07-09,49.43,49.55,49.15,49.25,11607233
2010-07-12,50.12,50.33,49.68,49.78,13441071
2010-07-13,50.54,50.69,50.1,50.35,13219735
2010-07-14,50.35,50.36,50.04,50.05,10708279
2010-07-15,50.41,50.44,49.91,50.34,12256670
2010-07-16,49.67,50.33,49.52,50.15,15922114
2010-07-19,49.52,49.81,49.0875,49.72,11895933
2010-07-20,50.88,51.03,49.26,49.26,16283881
2010-07-21,50.35,51.0,50.11,51.0,12311094
2010-07-22,50.86,51.09,50.51,50.55,11984441
2010-07-23,51.67,51.81,50.9,50.91,13045690
2010-07-26,51.13,51.67,50.91,51.67,14117330
2010-07-27,50.96,51.3,50.66,50.8,12295289
2010-07-28,51.13,51.39,50.8,50.8,9328948
2010-07-29,51.06,51.78,50.8,51.23,9630970
