Date,Close,High,Low,Open,Volume
2010-01-01,18.85,19.14,18.82,19.02,0
2010-01-04,19.09,19.24,19.045,19.1,4277831
2010-01-05,19.01,19.15,18.77,19.15,3914895
2010-01-06,19.0,19.05,18.87,18.89,4207876
2010-01-07,19.61,19.73,18.85,18.92,8256857
2010-01-08,19.8,19.81,19.46,19.6,5673805
2010-01-11,19.97,19.99,19.74,19.96,5326141
2010-01-12,19.85,19.91,19.41,19.87,5087160
2010-01-13,20.13,20.26,19.89,19.92,5782184
2010-01-14,19.88,20.08,19.74,20.08,3248598
2010-01-15,19.53,19.94,19.49,19.94,4712584
2010-01-18,19.53,19.94,19.49,19.94,0
2010-01-19,19.86,19.86,19.4,19.5,5509990
2010-01-20,19.5,19.71,19.35,19.71,5008968
2010-01-21,19.43,19.75,19.31,19.57,6601163
2010-01-22,18.8,19.47,18.66,19.4,8153681
2010-01-25,18.63,19.11,18.5,19.11,4601722
2010-01-26,18.31,18.625,18.24,18.46,6389720
2010-01-27,18.35,18.45,18.19,18.25,5930179
2010-01-28,18.25,18.51,18.15,18.46,5698128
2010-01-29,18.54,18.84,18.32,18.44,6724233
2010-02-01,18.58,18.7,18.395,18.66,6174370
2010-02-02,18.85,18.88,18.52,18.59,5609863
2010-02-03,17.17,18.21,16.7,17.07,50848150
2010-02-04,16.54,16.89,16.22,16.8,34294419
2010-02-05,16.5,16.54,15.85,16.43,16719840
2010-02-08,16.16,16.55,16.14,16.53,14785793
2010-02-09,16.14,16.51,15.93,16.35,19461149
2010-02-10,16.44,16.6,16.01,16.14,15728451
2010-02-11,16.16,16.41,16.1,16.3,15781592
2010-02-12,16.12,16.32,15.96,16.14,10303012
2010-02-15,16.12,16.32,15.96,16.14,0
2010-02-16,16.5,16.6,16.12,16.33,9555682
2010-02-17,16.4,16.71,16.4,16.65,4641866
2010-02-18,16.46,16.52,16.39,16.44,4625646
2010-02-19,16.35,16.46,16.27,16.33,6963116
