Date,Close,High,Low,Open,Volume
2010-01-01,52.97,54.19,52.96,54.06,0
2010-01-04,55.17,55.17,53.88,54.03,627447
2010-01-05,55.07,55.25,54.2,55.02,732548
2010-01-06,54.99,55.26,54.73,54.93,1140445
2010-01-07,54.12,55.09,53.58,54.71,912491
2010-01-08,55.13,55.13,53.66,53.83,609415
2010-01-11,54.42,56.0,53.21,55.23,695825
2010-01-12,53.63,54.66,53.37,53.83,569859
2010-01-13,55.35,55.45,52.8501,53.68,550346
2010-01-14,56.19,58.15,54.98,55.21,885851
2010-01-15,54.73,56.81,54.665,56.17,565214
2010-01-18,54.73,56.81,54.665,56.17,0
2010-01-19,54.75,54.87,53.5,54.56,542276
2010-01-20,54.13,54.31,53.01,53.9,721184
2010-01-21,53.94,55.43,53.7801,54.4,820221
2010-01-22,52.97,54.1,52.67,53.77,691204
2010-01-25,54.07,54.56,53.59,53.64,583147
2010-01-26,53.56,54.69,52.75,53.65,539684
2010-01-27,52.63,54.08,51.42,53.3,552975
2010-01-28,51.61,53.0,50.72,52.99,545598
2010-01-29,49.21,52.066,49.15,52.02,1127773
2010-02-01,51.1,51.1,49.64,49.7,336091
2010-02-02,52.08,52.19,50.6,51.35,361540
2010-02-03,51.86,52.24,51.29,51.83,858650
2010-02-04,49.41,51.24,48.92,51.24,981890
2010-02-05,50.56,50.58,48.68,50.13,1280342
2010-02-08,52.29,53.59,50.99,51.0,1313746
2010-02-09,54.34,54.98,53.2,53.2,2201428
2010-02-10,54.01,54.56,52.83,53.9,786644
2010-02-11,55.47,55.79,53.76,54.0,871220
2010-02-12,55.87,56.22,54.3,54.4,1029021
2010-02-15,55.87,56.22,54.3,54.4,0
2010-02-16,56.84,57.34,56.36,56.72,792885
2010-02-17,57.01,59.41,56.35,58.5,2908900
2010-02-18,58.74,58.92,56.71,57.15,1098822
2010-02-19,59.98,60.35,58.65,58.83,1441769
2010-02-22,57.94,59.63,57.64,58.77,1303914
2010-02-23,56.65,57.99,56.24,57.66,1031534
2010-02-24,57.3,57.66,56.53,56.57,896357
2010-02-25,58.13,58.14,55.61,56.07,870644
2010-02-26,59.76,59.84,58.18,58.67,1017038
2010-03-01,61.25,61.47,59.75,60.04,1461487
2010-03-02,60.82,62.51,60.59,61.62,1475158
2010-03-03,60.17,61.0,59.97,61.0,783255
2010-03-04,59.8,60.88,59.23,60.14,1085269
2010-03-05,60.68,60.78,60.1,60.39,906533
2010-03-08,60.91,61.52,60.39,60.47,837757
2010-03-09,60.17,61.22,59.62,60.45,1025369
2010-03-10,61.74,62.05,60.05,60.05,1032609
2010-03-11,62.06,62.06,61.09,61.43,1004810
2010-03-12,62.42,62.43,61.32,62.25,723995
2010-03-15,61.17,62.4,60.02,62.03,1067306
2010-03-16,62.18,63.09,61.05,61.56,1336817
2010-03-17,61.29,62.87,60.9701,62.44,859956
2010-03-18,58.96,61.31,58.325,61.11,1464928
2010-03-19,57.9,59.34,56.81,59.27,1083336
2010-03-22,58.19,58.31,56.76,57.15,638542
2010-03-23,59.58,59.68,58.33,58.4,607101
2010-03-24,58.88,59.99,58.87,59.0,845367
2010-03-25,57.13,59.91,57.04,59.55,813232
2010-03-26,56.86,57.7695,56.49,57.47,744557
2010-03-29,58.67,59.09,57.09,57.09,653429
2010-03-30,58.72,59.07,57.65,58.9,1003894
2010-03-31,59.38,60.34,58.1,58.68,1052171
2010-04-01,60.35,60.79,59.55,59.97,880231
2010-04-02,60.35,60.79,59.55,59.97,0
2010-04-05,61.82,62.15,60.7,60.81,691788
2010-04-06,62.36,62.97,61.51,61.51,1106640
2010-04-07,61.15,62.28,60.64,62.1,1066404
2010-04-08,61.47,62.1,59.51,60.52,1013786
2010-04-09,62.89,62.97,61.485,61.6,888589
2010-04-12,63.18,64.25,62.68,63.05,1049562
2010-04-13,62.31,63.18,61.68,62.89,943626
2010-04-14,63.6,63.75,62.52,62.95,1067048
2010-04-15,64.53,64.93,63.3,63.55,1110412
2010-04-16,63.84,64.9,63.25,64.0,1431780
2010-04-19,64.74,64.97,62.4,63.37,1428656
2010-04-20,65.21,66.28,65.01,65.25,1204001
2010-04-21,64.07,65.19,63.63,65.13,1148598
2010-04-22,64.42,64.65,62.69,63.22,783960
2010-04-23,67.44,67.49,64.33,64.56,1408581
2010-04-26,66.54,67.16,66.15,66.81,1050071
2010-04-27,65.77,68.255,65.64,66.21,2054596
2010-04-28,66.87,68.0,65.69,67.05,1239639
2010-04-29,67.13,68.22,65.34,67.39,1419629
2010-04-30,68.08,68.5,66.63,67.13,1283233
2010-05-03,69.46,70.52,67.53,68.69,1079451
2010-05-04,67.85,68.61,67.39,68.29,1244398
2010-05-05,67.72,69.34,65.3,66.8,1685640
2010-05-06,65.04,68.08,60.18,67.48,2435517
2010-05-07,61.19,65.0,58.64,64.15,3065916
2010-05-10,67.1,67.273,63.71,64.32,2419583
2010-05-11,68.16,69.69,65.7,66.14,1912054
2010-05-12,71.58,71.96,68.5,68.51,1723936
2010-05-13,71.95,73.24,70.623,70.73,1250528
2010-05-14,70.72,71.71,69.74,71.5,1285787
2010-05-17,69.66,71.28,67.88,70.96,1506682
2010-05-18,68.65,71.31,67.56,70.95,2118095
2010-05-19,67.17,69.32,65.48,68.02,2028085
2010-05-20,62.95,65.18,62.72,65.18,2639385
2010-05-21,65.85,65.88,61.5,61.8,2918440
2010-05-24,65.62,66.7,65.35,65.7,1791538
2010-05-25,66.07,66.25,62.73,63.62,2051234
2010-05-26,67.61,69.2,66.89,67.44,1946106
2010-05-27,72.45,72.46,69.43,69.95,1671721
2010-05-28,73.48,74.68,71.705,72.56,2288793
2010-05-31,73.48,74.68,71.705,72.56,0
2010-06-01,74.34,76.23,72.45,72.55,2612333
2010-06-02,78.66,78.72,75.11,75.28,2872326
2010-06-03,77.33,78.57,74.09,78.53,3005481
2010-06-04,74.35,79.23,73.71,75.53,2393537
2010-06-07,75.28,78.135,74.53,74.53,2001386
2010-06-08,75.0,76.04,73.0972,74.7,1625040
2010-06-09,75.64,78.33,75.25,76.39,1659526
2010-06-10,77.79,78.21,76.5,77.5,1536243
2010-06-11,79.21,79.5,75.97,76.51,1657869
2010-06-14,79.8,81.5,79.22,80.01,2133864
2010-06-15,80.23,80.88,79.28,80.86,1974967
2010-06-16,79.67,81.445,77.79,79.0,2164211
2010-06-17,79.32,80.8588,78.415,80.0,1899332
2010-06-18,79.66,80.26,78.4801,79.25,1497670
2010-06-21,77.5,81.03,76.68,80.69,1715928
2010-06-22,73.13,77.58,72.63,77.33,2316957
2010-06-23,73.56,74.13,71.96,72.28,1475316
2010-06-24,71.95,74.54,71.57,73.26,1279160
2010-06-25,72.95,73.48,70.54,71.88,3131414
2010-06-28,73.37,74.24,72.58,73.15,1833553
2010-06-29,71.69,72.99,70.68,71.59,1991538
2010-06-30,71.58,73.36,71.0,71.7,1896484
2010-07-01,70.14,72.02,67.87,71.64,1731056
2010-07-02,70.17,72.15,69.37,70.55,1148860
2010-07-05,70.17,72.15,69.37,70.55,0
2010-07-06,70.88,72.87,69.98,71.58,1112279
2010-07-07,74.76,74.76,71.38,71.38,1278510
2010-07-08,74.79,75.86,73.06,75.86,1377131
2010-07-09,74.68,76.08,73.98,75.01,1124685
2010-07-12,73.43,75.23,72.79,75.02,1581097
2010-07-13,74.5,74.87,72.37,74.14,1355084
2010-07-14,75.29,75.86,73.64,74.35,1320294
2010-07-15,75.25,75.43,73.38,75.27,1191961
2010-07-16,71.21,74.48,71.01,74.38,1710564
2010-07-19,72.64,72.87,70.65,71.4,1297500
2010-07-20,74.71,75.12,71.02,71.64,1185134
2010-07-21,73.69,75.7091,73.345,75.39,1086167
2010-07-22,75.87,76.74,74.65,75.25,934883
2010-07-23,75.7,76.02,74.38,75.47,925624
2010-07-26,76.08,76.44,75.31,76.37,932670
2010-07-27,73.68,77.11,73.19,76.7,1537476
2010-07-28,70.28,73.06,69.52,73.06,3012971
2010-07-29,69.05,71.47,67.9,70.86,2226795
2010-07-30,68.87,70.35,67.31,68.01,1821079
2010-08-02,71.37,71.49,69.42,70.45,1640462
2010-08-03,70.16,71.55,69.44,70.82,1437126
2010-08-04,73.61,73.84,68.7,69.75,3406214
2010-08-05,73.21,74.08,72.62,73.17,1392719
2010-08-06,72.51,73.55,71.18,72.5,1491831
2010-08-09,72.5,73.47,71.9101,73.25,781691
2010-08-10,71.34,71.98,70.69,71.24,1281151
2010-08-11,67.54,69.75,67.35,69.64,1359087
2010-08-12,66.03,67.02,65.53,66.54,2318469
2010-08-13,68.08,68.71,66.14,66.14,2513474
2010-08-16,68.34,68.84,64.98,64.98,1135422
2010-08-17,69.19,69.64,68.46,69.05,1763672
2010-08-18,69.98,70.67,68.94,69.2,1673177
2010-08-19,68.92,70.32,68.55,69.45,1053313
2010-08-20,68.14,68.7,66.77,68.52,848500
2010-08-23,67.24,68.82,67.16,68.79,803883
2010-08-24,65.15,66.8,65.0601,65.92,1156134
2010-08-25,64.39,65.36,62.88,64.41,1375595
2010-08-26,64.93,65.79,64.51,65.13,847054
2010-08-27,67.18,67.39,64.15,65.64,1123138
2010-08-30,65.54,68.28,65.52,66.66,903953
2010-08-31,65.42,66.84,64.841,65.09,1033277
2010-09-01,67.43,68.48,66.86,66.86,1081136
2010-09-02,67.98,67.98,66.35,66.95,1171678
2010-09-03,68.6,69.66,68.14,68.9,641846
2010-09-06,68.6,69.66,68.14,68.9,0
2010-09-07,66.92,68.13,66.72,68.08,558399
2010-09-08,67.22,68.64,66.88,67.19,683400
2010-09-09,67.13,68.25,66.84,68.18,425640
2010-09-10,68.02,68.95,67.31,67.52,684280
2010-09-13,69.06,69.54,68.26,68.7,472399
2010-09-14,69.84,70.57,68.51,69.0,815089
2010-09-15,68.78,69.76,68.56,69.0,825845
2010-09-16,69.09,69.3889,67.77,68.64,922431
2010-09-17,68.58,69.57,68.35,69.47,828099
2010-09-20,69.82,70.06,67.86,68.71,538151
