Date,Close,High,Low,Open,Volume
2010-01-01,21.22,21.545,21.22,21.45,0
2010-01-04,21.08,21.38,21.04,21.38,2670388
2010-01-05,20.83,21.0,20.41,20.95,4321584
2010-01-06,20.87,20.96,20.74,20.87,2164440
2010-01-07,20.78,20.84,20.64,20.8,3041696
2010-01-08,20.79,20.81,20.59,20.76,1599086
2010-01-11,20.99,21.09,20.79,20.91,2266515
2010-01-12,21.24,21.26,20.86,20.94,3481309
2010-01-13,21.57,21.62,21.275,21.28,3438363
2010-01-14,21.61,21.66,21.46,21.65,2278377
2010-01-15,21.41,21.54,21.29,21.54,3249695
2010-01-18,21.41,21.54,21.29,21.54,0
2010-01-19,21.6,21.6,21.31,21.44,1647617
2010-01-20,21.54,21.61,21.23,21.56,2731041
2010-01-21,21.37,21.76,21.24,21.59,4444020
2010-01-22,20.84,21.43,20.84,21.33,3347855
2010-01-25,20.79,21.0,20.67,20.92,2106483
2010-01-26,20.8,20.92,20.63,20.69,2730873
2010-01-27,20.94,20.99,20.5719,20.73,3885753
2010-01-28,20.86,21.1,20.72,21.1,2859024
2010-01-29,20.78,20.955,20.68,20.87,3960187
2010-02-01,20.85,20.91,20.625,20.83,2335103
2010-02-02,21.17,21.17,20.67,20.8,2501742
2010-02-03,20.92,21.16,20.875,21.07,2209293
2010-02-04,20.23,20.86,20.23,20.84,4037117
2010-02-05,20.13,20.23,19.86,20.19,4800889
2010-02-08,20.04,20.26,20.02,20.15,3274249
2010-02-09,20.2,20.41,20.085,20.12,3303522
2010-02-10,20.06,20.24,19.865,20.19,3504535
2010-02-11,20.29,20.32,19.82,20.08,3170675
2010-02-12,20.23,20.25,20.01,20.12,3009430
2010-02-15,20.23,20.25,20.01,20.12,0
2010-02-16,20.6,20.62,20.31,20.34,1541609
2010-02-17,20.55,20.76,20.47,20.72,2249670
2010-02-18,20.84,20.85,20.53,20.56,2286782
2010-02-19,21.08,21.14,20.72,20.73,1937983
2010-02-22,21.04,21.2,21.0,21.18,2090685
2010-02-23,20.98,21.14,20.88,21.06,3150751
2010-02-24,21.03,21.13,20.73,21.1,2906962
2010-02-25,20.97,21.05,20.7,20.77,3108667
2010-02-26,20.81,21.09,20.81,21.01,2561642
2010-03-01,21.02,21.14,20.86,20.86,1524861
2010-03-02,21.22,21.27,21.07,21.15,1827634
2010-03-03,21.23,21.38,21.15,21.29,1558135
2010-03-04,21.06,21.24,20.99,21.2,2696050
2010-03-05,21.19,21.2,21.04,21.16,1982629
2010-03-08,21.15,21.22,21.08,21.13,1408429
2010-03-09,21.13,21.25,21.02,21.08,2193337
2010-03-10,21.11,21.2,20.92,21.13,2285754
2010-03-11,21.09,21.12,20.94,21.09,2853739
2010-03-12,21.03,21.26,20.91,21.13,2118939
2010-03-15,21.15,21.15,20.965,21.06,1147583
2010-03-16,21.31,21.31,21.07,21.19,1443696
2010-03-17,21.44,21.53,21.27,21.33,1759806
2010-03-18,21.44,21.5,21.27,21.36,2177792
2010-03-19,21.58,21.69,21.42,21.46,3461997
2010-03-22,21.5,21.58,21.43,21.54,1789278
2010-03-23,21.3,21.31,21.165,21.21,1649452
2010-03-24,21.08,21.2601,21.07,21.22,1646374
2010-03-25,21.06,21.23,21.03,21.21,2143565
2010-03-26,21.04,21.26,20.99,21.12,1900066
2010-03-29,21.24,21.28,21.05,21.1,1928961
2010-03-30,21.22,21.39,21.19,21.24,1490596
2010-03-31,21.2,21.39,21.08,21.15,2404962
2010-04-01,21.4,21.5,21.25,21.26,1660672
2010-04-02,21.4,21.5,21.25,21.26,0
2010-04-05,21.63,21.66,21.408,21.49,2138514
2010-04-06,21.84,21.84,21.54,21.62,1761642
2010-04-07,21.63,21.81,21.52,21.75,1704016
2010-04-08,21.49,21.62,21.39,21.62,1792412
2010-04-09,21.63,21.63,21.29,21.44,1640341
2010-04-12,21.74,21.79,21.61,21.67,1809092
2010-04-13,21.5,21.8,21.42,21.73,2601134
2010-04-14,21.52,21.54,21.36,21.45,1734801
2010-04-15,21.23,21.52,21.12,21.52,4963355
2010-04-16,21.48,21.66,21.22,21.28,5069939
2010-04-19,21.47,21.56,21.33,21.5,1840165
2010-04-20,21.6,21.62,21.5,21.61,2010181
2010-04-21,21.61,21.73,21.58,21.64,2201754
2010-04-22,21.78,21.82,21.41,21.52,2630351
2010-04-23,21.94,21.94,21.64,21.73,1640269
2010-04-26,21.83,22.05,21.83,21.9,2074011
2010-04-27,21.46,21.93,21.46,21.74,2477355
2010-04-28,21.49,21.65,21.39,21.6,3563867
2010-04-29,21.61,21.64,21.37,21.61,3594207
2010-04-30,21.75,21.979,21.61,21.67,2137646
2010-05-03,22.1,22.14,21.82,21.92,1991695
2010-05-04,21.74,22.0,21.68,21.9,2402148
2010-05-05,21.74,22.08,21.65,21.74,2635494
2010-05-06,21.11,21.75,20.07,21.71,5072792
2010-05-07,20.87,21.23,20.67,21.1,4368174
2010-05-10,21.48,21.49,21.09,21.27,3869431
2010-05-11,21.57,21.79,21.19,21.32,3040229
2010-05-12,21.56,21.64,21.41,21.57,2988201
2010-05-13,21.43,21.7,21.38,21.51,1875252
2010-05-14,21.27,21.46,21.13,21.4,2911643
2010-05-17,21.46,21.55,21.02,21.4,3057405
2010-05-18,21.3,21.68,21.25,21.6,3213208
2010-05-19,21.27,21.39,21.1,21.2,5634779
2010-05-20,20.61,21.16,20.6,20.98,6055477
2010-05-21,20.67,20.75,20.26,20.36,5656855
2010-05-24,20.48,20.75,20.43,20.55,2389507
2010-05-25,20.3,20.32,19.81,20.13,3700984
2010-05-26,20.27,20.51,20.19,20.42,2783102
2010-05-27,20.53,20.57,20.35,20.54,2333438
2010-05-28,20.49,20.68,20.43,20.52,3474784
2010-05-31,20.49,20.68,20.43,20.52,0
2010-06-01,20.14,20.52,20.14,20.27,1926410
2010-06-02,20.54,20.56,20.13,20.17,2292271
2010-06-03,20.71,20.76,20.52,20.52,2068016
2010-06-04,20.18,20.54,20.06,20.49,3340862
2010-06-07,20.12,20.43,20.11,20.18,2928126
2010-06-08,20.38,20.38,20.03,20.09,3532045
2010-06-09,20.15,20.47,20.1,20.42,2672435
2010-06-10,20.55,20.56,20.31,20.43,4441033
2010-06-11,20.56,20.56,20.28,20.37,1550071
2010-06-14,20.58,20.846,20.58,20.68,1993031
2010-06-15,21.06,21.06,20.74,20.76,1777555
2010-06-16,21.17,21.27,20.87,20.97,1558744
2010-06-17,21.46,21.47,21.15,21.17,2180042
2010-06-18,21.57,21.68,21.38,21.5,3386491
2010-06-21,21.49,21.745,21.41,21.7,2101460
2010-06-22,20.86,21.28,20.805,21.19,2334139
2010-06-23,20.67,20.9,20.59,20.84,2465989
2010-06-24,20.74,20.99,20.59,20.6,2492508
2010-06-25,20.76,20.85,20.55,20.8,2677828
2010-06-28,20.93,21.03,20.64,20.77,1275425
2010-06-29,20.65,20.81,20.53,20.71,2597521
2010-06-30,20.61,20.895,20.52,20.55,3258154
2010-07-01,20.62,20.73,20.47,20.73,3953132
2010-07-02,20.71,20.84,20.552,20.61,2153870
2010-07-05,20.71,20.84,20.552,20.61,0
2010-07-06,20.96,21.08,20.75,20.86,2571619
2010-07-07,21.37,21.37,20.83,20.95,3285519
2010-07-08,21.6,21.63,21.35,21.39,1755252
2010-07-09,21.67,21.7,21.49,21.62,1291567
2010-07-12,21.79,21.82,21.53,21.6,1131699
2010-07-13,21.9,21.96,21.71,21.96,2098751
2010-07-14,21.71,21.82,21.56,21.8,2511629
2010-07-15,21.87,21.915,21.6,21.63,2180374
2010-07-16,21.45,21.835,21.41,21.79,2282832
2010-07-19,21.82,21.9,21.49,21.49,2151907
2010-07-20,21.98,21.98,21.5,21.56,1602702
2010-07-21,21.69,22.0,21.55,22.0,1631318
2010-07-22,22.02,22.12,21.83,21.83,1929624
2010-07-23,22.25,22.3,21.87,22.02,2861561
2010-07-26,22.46,22.5,22.18,22.18,2017567
2010-07-27,22.75,22.89,22.44,22.5,2863712
2010-07-28,22.65,22.79,22.59,22.65,1884422
2010-07-29,22.26,23.02,22.16,22.83,2778704
2010-07-30,21.99,22.14,21.93,22.07,2676693
2010-08-02,22.34,22.42,22.15,22.22,2914999
2010-08-03,22.1,22.3,21.9,22.01,7211331
2010-08-04,21.86,21.93,21.41,21.71,22827204
2010-08-05,22.06,22.06,21.7,21.78,5874955
2010-08-06,22.12,22.12,21.76,21.99,2974359
2010-08-09,22.27,22.4,22.2,22.3,2201143
2010-08-10,22.41,22.5,21.96,22.08,2659519
2010-08-11,22.15,22.19,21.91,22.17,3692949
2010-08-12,22.28,22.36,21.88,21.94,3948323
2010-08-13,22.42,22.64,22.24,22.25,4973527
2010-08-16,22.19,22.41,22.08,22.31,2977838
2010-08-17,22.35,22.52,22.16,22.32,2604449
2010-08-18,22.16,22.37,21.97,22.3,3209352
2010-08-19,21.75,22.09,21.66,22.09,4077412
2010-08-20,21.87,21.94,21.52,21.57,3824403
2010-08-23,21.96,22.21,21.91,21.92,2394837
2010-08-24,22.1,22.215,21.75,21.8,3719668
2010-08-25,22.19,22.22,21.87,21.96,5624089
2010-08-26,22.18,22.35,22.13,22.23,2642659
2010-08-27,22.57,22.57,22.08,22.28,2582130
2010-08-30,22.23,22.6,22.23,22.55,2086978
2010-08-31,22.31,22.36,22.0,22.14,2977159
2010-09-01,22.8,22.81,22.37,22.55,2613452
2010-09-02,22.69,22.78,22.455,22.77,2775392
2010-09-03,22.8,22.91,22.54,22.86,2170671
2010-09-06,22.8,22.91,22.54,22.86,0
2010-09-07,22.81,23.0,22.72,22.72,1988689
2010-09-08,22.6,22.97,22.57,22.89,2407870
2010-09-09,22.85,22.92,22.71,22.81,1999104
2010-09-10,22.74,22.82,22.55,22.82,2159066
2010-09-13,22.89,22.93,22.76,22.93,2016855
2010-09-14,23.05,23.07,22.79,22.91,3015527
2010-09-15,22.97,23.07,22.88,23.06,1997965
2010-09-16,22.84,22.98,22.75,22.92,2927485
2010-09-17,22.82,22.93,22.7,22.93,3370903
2010-09-20,23.14,23.17,22.82,22.88,2424121
2010-09-21,22.84,23.05,22.7412,22.92,3873849
2010-09-22,22.83,23.11,22.82,22.85,3157997
2010-09-23,22.54,22.78,22.49,22.78,3402381
2010-09-24,22.93,22.9703,22.7,22.75,2384110
2010-09-27,22.91,23.05,22.89,22.96,1771552
2010-09-28,23.02,23.13,22.725,22.96,4117060
2010-09-29,23.09,23.14,22.89,22.92,3080991
2010-09-30,22.97,23.28,22.9667,23.16,3503950
2010-10-01,23.23,23.27,23.02,23.12,3114491
2010-10-04,23.18,23.34,23.03,23.2,1783311
2010-10-05,23.56,23.57,23.24,23.35,2629024
2010-10-06,23.46,23.59,23.35,23.51,2176167
2010-10-07,23.43,23.635,23.33,23.5,1601901
2010-10-08,23.47,23.51,23.34,23.49,1742183
2010-10-11,23.41,23.55,23.36,23.44,1000896
2010-10-12,23.23,23.45,23.17,23.4,2279947
2010-10-13,23.32,23.42,23.24,23.32,1639123
2010-10-14,23.32,23.5,23.27,23.35,1679653
2010-10-15,23.56,23.63,23.42,23.53,5669436
2010-10-18,23.76,23.76,23.56,23.6,1669333
2010-10-19,23.69,23.84,23.52,23.56,2393540
2010-10-20,23.9,23.99,23.77,23.79,2338631
2010-10-21,23.76,24.0,23.64,24.0,1848414
2010-10-22,23.89,23.89,23.71,23.77,2401042
2010-10-25,23.9,24.0,23.81,23.95,1533203
2010-10-26,24.03,24.08,23.8,23.83,3529421
2010-10-27,23.86,23.93,23.61,23.88,3620447
2010-10-28,23.8,24.07,23.713,24.02,3967553
2010-10-29,23.86,23.96,23.66,23.8,1820085
2010-11-01,23.67,24.06,23.53,23.97,2169522
2010-11-02,23.91,24.0,23.84,23.85,1958625
2010-11-03,23.88,24.02,23.69,23.93,1860655
2010-11-04,24.12,24.13,23.95,24.02,1494875
2010-11-05,24.33,24.33,23.99,23.99,2440995
2010-11-08,24.25,24.25,24.09,24.22,2583043
2010-11-09,24.12,24.36,24.0,24.36,2778109
2010-11-10,24.08,24.11,23.83,24.08,2942130
2010-11-11,24.12,24.1699,23.96,23.98,2917107
2010-11-12,23.89,23.99,23.77,23.97,1651779
2010-11-15,23.77,24.04,23.75,24.03,3370861
2010-11-16,23.52,23.77,23.35,23.7,2986326
2010-11-17,23.4,23.57,23.36,23.56,1945470
2010-11-18,23.6,23.64,23.44,23.64,2112007
2010-11-19,23.56,23.65,23.35,23.62,1528476
2010-11-22,23.63,23.68,23.41,23.48,1325303
2010-11-23,23.35,23.51,23.3,23.47,2436374
2010-11-24,23.5,23.59,23.41,23.59,1588164
2010-11-25,23.5,23.59,23.41,23.59,0
2010-11-26,23.45,23.67,23.35,23.4,1630493
2010-11-29,23.44,23.47,23.17,23.33,1553767
2010-11-30,23.5,23.53,23.25,23.27,2622605
2010-12-01,23.81,23.85,23.58,23.74,3337921
2010-12-02,23.81,23.86,23.58,23.84,1532942
2010-12-03,23.87,23.89,23.53,23.76,2336949
2010-12-06,23.62,23.78,23.6,23.77,4691041
2010-12-07,23.42,23.79,23.38,23.75,2592078
2010-12-08,23.36,23.52,23.26,23.45,2794006
2010-12-09,23.41,23.5,23.1975,23.5,3125963
2010-12-10,23.42,23.53,23.37,23.45,1961648
2010-12-13,23.53,23.64,23.43,23.5,1749205
2010-12-14,23.69,23.8,23.53,23.58,1957553
2010-12-15,23.5,23.78,23.46,23.69,2017375
2010-12-16,23.69,23.7,23.4,23.56,2425436
2010-12-17,23.73,23.78,23.53,23.72,2880328
2010-12-20,23.76,23.88,23.66,23.84,1979972
2010-12-21,23.55,23.7,23.47,23.7,2345989
2010-12-22,23.48,23.63,23.42,23.51,2540445
2010-12-23,23.47,23.57,23.43,23.48,1349076
2010-12-24,23.47,23.57,23.43,23.48,0
2010-12-27,23.46,23.67,23.36,23.45,1623157
2010-12-28,23.52,23.57,23.41,23.51,1258337
2010-12-29,23.5,23.6,23.49,23.53,901647
2010-12-30,23.55,23.59,23.47,23.49,1375294
2010-12-31,23.55,23.68,23.49,23.5,1445653
2011-01-03,23.56,23.68,23.5,23.67,2199736
2011-01-04,23.66,23.72,23.37,23.61,1874814
2011-01-05,23.52,23.66,23.44,23.59,1716928
2011-01-06,23.5,23.5,23.26,23.35,2784392
2011-01-07,23.71,23.73,23.37,23.52,2731816
2011-01-10,23.56,23.61,23.34,23.6,1919956
2011-01-11,23.48,23.62,23.44,23.62,2256394
2011-01-12,23.54,23.66,23.47,23.56,1710551
2011-01-13,23.45,23.58,23.42,23.47,2166404
2011-01-14,23.47,23.57,23.41,23.43,2541386
2011-01-17,23.47,23.57,23.41,23.43,0
2011-01-18,23.78,23.78,23.52,23.55,2038484
2011-01-19,23.71,23.92,23.65,23.73,1943780
2011-01-20,23.96,24.06,23.75,23.77,2539475
2011-01-21,23.91,23.99,23.79,23.99,4589058
2011-01-24,24.07,24.14,23.91,23.92,1565740
2011-01-25,24.07,24.09,23.86,24.0,1992396
2011-01-26,23.95,24.07,23.88,24.07,1858507
2011-01-27,24.02,24.04,23.79,23.79,1883710
2011-01-28,23.55,24.139,23.54,24.02,1900446
2011-01-31,23.57,23.7,23.48,23.64,1830477
2011-02-01,23.88,23.89,23.58,23.68,1468722
2011-02-02,23.73,23.86,23.66,23.75,1583926
2011-02-03,23.67,23.69,23.48,23.66,1912439
2011-02-04,23.65,23.7,23.4,23.69,2089462
2011-02-07,23.85,23.85,23.67,23.71,1141757
2011-02-08,23.78,23.9,23.71,23.71,1309192
2011-02-09,23.81,23.81,23.65,23.74,1608452
2011-02-10,23.8,23.83,23.67,23.76,1537320
2011-02-11,23.93,23.96,23.7,23.74,2309886
2011-02-14,23.71,23.96,23.53,23.96,1881430
2011-02-15,23.76,23.78,23.555,23.61,1769936
2011-02-16,23.81,23.92,23.7,23.8,1325352
2011-02-17,23.78,23.92,23.69,23.78,1686022
2011-02-18,23.81,23.82,23.69,23.81,1476539
2011-02-21,23.81,23.82,23.69,23.81,0
2011-02-22,23.62,23.68,23.53,23.62,1611357
2011-02-23,23.61,23.73,23.51,23.63,1732400
2011-02-24,23.52,23.67,23.48,23.67,1843982
2011-02-25,23.82,23.82,23.5,23.57,1205253
2011-02-28,23.94,24.0,23.69,23.84,2142280
2011-03-01,23.46,24.09,23.4,24.09,5565965
2011-03-02,23.64,23.67,23.43,23.45,2293323
2011-03-03,23.93,24.0,23.72,23.8,2657368
2011-03-04,23.89,24.0,23.66,23.93,3006320
2011-03-07,24.0,24.12,23.9,23.94,3027391
2011-03-08,24.48,24.5,24.04,24.09,2800340
2011-03-09,24.62,24.67,24.32,24.42,2390264
2011-03-10,24.19,24.5099,24.19,24.39,2586468
2011-03-11,24.31,24.39,24.135,24.245,1907453
2011-03-14,23.99,24.18,23.83,24.15,2563531
2011-03-15,23.63,23.77,23.44,23.69,5130674
2011-03-16,23.37,23.62,23.17,23.56,4219435
2011-03-17,23.53,23.64,23.2,23.64,3008165
2011-03-18,23.45,23.84,23.39,23.76,6092430
2011-03-21,23.69,23.76,23.54,23.65,4061797
2011-03-22,23.45,23.62,23.31,23.53,2857531
2011-03-23,23.4,23.48,23.29,23.4,1967583
2011-03-24,23.47,23.56,23.38,23.52,2102658
2011-03-25,23.5,23.61,23.46,23.5,1678737
2011-03-28,23.41,23.77,23.41,23.55,2082980
2011-03-29,23.63,23.63,23.37,23.46,1766386
2011-03-30,23.93,24.11,23.67,23.7,3196059
2011-03-31,23.89,24.05,23.84,23.9,2984964
2011-04-01,24.08,24.27,24.0,24.0,2483085
2011-04-04,24.17,24.23,24.08,24.11,1668575
2011-04-05,24.06,24.23,24.03,24.1,1127247
2011-04-06,24.2,24.32,24.0935,24.11,1334248
2011-04-07,24.01,24.2,23.95,24.17,1388125
2011-04-08,23.89,24.14,23.8,24.14,1471711
2011-04-11,23.51,24.0,23.43,23.88,3178780
2011-04-12,23.47,23.61,23.38,23.44,2472371
2011-04-13,23.58,23.78,23.54,23.54,2272187
2011-04-14,23.74,23.8,23.42,23.48,2451343
2011-04-15,24.12,24.185,23.79,23.85,2623177
2011-04-18,23.96,24.03,23.75,23.92,2436536
2011-04-19,23.85,24.0,23.79,23.95,1968700
2011-04-20,24.04,24.19,23.98,24.07,2025922
2011-04-21,24.05,24.08,23.93,24.08,1443842
2011-04-22,24.05,24.08,23.93,24.08,0
2011-04-25,24.06,24.11,23.88,24.08,1359841
2011-04-26,24.14,24.22,24.11,24.17,1751029
2011-04-27,24.24,24.34,24.11,24.16,1741884
2011-04-28,24.31,24.34,24.05,24.23,2121339
2011-04-29,24.33,24.37,24.15,24.28,1889780
2011-05-02,24.4,24.46,24.32,24.4,1544332
2011-05-03,24.44,24.59,24.25,24.4,4202695
2011-05-04,24.47,24.5,24.21,24.43,2575512
2011-05-05,24.25,24.42,24.1,24.39,2229470
2011-05-06,24.29,24.55,24.22,24.45,2003486
2011-05-09,24.3,24.33,24.22,24.33,1736080
2011-05-10,24.62,24.67,24.33,24.35,1650535
2011-05-11,24.47,24.66,24.3,24.59,2516035
2011-05-12,24.83,24.8414,24.37,24.46,2770058
2011-05-13,24.95,24.98,24.7,24.85,3098893
2011-05-16,25.01,25.09,24.825,24.84,3448768
2011-05-17,25.23,25.27,24.94,25.0,3740547
2011-05-18,25.18,25.3,25.0,25.28,2247105
2011-05-19,25.24,25.34,25.13,25.34,1765264
2011-05-20,25.26,25.39,25.0905,25.25,2128767
2011-05-23,24.91,25.17,24.865,25.08,1811765
2011-05-24,24.83,24.98,24.7599,24.98,1977301
2011-05-25,24.69,24.83,24.54,24.76,1819181
2011-05-26,24.69,24.73,24.46,24.62,1983883
2011-05-27,24.58,24.8286,24.56,24.8,1766789
2011-05-30,24.58,24.8286,24.56,24.8,0
2011-05-31,24.74,24.81,24.63,24.8,3302843
2011-06-01,24.54,24.78,24.5,24.74,1981002
2011-06-02,24.46,24.58,24.29,24.57,1387635
2011-06-03,24.32,24.48,24.15,24.23,1906585
2011-06-06,24.2,24.36,24.13,24.26,1247411
2011-06-07,24.24,24.46,24.23,24.31,1481738
2011-06-08,24.2,24.32,24.07,24.24,1847962
2011-06-09,24.17,24.26,24.04,24.25,3256594
2011-06-10,24.03,24.18,23.97,24.13,2060922
2011-06-13,24.18,24.26,23.96,24.06,1603722
2011-06-14,24.24,24.39,24.15,24.17,1689453
2011-06-15,24.11,24.36,24.01,24.11,2422915
2011-06-16,24.32,24.43,24.11,24.16,2331833
2011-06-17,24.56,24.6,24.4,24.47,2645999
2011-06-20,24.6,24.64,24.38,24.46,3351023
2011-06-21,24.4,24.53,24.27,24.46,1842560
2011-06-22,24.17,24.36,24.14,24.24,1659646
2011-06-23,23.91,23.99,23.74,23.96,2232169
2011-06-24,24.02,24.18,23.97,23.97,2162798
2011-06-27,24.21,24.29,24.1,24.12,1412535
2011-06-28,24.38,24.46,24.19,24.32,1720062
2011-06-29,24.38,24.46,24.35,24.46,2013666
2011-06-30,24.3,24.47,24.23,24.47,4340263
2011-07-01,24.66,24.71,24.32,24.32,2218268
2011-07-04,24.66,24.71,24.32,24.32,0
2011-07-05,24.52,24.71,24.47,24.69,1410880
2011-07-06,24.61,24.69,24.43,24.53,1570647
2011-07-07,24.65,24.75,24.54,24.75,1486576
2011-07-08,24.49,24.56,24.41,24.45,1685233
2011-07-11,24.18,24.31,24.1,24.27,1782128
2011-07-12,24.31,24.52,24.11,24.11,2023810
2011-07-13,24.22,24.48,24.2,24.39,1435834
2011-07-14,24.03,24.32,24.0,24.22,1995881
2011-07-15,24.03,24.12,23.94,24.11,1951846
2011-07-18,23.76,23.99,23.67,23.97,1646308
2011-07-19,23.99,23.99,23.66,23.82,1672806
2011-07-20,24.24,24.28,23.95,24.12,2140634
2011-07-21,24.65,24.7,24.28,24.35,2397208
2011-07-22,24.54,24.66,24.48,24.61,1936885
2011-07-25,24.51,24.55,24.33,24.39,1853513
2011-07-26,24.49,24.57,24.32,24.52,2260599
2011-07-27,24.49,24.61,24.32,24.41,3601533
2011-07-28,24.25,24.53,24.24,24.52,2084070
2011-07-29,24.0,24.18,23.88,24.1,3102207
2011-08-01,24.04,24.22,23.87,24.17,3033513
2011-08-02,23.54,24.02,23.54,23.92,3257661
2011-08-03,23.45,23.57,23.24,23.52,3914663
2011-08-04,22.81,23.43,22.81,23.23,5878402
2011-08-05,23.23,23.35,22.59,23.06,6780082
2011-08-08,21.95,23.0884,21.85,22.85,6929246
2011-08-09,22.3,22.34,21.2,22.2,9636870
2011-08-10,21.82,22.37,21.76,21.92,6198166
2011-08-11,22.85,23.095,21.86,21.86,4706718
2011-08-12,22.89,23.34,22.7605,23.24,3944374
2011-08-15,23.54,23.63,23.0,23.06,2531599
2011-08-16,23.46,23.565,23.18,23.325,2459865
2011-08-17,23.65,23.89,23.54,23.59,2885080
2011-08-18,23.39,23.49,23.03,23.34,4051712
2011-08-19,23.31,23.53,23.13,23.21,3437725
2011-08-22,23.46,23.66,23.31,23.65,3785874
2011-08-23,24.06,24.07,23.33,23.46,4072880
