Date,Close,High,Low,Open,Volume
2010-01-01,25.06,25.44,25.05,25.36,0
2010-01-04,25.38,25.62,25.23,25.3,2824764
2010-01-05,25.06,25.48,24.85,25.38,3469752
2010-01-06,24.89,25.38,24.7,24.97,6329103
2010-01-07,24.64,24.86,24.35,24.79,9252701
2010-01-08,25.0,25.05,24.39,24.55,5005784
2010-01-11,24.74,25.14,24.41,25.01,5611793
2010-01-12,24.05,24.45,23.81,24.29,6111746
2010-01-13,24.26,24.34,23.62,24.16,7026549
2010-01-14,24.11,24.16,23.78,24.06,4906445
2010-01-15,23.52,24.3,23.29,24.3,7072470
2010-01-18,23.52,24.3,23.29,24.3,0
2010-01-19,23.88,23.94,23.56,23.82,7133093
2010-01-20,23.94,24.01,23.36,23.79,9189136
2010-01-21,25.25,25.41,23.7,24.02,20767949
2010-01-22,23.84,25.18,23.78,25.15,13791359
2010-01-25,24.38,24.67,23.97,24.02,11561537
2010-01-26,24.22,24.43,24.08,24.21,8235429
2010-01-27,24.48,24.72,24.08,24.36,7036164
2010-01-28,24.01,24.47,23.5998,24.44,8494890
2010-01-29,23.58,24.44,23.46,24.08,12612402
2010-02-01,23.98,24.1081,23.49,23.49,5653748
2010-02-02,24.27,24.36,23.89,23.98,4727853
2010-02-03,24.51,24.63,24.02,24.14,6484269
2010-02-04,23.28,24.15,23.1,24.06,10611540
2010-02-05,23.62,23.75,23.06,23.26,11924352
2010-02-08,23.46,23.94,23.17,23.48,5812542
2010-02-09,23.81,24.16,23.59,23.77,8005656
2010-02-10,23.95,24.07,23.63,23.76,5811914
2010-02-11,24.46,24.62,23.77,23.91,11478003
2010-02-12,24.56,24.93,24.04,24.42,6154602
2010-02-15,24.56,24.93,24.04,24.42,0
2010-02-16,25.04,25.17,24.66,24.75,5082982
2010-02-17,25.1,25.26,24.859,25.06,4874711
2010-02-18,25.52,25.63,25.01,25.17,7991021
2010-02-19,25.71,25.85,25.33,25.36,5413277
2010-02-22,25.5,25.79,25.3601,25.77,5627027
2010-02-23,25.15,25.44,24.9,25.27,7812175
2010-02-24,25.91,26.27,25.28,25.36,11894979
2010-02-25,25.98,26.06,25.43,25.56,6591138
2010-02-26,25.83,26.04,25.64,26.0,5367139
2010-03-01,26.4,26.48,25.98,26.07,5269507
2010-03-02,26.38,26.75,26.23,26.45,5674732
2010-03-03,26.2,26.66,26.105,26.5,4859716
2010-03-04,26.22,26.3,25.78,26.0,4816748
2010-03-05,26.71,26.89,26.33,26.53,5678702
2010-03-08,26.63,26.8687,26.63,26.81,3568622
2010-03-09,26.62,26.8,26.44,26.61,4541561
2010-03-10,26.9,26.985,26.55,26.55,4868319
2010-03-11,26.5,26.84,26.35,26.75,8793815
2010-03-12,26.61,26.74,26.45,26.55,6011257
2010-03-15,26.35,26.6,26.2,26.58,5340862
2010-03-16,26.93,27.09,26.36,26.36,5470648
2010-03-17,27.31,27.5,27.0,27.04,5624864
2010-03-18,27.06,27.475,26.82,27.39,6238311
2010-03-19,26.6,27.21,26.27,27.21,8765787
2010-03-22,27.07,27.19,26.42,26.54,4172694
2010-03-23,27.32,27.41,26.9,27.21,5053543
2010-03-24,25.81,26.95,25.74,26.95,14273531
2010-03-25,25.45,26.24,25.41,25.95,11107344
2010-03-26,25.4,25.76,25.19,25.44,7408543
2010-03-29,25.71,25.9,25.51,25.55,8947402
2010-03-30,25.72,25.85,25.416,25.74,5891223
2010-03-31,25.5,25.75,25.42,25.51,6213306
2010-04-01,25.68,26.12,25.39,25.57,4865127
2010-04-02,25.68,26.12,25.39,25.57,0
2010-04-05,26.34,26.49,25.63,25.7,4936113
2010-04-06,26.53,26.68,26.148,26.21,5929873
2010-04-07,26.58,26.83,26.22,26.45,5779488
2010-04-08,26.22,26.5,25.9838,26.46,4434692
2010-04-09,26.38,26.43,26.13,26.25,2579628
2010-04-12,26.63,26.8,26.42,26.47,3338674
2010-04-13,26.84,26.91,26.51,26.7,3417008
2010-04-14,27.65,27.68,27.21,27.25,5772885
2010-04-15,27.73,27.865,26.84,27.51,4700950
2010-04-16,27.49,27.68,27.12,27.68,6050287
2010-04-19,27.26,27.6,26.79,27.45,6100354
2010-04-20,27.62,27.65,27.21,27.25,4857806
2010-04-21,27.21,28.0,26.58,27.85,8985813
2010-04-22,27.52,27.59,26.39,26.94,6959840
2010-04-23,27.3,27.57,26.84,27.57,5487769
2010-04-26,27.23,27.54,27.14,27.24,3801667
2010-04-27,26.3,27.04,26.19,27.04,12673442
2010-04-28,26.63,26.73,26.25,26.6,8560481
2010-04-29,26.79,26.87,26.26,26.33,10503394
2010-04-30,25.79,26.9,25.75,26.88,9880411
2010-05-03,26.35,26.49,25.89,25.9,6051745
2010-05-04,25.48,26.12,25.08,26.12,9817730
2010-05-05,25.32,25.83,24.92,25.31,8169964
2010-05-06,24.72,25.57,23.24,25.22,11653389
2010-05-07,24.44,25.1,23.67,24.51,12498373
2010-05-10,25.23,25.58,24.9,25.39,6450293
2010-05-11,25.06,25.5,24.69,24.99,7140243
2010-05-12,25.69,25.75,25.06,25.06,6865806
2010-05-13,24.65,25.54,24.53,25.33,9056675
2010-05-14,24.05,24.56,23.52,24.53,10129657
2010-05-17,24.78,24.85,23.73,23.73,11560294
2010-05-18,24.06,25.01,23.93,24.87,8997187
2010-05-19,24.25,24.55,23.71,23.99,7612083
2010-05-20,23.91,24.31,23.25,23.78,13206209
2010-05-21,24.34,24.81,23.28,23.44,14163991
2010-05-24,23.68,24.38,23.66,24.28,7607949
2010-05-25,23.74,23.77,22.75,23.09,9867853
2010-05-26,23.78,24.355,23.74,23.87,9098036
2010-05-27,24.88,24.89,24.34,24.36,8288838
2010-05-28,24.45,24.89,24.0775,24.89,6766647
2010-05-31,24.45,24.89,24.0775,24.89,0
2010-06-01,23.9,24.64,23.88,24.25,6091832
2010-06-02,24.6575,24.67,23.78,23.96,7131061
2010-06-03,25.24,25.53,24.65,24.66,10480060
2010-06-04,24.9575,25.63,24.82,24.91,18115794
2010-06-07,24.29,25.3,24.2,24.96,12381793
2010-06-08,24.15,24.38,23.465,24.38,12405213
2010-06-09,23.79,24.53,23.69,24.25,8407561
2010-06-10,24.59,24.73,24.01,24.18,9346116
2010-06-11,25.07,25.21,24.24,24.24,7527545
2010-06-14,24.85,25.48,24.78,25.23,6426086
2010-06-15,26.36,26.5,24.9,25.09,11989129
2010-06-16,26.66,26.87,25.99,26.24,7480082
2010-06-17,26.66,26.89,26.21,26.87,6368120
2010-06-18,26.8,27.01,26.61,26.69,7086048
2010-06-21,26.31,27.13,26.14,26.98,5990727
2010-06-22,26.02,26.75,25.92,26.37,4994118
2010-06-23,26.26,26.55,25.81,26.06,5441286
2010-06-24,25.91,26.33,25.76,26.27,5532517
2010-06-25,25.8975,26.08,25.48,26.03,5213332
2010-06-28,26.05,26.29,25.66,26.03,5496349
2010-06-29,25.28,25.76,25.11,25.76,9029630
2010-06-30,25.26,25.82,25.19,25.37,7973920
2010-07-01,25.54,25.72,24.82,25.23,9288211
2010-07-02,25.33,25.61,24.94,25.61,4890378
2010-07-05,25.33,25.61,24.94,25.61,0
2010-07-06,25.39,25.95,25.17,25.65,10364240
2010-07-07,26.9075,26.95,25.31,25.43,13727537
2010-07-08,27.02,27.1,26.61,26.97,12859997
2010-07-09,27.62,27.68,26.88,27.02,7226675
2010-07-12,27.84,28.22,27.5201,27.64,7038998
2010-07-13,28.64,28.85,27.95,28.04,9525924
2010-07-14,28.18,29.115,27.965,28.71,9442334
2010-07-15,28.54,28.61,27.73,28.19,8442603
2010-07-16,27.59,28.34,27.54,28.33,9508536
2010-07-19,28.71,28.71,27.74,27.74,9264481
2010-07-20,28.45,28.48,27.42,28.06,9905349
2010-07-21,27.8,28.27,27.4,28.2,10086977
2010-07-22,28.78,28.92,27.5204,27.67,11464004
2010-07-23,29.2,29.35,28.18,28.67,10400427
2010-07-26,29.28,29.32,28.68,29.1,6592036
2010-07-27,28.93,29.4,28.865,29.3,9602596
2010-07-28,28.5,28.93,28.36,28.78,5780014
2010-07-29,27.81,28.79,27.5,28.55,9126699
2010-07-30,27.92,28.13,27.04,27.55,8919346
2010-08-02,28.06,28.19,27.69,28.07,6194292
2010-08-03,27.87,28.03,27.64,28.01,3756282
2010-08-04,28.04,28.08,27.58,27.93,3350008
2010-08-05,27.87,28.31,27.73,27.96,4324237
2010-08-06,27.91,28.08,27.45,27.6,4501121
2010-08-09,27.73,27.94,27.48,27.91,3996367
2010-08-10,27.56,27.66,27.1,27.53,8126766
2010-08-11,26.85,27.11,26.7,27.04,8617248
2010-08-12,25.5,26.85,24.28,25.06,14968520
2010-08-13,25.04,25.66,25.03,25.35,8229711
2010-08-16,25.11,25.33,24.48,24.8,5909467
2010-08-17,25.405,25.69,25.09,25.22,6004053
2010-08-18,25.64,25.83,25.18,25.35,7544716
2010-08-19,25.3,25.81,25.19,25.55,5774993
2010-08-20,25.45,25.64,25.18,25.25,5198166
2010-08-23,25.05,25.6,24.88,25.58,7925315
2010-08-24,24.89,24.995,24.49,24.67,7019827
2010-08-25,24.95,25.07,24.45,24.75,6947506
2010-08-26,24.48,25.16,24.34,25.02,7040632
2010-08-27,24.93,25.0,23.96,24.55,8302536
2010-08-30,24.31,24.92,24.31,24.75,6034315
2010-08-31,24.14,24.54,24.0,24.12,8846983
2010-09-01,24.67,25.1,24.44,24.44,7879082
2010-09-02,25.18,25.3001,24.63,24.83,6230298
2010-09-03,25.39,25.76,25.1,25.44,5261701
2010-09-06,25.39,25.76,25.1,25.44,0
2010-09-07,24.9675,25.39,24.85,25.23,5040270
2010-09-08,25.13,25.16,24.56,25.0,8261882
2010-09-09,24.76,25.43,24.72,25.38,7102223
2010-09-10,24.67,24.94,24.27,24.75,5344674
2010-09-13,25.28,25.41,24.81,24.82,5156477
2010-09-14,26.13,26.25,25.27,25.32,10877068
2010-09-15,26.06,26.17,25.81,26.0,5883244
2010-09-16,26.27,26.33,25.94,26.04,5436946
2010-09-17,26.45,26.74,26.18,26.47,8697884
2010-09-20,26.1799,26.25,25.69,26.15,9585507
2010-09-21,26.02,26.22,25.92,26.15,5209848
2010-09-22,25.33,25.75,24.96,25.73,13001333
2010-09-23,25.34,25.78,24.98,25.18,6795963
2010-09-24,26.54,26.5925,25.64,25.7,8260033
2010-09-27,26.18,26.55,26.09,26.54,3698352
2010-09-28,26.81,26.83,25.95,26.43,7247638
2010-09-29,27.05,27.21,26.595,26.63,9469118
2010-09-30,26.64,27.35,26.31,27.15,8314258
2010-10-01,26.35,26.6,25.89,26.16,9333384
2010-10-04,25.75,26.39,25.3,26.39,9820613
2010-10-05,26.35,26.435,25.85,26.0,5374985
2010-10-06,25.71,26.05,25.325,25.95,8580121
2010-10-07,25.93,25.94,25.42,25.74,7532978
2010-10-08,26.08,26.21,25.52,25.91,9660796
2010-10-11,26.61,26.77,25.92,26.03,7449276
2010-10-12,26.83,26.96,26.43,26.68,8025091
2010-10-13,26.57,27.0,26.35,27.0,7186406
2010-10-14,26.48,26.8,26.32,26.59,5569959
2010-10-15,26.48,26.72,26.25,26.72,6536395
2010-10-18,26.34,26.48,25.84,26.26,5736291
2010-10-19,26.335,26.7,25.83,26.09,6690183
2010-10-20,26.01,26.34,25.5675,26.2,9887646
2010-10-21,25.17,25.53,24.77,25.32,21218797
2010-10-22,25.2,25.32,24.94,25.18,7167947
2010-10-25,25.45,25.65,25.3,25.37,4557742
2010-10-26,25.31,25.6,25.125,25.37,5389078
2010-10-27,26.12,26.19,25.13,25.2,8660146
2010-10-28,26.22,26.38,25.84,26.13,8561647
2010-10-29,26.8,26.92,26.18,26.21,10467992
2010-11-01,26.83,27.23,26.73,27.0,7674534
2010-11-02,27.15,27.28,26.99,27.06,5652990
2010-11-03,27.24,27.49,26.88,27.49,8300719
2010-11-04,27.85,27.95,27.37,27.53,12163987
2010-11-05,27.73,27.92,27.61,27.92,5099105
2010-11-08,27.82,27.88,27.5,27.51,7597637
2010-11-09,27.37,27.9,27.2,27.85,6364991
2010-11-10,27.415,27.56,27.1,27.35,4821044
2010-11-11,26.5,26.65,25.64,26.12,10327274
2010-11-12,26.64,26.9,26.3,26.4,8119852
2010-11-15,26.45,26.95,26.33,26.72,7058101
2010-11-16,26.3,26.46,26.06,26.18,6308516
2010-11-17,26.7,26.82,26.18,26.29,7051981
2010-11-18,27.02,27.18,26.76,27.02,7545109
2010-11-19,27.175,27.38,26.91,26.95,6360101
2010-11-22,27.27,27.45,26.89,27.13,6788390
2010-11-23,27.28,27.52,26.99,27.09,7130449
2010-11-24,27.6775,27.98,27.44,27.44,5373427
2010-11-25,27.6775,27.98,27.44,27.44,0
2010-11-26,27.52,27.67,27.34,27.5,1786071
2010-11-29,27.43,27.64,27.15,27.36,5053982
2010-11-30,27.13,27.35,26.91,27.02,6254299
2010-12-01,27.99,28.08,27.41,27.47,6027722
2010-12-02,28.53,28.6,27.9,28.0,5725514
2010-12-03,28.87,29.0,28.46,28.5,4630399
2010-12-06,28.61,28.99,28.46,28.93,3749636
2010-12-07,28.59,29.125,28.52,29.0,4495803
2010-12-08,28.85,28.85,28.48,28.64,4586798
