Date,Close,High,Low,Open,Volume
2010-01-01,35.17,35.64,35.17,35.47,0
2010-01-04,35.33,35.65,35.27,35.4,1051358
2010-01-05,34.91,35.36,34.73,35.36,763311
2010-01-06,35.14,35.34,34.75,35.01,1595057
2010-01-07,35.6,35.64,34.88,35.03,1096087
2010-01-08,35.6,35.77,35.45,35.55,803792
2010-01-11,36.06,36.14,35.27,35.56,787205
2010-01-12,35.8,36.07,35.61,35.975,1002072
2010-01-13,36.3,36.37,35.7,35.87,814861
2010-01-14,36.57,36.64,36.0,36.01,709986
2010-01-15,35.95,36.74,35.61,36.74,879828
2010-01-18,35.95,36.74,35.61,36.74,0
2010-01-19,36.52,36.82,35.56,36.11,581372
2010-01-20,36.13,36.62,35.69,36.49,844134
2010-01-21,34.83,36.15,34.75,35.94,1731260
2010-01-22,34.44,35.03,34.38,34.65,1527104
2010-01-25,34.48,34.66,34.27,34.44,705858
2010-01-26,34.23,34.47,34.13,34.27,1138446
2010-01-27,34.06,34.23,33.66,34.23,1186717
2010-01-28,33.44,34.18,33.29,33.97,1355888
2010-01-29,33.53,33.96,33.42,33.58,1174849
2010-02-01,33.58,33.76,33.38,33.62,1025770
2010-02-02,34.51,34.58,33.4,33.49,1968958
2010-02-03,33.87,34.28,33.72,34.22,1050877
2010-02-04,32.79,33.71,32.77,33.59,1113299
2010-02-05,32.69,32.94,32.095,32.78,2067301
2010-02-08,33.1,33.37,32.44,32.52,1924602
2010-02-09,33.94,34.03,33.17,33.46,1643520
2010-02-10,33.79,33.97,33.37,33.95,1304520
2010-02-11,33.01,33.23,32.38,32.74,2485269
2010-02-12,32.64,32.97,32.23,32.54,2325537
2010-02-15,32.64,32.97,32.23,32.54,0
2010-02-16,33.01,33.04,32.44,32.87,1101049
2010-02-17,33.12,33.19,32.94,33.04,1399655
2010-02-18,33.31,33.41,33.07,33.13,983360
2010-02-19,32.94,33.29,32.86,33.17,1270344
2010-02-22,32.81,33.0,32.7,32.95,1299166
2010-02-23,32.83,32.92,32.41,32.7,1989252
2010-02-24,33.0,33.05,32.61,32.85,1314233
2010-02-25,32.94,33.01,32.53,32.55,1177202
2010-02-26,33.09,33.25,32.87,33.0,1415012
2010-03-01,33.56,33.66,33.01,33.02,783989
2010-03-02,33.84,33.94,33.64,33.64,905142
2010-03-03,33.81,34.04,33.74,33.98,822507
2010-03-04,33.85,34.0,33.73,33.93,758812
2010-03-05,34.33,34.34,33.79,33.91,867600
2010-03-08,34.29,34.48,34.04,34.22,604094
2010-03-09,34.6,34.67,34.05,34.25,1180252
