Date,Close,High,Low,Open,Volume
2010-01-01,22.2887,22.8156,22.236,22.6838,0
2010-01-04,22.7365,23.079,22.315,22.4994,5113756
2010-01-05,22.7629,22.7892,22.5521,22.7365,3256374
2010-01-06,22.5521,22.8419,22.4994,22.7629,2634794
2010-01-07,22.6575,22.7102,22.4204,22.4731,4509277
2010-01-08,22.5785,22.7629,22.4204,22.6048,2460520
2010-01-11,23.1317,23.2898,22.5785,22.7102,5276700
2010-01-12,23.3161,23.4742,22.8683,22.8683,7100220
2010-01-13,23.5796,23.6323,23.2108,23.3952,4219773
2010-01-14,23.4215,23.7113,23.3161,23.4742,3510856
2010-01-15,23.2898,23.4215,23.1581,23.3161,4375311
2010-01-18,23.2898,23.4215,23.1581,23.3161,0
2010-01-19,23.764,23.8167,23.1581,23.2635,6780153
2010-01-20,23.4215,23.5796,23.0,23.5006,7890236
2010-01-21,24.449,24.9759,24.0538,24.1329,16792002
2010-01-22,23.6323,24.4227,23.4742,24.2119,8299766
2010-01-25,23.4215,24.0011,23.3425,23.7904,5567466
2010-01-26,23.3425,23.5533,22.9737,23.3688,4120514
2010-01-27,23.4215,23.4742,22.9473,23.2635,6953706
2010-01-28,23.2371,23.5796,23.1317,23.3952,6857854
2010-01-29,22.9737,23.4742,22.9473,23.4479,8473551
2010-02-01,23.6323,23.6323,23.0,23.0527,5481930
2010-02-02,24.0538,24.1329,23.5269,23.6586,9341159
2010-02-03,23.685,24.1592,23.6323,23.9485,4980818
2010-02-04,22.7892,23.8167,22.7365,23.6586,9428057
2010-02-05,22.315,22.6575,21.9989,22.5258,13825113
2010-02-08,22.2623,22.4204,21.7354,22.1042,4864053
2010-02-09,22.0779,22.5258,21.6037,22.4731,10356543
2010-02-10,22.2623,22.4994,22.0515,22.1042,4061172
2010-02-11,23.079,23.2108,22.1306,22.315,8800805
2010-02-12,23.1054,23.3952,22.4994,22.6575,5134658
2010-02-15,23.1054,23.3952,22.4994,22.6575,0
2010-02-16,23.3425,23.4479,22.8946,23.0527,3765084
2010-02-17,23.5006,23.7904,23.1844,23.4479,5205229
2010-02-18,24.1592,24.2119,23.3688,23.5533,6825792
2010-02-19,24.2383,24.4227,23.9485,23.9748,5455807
2010-02-22,24.3436,24.5281,24.2119,24.37,4757512
2010-02-23,23.9748,24.3173,23.8167,24.2646,3016537
2010-02-24,24.37,24.3963,23.9485,24.1856,4016734
2010-02-25,24.4754,24.5281,23.9748,24.1065,4454164
2010-02-26,24.6861,24.7652,24.2646,24.4227,4178144
2010-03-01,25.1604,25.2394,24.7125,24.8179,4755405
2010-03-02,25.0286,25.2921,24.8706,25.1077,4395031
2010-03-03,25.0813,25.5556,25.0286,25.2657,3915515
2010-03-04,25.134,25.3975,24.7652,25.2921,5884231
2010-03-05,26.0034,26.0825,25.2394,25.2921,5265848
2010-03-08,26.1088,26.5304,26.0298,26.0561,5250229
2010-03-09,25.6609,26.0298,25.4765,25.6609,3491697
2010-03-10,25.9507,26.0034,25.5292,25.5819,4677876
2010-03-11,26.3459,26.3459,25.7136,25.7927,4962245
2010-03-12,26.0561,26.3459,25.8454,26.2932,5272633
2010-03-15,26.3986,26.4777,25.8981,26.0825,5478191
2010-03-16,26.583,26.7938,26.3723,26.6621,4868555
2010-03-17,26.0825,26.6621,25.9507,26.6357,6889991
2010-03-18,25.9771,26.1615,25.6873,25.9507,4594159
2010-03-19,25.2131,26.1879,25.0813,26.1088,6607625
2010-03-22,26.0034,26.0561,24.8969,25.1604,5416270
2010-03-23,26.6357,26.6621,25.7927,26.0034,5665625
2010-03-24,25.9771,26.504,25.9507,26.425,3344997
2010-03-25,25.3448,26.3196,25.3448,26.2405,4862256
2010-03-26,25.5556,25.9244,25.3975,25.5556,2746818
2010-03-29,25.6346,25.6873,25.3711,25.5029,2680993
2010-03-30,25.5292,25.74,25.3711,25.6346,2371064
2010-03-31,25.6873,25.7663,25.2921,25.5556,4414506
2010-04-01,26.3196,26.3459,25.7663,25.9771,3870466
2010-04-02,26.3196,26.3459,25.7663,25.9771,0
2010-04-05,27.3471,27.3998,26.0825,26.3196,6607528
2010-04-06,27.0573,27.3207,26.8202,27.2153,4457974
2010-04-07,26.7675,27.11,26.3459,26.8728,4760734
2010-04-08,27.4525,27.4788,26.1879,26.7148,5688551
2010-04-09,27.5052,27.6632,27.2417,27.4525,5550951
2010-04-12,27.6369,27.795,27.4261,27.6896,2987641
2010-04-13,27.5315,27.6632,27.3471,27.3734,7144347
2010-04-14,27.795,27.9794,27.3471,27.4788,4771187
2010-04-15,27.6369,27.795,27.3998,27.7423,4908414
2010-04-16,27.189,27.7686,27.0573,27.5315,5958663
2010-04-19,28.2165,28.3746,26.8202,27.189,9452374
2010-04-20,28.2955,29.1518,27.8213,28.3482,7391795
2010-04-21,27.9267,28.6907,27.795,28.48,5177489
2010-04-22,27.5315,27.8476,26.8992,27.6632,5324314
2010-04-23,29.8236,30.8774,28.4009,29.7709,30094646
2010-04-26,29.9026,30.2715,29.244,29.2967,10597554
2010-04-27,28.48,29.7972,28.4009,29.6919,9472626
2010-04-28,29.244,29.5601,28.3219,28.5326,9008699
2010-04-29,29.5601,29.6919,28.9542,29.6919,7045433
2010-04-30,28.7171,29.6392,28.559,29.5074,7186633
2010-05-03,29.1123,29.3494,28.48,28.9278,5497866
2010-05-04,27.9267,28.3746,27.4525,28.3219,7487172
2010-05-05,27.4525,28.2165,26.9519,27.6632,8347652
2010-05-06,26.4513,27.5052,24.0011,27.189,11161841
2010-05-07,25.6346,26.8333,24.8969,26.5567,10299303
2010-05-10,26.7148,27.795,26.5567,27.7159,9938078
2010-05-11,26.6094,27.2944,26.1879,26.7411,6764299
2010-05-12,26.8465,27.189,26.6357,26.6357,5166778
2010-05-13,27.1363,27.8476,26.6884,26.8992,7578295
2010-05-14,26.3986,27.268,26.0825,26.9782,5539285
2010-05-17,26.6094,26.8465,25.74,26.4513,6111842
2010-05-18,26.3723,27.11,26.2142,26.6094,6764279
2010-05-19,25.2657,26.3196,25.1867,26.0825,7949868
2010-05-20,24.0275,24.6861,23.606,24.37,13226977
2010-05-21,24.2909,24.6334,23.2108,23.4215,6554970
2010-05-24,23.5796,24.3436,23.2371,23.5269,7528039
2010-05-25,23.9485,24.0538,22.2887,22.9473,11161894
