Date,Close,High,Low,Open,Volume
2011-10-13,24.25,24.27,23.0,23.5,396841
2011-10-14,25.35,25.49,24.36,24.36,402629
2011-10-17,25.16,25.8,25.16,25.5,583402
2011-10-18,25.24,25.36,24.9,25.06,423500
2011-10-19,24.75,25.35,24.75,25.25,722232
2011-10-20,24.75,25.03,24.33,24.8,549716
2011-10-21,25.54,25.75,24.95,25.0,1764512
2011-10-24,25.77,25.85,25.5,25.5,371298
2011-10-25,25.75,26.08,25.0,25.88,546812
2011-10-26,25.02,26.09,24.86,26.09,657324
2011-10-27,25.62,25.95,25.25,25.25,405421
2011-10-28,25.82,25.82,25.25,25.5,584683
2011-10-31,26.74,26.74,25.25,26.25,14838499
2011-11-01,27.31,28.28,25.15,25.6,6095518
2011-11-02,26.62,27.4,25.79,27.4,2476685
2011-11-03,26.39,27.07,26.38,26.94,1615000
2011-11-04,25.19,26.59,24.88,26.17,1923266
2011-11-07,24.6,25.48,24.37,24.91,2703443
2011-11-08,24.94,25.345,24.76,25.1,2024426
2011-11-09,23.89,25.0,23.84,24.35,1570806
2011-11-10,23.65,24.71,23.52,24.48,1165905
2011-11-11,23.79,24.09,23.63,23.88,1266127
2011-11-14,23.93,24.1,23.49,23.58,1338952
2011-11-15,23.99,24.365,23.82,23.94,1657666
2011-11-16,24.12,24.6,23.78,23.95,1804502
2011-11-17,23.85,24.19,23.66,24.0,1279111
2011-11-18,23.93,24.14,23.72,23.88,1426202
2011-11-21,23.62,23.81,23.34,23.7,1282010
2011-11-22,23.63,26.14,22.67,25.02,2126367
2011-11-23,23.68,23.75,22.88,23.27,1009639
2011-11-24,23.68,23.68,23.68,23.68,0
2011-11-25,23.0,23.45,22.88,23.45,991092
2011-11-28,23.49,24.181,23.14,23.66,1567249
2011-11-29,23.27,23.6,23.1666,23.51,1222452
2011-11-30,23.9,24.195,23.33,24.06,2320784
2011-12-01,24.27,24.36,23.65,23.81,1046646
2011-12-02,24.25,25.48,24.22,25.48,1208825
2011-12-05,25.09,25.15,24.41,24.57,930821
2011-12-06,24.83,25.07,24.51,25.02,662703
2011-12-07,24.57,24.83,23.86,24.72,951186
2011-12-08,23.88,24.55,23.8,24.45,938618
2011-12-09,24.35,24.46,23.96,24.07,549757
2011-12-12,23.92,24.19,23.24,23.95,1213318
2011-12-13,23.85,24.45,23.71,24.02,1652724
2011-12-14,23.41,23.6,22.93,23.6,1735951
2011-12-15,23.92,24.06,23.44,23.55,1074896
2011-12-16,24.67,24.94,24.01,24.14,2926928
2011-12-19,24.25,24.855,24.145,24.67,1107108
2011-12-20,24.31,24.72,23.964,24.59,1189902
2011-12-21,24.92,25.03,24.02,24.45,2177306
2011-12-22,24.83,25.65,24.8,25.07,971020
2011-12-23,24.91,25.16,24.7038,24.83,574944
2011-12-26,24.91,24.91,24.91,24.91,0
2011-12-27,25.05,25.05,24.465,24.84,664335
2011-12-28,25.56,25.76,25.11,25.11,917655
2011-12-29,25.95,26.46,25.5,25.67,3975152
2011-12-30,25.69,25.99,25.135,25.99,1169701
2012-01-02,25.69,25.69,25.69,25.69,0
2012-01-03,25.14,26.43,25.07,26.02,1059026
2012-01-04,25.97,26.07,24.84,25.07,1391847
2012-01-05,25.6,25.81,24.87,25.78,2270700
2012-01-06,25.17,25.62,25.12,25.54,524372
2012-01-09,25.27,25.42,24.82,25.16,558658
2012-01-10,25.58,25.7,25.25,25.46,1048244
2012-01-11,26.06,26.26,25.39,25.46,1066217
2012-01-12,25.7,26.14,25.68,26.08,709226
2012-01-13,25.63,25.68,25.34,25.45,886123
2012-01-16,25.63,25.63,25.63,25.63,0
2012-01-17,25.63,26.28,25.59,25.9,465337
2012-01-18,26.99,27.04,25.43,25.51,1453670
2012-01-19,26.62,27.29,26.44,27.0,838326
2012-01-20,26.36,26.6758,26.3,26.62,1014818
2012-01-23,25.75,26.6,25.56,26.45,842772
2012-01-24,26.14,26.21,25.6,25.69,761348
2012-01-25,26.6,26.63,25.82,26.04,881776
2012-01-26,25.94,26.85,25.761,26.68,849938
2012-01-27,25.81,25.98,25.61,25.61,685853
2012-01-30,25.92,25.96,25.5,25.65,475232
2012-01-31,25.91,26.25,25.65,26.11,792665
2012-02-01,26.82,26.85,25.92,26.02,816601
2012-02-02,26.65,26.99,26.62,26.86,715174
2012-02-03,27.03,27.08,26.57,26.96,719800
2012-02-06,26.78,27.12,26.64,26.9,655099
2012-02-07,27.22,27.35,26.53,26.7,963738
2012-02-08,27.39,27.39,26.8,27.16,737818
2012-02-09,27.13,27.4,26.91,27.35,721478
2012-02-10,27.07,27.13,26.83,26.96,527246
