Date,Close,High,Low,Open,Volume
2010-01-01,12.83,12.93,12.67,12.78,0
2010-01-04,13.33,13.37,12.88,12.93,3974627
2010-01-05,13.8,13.83,13.23,13.27,5606054
2010-01-06,15.0,15.01,13.66,13.69,12615623
2010-01-07,16.68,17.0,14.95,15.0,24717323
2010-01-08,16.41,16.66,15.52,16.32,6903149
2010-01-11,16.51,16.79,16.1,16.48,5534145
2010-01-12,16.05,16.94,15.83,16.36,7341211
2010-01-13,16.35,16.57,15.14,15.91,10367270
2010-01-14,16.71,16.85,16.25,16.4,4677870
2010-01-15,16.26,16.89,16.115,16.75,4889270
2010-01-18,16.26,16.89,16.115,16.75,0
2010-01-19,17.11,17.2,16.06,16.2,7057089
2010-01-20,17.92,18.0,16.85,16.91,9979649
2010-01-21,18.36,19.42,17.95,17.95,14224778
2010-01-22,17.66,18.25,17.12,18.13,11290618
2010-01-25,17.92,17.99,16.69,17.96,10474647
2010-01-26,19.08,20.58,18.9,18.96,26334825
2010-01-27,18.94,19.34,18.34,18.96,9314009
2010-01-28,19.34,19.75,18.9,19.52,7067519
2010-01-29,18.97,19.7,18.78,19.69,6963575
2010-02-01,19.92,19.94,19.13,19.18,6913363
2010-02-02,19.91,20.19,19.4399,19.84,5880485
2010-02-03,18.62,19.78,18.46,19.77,10281007
2010-02-04,17.49,18.15,17.39,18.08,11389924
2010-02-05,18.0,18.1,17.24,17.62,7966650
2010-02-08,17.99,18.78,17.7,18.01,8066112
2010-02-09,18.21,18.65,17.99,18.31,4784823
2010-02-10,18.52,18.7,18.13,18.15,4127936
2010-02-11,18.17,18.63,18.07,18.52,5180026
2010-02-12,17.85,18.05,17.54,17.91,4888980
2010-02-15,17.85,18.05,17.54,17.91,0
2010-02-16,18.26,18.33,17.75,18.1,3532318
2010-02-17,18.05,18.49,17.85,18.44,3948170
2010-02-18,17.72,18.14,17.6,17.87,4435973
2010-02-19,18.44,18.51,17.57,17.68,5704785
2010-02-22,18.87,19.0,18.52,18.55,4692635
2010-02-23,18.18,18.94,18.0301,18.78,5477705
2010-02-24,18.67,18.9,18.07,18.2,4770390
2010-02-25,18.44,18.46,18.02,18.32,4482136
2010-02-26,18.54,18.6,18.12,18.46,3528985
2010-03-01,18.3,18.7,18.18,18.7,2452199
2010-03-02,18.64,19.185,18.41,18.6,4703773
2010-03-03,18.4,18.76,18.315,18.73,3343489
2010-03-04,18.08,18.44,18.0,18.37,4441761
2010-03-05,18.74,18.78,18.14,18.25,4540806
2010-03-08,18.93,19.07,18.67,18.91,3084113
2010-03-09,19.26,19.4,18.46,18.74,5626576
2010-03-10,20.49,21.06,19.45,19.5,13858036
2010-03-11,21.43,21.73,20.37,20.69,14078242
2010-03-12,20.99,21.93,20.96,21.65,9107196
2010-03-15,21.24,21.33,20.58,20.93,6415530
2010-03-16,22.22,22.35,21.24,21.46,8524396
2010-03-17,23.19,23.73,22.18,22.18,13527397
2010-03-18,22.73,22.99,22.19,22.75,8474926
2010-03-19,22.11,22.9699,22.02,22.73,7625150
2010-03-22,22.61,22.67,21.36,21.75,5981162
2010-03-23,22.82,22.9,22.18,22.65,4373471
2010-03-24,23.06,23.43,22.68,22.73,5177212
2010-03-25,22.64,23.85,22.6,23.34,5195875
2010-03-26,22.23,23.19,21.91,22.78,5999586
2010-03-29,21.75,22.705,21.44,22.54,7127600
2010-03-30,21.66,21.98,21.57,21.8,3950723
2010-03-31,21.84,22.08,21.41,21.51,4617792
2010-04-01,21.88,22.18,21.61,22.03,3233841
2010-04-02,21.88,22.18,21.61,22.03,0
2010-04-05,23.21,23.26,22.24,22.49,6555359
2010-04-06,24.27,24.65,23.02,23.19,8533735
2010-04-07,23.75,24.75,23.34,24.32,7203777
2010-04-08,23.96,24.16,23.26,23.7,4002661
2010-04-09,23.93,24.35,23.71,24.17,3588872
2010-04-12,24.9,24.92,23.67,23.97,6875061
2010-04-13,24.57,24.85,24.26,24.83,8547196
2010-04-14,26.36,26.68,24.75,24.86,12528823
2010-04-15,26.14,27.11,25.79,27.06,10153534
2010-04-16,25.53,26.33,24.38,26.05,8802858
2010-04-19,25.43,25.84,24.66,25.27,8447163
2010-04-20,27.42,27.6,25.28,25.78,13660152
2010-04-21,28.87,30.0,27.46,27.59,15578464
2010-04-22,29.6,29.75,28.15,28.67,6777329
2010-04-23,30.0,30.15,29.25,29.6,5047926
2010-04-26,28.78,30.29,28.6218,30.14,6694676
2010-04-27,27.75,29.25,27.3,28.58,7658381
2010-04-28,27.66,28.55,27.435,28.14,6249128
2010-04-29,28.86,29.1,27.89,27.89,3457012
2010-04-30,28.73,29.52,28.63,28.99,4647883
2010-05-03,29.0,29.44,28.35,28.99,4370583
2010-05-04,27.77,28.88,27.5,28.43,5271781
2010-05-05,27.86,28.67,26.65,27.34,7580609
2010-05-06,26.44,28.28,25.07,27.6,10678574
2010-05-07,25.5699,26.77,24.56,26.36,9586529
2010-05-10,27.83,29.095,27.04,28.1,9157675
2010-05-11,27.74,28.65,27.1501,27.32,5754128
2010-05-12,28.88,28.91,28.03,28.11,4733892
2010-05-13,28.5,29.25,28.41,28.69,3825778
2010-05-14,27.33,28.14,26.58,28.1,5317180
2010-05-17,27.3,27.55,26.2,27.15,4942895
2010-05-18,26.08,27.9,25.62,27.58,5744219
2010-05-19,24.42,26.25,24.42,25.31,14161498
2010-05-20,22.79,23.7,22.66,23.0,14945751
2010-05-21,23.8,23.95,22.1,22.25,9200850
2010-05-24,22.91,24.11,22.91,23.81,6236681
2010-05-25,23.11,23.24,21.67,22.06,7387694
2010-05-26,23.96,24.47,23.73,23.88,11869947
2010-05-27,24.86,24.95,24.15,24.59,7075335
2010-05-28,23.95,24.8099,23.72,24.71,4970945
2010-05-31,23.95,24.8099,23.72,24.71,0
2010-06-01,23.15,24.07,23.05,23.5,5416795
2010-06-02,23.78,23.78,22.95,23.3,4896449
2010-06-03,23.56,24.19,23.15,23.8,4588515
2010-06-04,22.345,23.29,22.21,22.88,7180680
2010-06-07,21.48,22.58,21.42,22.5,6047894
2010-06-08,22.52,22.61,21.22,21.54,9583296
2010-06-09,22.79,23.1,22.13,22.8,9800224
2010-06-10,23.555,23.57,22.84,23.3,6676661
2010-06-11,23.68,23.76,22.73,23.17,5963072
2010-06-14,23.4,24.3,23.27,23.9,5238536
2010-06-15,24.24,24.32,23.38,23.59,5017010
2010-06-16,24.17,24.41,23.9,24.0,4823785
2010-06-17,23.67,24.27,23.27,24.18,4756141
2010-06-18,23.98,24.0,23.35,23.83,8289560
2010-06-21,23.91,24.69,23.72,24.36,4529900
2010-06-22,23.63,24.3,23.61,23.91,3613489
2010-06-23,23.35,24.06,23.11,23.74,2948993
2010-06-24,22.95,23.49,22.7301,23.06,2780342
2010-06-25,23.82,24.02,22.89,23.16,4542709
2010-06-28,23.55,24.01,23.28,23.87,3880755
2010-06-29,21.94,23.3,21.8,23.11,6643048
2010-06-30,21.57,22.69,21.441,21.9,3808831
2010-07-01,21.73,22.09,20.42,21.43,6467608
2010-07-02,20.75,22.06,20.56,21.91,5196523
2010-07-05,20.75,22.06,20.56,21.91,0
2010-07-06,20.88,21.44,20.62,21.12,3338548
2010-07-07,22.3125,22.38,20.93,21.07,4228554
2010-07-08,22.38,22.89,21.89,22.66,3301824
2010-07-09,23.25,23.38,22.19,22.36,3094409
2010-07-12,23.18,23.49,22.77,23.17,2338039
2010-07-13,24.2,24.39,23.52,23.52,4079831
2010-07-14,23.33,23.92,23.07,23.72,4756803
2010-07-15,23.15,23.47,22.48,23.47,3536228
2010-07-16,21.69,22.89,21.5,22.84,5927245
2010-07-19,21.42,22.016,21.01,21.75,6259660
2010-07-20,19.51,20.47,19.29,19.93,19269051
2010-07-21,19.42,20.17,19.3,19.86,9420364
2010-07-22,20.17,20.4,19.77,19.84,5825096
2010-07-23,20.55,20.68,19.67,20.01,4382088
2010-07-26,21.34,21.4,20.41,20.65,3577520
2010-07-27,21.42,22.09,21.12,21.61,4121470
2010-07-28,21.26,21.67,21.1,21.39,4201199
2010-07-29,22.05,22.39,21.64,21.72,8271288
2010-07-30,22.19,22.2799,21.65,21.67,4743519
2010-08-02,22.89,22.91,22.31,22.57,3144156
2010-08-03,22.61,23.191,22.52,22.92,3378939
2010-08-04,22.62,23.05,22.4,22.84,2505919
2010-08-05,22.11,22.53,21.96,22.45,2245239
2010-08-06,21.64,21.97,21.01,21.81,3954421
2010-08-09,21.84,21.96,21.48,21.72,2102463
2010-08-10,21.46,21.72,21.07,21.45,3254139
2010-08-11,20.12,21.12,20.12,21.05,4927976
2010-08-12,20.19,20.46,19.66,19.84,3941116
2010-08-13,19.89,20.43,19.84,20.15,2519378
2010-08-16,19.95,19.96,19.6,19.78,2591425
2010-08-17,20.31,20.47,19.83,20.16,3171705
2010-08-18,19.99,20.3,19.87,20.09,3816730
2010-08-19,19.35,20.0,19.13,19.8,4593529
2010-08-20,19.14,19.27,18.81,19.22,3722552
2010-08-23,18.82,19.33,18.76,19.25,2801592
2010-08-24,18.3175,18.7,18.21,18.55,3979197
2010-08-25,18.27,18.37,17.91,18.21,4133752
