Date,Close,High,Low,Open,Volume
2013-02-01,31.01,31.74,30.47,31.5,66789484
2013-02-04,31.02,31.99,30.76,31.09,7695943
2013-02-05,31.04,31.98,30.85,31.25,5014316
2013-02-06,31.03,31.43,30.75,30.98,2126101
2013-02-07,32.0,32.73,31.0,31.0,3800770
2013-02-08,33.05,33.48,32.3,32.31,2599232
2013-02-11,33.26,33.5,32.88,33.06,1487115
2013-02-12,33.74,34.0,33.15,33.4,1637279
2013-02-13,33.55,33.8,33.0,33.8,1269625
2013-02-14,33.27,33.45,32.77,33.39,2954424
2013-02-15,33.98,34.09,33.0,33.31,5415665
2013-02-18,33.98,33.98,33.98,33.98,0
2013-02-19,33.84,34.07,33.57,34.02,1206819
2013-02-20,32.72,33.88,32.6,33.84,1843361
2013-02-21,32.56,32.8,31.86,32.5,3242213
2013-02-22,32.59,32.93,32.5,32.78,954407
2013-02-25,32.07,32.69,32.0,32.68,818858
2013-02-26,32.04,32.4,31.99,32.05,1048603
2013-02-27,32.32,33.05,32.0,32.0,1343563
2013-02-28,33.45,33.55,32.56,32.56,2991401
2013-03-01,34.6,34.7,33.15,33.36,2333917
2013-03-04,34.35,34.89,34.235,34.8,865348
2013-03-05,34.29,34.48,33.75,34.41,1413387
2013-03-06,33.85,34.38,33.85,34.34,802112
2013-03-07,34.56,34.68,33.56,33.95,1319992
2013-03-08,34.09,34.69,33.8,34.03,1541064
2013-03-11,34.18,34.26,33.25,33.97,1729408
2013-03-12,33.82,34.245,33.6,34.12,1557570
2013-03-13,34.0,34.06,33.08,33.9,2240952
2013-03-14,34.64,35.42,34.2978,34.33,1865195
2013-03-15,33.44,34.84,33.31,34.7,2692330
2013-03-18,32.84,32.94,32.64,32.75,2371964
2013-03-19,32.8,33.42,32.3276,32.8,1336276
2013-03-20,33.51,33.54,32.5,32.9,1944682
2013-03-21,33.47,34.0,33.29,33.9,514497
2013-03-22,33.12,33.75,32.735,33.55,763527
2013-03-25,32.46,33.48,32.25,33.48,1324563
2013-03-26,32.51,32.79,32.0,32.73,1396456
2013-03-27,32.74,32.89,32.0601,32.38,1896725
2013-03-28,33.4,33.5,32.63,32.85,7435237
2013-03-29,33.4,33.4,33.4,33.4,0
2013-04-01,32.59,33.59,32.43,33.42,1466313
2013-04-02,32.55,33.13,32.46,32.66,712189
2013-04-03,32.53,32.98,32.36,32.67,1409612
2013-04-04,31.84,32.5,31.71,32.41,1946314
2013-04-05,31.96,32.07,30.57,31.73,3963480
2013-04-08,32.92,32.98,31.77,31.95,1965108
2013-04-09,33.44,33.5899,32.56,33.05,2006864
2013-04-10,33.15,33.76,32.98,33.76,969452
2013-04-11,33.16,33.24,32.87,33.22,1826538
2013-04-12,33.23,33.35,32.6,32.97,723441
2013-04-15,32.24,33.23,32.17,33.07,839485
2013-04-16,33.21,33.37,32.29,32.36,2271324
2013-04-17,32.89,33.23,32.17,32.98,3140912
2013-04-18,32.47,33.1,32.38,33.1,799890
2013-04-19,32.71,32.79,31.81,32.71,2159266
2013-04-22,32.66,32.9,32.22,32.9,922060
2013-04-23,31.7,32.96,31.5,32.78,2736343
2013-04-24,30.62,31.69,30.42,31.63,4149243
2013-04-25,31.55,31.99,30.75,30.93,1520556
2013-04-26,32.64,32.68,31.61,31.61,1421727
2013-04-29,32.66,32.95,32.17,32.95,1711593
2013-04-30,33.02,34.74,32.93,33.68,3390321
2013-05-01,33.39,33.51,32.66,32.97,1394436
2013-05-02,33.28,33.87,33.11,33.38,696250
2013-05-03,33.21,33.64,33.0,33.62,998866
2013-05-06,32.94,33.49,32.75,33.35,503640
2013-05-07,32.88,33.08,32.295,33.08,700677
2013-05-08,33.26,33.44,32.72,33.0,1034103
2013-05-09,33.55,33.67,33.28,33.31,977130
2013-05-10,33.18,33.61,32.97,33.54,534009
2013-05-13,33.04,33.49,32.75,33.06,438632
2013-05-14,33.08,33.75,32.85,33.13,872233
2013-05-15,32.79,33.06,32.56,32.94,563406
2013-05-16,33.39,33.8,33.16,33.48,1279483
2013-05-17,33.9,33.9,33.1903,33.35,962449
2013-05-20,33.71,34.0,33.6,33.9,735671
2013-05-21,33.04,33.74,32.99,33.57,1692350
2013-05-22,33.55,33.99,31.75,32.55,26011096
2013-05-23,32.84,33.8,32.71,33.25,9008453
2013-05-24,33.46,33.62,32.53,33.2,5911577
2013-05-27,33.46,33.46,33.46,33.46,0
2013-05-28,34.26,34.28,33.5858,33.8,4960455
2013-05-29,32.95,34.25,32.88,34.25,3095633
2013-05-30,32.24,33.1,32.1,32.77,3934038
2013-05-31,32.0,32.34,31.8,32.3,6512338
2013-06-03,32.75,32.84,31.31,32.01,3398831
2013-06-04,32.4,32.99,31.84,32.83,4513319
2013-06-05,32.17,32.42,31.75,32.42,3522254
2013-06-06,32.08,32.3093,31.54,32.17,2919005
2013-06-07,31.5,32.335,31.21,32.26,5134189
2013-06-10,32.01,32.11,31.47,31.83,4992132
2013-06-11,31.7,32.02,31.4,31.7,6367498
2013-06-12,31.53,32.03,31.4,31.95,7648422
2013-06-13,31.17,31.55,30.87,31.47,5853198
2013-06-14,30.8,31.26,30.6133,31.0,10665378
2013-06-17,30.96,31.76,30.71,31.4,26785572
2013-06-18,31.18,31.39,30.95,31.33,24286257
2013-06-19,31.0,31.24,30.82,31.06,23483382
2013-06-20,30.19,31.04,30.05,30.89,14938683
2013-06-21,30.6,31.09,30.34,30.55,33694457
2013-06-24,30.38,30.5,29.4,30.15,40765925
2013-06-25,31.49,31.62,30.5,30.8,13511685
2013-06-26,30.97,31.9,30.92,31.8,23788098
2013-06-27,30.87,31.51,30.79,31.46,16734836
2013-06-28,30.89,31.39,30.54,30.9,19419177
2013-07-01,30.61,31.06,30.13,31.02,17601074
2013-07-02,29.7,30.83,29.62,30.22,11160918
2013-07-03,29.28,29.74,28.97,29.67,12931571
2013-07-04,29.28,29.28,29.28,29.28,0
2013-07-05,30.17,30.18,29.78,29.81,10820723
2013-07-08,30.94,30.97,30.22,30.45,15682364
2013-07-09,30.98,31.4,30.94,31.12,8713674
2013-07-10,31.04,31.24,30.47,31.08,6506188
2013-07-11,30.92,31.45,30.84,31.43,4488711
2013-07-12,31.35,31.38,31.01,31.02,5431095
2013-07-15,31.58,31.65,31.1,31.31,4202558
2013-07-16,31.16,31.65,31.1,31.56,4301147
2013-07-17,30.99,31.23,30.85,31.23,3546553
2013-07-18,30.82,31.2,30.77,31.11,4058764
2013-07-19,30.24,30.8,30.12,30.79,8948546
2013-07-22,30.27,30.59,30.16,30.36,4255736
2013-07-23,30.06,30.44,29.76,30.41,5091944
2013-07-24,29.9,30.55,29.66,30.13,4890004
2013-07-25,30.52,30.55,29.71,29.88,5474030
2013-07-26,30.43,30.53,30.0,30.4,5051867
2013-07-29,30.09,30.54,29.98,30.27,4123553
2013-07-30,30.04,30.32,29.89,30.15,4630067
2013-07-31,29.81,30.19,29.8,30.0,5382355
2013-08-01,30.16,30.21,29.46,29.97,8108411
2013-08-02,30.94,30.96,29.91,30.12,5187489
2013-08-05,31.25,31.39,30.47,30.47,7283523
2013-08-06,31.13,32.5,31.09,31.68,12471427
